Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.44032,1.46913,1.38271,1.39711,66800,33,66516
2010-01-05,1.44032,1.44032,1.38271,1.41151,27400,24,26536
2010-01-06,1.38271,1.42592,1.36831,1.36831,67600,39,65327
2010-01-07,1.36831,1.58435,1.36831,1.51234,336700,123,353925
2010-01-08,1.52674,1.55555,1.46913,1.52674,155500,68,164835
2010-01-11,1.49793,1.56995,1.48353,1.48353,81100,40,85722
2010-01-12,1.51234,1.51234,1.44032,1.44032,79600,33,81128
2010-01-13,1.46913,1.49793,1.44032,1.46913,77500,33,79062
2010-01-14,1.46913,2.03085,1.46913,2.01645,1938200,869,2370232
2010-01-15,2.00205,2.37653,1.75719,2.07406,2032700,497,2898804
2010-01-18,2.05966,2.16048,1.90122,1.95884,583500,127,845047
2010-01-19,2.01645,2.31892,1.97324,2.20369,1799000,565,2724417
2010-01-20,2.30451,2.30451,2.00205,2.16048,344500,128,514702
2010-01-21,2.14608,2.33332,2.01645,2.01645,370000,111,555357
2010-01-22,2.14608,2.14608,1.97324,2.03085,95200,41,137393
2010-01-26,1.82921,1.91563,1.72839,1.74279,403500,147,495903
2010-01-27,1.72839,1.7716,1.62756,1.72839,233400,104,279496
2010-01-28,1.74279,1.87242,1.68518,1.68518,200600,76,244080
2010-01-29,1.72839,1.75719,1.68518,1.68518,165800,44,197518
2010-02-01,1.68518,1.84361,1.59876,1.84361,158900,93,190958
2010-02-02,1.8148,1.8148,1.72839,1.74279,59800,37,73632
2010-02-03,1.65637,1.7716,1.64197,1.68518,322900,119,376697
2010-02-04,1.68518,1.69958,1.51234,1.51234,173800,70,190164
2010-02-05,1.51234,1.59876,1.36831,1.44032,217300,117,221972
2010-02-08,1.51234,1.54114,1.44032,1.49793,152200,66,157831
2010-02-09,1.58435,1.59876,1.55555,1.55555,40000,25,43629
2010-02-10,1.56995,1.82921,1.55555,1.72839,348500,85,411420
2010-02-11,1.72839,1.7716,1.69958,1.69958,173000,63,208830
2010-02-12,1.71398,1.72839,1.59876,1.62756,104500,40,119378
2010-02-17,1.65637,1.67077,1.65637,1.67077,29300,12,33696
2010-02-18,1.64197,1.72839,1.64197,1.72839,28400,12,33682
2010-02-19,1.74279,1.85801,1.59876,1.72839,2518300,734,3000167
2010-02-22,1.8148,1.98764,1.8004,1.8148,1956800,583,2579803
2010-02-23,1.85801,1.85801,1.65637,1.69958,539600,288,650116
2010-02-24,1.71398,1.90122,1.71398,1.82921,1019700,318,1283773
2010-02-25,1.8148,1.87242,1.72839,1.786,231900,84,286692
2010-02-26,1.87242,1.87242,1.72839,1.7716,255600,93,321299
2010-03-01,1.8004,1.8004,1.67077,1.69958,193300,56,231535
2010-03-02,1.72839,1.72839,1.65637,1.69958,326200,75,383052
2010-03-03,1.71398,1.72839,1.64197,1.64197,172500,61,200613
2010-03-04,1.65637,1.65637,1.51234,1.61316,280800,115,312625
2010-03-05,1.59876,1.69958,1.58435,1.59876,107100,53,121444
2010-03-08,1.61316,1.69958,1.59876,1.68518,221800,63,255854
2010-03-09,1.67077,1.67077,1.59876,1.59876,52400,23,58823
2010-03-10,1.61316,1.65637,1.59876,1.59876,30300,16,33848
2010-03-11,1.61316,1.69958,1.59876,1.61316,100800,36,115231
2010-03-12,1.61316,1.61316,1.59876,1.61316,22200,8,24792
2010-03-15,1.59876,1.67077,1.52674,1.59876,59600,31,65800
2010-03-16,1.58435,1.61316,1.54114,1.61316,19100,13,20689
2010-03-17,1.59876,1.61316,1.55555,1.55555,81600,28,89752
2010-03-18,1.55555,1.58435,1.55555,1.58435,38500,19,41929
2010-03-19,1.58435,1.68518,1.54114,1.61316,235200,82,266494
2010-03-22,1.56995,1.61316,1.52674,1.61316,70000,27,75434
2010-03-23,1.59876,1.59876,1.54114,1.55555,35200,25,37935
2010-03-24,1.55555,1.56995,1.49793,1.52674,147800,44,156758
2010-03-25,1.46913,1.56995,1.42592,1.48353,69100,46,71221
2010-03-26,1.52674,1.52674,1.42592,1.45472,30000,33,30124
