Date,Open,High,Low,Close,Volume,Neg,Fin
2015-03-31,15.98188,15.98188,15.98188,15.98188,5000,9,8100
2015-04-07,40.54663,128.24968,40.54663,118.68027,2000,20,22423
2015-04-08,118.68027,591.92157,118.68027,378.73114,10100,79,419898
2015-04-09,394.61438,529.07922,181.52261,374.88367,29200,191,1071324
2015-04-10,374.88367,493.26797,305.82614,369.95099,18000,160,710821
2015-04-13,365.21564,365.21564,295.96078,295.96078,5700,52,194997
2015-04-14,246.23936,246.23936,207.27121,207.27121,10600,76,233325
2015-04-15,202.33853,212.00658,190.40144,190.40144,3900,34,79090
2015-04-16,190.89471,217.03792,177.57648,185.27145,4700,29,90080
2015-04-17,187.34317,187.34317,159.12823,165.83669,6600,56,113927
2015-04-20,172.74245,182.50916,172.74245,177.67514,700,7,12603
2015-04-22,197.40585,237.36055,197.40585,231.63863,9800,68,223993
2015-04-23,257.88049,257.88049,172.74245,172.74245,1800,16,41853
2015-04-24,187.9351,207.86313,187.9351,197.30719,3500,28,69909
2015-04-27,202.33853,202.33853,181.02934,181.02934,900,9,17638
2015-04-28,187.44183,189.4149,177.57648,178.06975,2500,23,46418
2015-04-29,182.50916,220.78674,182.50916,220.78674,1000,10,20041
2015-04-30,217.03792,217.03792,207.17255,207.17255,300,3,6450
2015-05-04,197.30719,197.30719,189.51355,189.51355,1000,9,19589
2015-05-05,189.61221,202.23987,189.61221,189.61221,600,5,11916
2015-05-06,192.37451,192.37451,192.37451,192.37451,200,2,3900
2015-05-07,192.37451,192.37451,192.37451,192.37451,100,1,1950
2015-05-08,174.22226,177.47781,171.65726,177.47781,1600,15,28352
2015-05-11,170.17746,176.39262,157.84575,161.7919,5600,37,93400
2015-05-12,164.85014,167.71112,157.94441,162.97575,4200,28,69052
2015-05-13,164.85014,176.58994,164.75151,176.58994,1300,13,22567
2015-05-14,173.2357,175.60341,172.74245,172.74245,900,6,15914
2015-05-15,172.84111,177.57648,170.67072,177.57648,1500,10,26358
2015-05-19,187.44183,187.44183,177.57648,177.57648,1100,5,20800
2015-05-20,177.57648,177.57648,177.57648,177.57648,400,3,7200
2015-05-25,167.71112,167.71112,166.72458,166.72458,600,4,10170
2015-05-26,166.42863,166.62592,159.62152,159.62152,400,3,6683
2015-06-01,150.34807,150.34807,150.05212,150.05212,500,3,7614
2015-06-02,147.98039,147.98039,147.98039,147.98039,100,1,1500
2015-06-05,143.04771,143.04771,138.11504,138.11504,300,3,4300
2015-06-08,133.18236,143.04771,133.18236,138.11504,300,3,4200
2015-06-09,157.84575,157.84575,141.86388,141.86388,500,4,7838
2015-06-10,141.86388,141.86388,141.17331,141.17331,300,2,4300
2015-06-11,134.16888,134.16888,133.18236,133.18236,200,2,2710
2015-06-12,134.16888,134.16888,128.24968,128.64429,1200,3,15700
2015-06-18,147.98039,147.98039,124.40218,124.40218,1400,3,20621
2015-06-19,124.40218,133.18236,98.65359,124.40218,4000,28,50301
2015-06-26,113.15568,133.18236,113.15568,123.71161,900,8,11484
2015-06-29,108.51896,108.51896,107.23646,108.51896,1000,8,10987
2015-06-30,105.16473,105.16473,105.16473,105.16473,700,5,7462
