Date,Open,High,Low,Close,Volume,Neg,Fin
2020-08-10,16.7,16.75,15.2,15.58,4983900,8960,78599792
2020-08-11,15.51,15.68,14.35,14.6,1908000,3958,28282987
2020-08-12,14.7,14.99,13.31,13.35,2357000,4494,32438958
2020-08-13,13.41,13.52,12.25,12.25,2032000,2810,25964832
2020-08-14,12.86,13.23,12.75,12.75,1140500,4256,14753965
2020-08-17,12.9,13.37,12.15,12.74,706800,2180,8944197
2020-08-18,12.98,12.98,12.65,12.78,426400,676,5440641
2020-08-19,12.79,12.83,12.3,12.3,407800,1001,5149700
2020-08-20,12.3,12.3,11.8,11.8,737200,1619,8819597
2020-08-21,11.76,12.34,11.7,12.28,861500,1823,10308995
2020-08-24,12.56,12.94,12.56,12.94,203600,605,2603973
2020-08-25,13.0,13.4,12.59,12.59,520600,848,6752890
2020-08-26,12.8,13.12,11.81,12.0,494600,1887,5966590
2020-08-27,12.31,12.31,11.84,11.94,364200,1454,4400201
2020-08-28,11.94,12.3,11.94,12.12,177400,559,2153935
2020-08-31,12.15,12.46,11.95,12.1,197000,820,2401884
2020-09-01,12.1,12.26,12.05,12.18,213500,714,2596085
2020-09-02,12.25,12.45,11.85,11.87,202300,648,2458028
2020-09-03,11.91,12.12,11.87,11.97,126800,498,1519474
2020-09-04,12.01,12.02,11.82,11.88,122800,470,1465705
2020-09-08,11.85,12.0,11.8,11.98,163200,428,1951569
2020-09-09,11.91,12.0,11.79,11.87,147600,497,1753707
2020-09-10,11.97,11.97,11.05,11.83,247500,667,2911064
2020-09-11,11.78,11.8,11.26,11.3,450400,815,5166015
2020-09-14,11.3,11.51,11.16,11.3,559900,1505,6336786
2020-09-15,11.5,11.56,11.12,11.12,192600,881,2157892
2020-09-16,11.16,11.26,10.73,10.78,429400,1301,4682321
2020-09-17,10.79,10.89,10.37,10.65,290300,795,3092590
2020-09-18,10.54,10.89,9.95,10.0,598200,1689,6104701
2020-09-21,10.38,12.02,10.1,11.5,1775800,4364,19082096
2020-09-22,12.03,13.23,12.03,13.1,3185100,6278,40804836
2020-09-23,13.35,14.49,13.3,14.18,3940700,7827,54830951
2020-09-24,13.88,13.99,12.9,12.94,1854400,3831,24741110
2020-09-25,12.9,13.64,12.14,12.88,997600,2523,12865903
2020-09-28,13.25,13.47,12.42,12.51,489600,1487,6366024
2020-09-29,12.65,12.95,11.75,11.86,906100,2005,11016002
2020-09-30,11.91,12.19,11.36,11.36,747300,1406,8707133
2020-10-01,11.44,11.64,10.91,11.5,1226000,2521,13664356
2020-10-02,11.5,11.85,11.18,11.44,382400,895,4395467
2020-10-05,11.58,11.75,11.26,11.4,345000,767,3958913
2020-10-06,11.49,11.69,11.16,11.37,238600,557,2723876
2020-10-07,11.53,11.54,11.0,11.05,287700,648,3216452
2020-10-08,11.06,11.3,11.01,11.14,171100,465,1899828
2020-10-09,11.09,11.35,11.01,11.1,305000,602,3410868
2020-10-13,11.1,11.2,11.0,11.0,272500,700,3014769
2020-10-14,11.01,11.33,10.92,11.15,306200,744,3395158
2020-10-15,11.01,11.88,11.01,11.23,638900,1618,7320604
2020-10-16,11.25,11.48,10.92,10.92,489600,1159,5428352
2020-10-19,10.96,11.15,10.86,10.89,340900,826,3743193
2020-10-20,10.94,11.57,10.94,11.22,644800,1471,7296569
2020-10-21,11.18,11.69,11.18,11.48,320000,835,3668912
2020-10-22,11.53,11.64,11.36,11.4,121500,410,1390389
2020-10-23,11.4,11.55,11.15,11.16,251500,700,2826469
2020-10-26,11.15,11.29,10.89,10.89,184200,512,2032152
2020-10-27,10.94,11.13,10.85,11.01,164300,485,1801700
2020-10-28,10.69,10.69,10.2,10.2,459500,1200,4806134
2020-10-29,10.24,10.48,9.95,10.27,425200,1012,4325179
2020-10-30,10.27,10.4,9.95,9.99,505800,813,5070542
2020-11-03,10.2,10.5,9.75,10.0,447200,837,4449150
2020-11-04,10.09,10.17,9.9,10.17,330400,637,3327366
2020-11-05,10.36,11.3,10.36,10.85,602900,1499,6576437
2020-11-06,10.82,10.95,10.52,10.78,301200,601,3243393
2020-11-09,11.11,11.29,10.66,10.66,367000,634,4006816
2020-11-10,10.7,10.95,10.54,10.56,300100,636,3210679
2020-11-11,10.54,10.64,10.42,10.54,200700,400,2116059
2020-11-12,10.56,10.66,10.33,10.35,193600,393,2022029
2020-11-13,10.37,10.65,10.25,10.28,219200,507,2273982
2020-11-16,10.43,10.9,10.43,10.75,322200,613,3434437
2020-11-17,10.71,10.99,10.65,10.85,235000,666,2540279
2020-11-18,10.9,11.02,10.69,10.78,219000,550,2380865
2020-11-19,10.77,10.96,10.5,10.64,248100,570,2644493
2020-11-20,10.58,10.88,10.57,10.71,92800,336,996233
2020-11-23,10.71,10.95,10.7,10.77,228000,642,2465205
2020-11-24,10.86,10.93,10.6,10.91,298500,581,3228222
2020-11-25,10.91,11.46,10.88,10.98,450700,1052,5006409
2020-11-26,11.1,11.4,10.9,11.3,332000,1193,3728981
2020-11-27,11.42,11.49,11.13,11.28,269100,705,3046824
2020-11-30,11.15,11.44,11.11,11.11,268400,595,3027202
2020-12-01,11.33,11.43,11.0,11.09,306900,691,3439023
2020-12-02,11.1,11.29,10.9,10.95,328100,694,3625609
2020-12-03,11.08,11.71,11.0,11.49,384500,906,4377464
2020-12-04,11.57,11.74,11.29,11.4,206100,553,2374084
2020-12-07,11.46,11.62,11.4,11.5,294100,496,3391198
2020-12-08,11.5,11.59,11.19,11.55,215800,619,2475511
2020-12-09,11.55,11.59,11.21,11.3,207900,516,2361091
2020-12-10,11.3,11.7,10.95,11.43,329800,609,3733508
2020-12-11,11.42,11.51,11.12,11.4,110400,408,1256590
2020-12-14,11.54,11.78,11.27,11.4,254400,620,2932984
2020-12-15,11.36,11.63,11.35,11.49,165300,529,1892395
2020-12-16,11.42,11.59,11.31,11.52,153000,491,1759984
2020-12-17,11.52,11.98,11.41,11.9,289100,742,3373270
2020-12-18,12.12,13.15,12.12,12.69,1142800,2677,14517222
2020-12-21,12.5,12.8,11.8,12.28,693200,1521,8530827
2020-12-22,12.37,12.75,12.2,12.49,356600,649,4466484
2020-12-23,12.51,12.68,12.28,12.4,234200,557,2917762
2020-12-28,12.48,12.65,12.45,12.61,209800,697,2639416
2020-12-29,12.62,12.9,12.6,12.69,221600,808,2807423
2020-12-30,12.69,12.78,12.49,12.78,240000,836,3031723
2021-01-04,13.0,13.2,12.81,13.01,426700,930,5556273
2021-01-05,13.01,13.05,12.51,12.59,237600,653,3027288
2021-01-06,12.59,12.74,12.1,12.17,284200,668,3541060
2021-01-07,12.35,12.5,11.68,11.84,427400,1220,5153287
2021-01-08,11.84,12.5,11.84,12.35,239900,538,2899278
2021-01-11,12.36,12.77,11.95,12.05,568600,1156,7015691
2021-01-12,12.05,12.22,11.63,11.63,858800,1935,10126222
2021-01-13,11.64,12.04,11.64,11.84,312200,682,3703036
2021-01-14,11.98,12.16,11.88,12.0,208100,586,2506453
2021-01-15,12.0,12.25,11.81,12.1,205400,503,2480484
2021-01-18,12.12,12.59,12.12,12.45,331800,836,4130339
2021-01-19,12.47,12.69,12.34,12.43,222300,644,2784288
2021-01-20,12.57,12.63,12.12,12.27,197300,585,2453685
2021-01-21,12.23,12.4,11.92,11.99,203200,663,2459393
2021-01-22,11.81,11.89,11.69,11.71,208300,658,2457670
2021-01-26,11.75,12.21,11.7,11.7,105300,399,1251924
2021-01-27,11.72,11.88,11.35,11.5,213400,683,2472524
2021-01-28,11.52,11.68,11.45,11.68,122200,472,1417923
2021-01-29,11.63,11.73,11.5,11.5,201400,480,2330770
2021-02-01,11.64,11.79,11.56,11.7,142700,392,1669768
2021-02-02,11.82,11.98,11.72,11.83,123500,402,1465022
2021-02-03,11.8,12.0,11.8,11.88,138900,505,1653944
2021-02-04,11.89,12.05,11.71,11.73,135200,411,1604112
2021-02-05,11.74,12.07,11.74,11.91,148400,426,1769220
2021-02-08,11.94,11.94,11.73,11.79,113200,340,1336454
2021-02-09,11.76,11.83,11.6,11.7,105800,345,1239461
2021-02-10,11.7,11.75,11.4,11.5,107300,385,1238952
2021-02-11,11.56,11.7,11.17,11.2,196200,793,2224591
2021-02-12,11.2,11.34,11.05,11.16,130600,681,1458773
2021-02-17,11.27,11.27,10.93,11.0,186700,496,2062560
2021-02-18,10.99,11.13,10.96,10.99,126700,443,1398549
2021-02-19,11.09,11.25,10.55,10.55,385300,1008,4184727
2021-02-22,10.38,10.5,10.03,10.39,359800,1290,3693000
2021-02-23,10.54,10.78,10.42,10.75,170500,631,1808468
2021-02-24,10.77,10.87,10.46,10.78,112000,451,1199917
2021-02-25,10.8,10.87,10.4,10.6,152300,636,1628816
2021-02-26,10.7,10.7,10.07,10.15,216900,727,2223426
2021-03-01,10.15,10.34,10.02,10.02,129100,476,1312275
2021-03-02,10.01,10.32,9.81,10.32,157400,568,1583394
2021-03-03,10.3,10.3,9.9,10.13,152500,683,1524442
2021-03-04,10.22,10.24,10.0,10.18,126200,512,1277646
2021-03-05,10.18,10.27,9.96,10.0,197500,503,1991198
2021-03-08,9.82,10.07,9.78,9.98,299900,827,2962095
2021-03-09,10.0,10.05,9.6,9.68,180100,594,1759488
