Date,Open,High,Low,Close,Volume,Neg,Fin
2021-05-31,13.56,15.0,13.2,13.2,2096500,6581,29003754.0
2021-06-01,13.41,13.75,13.05,13.18,599000,1448,7914135.0
2021-06-02,13.2,13.32,13.04,13.32,319700,720,4221247.0
2021-06-04,13.36,13.57,13.1,13.14,182900,899,2406812.0
2021-06-07,13.16,13.26,13.1,13.15,53100,217,698742.0
2021-06-08,13.15,13.5,13.05,13.1,113500,325,1487000.0
2021-06-09,13.1,13.15,12.66,12.82,70200,260,902040.0
2021-06-10,12.82,12.85,12.65,12.83,53800,186,686123.0
2021-06-11,12.75,12.85,12.66,12.75,46400,158,591459.0
2021-06-14,12.75,12.79,12.62,12.75,43800,141,556852.0
2021-06-15,12.75,12.96,12.73,12.91,40200,172,516083.0
2021-06-16,12.97,13.11,12.95,13.04,63100,209,820865.0
2021-06-17,13.04,13.15,12.67,13.12,50700,159,659917.0
2021-06-18,13.01,13.19,13.0,13.15,35000,160,458335.0
2021-06-21,13.19,13.4,13.15,13.2,81800,500,1077834.0
2021-06-22,13.2,13.6,12.67,13.6,112900,305,1493234.0
2021-06-23,13.6,13.6,13.3,13.5,64400,191,865869.0
2021-06-24,13.58,13.58,13.23,13.26,20800,95,277389.0
2021-06-25,13.24,13.8,13.21,13.8,90200,281,1224474.0
2021-06-28,13.73,13.78,13.38,13.6,82200,283,1114966.0
2021-06-29,13.61,13.77,13.45,13.77,23700,85,323847.0
2021-06-30,13.78,14.12,13.58,13.92,106600,394,1489012.0
2021-07-01,14.3,14.3,13.79,14.16,53800,175,758693.0
2021-07-02,14.14,14.19,13.86,14.0,31000,145,436086.0
2021-07-05,14.11,14.23,13.95,13.95,49800,71,699666.0
2021-07-06,13.95,14.0,13.51,13.95,41900,126,580655.0
2021-07-07,14.19,14.19,13.75,14.0,19900,67,276216.0
2021-07-08,13.61,13.96,13.6,13.81,15700,90,216494.0
2021-07-12,14.3,16.0,14.0,16.0,314900,1338,4710966.0
