Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,28.94128,29.26825,28.49467,28.71,198400,283,7177135
2010-01-05,28.31125,28.5505,28.072,28.31125,235100,278,8350636
2010-01-06,27.9125,28.30328,27.5935,27.5935,159500,223,5579153
2010-01-07,27.753,28.2315,26.07825,26.71625,297300,487,10064804
2010-01-08,26.72422,28.2315,26.72422,28.2315,174300,351,6006721
2010-01-11,28.71797,31.02275,28.2953,28.71,1820400,1117,66433814
2010-01-12,28.25543,28.47075,27.8168,27.83275,1484300,1329,52133523
2010-01-13,27.9125,27.9125,26.72422,27.03525,982200,625,33488973
2010-01-14,27.83275,28.46277,27.10703,28.15175,1369600,861,47859338
2010-01-15,28.391,28.47075,28.072,28.37505,320700,228,11414891
2010-01-18,28.54253,29.65105,28.54253,29.30813,512800,363,18865520
2010-01-19,29.30813,29.30813,28.1996,28.3591,591500,334,21152209
2010-01-20,27.99225,28.71,27.83275,28.71,270500,292,9547970
2010-01-21,28.47075,28.47075,28.02415,28.23948,456800,144,16226231
2010-01-22,28.2315,28.31125,27.98428,28.19162,296900,196,10501741
2010-01-26,28.23948,29.6032,28.17568,28.79773,664200,746,24011683
2010-01-27,28.8695,29.5075,28.81368,29.1885,516100,290,18950029
2010-01-28,29.38787,29.5075,29.1885,29.46763,329600,162,12114349
2010-01-29,29.34003,29.4437,29.20445,29.26825,308200,224,11323486
2010-02-01,29.49953,29.5075,29.3161,29.3799,212700,125,7847363
2010-02-02,29.70687,30.69578,29.667,29.68295,537700,353,20219292
2010-02-03,29.90625,30.28905,29.348,29.73878,845200,535,31673844
2010-02-04,29.74675,29.74675,28.11188,29.02102,472900,924,17100158
2010-02-05,27.92048,28.94128,26.8917,27.434,449800,926,15571430
2010-02-08,27.89655,28.2634,27.19475,27.42603,228300,146,7852831
2010-02-09,27.434,28.2315,27.2745,27.51375,257600,298,8888052
2010-02-10,27.52172,28.15175,27.17083,27.434,339700,569,11719838
2010-02-11,28.06402,29.1247,27.96832,28.63025,62900,82,2251090
2010-02-12,28.71,30.305,28.31125,29.10078,273700,100,9883497
2010-02-17,29.97005,29.97005,28.40695,29.10875,458000,494,16551338
2010-02-18,28.71,29.1885,28.59037,29.029,478000,404,17258305
2010-02-19,28.71,29.8903,28.4867,29.22838,789500,370,28656908
2010-02-22,29.49953,29.5075,28.59835,29.49953,175600,276,6462216
2010-02-23,28.73392,29.58725,28.71,29.14862,158600,438,5772273
2010-02-24,29.14862,29.26825,28.6781,29.10875,87800,151,3191269
2010-02-25,28.68608,29.24432,28.03213,29.24432,462400,373,16757571
2010-02-26,29.10875,29.8903,28.98912,29.38787,127600,247,4695220
2010-03-01,29.81853,29.81853,28.84557,29.13268,297300,387,10866430
2010-03-02,29.49953,29.49953,29.03698,29.19648,91600,106,3351522
2010-03-03,29.22838,29.70687,29.1885,29.5075,237600,139,8767330
2010-03-04,29.73878,29.8265,29.3161,29.81853,125000,45,4627713
2010-03-05,29.86638,30.23322,29.61118,30.13753,118300,173,4438534
2010-03-08,30.2093,32.6975,30.18538,31.25402,255100,327,9811959
2010-03-09,31.33378,32.13925,31.09453,31.4215,271800,300,10681377
2010-03-10,31.66075,31.66075,31.1344,31.22213,109300,81,4290145
2010-03-11,31.22213,31.9,31.22213,31.9,173000,199,6874236
2010-03-12,32.29078,32.29875,31.53315,32.29875,164100,178,6620655
2010-03-15,32.17912,32.29875,31.7405,32.29875,92300,118,3728080
2010-03-16,32.51408,32.51408,31.97178,32.3785,114000,158,4619964
2010-03-17,32.4742,33.25575,32.08342,32.17912,134500,150,5459271
2010-03-18,32.5061,32.5061,31.42948,32.219,249700,331,10057041
2010-03-19,32.51408,33.29562,32.29875,33.13612,289100,352,11865388
2010-03-22,34.2,34.2,32.59,32.7,326800,141,10722529
2010-03-23,32.82,33.25,32.4,32.5,165800,169,5401536
2010-03-24,32.36,33.45,32.2,32.82,244900,143,7976736
2010-03-25,33.56,34.0,33.0,33.15,870900,295,28982752
2010-03-26,33.97,34.45,33.19,34.45,278700,205,9442501
2010-03-29,33.6,34.48,33.5,34.0,285800,276,9689854
2010-03-30,34.0,34.4,33.63,33.85,306600,257,10376795
2010-03-31,33.53,34.44,33.53,34.44,276700,248,9451987
2010-04-01,34.48,35.3,34.29,35.0,252500,242,8750677
2010-04-05,35.1,35.1,34.1,34.3,240900,346,8283348
2010-04-06,34.6,34.68,33.61,34.2,140500,231,4789317
2010-04-07,34.19,35.5,34.0,35.0,311700,355,10827074
2010-04-08,35.0,36.89,34.41,36.4,159700,209,5737335
2010-04-09,36.0,36.2,35.45,36.2,219900,177,7896264
2010-04-12,35.96,37.87,35.79,36.2,242100,101,8726027
2010-04-13,36.79,36.8,35.52,36.39,144300,120,5209771
2010-04-14,36.79,37.99,36.32,37.7,141000,247,5214847
2010-04-15,37.01,38.4,37.0,38.4,129400,221,4894112
2010-04-16,38.5,39.8,37.31,38.49,305500,258,11596067
2010-04-19,37.5,39.5,36.1,37.0,476500,650,17569418
