Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.35306,2.35306,2.35306,2.35306,100,1,3350
2010-01-05,2.17746,2.28282,2.17746,2.28282,900,4,28250
2010-01-06,2.247,2.27931,2.23365,2.27931,1600,4,50983
2010-01-07,2.28984,2.28984,2.2477,2.28984,800,3,25720
2010-01-08,2.247,2.28984,2.247,2.28984,700,4,22454
2010-01-11,2.28212,2.28212,2.28212,2.28212,400,1,12996
2010-01-13,2.26877,2.38818,2.26877,2.38818,3900,12,127731
2010-01-14,2.2484,2.45842,2.2484,2.38818,2400,10,80021
2010-01-18,2.45842,2.45842,2.45842,2.45842,100,1,3500
2010-01-19,2.49354,2.5111,2.49354,2.5111,200,2,7125
2010-01-20,2.52515,2.52515,2.52515,2.52515,100,1,3595
2010-01-21,2.32496,2.38748,2.27931,2.28352,8500,33,280126
2010-01-22,2.31021,2.31091,2.2477,2.30459,1100,8,35790
2010-01-26,2.28984,2.31091,2.27579,2.27579,1100,8,35730
2010-01-27,2.31794,2.31794,2.2196,2.28141,1900,6,61476
2010-01-28,2.31794,2.34604,2.3067,2.3067,1000,4,33224
2010-01-29,2.30389,2.31021,2.30389,2.31021,200,2,6569
2010-02-01,2.30389,2.30389,2.23716,2.30038,1400,7,45657
2010-02-02,2.2477,2.30389,2.2477,2.30249,1100,6,35466
2010-02-03,2.37413,2.37413,2.26947,2.26947,300,2,9842
2010-02-04,2.33199,2.33199,2.33199,2.33199,100,1,3320
2010-02-09,2.30319,2.3355,2.30319,2.3355,1400,3,45956
2010-02-11,2.2477,2.28282,2.21258,2.21258,1400,8,44448
2010-02-12,2.21258,2.27158,2.21258,2.27158,200,2,6384
2010-02-18,2.20555,2.247,2.20345,2.247,2200,9,69684
2010-02-19,2.21258,2.22592,2.18448,2.22592,1000,4,31399
2010-02-23,2.1606,2.20907,2.1599,2.20907,700,4,21650
2010-02-24,2.19783,2.19783,2.14585,2.1908,1200,3,37464
2010-02-25,2.20555,2.20555,2.20555,2.20555,100,1,3140
2010-02-26,2.13531,2.17395,2.12899,2.17395,3400,12,103944
2010-03-01,2.11424,2.11424,2.10019,2.10019,3200,8,95944
2010-03-02,2.14234,2.17043,2.11424,2.14163,4300,10,130998
2010-03-04,2.16341,2.16341,2.16341,2.16341,100,1,3080
2010-03-05,2.12829,2.1599,2.12829,2.1599,1400,4,42645
2010-03-08,2.12829,2.15287,2.11424,2.15287,7100,7,216975
2010-03-09,2.16341,2.31794,2.16341,2.25472,51700,16,1628647
2010-03-11,2.26877,2.30951,2.26877,2.30951,1100,2,36052
2010-03-12,2.30389,2.30389,2.30389,2.30389,400,1,13120
2010-03-15,2.28984,2.28984,2.2477,2.28984,2400,5,77880
2010-03-16,2.24067,2.30389,2.24067,2.30389,2300,6,74369
