Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,11.08204,11.08204,11.08204,11.08204,300000,2,4515
2010-01-05,11.04522,11.04522,11.04522,11.04522,200000,2,3000
2010-01-06,11.04522,11.04522,11.04522,11.04522,700000,2,10500
2010-01-07,10.93477,11.04522,10.41932,11.04522,1200000,4,17783
2010-01-11,11.04522,11.04522,11.04522,11.04522,300000,2,4500
2010-01-12,10.97158,11.04522,10.67705,10.96422,4400000,8,64940
2010-01-13,11.04522,11.04522,10.82432,10.82432,1700000,6,25470
2010-01-14,11.04522,11.04522,11.04522,11.04522,100000,1,1500
2010-01-15,11.33976,11.33976,11.11885,11.11885,2600000,7,40010
2010-01-18,11.03786,11.11885,11.03786,11.11885,200000,2,3009
2010-01-19,11.04522,11.04522,11.04522,11.04522,200000,1,3000
2010-01-21,10.75068,10.75068,10.75068,10.75068,100000,1,1460
2010-01-22,10.67705,10.67705,10.67705,10.67705,1200000,3,17400
2010-01-27,11.04522,11.04522,11.04522,11.04522,1300000,2,19500
2010-01-28,11.04522,11.04522,11.04522,11.04522,1200000,5,18000
2010-01-29,11.04522,11.04522,11.04522,11.04522,1200000,4,18000
2010-02-01,10.97158,11.04522,10.97158,11.04522,700000,4,10480
2010-02-02,11.04522,11.04522,11.04522,11.04522,800000,1,12000
2010-02-03,11.0084,11.0084,10.34569,10.95686,2000000,8,29247
2010-02-04,10.38251,10.38251,10.30887,10.30887,400000,4,5611
2010-02-05,10.67705,10.67705,10.67705,10.67705,100000,1,1450
2010-02-08,10.30887,10.30887,10.30887,10.30887,800000,2,11200
2010-02-10,10.30887,10.30887,10.30887,10.30887,100000,1,1400
2010-02-11,9.64616,10.94949,9.64616,10.94949,1100000,7,15871
2010-02-12,10.30887,10.67705,10.30887,10.67705,1100000,6,15799
2010-02-17,10.30887,10.67705,10.30887,10.67705,300000,3,4300
2010-02-18,10.30887,10.97158,10.30887,10.97158,300000,3,4290
2010-02-22,10.19842,10.19842,10.1616,10.1616,400000,3,5535
2010-02-23,10.66968,10.67705,10.30887,10.30887,900000,6,12799
2010-02-24,10.23524,10.23524,10.23524,10.23524,200000,1,2780
2010-02-25,10.01433,10.01433,9.97752,9.97752,400000,3,5435
2010-02-26,10.30887,10.45614,10.30887,10.45614,200000,2,2820
2010-03-02,10.01433,10.01433,10.01433,10.01433,300000,1,4080
2010-03-03,10.30887,10.67705,10.30887,10.67705,500000,3,7150
2010-03-04,10.67705,10.93477,10.67705,10.93477,600000,5,8735
2010-03-05,10.30887,10.30887,10.30887,10.30887,400000,2,5600
2010-03-08,10.31624,10.31624,10.31624,10.31624,300000,3,4203
2010-03-09,10.3236,10.3236,10.3236,10.3236,400000,1,5608
2010-03-10,10.3236,10.97158,10.30151,10.97158,2500000,5,35100
2010-03-11,10.97158,10.97158,10.52978,10.52978,900000,3,13060
2010-03-15,10.52978,10.52978,10.52978,10.52978,1500000,2,21450
2010-03-17,10.52978,10.52978,10.52978,10.52978,2200000,7,31460
2010-03-18,10.30887,10.30887,10.30887,10.30887,100000,1,1400
2010-03-22,10.30887,10.30887,10.1616,10.1616,800000,3,11160
2010-03-25,10.30887,10.30887,10.08797,10.30887,1200000,6,16640
2010-03-26,10.30887,10.30887,10.30887,10.30887,900000,2,12600
2010-03-29,10.30887,10.30887,10.30887,10.30887,100000,1,1400
2010-03-30,10.30887,10.30887,10.1616,10.1616,400000,4,5580
2010-03-31,10.45614,10.66968,10.1616,10.1616,400000,3,5698
2010-04-01,10.09533,10.09533,10.09533,10.09533,100000,1,1371
2010-04-05,10.08797,10.13951,10.08797,10.13951,200000,2,2747
2010-04-06,10.12479,10.12479,9.97752,9.97752,2000000,4,27280
2010-04-07,9.71979,9.75661,9.57252,9.57252,800000,6,10520
2010-04-08,9.57252,9.57252,9.57252,9.57252,200000,2,2600
2010-04-09,9.27798,9.35162,8.87299,9.35162,5000000,15,61281
2010-04-12,9.05708,9.13072,8.83618,9.13072,2400000,12,29157
2010-04-14,8.58582,9.05708,8.58582,8.83618,700000,5,8426
2010-04-15,8.83618,8.83618,8.47536,8.61527,600000,6,7051
2010-04-16,8.2471,8.2471,8.2471,8.2471,400000,3,4480
2010-04-19,8.83618,8.83618,7.75375,7.75375,2400000,9,26813
2010-04-20,8.2471,8.2471,8.09983,8.09983,1400000,2,15660
2010-04-22,7.95256,7.95992,7.87156,7.87892,2300000,7,24761
2010-04-23,7.87892,7.87892,7.87892,7.87892,100000,1,1070
2010-04-26,7.87892,7.87892,7.87892,7.87892,700000,1,7490
2010-04-27,7.82518,8.03957,7.2739,8.03957,1100000,5,11146
2010-04-28,8.03957,8.03957,8.03957,8.03957,200000,1,2100
2010-04-29,8.00129,8.00129,7.46532,7.46532,1200000,4,12470
2010-04-30,7.58016,8.41475,7.51125,7.66439,2600000,6,25666
2010-05-03,7.66439,7.71033,7.35046,7.71033,1100000,5,10753
2010-05-04,7.42703,7.42703,7.42703,7.42703,200000,1,1940
2010-05-05,7.57251,7.58016,7.57251,7.58016,700000,3,6924
2010-05-06,7.61845,7.61845,6.89106,6.96763,2400000,9,22958
2010-05-07,6.96763,7.34281,6.66136,7.34281,2900000,14,25902
2010-05-10,6.99825,7.64907,6.99825,7.64907,200000,2,1913
2010-05-11,8.03191,8.03957,7.65673,7.65673,1600000,6,16249
2010-05-12,7.12076,7.97832,7.12076,7.97832,200000,2,1972
2010-05-14,7.2739,7.35046,7.2739,7.28155,1100000,5,10471
2010-05-17,7.2203,7.2203,7.2203,7.2203,2000000,1,18860
2010-05-18,7.65673,7.65673,7.1667,7.1667,2200000,9,21092
2010-05-19,7.31984,7.31984,7.19733,7.31984,3900000,4,36964
2010-05-20,7.15905,7.64907,7.15905,7.64907,300000,3,2869
2010-05-21,7.53423,7.53423,7.53423,7.53423,1300000,3,12792
2010-05-24,7.58016,7.58016,7.2739,7.2739,200000,2,1940
2010-05-25,7.2739,7.49594,6.96763,7.49594,2700000,6,25239
2010-05-26,7.49594,9.18042,7.49594,9.13448,5100000,23,53844
2010-05-27,8.80524,9.34121,8.42241,9.11151,4000000,17,45761
2010-05-28,9.11151,9.11151,9.11151,9.11151,100000,1,1190
2010-05-31,9.18042,9.18042,9.18042,9.18042,500000,1,5995
2010-06-01,8.99666,8.99666,8.99666,8.99666,800000,1,9400
2010-06-02,8.42241,8.99666,8.42241,8.88181,1800000,6,20655
2010-06-07,8.29224,8.87415,8.29224,8.87415,300000,3,3325
2010-06-08,8.85118,8.95838,8.85118,8.95838,600000,2,6992
2010-06-09,8.78227,8.78227,8.78227,8.78227,100000,1,1147
2010-06-10,8.42241,8.80524,8.42241,8.80524,900000,6,10237
2010-06-11,8.84353,8.95838,8.84353,8.95838,2700000,7,31350
2010-06-14,9.20339,9.20339,9.18808,9.18808,200000,2,2402
2010-06-15,9.18808,9.41778,9.18808,9.41778,200000,2,2430
2010-06-16,9.30293,9.41778,9.30293,9.41778,700000,6,8595
2010-06-17,9.57092,9.57092,9.57092,9.57092,100000,1,1250
