Date,Open,High,Low,Close,Volume,Neg,Fin
2010-04-01,6.24248,6.36076,6.11106,6.24248,8189900,3773,78088332
2010-04-05,6.24248,6.28848,6.24248,6.24906,3099400,1524,29531841
2010-04-06,6.22277,6.2622,6.17677,6.24248,2591000,543,24551664
2010-04-07,6.24248,6.36076,6.20963,6.25563,2555400,1925,24517051
2010-04-08,6.26877,6.27534,6.23591,6.24248,2793400,548,26549662
2010-04-09,6.28848,6.28848,6.22934,6.24248,1833800,1058,17454518
2010-04-12,6.2622,6.29505,6.22277,6.27534,1812000,600,17255513
2010-04-13,6.27534,6.40676,6.25563,6.40676,1407300,1055,13618200
2010-04-14,6.42647,6.53818,6.31476,6.49875,1847400,776,18148827
2010-04-15,6.34762,6.54475,6.34762,6.4659,766400,1002,7553097
2010-04-16,6.49875,6.49875,6.3739,6.3739,617200,324,6075697
2010-04-19,6.32791,6.47247,6.30819,6.47247,332000,303,3212855
2010-04-20,6.39362,6.50532,6.35419,6.48561,736700,1515,7234440
2010-04-22,6.47247,6.47247,6.3739,6.43962,1146200,841,11222465
2010-04-23,6.47247,6.48561,6.35419,6.42647,473000,322,4632922
2010-04-26,6.42647,6.4659,6.40676,6.43962,694800,829,6819043
2010-04-27,6.40019,6.40676,6.27534,6.27534,706200,297,6824791
2010-04-28,6.28848,6.40676,6.20963,6.27534,934700,843,8892916
2010-04-29,6.30819,6.34762,6.24248,6.24248,260200,293,2480251
2010-04-30,6.23591,6.30819,6.20306,6.30819,1134000,290,10795815
2010-05-03,6.34105,6.53161,6.25563,6.49875,632700,545,6162804
2010-05-04,6.38048,6.69589,6.31476,6.44619,1794300,1554,17686446
2010-05-05,6.43962,6.43962,6.30819,6.3739,878600,693,8531402
2010-05-06,6.43304,6.43304,5.86794,6.36076,1966700,707,18556163
2010-05-07,6.34105,6.34105,5.97964,6.20306,751900,576,7034593
2010-05-10,6.38705,6.4199,6.14392,6.24248,573000,460,5481520
2010-05-11,6.23591,6.2622,5.9205,6.0125,2508800,3000,22888475
2010-05-12,6.09135,6.17677,6.04535,6.17677,1649000,1409,15367954
2010-05-13,6.22934,6.26877,6.15049,6.24248,488700,1251,4625507
2010-05-14,6.22934,6.24248,5.95336,6.11106,813400,883,7505524
2010-05-17,6.19649,6.26877,5.9665,6.02564,391800,234,3601079
2010-05-18,6.13735,6.13735,5.9205,5.97307,533700,551,4907652
2010-05-19,5.91393,6.07164,5.7168,5.88108,833200,175,7348656
2010-05-20,5.85479,5.85479,5.43425,5.57881,1281800,1258,10868114
2010-05-21,5.60509,5.7168,5.46053,5.7168,2098400,353,17718819
2010-05-24,5.88108,5.88108,5.4671,5.58538,1333800,738,11244598
2010-05-25,5.36197,5.51967,5.36197,5.45396,847100,183,7045874
2010-05-26,5.5131,5.78251,5.49996,5.57881,1645200,995,14117704
2010-05-27,5.7168,5.86794,5.59195,5.86794,1472600,675,12782683
2010-05-28,5.88108,6.03878,5.66423,6.03878,423200,344,3780521
2010-05-31,6.06507,6.23591,5.81537,6.23591,323600,613,3004146
2010-06-01,6.09792,6.20306,5.97964,6.14392,477700,1943,4475858
2010-06-02,6.16363,6.20306,6.03221,6.1702,280400,468,2618840
2010-06-04,6.01907,6.18992,5.74966,6.00593,1123200,578,10134178
