Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,14.81905,15.42108,14.74033,15.28215,943200,1782,30940576
2010-01-05,15.46739,15.57853,14.96262,15.0506,796900,1897,25987378
2010-01-06,15.07375,15.26362,14.86073,14.86073,864500,1961,28105323
2010-01-07,14.86073,15.18953,14.58751,15.18953,445500,1257,14419550
2010-01-08,15.01355,15.77766,14.81905,15.36551,724900,2220,24067274
2010-01-11,15.64799,15.64799,15.15248,15.3053,887100,2512,29542015
2010-01-12,15.23584,15.23584,14.79127,15.07375,753700,2243,24398584
2010-01-13,15.09228,15.3794,14.7218,15.37014,1096400,2643,35570760
2010-01-14,15.5137,15.51832,15.02745,15.02745,665000,1673,21942651
2010-01-15,14.7959,14.97651,14.4069,14.42542,611900,1219,19370483
2010-01-18,14.45784,14.53656,14.22629,14.35596,573100,1069,17776772
2010-01-19,14.03179,14.94872,14.03179,14.86073,592000,1230,18631631
2010-01-20,14.86073,15.14322,14.10125,14.29113,1855900,3599,58273198
2010-01-21,14.36522,14.74959,14.22166,14.6616,1608700,3447,50498156
2010-01-22,14.73107,16.80573,14.72643,16.29633,4470000,6137,153931138
2010-01-26,16.04626,16.30096,15.60631,16.05088,2199400,3840,76457037
2010-01-27,16.1574,16.1574,15.3053,15.60631,1627100,3016,54536783
2010-01-28,15.61095,15.67578,15.28215,15.5137,1841300,2979,61229460
2010-01-29,15.53685,16.14814,15.53685,16.06941,2304800,3407,79306377
2010-02-01,15.62278,16.3818,15.50636,15.57621,1558500,3758,52969438
2010-02-02,15.61346,15.82301,15.32476,15.36667,1074200,2359,35894965
2010-02-03,15.36667,15.50636,14.59833,14.59833,1420400,3640,45751412
2010-02-04,14.70543,14.70543,13.71824,13.88122,1662300,3850,50386203
2010-02-05,13.59717,14.03954,13.49472,13.71824,1928000,3868,57081993
2010-02-08,13.78809,13.99298,13.64374,13.76015,870000,2767,25857009
2010-02-09,13.99298,14.17924,13.80672,13.9045,917200,2342,27588477
2010-02-10,13.92779,14.11871,13.83931,14.03489,509400,1579,15308239
2010-02-11,14.08145,14.12336,13.75083,14.03023,538800,1534,16183685
2010-02-12,13.94641,14.04886,13.66702,13.88588,548900,1158,16388618
2010-02-17,14.02092,14.31428,13.97901,14.18856,920000,2386,27986162
2010-02-18,14.13268,14.27237,14.03023,14.27237,423400,1103,12859049
2010-02-19,14.29566,14.34222,13.74152,13.90916,1038400,1853,31236572
2010-02-22,13.90916,13.96038,13.4761,13.64374,935500,2800,27416773
2010-02-23,13.62977,13.67167,13.2293,13.2293,905200,2515,26000500
2010-02-24,13.35037,13.35969,13.00579,13.17808,701100,1633,19837055
2010-02-25,13.00579,13.6903,12.85678,13.56923,604300,1822,17389585
2010-02-26,13.50404,13.6903,13.22465,13.35969,757800,1977,21910922
2010-03-01,13.50404,13.83465,13.50404,13.76481,364200,1123,10753487
2010-03-02,13.78809,14.22581,13.78809,14.08611,1150700,2804,34861506
2010-03-03,14.23046,14.27237,13.59717,13.59717,835800,2822,25117224
2010-03-04,13.71359,13.98367,13.55992,13.98367,616900,2073,18323859
2010-03-05,14.19787,14.29566,14.01626,14.20718,861900,2432,26321325
2010-03-08,14.20253,14.27237,13.99298,14.16061,471000,1619,14303999
2010-03-09,14.10939,14.86841,14.05352,14.66818,1251500,3508,38989799
2010-03-10,14.75666,15.213,14.67284,14.85444,790400,1996,25335595
2010-03-11,14.89635,14.97552,14.59833,14.6449,235300,841,7462386
2010-03-12,14.77062,14.83116,14.37482,14.37482,729800,1321,22860438
2010-03-15,14.31894,14.81719,14.30497,14.68215,561500,1424,17588454
2010-03-16,14.6449,15.13384,14.6449,15.13384,532300,1633,17100962
2010-03-17,15.22231,15.59949,15.16178,15.50171,781000,2353,25750451
2010-03-18,15.59949,15.75782,15.27819,15.59949,758100,1622,25400944
2010-03-19,15.67865,15.71591,15.29682,15.43651,666500,2152,22090826
2010-03-22,15.41789,15.41789,14.94757,15.11055,1493700,2397,48377426
2010-03-23,15.11987,15.27353,14.90101,15.05933,884500,1730,28624417
2010-03-24,14.97086,15.1059,14.87307,14.87307,503500,1755,16206628
2010-03-25,14.90566,15.04071,14.71009,14.71009,541100,1666,17246568
2010-03-26,14.73337,15.02208,14.70543,14.86376,435600,1463,13890170
2010-03-29,14.9988,15.47842,14.95689,15.31544,487600,1524,16079499
2010-03-30,15.38995,15.41789,15.13384,15.1804,669000,1799,21912976
2010-03-31,15.15246,15.25491,14.76131,14.83582,1282900,2796,41226932
2010-04-01,14.94757,15.34338,14.94757,15.16178,460000,1450,15026550
2010-04-05,15.22697,15.25025,14.81254,14.85444,579400,1769,18596811
2010-04-06,14.89635,15.03139,14.80788,14.80788,586800,2073,18765202
2010-04-07,14.8265,14.98483,14.73803,14.77528,620400,1371,19773278
2010-04-08,14.66818,14.97086,14.6449,14.80788,517300,1078,16441791
2010-04-09,14.8917,14.91498,14.69612,14.71475,378900,944,12017085
2010-04-12,14.71475,14.84513,14.42604,14.42604,373700,1281,11763235
2010-04-13,14.48192,14.6449,14.38879,14.38879,407100,1117,12699885
2010-04-14,14.44467,14.56108,14.37016,14.5052,689500,2071,21437323
2010-04-15,14.48658,14.58902,14.24909,14.24909,453900,1370,14037171
2010-04-16,14.28634,14.42604,14.23512,14.38879,303700,1061,9350369
2010-04-19,14.33756,14.66818,14.20718,14.29566,545000,1895,16938518
2010-04-20,14.42604,14.6123,14.24909,14.24909,548400,1384,16931760
2010-04-22,14.20253,14.66818,14.13268,14.53314,655400,1817,20302916
2010-04-23,14.44001,14.76131,14.28634,14.57505,766100,1970,23885371
2010-04-26,14.55177,14.71475,14.27703,14.27703,786000,1937,24389812
2010-04-27,14.21184,14.66818,14.02558,14.02558,911100,2238,27985743
2010-04-28,14.25375,14.42604,14.16527,14.1839,975400,2868,29923491
2010-04-29,14.29566,14.34222,14.22115,14.31894,641000,2206,19664322
2010-04-30,14.29566,14.44932,14.06283,14.06283,676300,1999,20610624
2010-05-03,14.49629,14.49629,13.86023,14.05253,903200,2542,25819887
2010-05-04,13.73697,13.97857,13.54467,13.663,885900,2528,24548097
2010-05-05,13.52988,13.52988,13.10583,13.21924,932600,3037,25145411
2010-05-06,13.30799,13.31293,12.12955,12.86916,2067600,4680,54030490
2010-05-07,12.87409,13.46085,12.72617,13.15021,1205100,3685,32131590
2010-05-10,13.80106,13.87996,13.60877,13.68273,731600,2011,20404999
2010-05-11,13.43619,13.97857,13.43619,13.46085,940700,2533,26207395
2010-05-12,13.51508,13.9194,13.51508,13.67286,612700,1476,17074266
2010-05-13,13.75669,13.7912,13.6137,13.70738,730100,1590,20303065
2010-05-14,13.69752,13.69752,13.16993,13.31293,665200,2034,18035514
2010-05-17,13.31293,13.5496,13.06639,13.31293,775200,1912,20854495
2010-05-18,13.31293,13.41154,12.57332,12.91354,1239000,2867,32757535
2010-05-19,13.01215,13.30799,12.95298,13.04174,832600,2445,22125841
2010-05-20,12.86916,13.10583,12.68672,12.88888,972200,2988,25443779
2010-05-21,13.01708,13.15514,12.51415,12.81985,1367200,2355,35939579
2010-05-24,12.77548,13.04174,12.67193,13.01215,492600,1561,12900677
2010-05-25,12.81985,13.04174,12.69659,12.90861,551000,1905,14423333
2010-05-26,12.90861,13.20445,12.74589,13.00722,799200,2376,21049508
2010-05-27,13.06639,13.29813,13.02695,13.08611,619200,2558,16500925
2010-05-28,12.9727,13.24389,12.65714,12.83465,701100,1766,18498606
2010-05-31,12.92833,13.18966,12.82971,12.92833,492300,1555,13015697
2010-06-01,12.87902,13.36223,12.81985,12.9727,753100,1939,20067628
2010-06-02,13.13542,13.26362,12.91847,13.09104,373700,1283,9903081
2010-06-04,12.85437,13.23403,12.85437,13.01215,893400,2365,23658295
2010-06-07,12.93326,13.26362,12.93326,13.03187,503100,1772,13386533
2010-06-08,13.09104,13.17979,12.82479,12.82479,1057700,3235,27775785
2010-06-09,12.91847,13.03681,12.77548,12.77548,941500,2114,24685676
