Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-17,17.51,17.79,17.17,17.5,6675700,14611,116290350.0
2021-02-18,17.21,17.55,17.2,17.5,1101800,2752,19176742.0
2021-02-19,17.32,17.55,17.01,17.4,1642800,4424,28402258.0
2021-02-22,17.0,17.38,15.99,16.72,1125400,2099,18571656.0
2021-02-23,16.61,16.9,16.3,16.8,306400,838,5084729.0
2021-02-24,16.47,17.48,16.3,17.3,497000,1185,8452213.0
2021-02-25,17.5,17.54,16.85,17.0,815800,1727,14058501.0
2021-02-26,16.82,17.0,16.08,16.4,1260300,2480,20806713.0
2021-03-01,16.4,17.29,16.2,16.55,474200,1339,7929346.0
2021-03-02,16.8,16.8,15.68,16.05,519900,1060,8329314.0
2021-03-03,16.05,16.05,15.15,15.48,518800,2462,8053288.0
2021-03-04,15.36,16.0,15.36,16.0,433200,1725,6777291.0
2021-03-05,15.74,16.17,15.71,16.03,509700,1084,8120268.0
2021-03-08,16.01,16.09,15.15,15.5,693200,1486,10834266.0
2021-03-09,15.41,15.64,14.82,15.0,742100,1013,11167760.0
2021-03-10,14.9,14.9,14.5,14.66,151400,516,2217590.0
2021-03-11,14.67,14.85,14.4,14.85,243200,418,3565766.0
2021-03-12,14.6,15.0,14.5,15.0,278500,1036,4106475.0
2021-03-15,14.99,15.87,14.72,15.0,682900,1953,10391843.0
2021-03-16,15.0,15.39,14.81,14.9,374600,1030,5655353.0
2021-03-17,15.0,15.16,14.43,14.9,691400,884,10278421.0
2021-03-18,14.9,15.01,14.43,14.88,843300,1987,12504260.0
2021-03-19,14.73,15.0,14.7,15.0,89500,212,1336501.0
2021-03-22,14.82,15.6,14.61,15.34,324600,701,4872639.0
2021-03-23,15.4,15.4,14.9,14.9,175000,444,2622740.0
2021-03-24,15.13,15.48,14.95,14.95,198400,298,3005290.0
2021-03-25,15.3,15.72,15.21,15.6,118600,412,1838313.0
2021-03-26,15.6,16.1,15.6,16.05,464000,310,7421803.0
2021-03-29,15.76,16.19,15.43,15.9,655300,523,10238628.0
2021-03-30,15.9,16.64,15.69,16.3,974000,613,15418499.0
2021-03-31,16.28,16.45,15.98,16.0,470400,1036,7610772.0
2021-04-01,16.05,16.4,15.95,16.35,31400,59,510570.0
2021-04-05,16.45,16.51,15.94,16.5,141000,407,2299321.0
