Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,17.3761,18.03954,17.36091,17.95345,769600,1929,27046282
2010-01-05,18.02941,18.02941,17.6901,17.6901,478500,1533,16916445
2010-01-06,17.82684,17.95345,17.59894,17.70022,800,5,27434
2010-01-07,17.72048,17.7458,17.48245,17.72555,200,2,7350
2010-01-08,17.62426,17.72555,17.52297,17.66984,785800,2088,27381218
2010-01-11,17.82684,18.08512,17.61919,18.08006,1209600,3412,42698983
2010-01-12,17.85216,18.22186,17.75593,18.22186,654400,1754,23298116
2010-01-13,18.22693,18.41431,17.90787,18.31808,808400,2757,29125910
2010-01-14,18.38899,18.38899,17.918,18.02941,590700,1551,21156164
2010-01-15,17.90787,18.30796,17.72555,17.918,862000,2397,30727550
2010-01-18,17.87241,18.12564,17.77619,17.77619,500,3,16350
2010-01-19,17.76606,18.02435,17.6749,18.00409,389700,1232,13759616
2010-01-20,17.87241,17.9028,17.26468,17.42168,300,3,10500
2010-01-21,17.42168,17.63438,17.06717,17.26975,690600,2327,23621772
2010-01-22,17.2191,17.68503,17.21404,17.52297,692300,1705,23868676
2010-01-26,17.36597,18.3586,17.25962,18.3586,999200,2583,35244410
2010-01-27,18.28263,18.4295,18.00409,18.23199,995100,2373,35820179
2010-01-28,18.24212,18.31808,17.88254,18.10538,781700,2005,27847710
2010-01-29,18.22693,18.32821,18.01929,18.18134,731100,1839,26277185
2010-02-01,18.3586,18.53586,18.10538,18.53586,554600,1497,20141891
2010-02-02,18.52573,18.68779,18.2877,18.62702,100,1,3621
2010-02-03,18.5865,18.84985,18.26238,18.84985,682200,1901,25173192
2010-02-04,18.66247,18.73337,18.14083,18.47002,100,1,3320
2010-02-05,18.24718,18.48521,17.88254,18.30289,755200,2203,27259889
2010-02-08,18.30289,18.66247,17.8319,18.59157,666500,2380,24049932
2010-02-09,18.57638,19.39175,18.57131,19.14359,656000,1967,24597298
2010-02-10,19.1132,19.38162,18.94101,19.36136,584400,1739,22184208
2010-02-11,19.29046,19.64497,19.15878,19.29046,583100,1733,22334675
2010-02-12,19.16891,19.48291,19.09801,19.34617,386100,2269,14738066
2010-02-17,19.35123,19.89313,19.35123,19.75132,436500,1716,17043260
2010-02-18,19.62471,19.89819,19.40188,19.75132,415100,1517,16112783
