Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,8.43153,8.68676,8.38752,8.68676,3039300,2343,29615049
2010-01-05,8.71317,8.73957,8.44033,8.48434,3021600,3863,29364097
2010-01-06,8.40513,8.51074,8.31711,8.44913,4844000,3141,46359205
2010-01-07,8.43153,8.44033,8.33472,8.33472,1538700,1352,14638888
2010-01-08,8.38752,8.39633,8.2203,8.31711,3528200,1795,33454020
2010-01-11,8.38752,8.39633,8.27311,8.39633,2008900,1822,19040452
2010-01-12,8.36112,8.68676,8.36112,8.67796,4195500,2928,40858046
2010-01-13,8.71317,8.76597,8.49314,8.58995,4619900,3080,45042817
2010-01-14,8.54595,8.62516,8.44913,8.51074,2755800,1909,26745178
2010-01-15,8.45793,8.66036,8.44913,8.58995,2214600,1555,21609977
2010-01-18,8.60755,8.64276,8.44913,8.44913,835300,1082,8123525
2010-01-19,8.40513,8.92439,8.40513,8.86279,4023500,3218,39852069
2010-01-20,8.88919,9.01241,8.64276,8.75717,3498900,2971,35081897
2010-01-21,8.80118,8.9508,8.62516,8.73957,2771700,3042,27526159
2010-01-22,8.67796,8.79238,8.60755,8.71317,1926700,1614,19032938
2010-01-26,8.62516,8.66036,8.36112,8.66036,2369000,2331,23072207
2010-01-27,8.58115,8.65156,8.48434,8.54595,1452600,1729,14118100
2010-01-28,8.54595,8.62516,8.40513,8.57235,1749000,1318,16972611
2010-01-29,8.66036,8.83638,8.66036,8.79238,3313400,2107,32926606
2010-02-01,8.74837,8.80118,8.51954,8.52834,1703900,1485,16653603
2010-02-02,8.55475,8.60755,8.44913,8.49314,3025300,1470,29342784
2010-02-03,8.51954,8.83638,8.44913,8.71317,4107900,1979,40310637
2010-02-04,8.71317,8.74837,8.41393,8.44913,3027300,2583,29364376
2010-02-05,8.2027,8.66036,8.2027,8.31711,3961400,4081,37674809
2010-02-08,8.37873,8.59875,8.2027,8.47554,3177200,1679,30427223
2010-02-09,8.58115,8.66036,8.51074,8.58115,1489600,1356,14550433
2010-02-10,8.56355,8.71317,8.46674,8.68676,1472300,1367,14436885
2010-02-11,8.67796,8.84519,8.56355,8.81878,2702800,1810,26855709
2010-02-12,8.75717,8.84519,8.56355,8.83638,1871100,1383,18641699
2010-02-17,8.90679,8.99481,8.76597,8.81878,2259100,2607,22788473
2010-02-18,8.74837,8.89799,8.70437,8.82758,1312300,1366,13150727
2010-02-19,8.80118,8.84519,8.71317,8.77477,1010800,1862,10091543
2010-02-22,8.80118,8.9332,8.73957,8.85399,1951400,2203,19648124
2010-02-23,8.80118,8.9508,8.72197,8.73957,1365500,1991,13656835
2010-02-24,8.78358,8.86279,8.72197,8.72197,1129400,1335,11265775
2010-02-25,8.59875,8.71317,8.54595,8.59875,1546600,1489,15153631
2010-02-26,8.59875,8.70437,8.58115,8.63396,1238300,1338,12141910
2010-03-01,8.73077,8.82758,8.60755,8.66036,1200000,1284,11917283
2010-03-02,8.66916,8.83638,8.66916,8.79238,1591500,1555,15889776
2010-03-03,8.81878,8.97721,8.77477,8.81878,2190500,2180,22106080
2010-03-04,8.84519,8.9156,8.72197,8.80118,1071800,1105,10727449
2010-03-05,8.9156,8.97721,8.76597,8.79238,1925900,1247,19382887
2010-03-08,8.78358,8.88919,8.75717,8.79238,993600,1326,9941547
2010-03-09,8.77477,9.06522,8.75717,8.9596,2522400,2937,25699285
2010-03-10,9.03001,9.11802,8.9508,9.06522,1894100,1475,19439030
2010-03-11,8.986,9.13563,8.9332,9.13563,914700,1490,9400394
2010-03-12,9.18843,9.18843,8.9508,8.9508,840300,1017,8598388
2010-03-15,8.88039,9.01241,8.88039,8.9332,2606200,957,26457572
2010-03-16,8.86279,9.14443,8.86279,9.09162,988500,1780,10182863
2010-03-17,9.10922,9.14443,9.04761,9.06522,1481100,1991,15315663
2010-03-18,9.05641,9.10922,8.99481,9.10042,1280300,1473,13180175
2010-03-19,9.10922,9.74291,8.97721,9.50527,6378800,4347,69043508
2010-03-22,9.45247,9.56689,9.34685,9.45247,2349000,1999,25355153
2010-03-23,9.46127,9.54928,9.33805,9.54928,1305400,1589,14022179
