Date,Open,High,Low,Close,Volume,Neg,Fin
2011-02-09,11.19034,11.35366,10.94839,10.94839,8001500,8427,146964850
2011-02-10,10.8879,11.51698,10.64595,11.49278,3404100,2875,62837143
2011-02-11,11.49278,11.59561,11.37181,11.49278,1032700,783,19623284
2011-02-14,11.50488,11.55327,11.19639,11.40205,1447400,1333,27456004
2011-02-15,11.37181,11.49278,11.25083,11.49278,525900,368,9944683
2011-02-16,11.49278,11.67425,11.34761,11.67425,1084500,1123,20721553
2011-02-17,11.55327,11.82547,11.49278,11.79523,915600,520,17548531
2011-02-18,11.74683,12.21864,11.6803,12.21864,1785000,1194,35454051
2011-02-21,12.10371,12.99289,12.09767,12.70255,1659700,1496,34605630
2011-02-22,12.85377,13.12597,12.85377,13.12597,2015000,1498,43403119
2011-02-23,13.30743,13.90022,13.15621,13.4768,4014500,2048,89390343
2011-02-24,13.67036,13.67036,12.7086,12.82957,965700,926,20752667
2011-02-25,12.76909,12.99289,12.44245,12.6844,602700,1224,12614676
2011-02-28,12.70255,13.29533,12.70255,13.11992,1033800,383,22183763
2011-03-01,13.28929,13.28929,12.84167,13.24694,1320900,542,28675210
2011-03-02,13.21065,13.45865,13.18646,13.30743,668400,297,14741033
2011-03-03,13.30743,13.45261,12.97475,13.12597,1137800,365,24718571
2011-03-04,13.12597,13.30138,13.00499,13.06548,439400,373,9480580
2011-03-09,13.2409,13.54334,12.89006,13.27719,354600,696,7764738
2011-03-10,13.08967,13.30743,12.70255,13.2167,631800,256,13616509
2011-03-11,13.00499,13.2167,12.74489,12.92031,334400,256,7156656
2011-03-14,12.73884,12.73884,11.89201,12.09767,2234500,877,44863314
2011-03-15,12.02508,12.20655,11.67425,12.15815,244700,386,4870361
2011-03-16,12.27913,12.52109,11.99484,12.39406,132700,177,2666850
2011-03-17,12.56948,12.70255,12.41825,12.70255,147300,95,3063006
2011-03-18,12.84167,13.18041,12.52713,13.00499,605200,420,12879907
2011-03-21,12.9445,13.27719,12.88401,12.99289,496600,314,10686672
2011-03-22,12.9445,13.12597,12.76909,13.01104,436800,976,9300711
2011-03-23,13.14412,13.54939,12.47874,13.45865,414500,415,9069609
2011-03-24,13.60987,14.21476,13.38002,13.69456,825800,973,18772580
2011-03-25,13.84578,14.06354,13.60382,13.82158,742300,485,16928813
2011-03-28,13.82158,14.03934,13.52519,13.60987,833800,358,19025110
2011-03-29,13.75505,13.84578,13.54334,13.67036,398900,332,9036109
2011-03-30,13.73085,14.11798,13.67036,14.05144,415900,458,9584341
2011-03-31,14.11798,14.17847,13.70666,14.03329,521500,573,12056440
2011-04-01,14.09378,14.45671,14.02724,14.45671,551400,350,13091060
2011-04-04,14.21476,15.11603,14.21476,14.48696,508300,570,12207310
2011-04-05,14.7531,14.7894,14.36598,14.39622,415400,828,9986009
2011-04-06,14.37808,14.51115,14.06959,14.45671,241700,763,5706956
2011-04-07,14.45671,14.80754,14.22081,14.63213,142300,563,3445537
2011-04-08,14.69866,14.98901,14.43856,14.93457,434600,411,10606051
2011-04-11,14.96481,15.12208,14.30549,14.5172,656200,1129,15939261
2011-04-12,14.45066,14.63818,13.79134,13.91232,256700,513,5950209
2011-04-13,14.04539,14.09378,13.33768,13.4889,588400,1101,13120688
2011-04-14,13.60382,13.7369,13.15621,13.15621,107800,214,2419235
2011-04-15,13.36187,14.08773,13.1925,14.08773,127900,239,2875021
2011-04-18,13.50704,13.57358,13.15621,13.30743,416000,415,9241076
2011-04-19,13.30743,13.60987,13.15621,13.30743,210100,224,4603135
2011-04-20,13.54939,13.74295,13.04128,13.60987,321700,474,7193919
2011-04-25,13.84578,13.90627,13.501,13.60987,92400,301,2090609
2011-04-26,13.60987,13.73085,13.2167,13.34978,49400,67,1096578
2011-04-27,13.42841,13.51309,12.75699,12.97475,338400,549,7258245
2011-04-28,12.76909,12.99894,12.40011,12.70255,144500,231,3020523
2011-04-29,12.76304,13.00499,12.75094,13.00499,71800,112,1531976
2011-05-02,12.79968,13.0115,12.46078,12.55761,458300,487,9614797
2011-05-03,12.67864,12.89046,12.14003,12.34579,567200,821,11637692
2011-05-04,12.55156,12.55156,12.09161,12.17634,799300,150,16097685
2011-05-05,12.07951,12.33369,11.49853,11.98268,193700,373,3779626
2011-05-06,12.10977,12.64839,12.0432,12.34579,1443900,565,29424688
2011-05-09,12.50919,13.1991,12.50919,13.1991,663600,773,14081654
2011-05-10,13.19305,13.49565,12.77548,13.15674,244900,333,5320089
2011-05-11,13.07202,13.07202,12.64839,12.8602,325800,369,6926780
2011-05-12,12.77548,12.98124,12.43052,12.82994,474700,624,10050232
2011-05-13,13.0115,13.0115,12.43657,12.58787,533500,476,11071722
2011-05-16,12.41236,12.85415,12.41236,12.64839,216000,294,4524645
2011-05-17,12.64233,12.64233,11.80718,12.01899,1188100,2730,23606925
2011-05-18,12.07951,12.08556,11.28672,11.61957,969000,1750,18610741
2011-05-19,11.52879,11.86164,11.3896,11.49853,658200,1265,12632081
2011-05-20,11.61352,11.80113,11.43801,11.74061,405500,373,7830610
2011-05-23,11.66798,11.66798,11.16568,11.31092,503100,1044,9392030
2011-05-24,11.49248,11.49248,11.17173,11.37749,747100,299,13964504
2011-05-25,11.42591,11.43801,10.83283,10.83283,619600,708,11336076
2011-05-26,10.87519,11.13542,10.4092,10.67548,539100,1187,9538628
2011-05-27,10.8873,11.01438,10.66943,10.98413,639300,479,11509996
2011-05-30,11.13542,11.13542,10.89335,11.10516,159900,98,2911572
2011-05-31,11.14147,11.48643,11.13542,11.48643,689800,1036,12911965
2011-06-01,11.31698,11.78902,11.20199,11.48643,450300,724,8626847
2011-06-02,11.46827,11.67404,11.19594,11.37749,454000,523,8550135
2011-06-03,11.34724,11.66193,11.32303,11.49853,283900,220,5387902
2011-06-06,11.67404,11.68009,11.25646,11.34118,170400,163,3194090
2011-06-07,11.553,11.58931,11.29882,11.49853,307200,280,5790011
2011-06-08,11.43801,11.553,11.14147,11.28066,289400,197,5394067
2011-06-09,11.28066,11.49853,11.2141,11.49853,122800,107,2311086
