Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.00527,6.12162,5.97842,6.03928,347800,733,11730310
2010-01-05,6.13772,6.22543,6.02138,6.08582,866000,1213,29524574
2010-01-06,6.08582,6.22901,6.08582,6.17531,564700,1695,19342727
2010-01-07,6.1234,6.22006,6.05002,6.22006,280600,767,9651430
2010-01-08,6.22185,6.30061,6.09477,6.30061,270700,867,9371161
2010-01-11,6.25586,6.41338,6.20216,6.41338,269500,739,9465969
2010-01-12,6.36326,6.63533,6.26123,6.6228,699800,1543,25587215
2010-01-13,6.52435,6.5691,6.4975,6.51719,301300,707,10987087
2010-01-14,6.55836,6.71588,6.48497,6.5691,369400,992,13558811
2010-01-15,6.60311,6.67471,6.51898,6.6049,268300,1024,9879473
2010-01-18,6.54583,6.67829,6.54583,6.59416,287300,252,10633128
2010-01-19,6.57626,6.62101,6.49034,6.5333,236300,609,8640341
2010-01-20,6.4975,6.52793,6.30061,6.4796,287500,1297,10372473
2010-01-21,6.44381,6.53151,6.28987,6.44381,241100,1027,8613476
2010-01-22,6.38116,6.4796,6.31493,6.45275,255700,552,9166904
2010-01-26,6.45275,6.54583,6.36147,6.48855,344500,671,12358944
2010-01-27,6.46171,6.50108,6.35073,6.39011,318000,893,11348507
2010-01-28,6.374,6.43307,6.30061,6.37042,318900,434,11365969
2010-01-29,6.37042,6.44381,6.32209,6.32746,743000,1546,26346418
2010-02-01,6.32746,6.3919,6.30777,6.37221,473600,619,16851962
2010-02-02,6.37221,6.39727,6.23617,6.23617,211800,538,7527006
2010-02-03,6.28629,6.33641,6.25765,6.25944,574000,940,20185084
2010-02-04,6.26302,6.30598,6.19858,6.21648,240600,770,8364389
2010-02-05,6.19142,6.20395,6.01064,6.05002,288700,1218,9824360
2010-02-08,6.08582,6.21469,6.02496,6.21469,209800,1222,7210869
2010-02-09,6.21648,6.2487,6.13772,6.15741,385400,1259,13347601
2010-02-10,6.15204,6.37221,6.1431,6.32925,282600,767,9850280
2010-02-11,6.33283,6.4796,6.29345,6.47781,143700,532,5157977
2010-02-12,6.42949,6.47244,6.38116,6.45275,375600,1078,13523333
2010-02-17,6.46171,6.54046,6.43665,6.46171,188900,518,6830612
2010-02-18,6.46171,6.48318,6.38116,6.46528,321800,939,11558151
2010-02-19,6.40264,6.44202,6.30061,6.30777,83700,312,2974759
2010-02-22,6.34178,6.36505,6.27197,6.36505,234600,699,8274650
2010-02-23,6.31314,6.36505,6.19321,6.26481,270500,918,9525502
2010-02-24,6.26481,6.26481,6.15384,6.24691,178600,376,6187336
2010-02-25,6.17531,6.30956,6.15384,6.30956,174600,384,6095655
2010-02-26,6.30956,6.30956,6.17889,6.30956,363600,1084,12745120
2010-03-01,6.30956,6.36505,6.27197,6.31851,263100,605,9275749
2010-03-02,6.37221,6.44381,6.32209,6.35252,332900,975,11872905
2010-03-03,6.36863,6.43128,6.24154,6.30956,282400,1115,9952466
2010-03-04,6.30956,6.40622,6.2487,6.26481,245400,885,8638651
2010-03-05,6.30956,6.3561,6.24154,6.24154,136800,599,4795700
2010-03-08,6.26481,6.29882,6.22543,6.24691,63900,344,2232666
2010-03-09,6.22901,6.26481,6.21111,6.26481,159300,604,5558321
2010-03-10,6.27376,6.30956,6.20216,6.30956,252700,682,8853412
2010-03-11,6.26481,6.29345,6.18605,6.20037,223800,502,7799056
2010-03-12,6.24512,6.26481,6.18068,6.19321,156200,633,5435327
2010-03-15,6.18068,6.25049,6.16636,6.17531,186800,353,6464212
2010-03-16,6.17889,6.23438,6.17531,6.2129,86900,282,3009744
2010-03-17,6.21827,6.23975,6.20216,6.22901,253400,223,8795574
2010-03-18,6.22901,6.22901,6.15384,6.22901,81000,286,2808132
2010-03-19,6.22901,6.24512,6.17531,6.22901,120100,342,4166193
2010-03-22,6.18963,6.25049,6.08224,6.24691,401500,748,13830472
2010-03-23,6.27913,6.27913,6.1592,6.1771,214800,427,7418628
2010-03-24,6.16636,6.20216,6.13236,6.18426,129900,463,4486128
2010-03-25,6.14131,6.23796,6.14131,6.23796,293100,849,10131722
2010-03-26,6.23796,6.26481,6.17889,6.26481,148100,563,5150733
2010-03-29,6.22185,6.26481,6.1771,6.22901,99400,575,3457843
2010-03-30,6.195,6.20216,6.10014,6.13056,350800,882,12010128
2010-03-31,6.11446,6.195,6.09298,6.12162,202300,853,6935728
2010-04-01,6.17889,6.21111,6.13951,6.18426,73200,383,2529773
2010-04-05,6.17531,6.22364,6.1592,6.17531,225100,1099,7774355
2010-04-06,6.15384,6.21111,6.13236,6.18426,282400,694,9717379
2010-04-07,6.18605,6.20037,6.09656,6.11267,770700,862,26481003
2010-04-08,6.13056,6.13772,6.08045,6.10014,859700,1120,29344306
2010-04-09,6.1252,6.14488,6.00348,6.12162,581100,1196,19840320
2010-04-12,6.05738,6.18424,6.03276,6.09714,573700,1171,18513593
2010-04-13,6.0782,6.09525,5.94755,5.94945,405700,1114,12837815
2010-04-14,6.00246,6.03087,5.94187,5.9627,419800,1056,13246329
2010-04-15,5.98732,6.00625,5.91347,5.9911,435500,620,13725443
2010-04-16,5.98163,6.01193,5.92672,5.96459,364900,629,11496870
2010-04-19,5.92862,6.01004,5.91347,6.00246,658800,898,20813241
2010-04-20,6.03087,6.03087,5.94945,5.993,282200,763,8914432
2010-04-22,5.92862,6.03465,5.87938,6.02329,425600,1451,13461730
2010-04-23,6.01951,6.17099,5.98921,6.17099,423000,584,13495460
2010-04-26,6.15395,6.15584,6.08388,6.15205,151200,569,4894897
2010-04-27,6.14448,6.16909,6.05359,6.15395,547900,827,17785607
2010-04-28,6.12554,6.13879,6.05548,6.05927,492600,321,15837126
2010-04-29,6.10093,6.13312,6.08388,6.11607,157800,215,5094669
2010-04-30,6.11229,6.32626,6.00814,6.31489,637200,715,20825968
2010-05-03,6.17288,6.3433,6.12933,6.32436,124300,696,4089936
2010-05-04,6.20128,6.29596,6.15395,6.2827,209100,945,6878674
2010-05-05,6.21265,6.47585,6.06306,6.47585,541400,1816,18135157
2010-05-06,6.43608,6.43608,6.09335,6.33004,466600,1369,15353196
2010-05-07,6.28649,6.4001,6.19371,6.28649,645000,860,21373124
2010-05-10,6.45691,6.4607,6.26945,6.41715,292900,1210,9798464
2010-05-11,6.3433,6.35277,6.2562,6.30543,224500,680,7477757
2010-05-12,6.32247,6.32247,6.22022,6.26756,327500,917,10847815
2010-05-13,6.30543,6.30543,6.13501,6.24673,290700,1264,9507676
2010-05-14,6.22401,6.2259,6.04601,6.20507,295900,951,9573778
2010-05-17,6.17856,6.22969,6.08767,6.22401,288800,1004,9391216
2010-05-18,6.22401,6.2259,6.1369,6.19182,225200,1175,7357581
2010-05-19,6.06684,6.17288,5.99489,6.17288,428200,1012,13701170
2010-05-20,6.06874,6.16909,5.93619,6.14448,397500,1270,12800044
2010-05-21,6.0782,6.17099,6.02329,6.10661,274000,762,8843765
2010-05-24,6.13501,6.14827,6.06306,6.10661,278000,854,8942791
2010-05-25,5.96459,6.12933,5.96459,6.05927,355900,862,11345447
2010-05-26,6.0801,6.32436,5.97217,6.32436,644700,1382,21143137
2010-05-27,6.3433,6.34519,6.20318,6.25809,581000,1261,19325657
2010-05-28,6.26756,6.30543,6.10661,6.15395,195100,401,6327204
2010-05-31,6.19182,6.32436,6.10661,6.32436,136600,387,4506760
2010-06-01,6.1369,6.27134,6.0782,6.10661,359000,1305,11626573
2010-06-02,6.13501,6.22969,6.10661,6.21833,155400,433,5059417
2010-06-04,6.16909,6.24673,6.11229,6.17667,329200,1391,10733639
2010-06-07,6.22022,6.32247,6.18235,6.18235,238800,838,7882108
2010-06-08,6.23158,6.38874,6.20318,6.29596,300300,728,10048014
2010-06-09,6.36981,6.38117,6.19182,6.2846,245000,1083,8120726
2010-06-10,6.32436,6.33194,6.18235,6.27703,328900,1103,10836944
2010-06-11,6.28649,6.29975,6.18992,6.27703,190300,575,6273522
2010-06-14,6.25998,6.43419,6.24105,6.3433,278500,717,9288772
2010-06-15,6.38874,6.42661,6.29407,6.42661,129100,456,4322960
2010-06-16,6.32436,6.45691,6.30353,6.4001,190900,573,6451680
2010-06-17,6.42661,6.48531,6.4001,6.43797,313400,1263,10646392
2010-06-18,6.48342,6.53076,6.42661,6.51372,209200,502,7164563
2010-06-21,6.52697,6.57052,6.43608,6.55158,171700,477,5938797
2010-06-22,6.40578,6.6633,6.23915,6.63679,296500,1165,10330803
2010-06-23,6.59514,6.69739,6.5478,6.69739,343900,1198,12061578
2010-06-24,6.6652,6.70685,6.54212,6.64815,345300,1359,12095220
2010-06-25,6.68034,6.78827,6.59514,6.78827,256100,1004,9080272
2010-06-28,6.79017,6.94923,6.69549,6.94923,97900,388,3512480
2010-06-29,6.82993,6.84508,6.71821,6.77881,299800,1195,10723074
2010-06-30,6.69549,6.82425,6.66709,6.77881,623500,811,22266670
2010-07-01,6.722,6.85266,6.64058,6.85266,275300,1134,9822375
2010-07-02,6.90946,6.90946,6.75041,6.85455,224300,965,8103391
2010-07-05,6.83372,6.83561,6.70117,6.83561,135900,674,4845812
2010-07-06,6.85266,6.93976,6.82236,6.91135,486400,669,17732066
2010-07-07,6.96816,6.97384,6.86023,6.95869,299500,707,10939353
2010-07-08,6.93408,6.96816,6.79774,6.87348,263300,671,9523096
2010-07-12,6.82236,6.96816,6.72389,6.85266,273100,1153,9871290
2010-07-13,6.77881,6.92082,6.77881,6.92082,194700,404,7055617
2010-07-14,6.85455,6.88863,6.60839,6.60839,379200,942,13488252
2010-07-15,6.57999,6.68981,6.57999,6.65194,260000,856,9130044
2010-07-16,6.65005,6.71253,6.53265,6.54212,230800,712,8041985
