Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,74.40874,75.75924,74.27699,75.75924,302400,658,6885093
2010-01-05,76.08864,76.08864,73.2559,74.7052,289400,529,6547815
2010-01-06,74.7052,75.72631,74.07936,75.59455,304100,535,6950716
2010-01-07,74.96872,78.55904,74.34287,78.39436,488000,1075,11453921
2010-01-08,79.02018,79.31664,77.37325,79.25076,447700,798,10703567
2010-01-11,79.05312,80.23893,78.39436,78.78961,246600,764,5917267
2010-01-12,78.22965,80.1401,76.9121,80.1401,441300,1307,10592466
2010-01-13,80.63419,81.42471,79.21782,80.04128,269900,577,6605950
2010-01-14,79.58014,80.63419,77.86732,78.09789,183400,789,4395095
2010-01-15,77.7685,78.72374,77.43913,78.72374,163000,443,3874530
2010-01-18,78.09789,78.62492,77.60382,78.22965,133700,366,3165689
2010-01-19,77.47205,77.47205,75.82513,76.74742,483200,712,11313483
2010-01-20,76.41803,78.06496,75.16634,75.75924,444000,935,10258179
2010-01-21,77.3403,77.90027,73.48647,73.48647,496000,1516,11398609
2010-01-22,72.26773,75.69336,71.97128,73.61823,361500,480,8050791
2010-01-26,73.48647,76.41803,72.13598,76.41803,345000,264,7807059
2010-01-27,76.58272,77.47205,74.77108,76.74742,503900,415,11708622
2010-01-28,76.9121,77.40617,75.75924,75.95687,196300,290,4554437
2010-01-29,77.27443,77.40617,72.89356,75.92393,191000,424,4368982
2010-02-01,77.01092,77.24149,74.01348,77.01092,133300,293,3075229
2010-02-02,77.30737,78.88844,76.18745,78.59199,585700,409,13804408
2010-02-03,78.65787,81.49059,77.9332,80.70007,993000,1162,24303114
2010-02-04,80.53537,80.53537,74.44169,80.04128,1048500,742,25037147
2010-02-05,78.03202,81.02944,75.98982,81.02944,631200,848,15205390
2010-02-08,81.3259,83.49987,80.70007,81.68822,669000,864,16669422
2010-02-09,82.5117,83.00578,81.72115,82.01762,374900,1060,9378486
2010-02-10,82.64345,82.64345,80.37067,81.68822,133900,338,3304439
2010-02-11,81.68822,82.05055,80.73301,82.05055,215800,595,5328342
2010-02-12,81.19414,81.78705,79.64602,80.86475,58800,146,1441466
2010-02-17,80.70007,82.34701,77.63676,80.70007,279100,484,6770839
2010-02-18,81.35884,84.48803,79.119,84.29039,635700,1630,15998822
2010-02-19,84.32333,85.34444,83.33516,84.81741,409200,601,10515235
2010-02-22,84.94917,88.77008,84.94917,88.11129,1304400,2241,34648823
2010-02-23,88.24304,88.24304,85.08092,87.28783,773200,622,20426881
2010-02-24,86.79375,87.9466,83.79632,87.58428,140000,168,3691323
2010-02-25,86.62904,87.05724,84.58685,86.13497,432800,324,11319415
2010-02-26,86.29967,88.93477,84.9821,88.77008,493700,441,13095325
2010-03-01,88.77008,91.20754,88.40775,89.75823,304400,623,8258986
2010-03-02,90.51583,91.56986,88.60537,88.90182,622400,665,16923154
2010-03-03,88.93477,89.29709,86.79375,88.11129,213200,576,5705936
2010-03-04,88.24304,88.60537,85.1468,85.1468,215900,373,5622031
2010-03-05,87.22195,87.22195,84.32333,86.00321,442900,460,11498508
2010-03-08,86.03616,87.25489,84.55389,86.56317,213200,403,5579444
2010-03-09,85.97027,88.60537,85.31149,87.61721,670800,564,17649823
2010-03-10,87.61721,89.62647,87.58428,88.93477,513800,1208,13842442
2010-03-11,87.9466,89.59354,87.9466,88.90182,311000,248,8408395
2010-03-12,88.90182,88.93477,85.31149,85.64089,372700,462,9762770
2010-03-15,85.41032,85.41032,81.91881,83.33516,503900,519,12666962
2010-03-16,84.9821,85.64089,82.31406,83.99394,1762400,1599,44909807
2010-03-17,83.99394,84.94917,80.60125,80.60125,785600,1242,19592018
2010-03-18,81.22709,81.88586,77.99908,80.27187,1057900,1823,25417711
2010-03-19,80.76594,81.88586,78.22965,79.41544,688000,761,16557238
2010-03-22,78.72374,80.93063,78.46023,80.8977,456200,1015,11094476
2010-03-23,81.52354,81.52354,80.20599,80.63419,149000,452,3645726
2010-03-24,80.23893,80.96358,79.05312,80.04128,135200,303,3284317
2010-03-25,80.53537,80.70007,79.05312,80.33773,539200,581,13118781
2010-03-26,80.17304,80.17304,78.75668,79.87659,118700,224,2859866
2010-03-29,80.07422,80.07422,78.5261,78.72374,178200,289,4266665
2010-03-30,78.78961,79.05312,77.57088,78.55904,491500,391,11704362
2010-03-31,78.72374,78.72374,77.60382,78.39436,375600,275,8908308
2010-04-01,78.92136,79.02018,75.75924,76.41803,447400,621,10425414
2010-04-05,76.74742,76.78035,73.84879,74.21112,502300,634,11434975
2010-04-06,74.5405,75.75924,72.69593,72.95944,390000,672,8777125
2010-04-07,73.58528,75.66043,73.05826,75.66043,423800,967,9640631
2010-04-08,75.23222,77.30737,74.57344,75.75924,461100,886,10672679
2010-04-09,76.87917,77.37325,73.98055,74.40874,353200,586,8044413
2010-04-12,74.80401,75.62749,74.11231,74.11231,142600,284,3241433
2010-04-13,74.44169,76.48389,73.05826,75.42985,325200,734,7390141
2010-04-14,76.08864,78.22965,76.05569,78.1967,712900,1403,16784781
2010-04-15,78.42728,79.38251,75.98982,77.6697,493600,1210,11745896
2010-04-16,77.07679,77.3403,75.23222,76.58272,288500,844,6652200
2010-04-19,76.05569,76.05569,73.78291,74.11231,365800,1200,8266500
2010-04-20,74.73814,75.75924,73.88174,74.11231,243900,686,5497367
2010-04-22,73.81585,74.77108,72.8277,73.35471,269100,714,6025978
2010-04-23,73.81585,75.42985,72.79475,72.99239,367200,725,8154642
2010-04-26,73.15707,74.04642,72.13598,72.79475,337200,940,7436772
2010-04-27,71.9054,74.07936,71.24663,72.46536,456800,1262,10071880
2010-04-28,72.46536,73.22295,69.56675,70.15964,649200,835,13939047
2010-04-29,70.78548,71.34544,68.18332,69.00679,868900,1116,18337666
2010-04-30,69.13854,71.44427,68.61152,70.78548,3549000,1011,75556421
2010-05-03,71.60896,72.89356,69.56675,72.86063,818700,781,17764594
2010-05-04,72.76182,75.10046,71.14781,73.94761,1674500,2439,37417759
2010-05-05,73.32178,75.75924,72.46536,74.60639,1003600,1501,22643145
2010-05-06,74.5405,75.06754,69.17149,73.12413,667000,733,14758708
2010-05-07,73.12413,73.12413,69.17149,69.66556,468300,479,10013120
2010-05-10,74.11231,74.14524,70.22552,72.49829,614800,928,13377197
2010-05-11,71.64189,72.39948,69.20442,70.81843,526200,1065,11341282
2010-05-12,72.03716,72.30067,70.15964,72.30067,169400,286,3668129
2010-05-13,72.46536,72.76182,69.23737,70.58785,703100,942,15010752
2010-05-14,69.56675,69.56675,66.66813,68.71034,330400,589,6846310
2010-05-17,68.71034,68.84209,65.48233,68.84209,410600,435,8376089
2010-05-18,70.15964,71.21368,66.50344,67.52454,218600,308,4513286
2010-05-19,66.00937,67.82099,61.76025,63.07781,1020800,756,19843517
2010-05-20,61.26617,61.26617,57.37939,59.28984,2210500,1074,39791231
2010-05-21,59.28984,60.24507,57.47821,58.76283,642100,821,11488036
2010-05-24,59.19102,59.8498,57.67584,58.63106,467800,589,8430510
2010-05-25,57.64291,58.96045,55.99596,58.96045,451100,642,7841509
2010-05-26,59.28984,64.23066,59.28984,64.23066,939800,853,17838491
2010-05-27,65.8776,68.34802,64.92237,68.34802,597100,686,12026030
2010-05-28,67.55749,68.54564,66.4705,68.01862,301600,192,6225593
2010-05-31,67.85393,69.83025,67.19515,69.83025,166200,164,3492703
2010-06-01,68.21625,69.66556,66.23994,66.70107,403700,462,8298676
2010-06-02,67.52454,68.05156,66.43757,67.52454,202300,509,4112462
2010-06-04,67.52454,71.70777,66.73401,69.33617,407500,825,8588810
2010-06-07,71.3784,71.4772,68.71034,68.71034,447200,643,9472196
2010-06-08,70.09377,70.7196,68.5127,69.17149,408300,731,8628379
2010-06-09,70.32434,70.32434,68.01862,68.5127,496000,884,10384588
2010-06-10,69.83025,70.81843,68.84209,69.79733,341600,776,7257659
2010-06-11,68.84209,70.06083,68.84209,69.33617,320300,674,6759023
2010-06-14,70.12671,71.18075,69.33617,70.65374,374100,950,7949215
2010-06-15,71.3784,73.12413,70.48904,73.12413,693800,721,15046127
2010-06-16,72.86063,73.38766,71.41132,72.30067,396200,956,8688472
2010-06-17,72.13598,73.15707,70.65374,71.3125,323900,904,7017552
2010-06-18,72.23479,72.23479,70.95017,71.14781,204700,510,4439951
2010-06-21,71.14781,72.26773,71.14781,71.80659,125800,295,2747090
2010-06-22,71.80659,73.61823,70.95017,72.46536,496300,493,10823851
2010-06-23,72.43242,73.45352,71.08194,71.4772,400000,573,8719569
2010-06-24,71.4772,72.49829,70.09377,70.48904,148500,391,3189529
2010-06-25,69.86319,71.74071,69.36911,70.48904,196400,312,4211185
2010-06-28,71.08194,71.87247,69.50087,69.50087,245100,378,5241904
2010-06-29,68.84209,68.84209,65.21883,66.53638,249200,569,5044727
2010-06-30,68.44683,68.44683,64.49418,64.88945,401600,445,7996794
2010-07-01,65.05414,66.3058,62.91312,65.38351,242900,374,4736925
2010-07-02,66.70107,67.19515,64.72475,66.37169,446300,911,8924648
2010-07-05,66.37169,66.86577,64.98826,66.37169,525300,374,10519615
2010-07-06,67.52454,67.72218,66.37169,66.93164,321500,667,6541867
2010-07-07,67.98569,69.33617,67.03046,69.33617,166200,459,3461611
2010-07-08,70.58785,70.58785,67.32691,69.66556,94900,265,1988355
2010-07-12,70.32434,70.32434,67.0634,69.10561,181600,391,3789659
2010-07-13,69.40205,69.40205,67.75511,68.34802,112600,263,2333331
2010-07-14,68.94091,69.6985,67.72218,69.43499,176200,509,3687719
2010-07-15,68.47977,69.50087,66.76695,69.50087,359300,696,7409357
2010-07-16,69.30324,69.33617,67.19515,67.19515,234100,336,4807524
2010-07-19,68.90797,68.90797,64.56006,65.54821,311700,660,6240294
2010-07-20,65.54821,65.54821,63.53895,63.86833,469000,811,9145583
2010-07-21,64.29655,66.50344,62.02375,65.8776,1389300,1464,27037281
2010-07-22,66.4705,69.10561,65.54821,67.98569,1003000,533,20481299
2010-07-23,67.95274,69.03973,67.16222,69.00679,520500,267,10838906
