Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,1.73172,1.7911,1.72783,1.72783,668500,516,12074048
2010-01-05,1.75606,1.76092,1.70447,1.74146,702300,463,12566289
2010-01-06,1.75216,1.75216,1.71907,1.72296,427300,238,7585603
2010-01-07,1.72783,1.72783,1.70349,1.70349,164800,384,2897222
2010-01-08,1.71225,1.7327,1.69376,1.7288,513100,177,8972098
2010-01-11,1.74146,1.74146,1.71323,1.72491,276200,110,4906271
2010-01-12,1.72783,1.7327,1.69279,1.7142,312700,105,5460002
2010-01-13,1.72783,1.72783,1.69181,1.69181,212200,152,3708154
2010-01-14,1.69181,1.6996,1.64509,1.64509,236600,240,4067921
2010-01-15,1.64898,1.67332,1.62075,1.63243,331100,203,5614077
2010-01-18,1.64509,1.65482,1.63535,1.64119,255300,179,4317746
2010-01-19,1.65385,1.65482,1.64022,1.64898,593800,239,10054247
2010-01-20,1.65385,1.65385,1.60031,1.63535,678400,359,11364767
2010-01-21,1.62562,1.64411,1.57695,1.60615,960400,148,15936620
2010-01-22,1.61102,1.62659,1.59642,1.61588,886300,207,14620690
2010-01-26,1.5896,1.6704,1.5896,1.62562,363700,208,6072848
2010-01-27,1.65482,1.65482,1.61199,1.65482,63400,138,1064740
2010-01-28,1.66456,1.67429,1.6042,1.62465,291600,193,4866225
2010-01-29,1.63535,1.65482,1.62562,1.65482,718800,191,12183472
2010-02-01,1.66456,1.67916,1.64217,1.66456,486700,167,8284552
2010-02-02,1.67429,1.68402,1.66553,1.68402,202100,194,3479939
2010-02-03,1.68402,1.69084,1.66553,1.68402,97800,265,1688471
2010-02-04,1.69571,1.69571,1.64022,1.66358,93900,121,1598960
2010-02-05,1.64606,1.65872,1.63535,1.64995,216100,163,3664245
2010-02-08,1.65969,1.67429,1.64995,1.6704,24600,71,420699
2010-02-09,1.66942,1.69279,1.66942,1.6704,186000,232,3223756
2010-02-10,1.69279,1.69279,1.6811,1.68889,211700,127,3663849
2010-02-11,1.68889,1.69571,1.67332,1.69571,108100,75,1872585
2010-02-12,1.67429,1.69376,1.67429,1.69376,61300,172,1064333
2010-02-17,1.70349,1.71225,1.67429,1.69376,243500,126,4238074
2010-02-18,1.70057,1.70836,1.69279,1.70836,233600,125,4075211
2010-02-19,1.69571,1.70836,1.69279,1.70252,14800,50,258900
2010-02-22,1.71323,1.71323,1.69376,1.69863,237700,81,4151734
2010-02-23,1.70349,1.70349,1.67916,1.69376,255400,138,4443083
2010-02-24,1.69376,1.71809,1.685,1.69181,191600,171,3342744
2010-02-25,1.685,1.70349,1.67429,1.69376,140400,109,2435355
2010-02-26,1.70349,1.71225,1.69571,1.71031,69000,60,1210600
2010-03-01,1.70349,1.72296,1.70349,1.72296,96100,218,1693381
2010-03-02,1.7288,1.72978,1.71809,1.72296,69400,114,1227904
2010-03-03,1.7327,1.7327,1.69376,1.72101,65200,98,1142665
2010-03-04,1.72685,1.72685,1.69668,1.70349,46800,244,820478
2010-03-05,1.72685,1.72685,1.70252,1.70349,41700,75,733461
2010-03-08,1.70349,1.70349,1.6811,1.68402,136500,105,2364413
2010-03-09,1.68597,1.69181,1.67624,1.68402,178300,185,3088426
2010-03-10,1.68889,1.68889,1.66456,1.66942,80200,133,1379087
2010-03-11,1.67332,1.67332,1.65774,1.66942,175300,413,2998212
2010-03-12,1.67429,1.67429,1.63535,1.64022,1150000,193,19392402
2010-03-15,1.64509,1.64509,1.63049,1.63535,323900,97,5451433
2010-03-16,1.66942,1.66942,1.6373,1.64411,65900,115,1113543
2010-03-17,1.65482,1.65482,1.63925,1.64509,71900,145,1216362
2010-03-18,1.65385,1.65385,1.63049,1.63535,53400,149,898227
2010-03-19,1.65482,1.65482,1.6227,1.6227,346400,132,5802892
2010-03-22,1.62562,1.62562,1.60712,1.61588,164900,203,2738688
2010-03-23,1.6519,1.6519,1.61978,1.63049,140600,172,2352700
2010-03-24,1.64411,1.64509,1.62173,1.62562,191200,245,3204038
2010-03-25,1.64509,1.64995,1.62173,1.63146,546600,225,9160909
2010-03-26,1.64411,1.64411,1.61978,1.62465,225500,146,3769097
2010-03-29,1.60615,1.61004,1.53801,1.54288,614600,832,9862798
2010-03-30,1.54969,1.55651,1.53801,1.53996,293100,394,4654993
2010-03-31,1.53898,1.54288,1.50978,1.52244,361200,151,5645137
2010-04-01,1.51854,1.53314,1.50199,1.50881,189900,143,2946869
2010-04-05,1.50978,1.52244,1.49518,1.49907,149200,258,2302388
2010-04-06,1.50881,1.50881,1.46014,1.48739,731900,499,11115829
2010-04-07,1.46987,1.47376,1.45624,1.46111,1166700,613,17506777
2010-04-08,1.46014,1.51757,1.46014,1.51562,204000,275,3149736
2010-04-09,1.51562,1.51562,1.49421,1.50394,468200,153,7211994
2010-04-12,1.49421,1.50102,1.48447,1.50005,226900,211,3472593
2010-04-13,1.50394,1.50394,1.48642,1.50199,180600,142,2765136
2010-04-14,1.50881,1.52341,1.48934,1.52341,173200,368,2662239
2010-04-15,1.5273,1.53801,1.5166,1.53801,35500,58,557901
2010-04-16,1.52828,1.53606,1.50881,1.5312,23000,79,360788
2010-04-19,1.51854,1.53509,1.48934,1.52828,134400,119,2102417
2010-04-20,1.53606,1.53704,1.49031,1.49907,141600,119,2196004
2010-04-22,1.5127,1.52341,1.47961,1.52341,220300,280,3376486
2010-04-23,1.52341,1.53801,1.49713,1.53509,57800,132,909855
2010-04-26,1.52828,1.58376,1.52828,1.58376,285900,153,4522514
2010-04-27,1.57889,1.58181,1.55261,1.55261,1002900,411,16086638
2010-04-28,1.54774,1.54774,1.51757,1.53217,531200,161,8408684
2010-04-29,1.50102,1.55748,1.49907,1.54288,94000,175,1490458
2010-04-30,1.56279,1.56279,1.50288,1.5578,764700,206,11635617
2010-05-03,1.5568,1.59774,1.55281,1.57777,40700,64,639433
2010-05-04,1.58476,1.58476,1.52784,1.56778,75500,80,1170434
2010-05-05,1.57178,1.57178,1.53783,1.5558,72300,205,1124545
2010-05-06,1.52385,1.56679,1.47891,1.52185,92600,191,1413319
2010-05-07,1.51985,1.54582,1.49289,1.50787,148100,131,2224234
2010-05-10,1.57278,1.57278,1.49489,1.53283,50900,154,775586
2010-05-11,1.53283,1.53283,1.4879,1.50288,249100,623,3755234
2010-05-12,1.50787,1.52185,1.49589,1.51286,54500,170,821341
2010-05-13,1.52784,1.52784,1.4879,1.49788,83200,71,1246397
2010-05-14,1.51686,1.51686,1.4879,1.49389,194900,78,2921256
2010-05-17,1.49389,1.50587,1.47292,1.47791,579300,108,8569930
2010-05-18,1.49489,1.49589,1.43098,1.44795,203400,136,2959071
2010-05-19,1.42399,1.44795,1.418,1.44196,185900,191,2663575
2010-05-20,1.41101,1.43298,1.37506,1.40302,630600,208,8800055
2010-05-21,1.39303,1.44596,1.39303,1.44596,569800,158,8150975
2010-05-24,1.45295,1.49688,1.44296,1.4829,213000,56,3130155
2010-05-25,1.45794,1.47791,1.418,1.47691,103600,99,1490678
2010-05-26,1.46793,1.51586,1.45794,1.4879,682400,283,10101525
2010-05-27,1.49489,1.50887,1.46793,1.50887,487800,85,7248238
2010-05-28,1.51486,1.53783,1.48091,1.52684,1805600,98,27095318
2010-05-31,1.53184,1.54382,1.50787,1.52784,70100,155,1074318
2010-06-01,1.52385,1.52584,1.50787,1.51786,116400,146,1771019
2010-06-02,1.51686,1.56279,1.51686,1.5578,510000,135,7803396
2010-06-04,1.5578,1.56179,1.49389,1.54881,124800,124,1932023
