Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-01,17.86279,21.35596,17.77347,20.82007,27648000,53323,529174989
2021-02-02,21.72313,23.10254,19.96663,21.13763,13006400,30468,282022974
2021-02-03,21.64374,21.73306,20.44297,21.23687,4480300,9129,95350198
2021-02-04,21.07809,21.50481,20.73076,21.50481,2053200,5178,43666089
2021-02-05,21.53458,21.64374,20.46282,20.83992,3042900,5866,64230243
2021-02-08,20.83992,20.83992,19.54983,19.84754,3759800,6594,75435366
2021-02-09,19.7483,19.7483,18.52768,19.26204,4135000,8515,79126984
2021-02-10,19.35135,19.53991,17.66431,19.1628,4622700,7669,86056288
2021-02-11,19.05364,19.30173,18.55745,18.60707,960500,3662,18134686
2021-02-12,18.45822,19.00402,18.37882,18.85517,702500,1944,13259421
2021-02-17,18.86509,19.35135,18.66661,18.66661,660300,2016,12590322
2021-02-18,18.67654,19.04372,18.37882,19.04372,369700,903,7025259
2021-02-19,19.04372,19.10326,18.62692,18.85517,861500,816,16300058
2021-02-22,18.35898,18.93456,17.86279,18.93456,1592900,2627,29219103
2021-02-23,18.90478,19.65899,18.59715,19.65899,323600,1068,6310000
2021-02-24,19.7483,19.84754,19.35135,19.82769,381600,864,7577147
2021-02-25,19.54983,20.03609,19.08341,19.59945,808600,3313,16065367
2021-02-26,19.59945,19.76815,18.56738,19.14296,738100,2725,14160660
2021-03-01,19.05364,19.36128,18.71623,18.90478,1275200,2002,24477454
2021-03-02,18.65669,19.06356,18.18035,18.31928,2601600,1589,48222431
2021-03-03,18.55745,18.84524,17.48569,17.7437,612000,2383,11079447
2021-03-04,17.86279,18.79562,17.28721,18.52768,2000900,2748,36555841
2021-03-05,18.84524,19.43074,18.05134,19.09334,1143700,4325,21651198
2021-03-08,18.61699,19.08341,17.55515,18.09103,812600,2307,14908249
2021-03-09,18.09103,18.27959,17.49561,18.18035,1085400,2102,19564984
2021-03-10,17.9918,18.08111,17.1979,17.1979,1049700,3924,18458018
2021-03-11,17.44599,17.59484,16.34445,17.05896,3091200,6532,53015702
2021-03-12,16.87041,17.5353,16.63224,17.06889,5334300,3779,90916560
2021-03-15,16.89026,17.31698,16.69178,17.10858,2010500,2989,34374051
2021-03-16,16.96965,17.21774,16.87041,16.99942,945900,3188,16228617
2021-03-17,16.87041,17.01927,16.67193,16.67193,1047100,1839,17761450
2021-03-18,16.64216,16.87041,16.1559,16.77117,773400,3315,12961990
2021-03-19,16.55285,17.27728,16.55285,17.27728,1490500,2844,25805838
2021-03-22,16.96965,17.45591,16.66201,16.66201,1603000,2963,27175220
2021-03-23,16.72156,17.39637,16.19559,16.89026,1521900,2647,26024472
2021-03-24,16.87041,16.88033,16.02689,16.47346,760700,2802,12676434
2021-03-25,16.37422,17.08873,15.97727,16.68186,741700,1549,12245966
2021-03-26,16.46354,16.79102,16.09636,16.09636,905700,2043,14943590
2021-03-29,16.02689,16.18567,15.19329,15.65971,885800,3494,13915082
2021-03-30,15.87803,16.12613,14.93528,15.7788,2783700,7584,43346801
2021-03-31,15.7788,16.09636,15.30245,15.48108,1292400,4054,20250137
2021-04-01,15.51085,15.82841,15.10398,15.28261,1824300,1945,28172747
2021-04-05,15.37192,15.62994,14.99482,15.58032,495700,1786,7668359
2021-04-06,15.51085,16.17575,15.35207,15.72918,404400,1255,6405205
2021-04-07,15.91773,16.12613,15.52078,15.72918,793700,2833,12662685
2021-04-08,15.97727,15.97727,15.41162,15.50093,832000,2604,13081376
2021-04-09,15.74903,16.02689,15.38184,16.02689,609900,2843,9720734
2021-04-12,16.08643,16.42384,15.72918,16.42384,708700,3007,11522534
2021-04-13,16.42384,16.67193,15.88796,16.33453,560300,2885,9192148
2021-04-14,16.38415,16.38415,15.82841,16.27498,1178000,3589,19093830
2021-04-15,16.26506,16.26506,15.43146,15.67956,1267700,4021,20217844
2021-04-16,15.70933,15.9475,15.48108,15.87803,479900,1893,7641615
2021-04-19,15.83834,16.08643,15.52078,15.52078,573900,2159,9104956
2021-04-20,15.52078,15.7788,14.85589,14.88566,1649500,3845,25255238
2021-04-22,15.1139,15.18337,14.62764,14.86581,739500,2997,11128179
2021-04-23,15.03451,15.38184,14.93528,15.38184,644500,2017,9883649
2021-04-26,15.23299,16.49331,15.01467,16.12613,1599700,4150,25091445
2021-04-27,16.19559,16.33453,15.43146,15.64979,1157000,4362,18342989
2021-04-28,15.67956,16.42384,15.22306,16.30476,2203900,3247,35940545
2021-04-29,16.46354,16.87041,15.93758,16.02689,1203600,4888,19817088
2021-04-30,15.97727,16.48338,15.70933,16.47346,1834400,5899,30225102
2021-05-03,16.53358,16.61326,15.94594,16.19494,721200,2726,11662115
2021-05-04,16.13518,16.33438,15.63718,15.68698,1619600,6489,25631998
2021-05-05,15.71686,16.38418,15.37822,16.37422,1466200,5014,23571557
2021-05-06,16.3543,16.71286,16.01566,16.43398,2796600,2363,46141753
2021-05-07,16.56346,16.57342,15.9061,16.43398,3128500,3231,51429521
