Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,14.4,14.4,13.6,13.8,352400,79,248262
2010-01-05,14.2,14.4,14.0,14.0,277300,44,195807
2010-01-06,14.0,14.4,13.8,14.4,133000,96,93808
2010-01-07,14.2,14.4,14.0,14.0,99100,35,69870
2010-01-08,14.0,14.8,14.0,14.6,423000,85,303479
2010-01-11,14.8,16.6,14.4,15.6,2065100,401,1622472
2010-01-12,16.4,17.2,15.2,17.0,1091800,238,900376
2010-01-13,17.0,23.2,17.0,18.0,5238500,1764,5249778
2010-01-14,18.4,20.6,18.4,19.4,1736100,662,1695223
2010-01-15,19.6,19.6,18.2,18.4,574500,160,538895
2010-01-18,19.0,19.0,18.0,18.6,329500,94,302992
2010-01-19,18.8,21.4,18.6,21.4,951100,317,966316
2010-01-20,21.4,22.8,19.4,20.2,937200,691,975790
2010-01-21,20.8,21.4,19.0,19.8,378300,278,380514
2010-01-22,19.6,20.4,18.8,19.0,230300,100,223968
2010-01-26,19.0,19.8,18.6,19.0,96900,68,92740
2010-01-27,19.0,19.8,17.0,18.2,245300,121,224773
2010-01-28,18.4,18.8,17.8,18.8,303700,600,278202
2010-01-29,18.8,19.4,17.2,18.4,264700,146,242640
2010-02-01,17.6,18.0,17.0,17.8,101200,49,89835
2010-02-02,18.0,18.6,18.0,18.6,204100,80,187686
2010-02-03,18.4,18.4,17.6,17.6,61600,28,55478
2010-02-04,18.0,18.4,16.8,16.8,140200,54,123267
2010-02-05,16.8,17.8,16.2,16.4,156300,73,130018
2010-02-08,17.2,17.6,16.8,17.0,116200,35,99442
2010-02-09,18.0,18.0,17.0,17.4,60600,33,52815
2010-02-10,17.4,20.8,17.4,20.6,900000,253,872889
2010-02-11,20.4,24.4,19.2,23.8,3835100,968,4355070
2010-02-12,23.4,26.4,21.0,22.2,2781600,865,3360542
2010-02-17,22.4,23.4,21.8,22.4,275000,83,309793
2010-02-18,22.2,22.4,21.2,22.0,277200,67,303155
2010-02-19,22.2,22.2,21.2,21.2,50700,32,54526
2010-02-22,21.4,22.0,21.0,21.8,60300,50,64098
2010-02-23,21.2,21.2,19.6,20.4,236000,88,240712
2010-02-24,20.8,23.8,20.2,22.0,580500,167,658811
2010-02-25,22.0,22.0,20.8,21.0,66500,29,70556
2010-02-26,21.6,24.6,21.6,22.4,1647200,434,1923772
2010-03-01,22.4,23.2,21.4,22.2,419200,105,469892
2010-03-02,23.0,23.0,22.2,22.2,76900,40,86756
2010-03-03,22.4,22.8,21.2,21.4,95300,61,104569
2010-03-04,21.2,22.2,21.0,21.8,94900,36,102283
2010-03-05,21.6,22.2,21.4,21.6,178400,48,193254
2010-03-08,22.8,22.8,21.4,21.4,360200,111,399961
2010-03-09,21.6,21.6,20.8,20.8,168000,64,176557
2010-03-10,21.4,21.4,20.4,20.8,224800,82,232423
2010-03-11,20.8,20.8,20.2,20.6,89800,58,92134
2010-03-12,20.8,21.4,19.8,20.6,212700,78,216580
2010-03-15,20.6,20.6,20.2,20.2,46500,15,47540
2010-03-16,20.4,21.2,20.2,21.0,79100,51,82696
2010-03-17,21.0,23.0,21.0,21.6,1088200,937,1192778
2010-03-18,22.0,22.2,20.6,21.2,225600,467,240765
2010-03-19,21.6,22.0,20.8,21.0,107000,178,113032
2010-03-22,20.8,21.6,20.4,20.8,156100,135,161742
2010-03-23,20.8,21.2,20.6,21.0,97900,103,101256
2010-03-24,21.0,21.4,20.2,20.2,101500,168,104787
2010-03-25,20.4,21.0,19.8,20.4,137300,76,138750
2010-03-26,20.4,20.4,19.4,20.2,130700,54,129496
2010-03-29,19.8,20.6,19.0,20.6,219100,110,213388
2010-03-30,19.8,20.2,19.6,19.8,19700,11,19595
2010-03-31,19.8,21.2,19.6,20.6,168700,86,172232
2010-04-01,21.0,21.0,19.8,19.8,40600,26,40878
2010-04-05,20.0,20.2,19.4,19.4,74800,23,74725
2010-04-06,19.4,19.8,19.4,19.8,34600,18,33886
2010-04-07,21.2,22.0,20.4,20.6,1201300,338,1274091
2010-04-08,21.0,21.4,20.2,21.0,185400,54,192356
2010-04-09,21.0,24.2,21.0,23.8,5413000,1258,6282411
2010-04-12,23.8,25.4,22.0,22.4,3655600,1230,4414698
2010-04-13,22.8,23.6,22.0,22.8,531100,196,599415
2010-04-14,22.8,24.6,22.6,22.6,2402900,714,2827831
2010-04-15,23.0,24.0,22.6,22.6,1126500,211,1305660
2010-04-16,22.8,22.8,22.0,22.2,271100,76,303836
2010-04-19,22.0,22.0,21.4,21.8,307300,86,332451
2010-04-20,21.4,22.0,20.6,20.6,65700,37,69753
2010-04-22,21.6,21.6,20.6,21.4,81300,38,85538
2010-04-23,21.6,21.6,20.6,20.8,67000,28,70485
2010-04-26,21.4,21.4,20.4,21.0,145800,37,151176
2010-04-27,21.2,21.4,19.6,19.6,607400,133,611723
2010-04-28,20.0,20.2,19.6,20.0,492600,53,490354
2010-04-29,20.0,20.6,20.0,20.2,65200,32,66448
2010-04-30,20.4,20.4,19.8,20.0,94500,27,94091
2010-05-03,20.0,20.4,19.8,20.0,134000,35,134796
2010-05-04,20.0,20.4,18.0,19.0,174800,69,168252
2010-05-05,19.0,19.0,17.8,18.6,154000,62,140960
2010-05-06,19.2,19.2,18.0,18.8,77600,37,71841
2010-05-07,18.8,18.8,17.6,18.2,129900,46,115788
2010-05-10,18.8,19.2,18.0,18.0,138900,57,131164
2010-05-11,18.2,18.4,18.0,18.0,24600,23,22491
2010-05-12,18.2,18.8,17.8,18.0,85100,28,77540
2010-05-13,18.0,18.2,17.6,17.6,124800,31,111898
2010-05-14,18.0,18.2,17.6,17.6,25400,13,22532
2010-05-17,17.6,18.2,17.0,17.4,63500,32,55784
2010-05-18,17.8,18.2,16.8,17.6,69900,28,61011
2010-05-19,17.2,17.2,15.6,16.4,155400,70,127472
2010-05-20,15.8,15.8,13.4,15.6,152600,75,115504
2010-05-21,16.0,16.6,15.0,16.0,51900,28,41540
2010-05-24,16.2,17.4,16.2,17.0,20300,15,17154
2010-05-25,16.2,16.2,15.0,16.0,231500,68,179207
2010-05-26,17.0,17.0,15.2,15.6,57800,21,46771
2010-05-27,16.4,16.8,16.0,16.8,11800,7,9507
2010-05-28,16.8,16.8,16.4,16.8,4000,10,3311
2010-05-31,16.4,17.0,16.2,16.4,51600,28,42784
2010-06-01,16.4,16.4,16.0,16.0,38600,30,31432
2010-06-02,16.0,16.8,16.0,16.6,16300,17,13414
2010-06-04,16.2,16.6,16.0,16.6,51700,19,41768
2010-06-07,16.2,17.4,15.8,16.0,215000,50,179229
2010-06-08,16.4,16.6,16.2,16.4,7600,7,6194
2010-06-09,16.6,16.8,16.0,16.2,32000,16,25996
2010-06-10,16.6,16.6,16.0,16.2,25700,10,20925
