Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,5.8623050417,5.8623050417,5.58643070056,5.72436787113,178000,690,1475431
2010-01-05,5.72436787113,5.91058354555,5.5381521967100005,5.60711584049,478300,927,3981502
2010-01-06,5.63470920441,5.68988604924,5.50367037482,5.54505053769,298500,444,2418966
2010-01-07,5.55194887867,5.65539434434,5.400215026140001,5.46229021195,294300,844,2333872
2010-01-08,5.48987369286,5.48987369286,5.27607453753,5.36573320425,422300,654,3276570
2010-01-11,5.42090016607,5.50367037482,5.24159271564,5.26227785557,369700,329,2848486
2010-01-12,5.3105563594200005,5.338139840329999,5.248481173609999,5.28987121949,484200,201,3711100
2010-01-13,5.57953235958,5.71057118917,5.524355514750001,5.68988604924,1056600,1973,8633959
2010-01-14,5.71746953015,5.72436787113,5.62091252245,5.63470920441,407300,599,3356298
2010-01-15,5.64849600336,5.64849600336,5.48987369286,5.55884721965,142400,278,1153093
2010-01-18,5.57953235958,5.60022738252,5.3450381813100005,5.46229021195,343800,471,2713908
2010-01-19,5.48987369286,5.62091252245,5.400215026140001,5.59332904154,385000,389,3103463
2010-01-20,5.58643070056,5.59332904154,5.4140117081,5.53125385573,253200,123,2029239
2010-01-21,5.44849352999,5.60711584049,5.27607453753,5.27607453753,280600,385,2188914
2010-01-22,5.24159271564,5.35883486327,5.034682018280001,5.33125138236,257200,190,1955863
2010-01-26,5.24159271564,5.35883486327,5.15882250689,5.23469437466,372400,330,2835970
2010-01-27,5.26917619655,5.26917619655,5.165720847869999,5.17951752983,252300,75,1895701
2010-01-28,5.24159271564,5.3105563594200005,4.97261671548,5.172619188850001,460200,104,3437000
2010-01-29,5.27607453753,5.29675967746,5.18641587081,5.20710101074,225000,132,1705980
2010-02-01,5.27607453753,5.27607453753,5.172619188850001,5.172619188850001,195100,219,1471294
2010-02-02,5.22779603368,5.22779603368,5.0829605221300005,5.10365554507,734800,999,5454790
2010-02-03,5.13123902598,5.13123902598,5.00709853737,5.034682018280001,473000,662,3471307
2010-02-04,5.034682018280001,5.05537704122,4.72432585525,4.75880767714,296700,909,2091117
2010-02-05,4.620870506569999,4.62776884755,4.27603252165,4.448451514109999,616700,747,4034106
2010-02-08,4.586388684679999,4.66225066944,4.448451514109999,4.620870506569999,414200,227,2760158
2010-02-09,4.68984403336,4.9657183745,4.68984403336,4.88984650673,425200,666,3019205
2010-02-10,4.95192169254,5.00020019639,4.910541529670001,4.9657183745,218900,314,1577991
2010-02-11,5.00020019639,5.02088533632,4.83467954491,4.92433821163,128000,173,910003
2010-02-12,5.00020019639,5.00020019639,4.86226302582,4.86226302582,98200,238,698309
2010-02-17,4.89674484771,4.9657183745,4.88295804876,4.94502335156,111000,92,792510
2010-02-18,4.9657183745,4.97950517345,4.91743987065,4.97261671548,158600,166,1136403
2010-02-19,4.86226302582,5.034682018280001,4.84156800288,4.99330185541,148300,118,1070229
2010-02-22,4.99330185541,5.01399687835,4.9657183745,4.9657183745,108300,81,785254
2010-02-23,4.97261671548,5.00020019639,4.8691613668,5.00020019639,269500,97,1937820
2010-02-24,4.986403514429999,5.0829605221300005,4.938125010579999,4.9657183745,142600,75,1035294
2010-02-25,4.89674484771,4.99330185541,4.84156800288,4.99330185541,197800,62,1409488
2010-02-26,5.00020019639,5.172619188850001,4.938125010579999,5.172619188850001,239500,147,1760527
2010-03-01,5.165720847869999,5.29675967746,5.165720847869999,5.26227785557,252900,286,1922310
2010-03-02,5.3105563594200005,5.44849352999,5.09675720409,5.10365554507,253400,441,1912436
2010-03-03,5.110544003039999,5.17951752983,5.04158035926,5.0622753822,130600,212,964376
2010-03-04,5.06916384017,5.10365554507,4.910541529670001,5.0277836773,179200,338,1297479
2010-03-05,5.01399687835,5.10365554507,4.986403514429999,5.05537704122,86500,223,631314
2010-03-08,5.05537704122,5.08985886311,4.97261671548,5.02088533632,88300,169,641218
2010-03-09,4.9657183745,5.10365554507,4.95882003352,5.0277836773,284100,263,2073517
2010-03-10,4.9312266696,4.9312266696,4.75190933616,4.82778120393,766000,546,5350383
2010-03-11,4.82778120393,4.86226302582,4.79329938204,4.8208828629500005,351500,476,2456516
2010-03-12,4.82778120393,4.83467954491,4.78640104106,4.79329938204,159900,269,1112498
2010-03-15,4.772604359100001,4.772604359100001,4.64156552951,4.68984403336,151900,135,1033711
2010-03-16,4.68984403336,4.68984403336,4.53811018083,4.61397216559,666700,498,4437845
2010-03-17,4.68984403336,4.68984403336,4.62776884755,4.6484638704900005,131500,372,889637
2010-03-18,4.6484638704900005,4.68984403336,4.60708370762,4.682945692380001,202900,275,1366060
2010-03-19,4.68984403336,4.75190933616,4.61397216559,4.682945692380001,240000,182,1620440
2010-03-22,4.63466718853,4.910541529670001,4.60708370762,4.910541529670001,314200,321,2159688
2010-03-23,4.910541529670001,4.910541529670001,4.73122419623,4.82778120393,151600,179,1056343
2010-03-24,4.87605970778,4.87605970778,4.71742751427,4.77950270008,127600,143,879124
2010-03-25,4.80708618099,4.80708618099,4.66225066944,4.676047351399999,245500,356,1677574
2010-03-26,4.66914901042,4.81398452197,4.55190686279,4.57259200272,233000,428,1549874
2010-03-29,4.60018536664,4.68984403336,4.496730017959999,4.53811018083,209200,191,1380197
2010-03-30,4.71742751427,4.71742751427,4.510526699920001,4.55190686279,101600,140,669556
2010-03-31,4.60708370762,4.60708370762,4.46224819607,4.55190686279,148900,123,978778
2010-04-01,4.75190933616,4.75190933616,4.55190686279,4.65536221147,308000,135,2065495
2010-04-05,4.65536221147,4.77950270008,4.65536221147,4.74502087819,477600,371,3271450
2010-04-06,4.76570601812,4.77950270008,4.62776884755,4.710529173289999,149300,118,1019218
2010-04-07,4.6484638704900005,4.682945692380001,4.620870506569999,4.620870506569999,118500,96,798153
2010-04-08,4.620870506569999,4.64156552951,4.48983167698,4.64156552951,477900,178,3168845
2010-04-09,4.6484638704900005,4.682945692380001,4.57259200272,4.620870506569999,517600,393,3468916
2010-04-12,4.69884745547,4.73422863127,4.5290079286200005,4.5290079286200005,405800,409,2654645
2010-04-13,4.57854157474,4.5856178099,4.37332087209,4.38747334241,789000,503,4926632
2010-04-14,4.38747334241,4.55731286926,4.316710990810001,4.43700698853,2649600,2100,16450872
2010-04-15,4.45823569401,4.45823569401,4.37332087209,4.45823569401,1789500,1086,11184196
2010-04-16,4.422854518209999,4.48655051766,4.33086346113,4.43700698853,7862500,1628,48971780
2010-04-19,4.316710990810001,4.37332087209,4.267177344689999,4.316710990810001,3929300,4755,24023421
2010-04-20,4.352092166609999,4.40162581273,4.267177344689999,4.27425357985,3550600,1030,21708626
