Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,3.85772,3.92089,3.84869,3.90284,194600,573,1679698
2010-01-05,3.9254,4.00661,3.90284,3.97954,644300,497,5637098
2010-01-06,4.00661,4.01564,3.89381,3.95247,469900,430,4138935
2010-01-07,3.97954,3.99759,3.9254,3.94345,125200,297,1097183
2010-01-08,3.97954,3.99308,3.90284,3.97052,516600,343,4533665
2010-01-11,3.97503,3.99308,3.90735,3.97052,318300,213,2795548
2010-01-12,3.97503,3.97503,3.92089,3.97052,222600,175,1954676
2010-01-13,4.01564,4.08783,3.94345,3.94796,394200,349,3475580
2010-01-14,4.05624,4.05624,3.93893,3.95247,178700,188,1569175
2010-01-15,3.97052,3.97052,3.88028,3.91186,416500,259,3616665
2010-01-18,3.94796,3.94796,3.83967,3.91637,210300,244,1822786
2010-01-19,3.91186,3.93442,3.86674,3.88479,184600,299,1594691
2010-01-20,3.83516,3.89833,3.74943,3.76748,208000,277,1758160
2010-01-21,3.83065,3.83516,3.65468,3.70431,272700,350,2245288
2010-01-22,3.6637,3.75846,3.58249,3.68175,264800,222,2159992
2010-01-26,3.69529,3.76297,3.60956,3.70882,213800,182,1728211
2010-01-27,3.6998,3.74492,3.6231,3.68626,166700,171,1354162
2010-01-28,3.78553,3.78553,3.6231,3.62761,212500,254,1744581
2010-01-29,3.67724,3.7765,3.65468,3.67724,267100,203,2194656
2010-02-01,3.67724,3.84869,3.64566,3.83516,195500,201,1628667
2010-02-02,3.85772,3.90284,3.77199,3.78102,108400,180,920196
2010-02-03,3.7765,3.82613,3.74492,3.76748,47100,86,394194
2010-02-04,3.72236,3.73138,3.54639,3.60956,348200,269,2800742
2010-02-05,3.54188,3.56895,3.33884,3.56444,330300,451,2554627
2010-02-08,3.65919,3.65919,3.54188,3.57798,123500,177,979284
2010-02-09,3.60505,3.72236,3.58249,3.69078,106100,147,863850
2010-02-10,3.7359,3.7765,3.6998,3.76748,114800,155,951781
2010-02-11,3.75394,3.86674,3.75394,3.86674,103200,188,870825
2010-02-12,3.83065,3.83516,3.72236,3.76297,72100,90,602167
2010-02-17,3.79004,3.86223,3.78553,3.79004,149800,71,1275769
2010-02-18,3.74041,3.85772,3.74041,3.82162,85600,84,720981
2010-02-19,3.7765,3.89833,3.7765,3.85772,257800,155,2203775
2010-02-22,3.83516,3.9254,3.82613,3.85772,193800,234,1660141
2010-02-23,3.83516,3.83516,3.75394,3.78102,77800,148,653776
2010-02-24,3.76748,3.83516,3.76748,3.83516,82800,110,698675
2010-02-25,3.79004,3.79004,3.70431,3.73138,153700,223,1276361
2010-02-26,3.78102,3.79004,3.72687,3.75394,194900,146,1620169
2010-03-01,3.74943,3.86223,3.74943,3.83516,115700,177,978247
2010-03-02,3.83967,3.85321,3.79004,3.83516,53400,83,452977
2010-03-03,3.83516,3.84869,3.7765,3.83516,180000,697,1521873
2010-03-04,3.79906,3.83516,3.79004,3.80358,42300,79,357819
2010-03-05,3.83516,3.85772,3.79004,3.79004,229400,381,1940032
2010-03-08,3.83516,3.83516,3.79455,3.80809,161300,204,1367470
2010-03-09,3.85321,3.86223,3.76297,3.79004,357400,298,3032851
2010-03-10,3.79004,3.81711,3.75846,3.81711,209100,185,1751009
2010-03-11,3.82613,3.82613,3.7765,3.7765,162100,102,1365220
2010-03-12,3.79004,3.80809,3.74943,3.77199,139600,186,1167772
2010-03-15,3.74943,3.79004,3.74492,3.76748,173600,318,1453430
2010-03-16,3.79906,3.79906,3.64114,3.70882,466400,1630,3827244
2010-03-17,3.71785,3.75394,3.67724,3.73138,148600,135,1226520
2010-03-18,3.7359,3.7359,3.64566,3.72236,164100,117,1346787
2010-03-19,3.72687,3.76297,3.69078,3.72687,112700,164,929375
2010-03-22,3.6998,3.77199,3.68175,3.74041,87100,102,721283
2010-03-23,3.7359,3.76748,3.70431,3.70431,106500,109,885322
2010-03-24,3.70431,3.70882,3.61859,3.6637,240100,163,1942508
2010-03-25,3.71785,3.7359,3.69078,3.72236,74400,148,612140
2010-03-26,3.69078,3.70431,3.65468,3.67724,28200,38,230002
2010-03-29,3.71334,3.80809,3.71334,3.71334,316000,245,2637780
2010-03-30,3.74041,3.74041,3.63212,3.68175,108700,183,888477
2010-03-31,3.6998,3.6998,3.65468,3.67724,209600,330,1708787
2010-04-01,3.70882,3.76748,3.69078,3.70431,108000,175,894498
2010-04-05,3.74492,3.76748,3.72236,3.75394,63500,112,527229
2010-04-06,3.74492,3.83516,3.74492,3.8126,218000,194,1833315
2010-04-07,3.7765,3.79004,3.6998,3.78553,179700,250,1491261
