Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,16.674,16.674,16.2373,16.674,514600,608,8576473
2010-01-05,16.76332,16.9916,16.68392,16.94197,477600,614,8122211
2010-01-06,16.73355,17.9047,16.73355,17.9047,759400,1628,13335372
2010-01-07,17.71613,18.99645,17.71613,18.87735,1435900,2089,26973922
2010-01-08,18.79795,19.056,18.35132,18.6987,666900,1112,12490130
2010-01-11,18.84757,19.2942,18.51012,18.90712,674300,1203,12886665
2010-01-12,18.5796,18.8972,18.51012,18.55975,286600,609,5391671
2010-01-13,18.5399,19.10563,18.31163,19.056,312800,788,5925533
2010-01-14,19.2148,20.74325,19.20488,20.0485,1476000,2310,29773687
2010-01-15,21.835,22.72825,20.8425,20.99137,2638800,3789,57828941
2010-01-18,21.4777,21.48763,19.7706,20.39587,689000,1379,14327483
2010-01-19,20.4455,20.79288,19.82022,20.61423,259200,366,5374873
2010-01-20,20.77303,21.03108,20.0088,20.95168,239900,563,4981827
2010-01-21,21.1204,21.1204,19.55225,19.66142,439600,1027,8814521
2010-01-22,19.60188,19.76068,19.16517,19.55225,634100,1050,12404120
2010-01-26,19.39345,19.453,18.51012,18.84757,432100,927,8230559
2010-01-27,19.35375,19.35375,17.84515,18.262,922100,1928,17022421
2010-01-28,18.70863,19.10563,18.3811,18.52998,1147100,1681,21588214
2010-01-29,18.79795,19.03615,18.51012,18.54983,685900,965,12955730
2010-02-01,19.04608,19.04608,17.6665,17.6665,1044600,1598,19054283
2010-02-02,17.84515,17.96425,16.98168,17.1901,1590200,1773,27614858
2010-02-03,17.33897,17.53748,16.72363,17.17025,2211200,2579,38079307
2010-02-04,17.04123,17.071,16.2373,16.2373,1420000,2113,23762106
2010-02-05,15.88,16.674,15.74105,16.61445,839100,1319,13637586
2010-02-08,16.76332,17.53748,16.674,17.52755,973800,1740,16932655
2010-02-09,17.73598,17.8253,17.4283,17.6665,893800,1218,15910258
2010-02-10,17.88485,18.36125,17.71613,18.2223,1075400,1724,19687801
2010-02-11,18.35132,18.60938,18.0238,18.19253,479000,797,8819171
2010-02-12,18.31163,18.31163,17.6268,18.24215,361600,723,6541281
2010-02-17,18.31163,18.64908,18.16275,18.62922,329200,482,6118841
2010-02-18,18.55975,18.55975,18.17267,18.5002,324800,551,6008296
2010-02-19,18.36125,18.45057,17.92455,18.41088,465100,617,8560123
2010-02-22,18.41088,18.41088,18.00395,18.262,353300,566,6457747
2010-02-23,18.25208,18.25208,17.7459,17.81538,609700,585,11046417
2010-02-24,17.81538,18.01387,17.41838,17.61687,386300,262,6866050
2010-02-25,17.2298,17.84515,17.09085,17.57718,166100,383,2936721
2010-02-26,17.7459,17.80545,17.31913,17.76575,173200,280,3081922
2010-03-01,17.76575,18.25208,17.76575,18.13298,166100,409,3023752
2010-03-02,17.99402,18.3811,17.865,18.36125,806500,758,14870852
2010-03-03,18.43073,18.5796,18.24215,18.49027,358100,925,6651724
2010-03-04,18.36125,18.5399,17.96425,18.4605,175400,379,3237393
2010-03-05,18.55975,18.55975,17.9841,18.11312,400600,297,7335543
2010-03-08,18.28185,18.28185,17.56725,17.56725,490700,340,8784130
2010-03-09,17.56725,17.99402,17.41838,17.865,505100,674,9066318
2010-03-10,17.84515,17.9444,17.57718,17.5871,870100,274,15602412
2010-03-11,17.57718,17.76575,17.48785,17.57718,137900,244,2452653
2010-03-12,17.83522,18.12305,17.57718,18.07342,4005500,601,72077043
2010-03-15,17.92455,18.40095,17.92455,18.262,524100,262,9669190
2010-03-16,18.44065,18.58953,18.12305,18.3811,332500,406,6145387
2010-03-17,18.3811,18.4605,18.09328,18.31163,343500,492,6347150
2010-03-18,18.33147,18.44065,17.87493,18.25208,267500,310,4911424
2010-03-19,18.17267,18.17267,17.61687,17.76575,576100,1484,10379334
2010-03-22,17.6665,18.35132,17.6665,17.79552,336700,834,6085068
2010-03-23,18.01387,18.01387,17.6268,17.64665,183400,663,3280084
2010-03-24,17.79552,17.79552,17.1901,17.23973,163500,489,2871224
2010-03-25,17.41838,17.45807,16.80303,16.96182,224100,545,3847125
2010-03-26,16.9122,17.00152,16.42587,16.97175,336000,609,5673617
2010-03-29,16.98168,17.1504,16.69385,16.7931,317300,1303,5370081
2010-03-30,16.82288,16.89235,16.52513,16.53505,139100,359,2335033
2010-03-31,16.4755,16.86258,16.30678,16.86258,230300,397,3850205
2010-04-01,17.02138,17.57718,16.92212,17.57718,408500,467,7126839
2010-04-05,17.65658,17.75583,17.06108,17.21988,426600,596,7483277
2010-04-06,17.33897,17.33897,16.89235,16.96182,246800,386,4247927
2010-04-07,16.96182,17.20995,16.61445,16.77325,695300,943,11759616
2010-04-08,16.77325,17.14048,16.6343,17.14048,769500,629,13012750
2010-04-09,16.97175,17.16033,16.8725,17.00152,213300,286,3659957
2010-04-12,17.12062,17.12062,16.68392,16.72363,111900,255,1897181
2010-04-13,16.82288,16.97175,16.54498,16.97175,236200,325,3992472
2010-04-14,17.00152,17.00152,16.80303,16.81295,134500,289,2292857
2010-04-15,16.93205,16.93205,16.64423,16.77325,152800,483,2576748
2010-04-16,16.86258,16.86258,16.44572,16.52513,143000,550,2389863
2010-04-19,16.4755,16.8725,16.46558,16.62437,130600,332,2187080
2010-04-20,16.72363,17.05115,16.54498,16.97175,179200,289,3025725
2010-04-22,16.5946,17.21988,16.5946,17.17025,210500,594,3581703
2010-04-23,17.17025,17.21988,16.92212,17.21988,231100,617,3971508
2010-04-26,17.21988,17.2695,16.62437,16.674,303400,375,5146068
2010-04-27,16.65415,16.66408,15.88,16.17775,703300,1203,11519620
2010-04-28,16.28692,16.45565,15.92962,15.93955,388000,354,6278982
2010-04-29,16.17775,16.25715,15.75097,16.06857,360800,444,5812754
2010-04-30,16.08842,16.12812,15.88,16.12812,253200,389,4086156
2010-05-03,16.18768,16.29685,15.8006,15.8403,349300,665,5625584
2010-05-04,15.92962,15.97925,14.89743,14.89743,575300,971,8800248
2010-05-05,14.99667,15.03638,14.24238,14.69893,384200,1175,5721960
2010-05-06,14.78825,14.97683,14.04387,14.292,451700,981,6549932
2010-05-07,14.39125,14.48058,13.68657,13.895,187000,551,2637572
