Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,10.75892,10.9789,10.74893,10.79892,118300,111,1280304
2010-01-05,10.89891,10.89891,10.59894,10.59894,203600,242,2188213
2010-01-06,10.61894,10.75892,10.61894,10.69893,176300,280,1886826
2010-01-07,10.88891,11.66883,10.75892,11.66883,835800,1110,9486974
2010-01-08,11.72883,11.9788,11.55884,11.60884,532000,594,6271166
2010-01-11,11.49885,11.71883,11.39886,11.59884,210700,252,2443740
2010-01-12,11.50885,11.63884,11.24887,11.49885,165500,203,1894269
2010-01-13,11.58884,11.66883,11.32887,11.44885,105500,161,1213310
2010-01-14,11.49885,12.07879,11.41886,11.73883,408000,520,4830948
2010-01-15,11.92881,12.53875,11.74883,12.29877,602800,748,7391778
2010-01-18,12.20878,12.48875,11.9988,12.10879,205400,236,2508532
2010-01-19,12.0088,12.29877,11.75882,12.15878,149100,268,1803959
2010-01-20,11.9988,12.24877,11.57884,11.9488,199900,359,2374351
2010-01-21,11.75882,11.92881,11.39886,11.44885,189300,273,2184658
2010-01-22,11.32887,11.44885,11.26887,11.43886,111900,144,1270246
2010-01-26,11.31887,11.34887,11.04889,11.05889,154100,245,1722561
2010-01-27,10.9989,11.38886,10.9989,10.9989,105700,235,1177382
2010-01-28,11.39886,11.39886,10.90891,10.90891,173000,295,1934736
2010-01-29,10.9489,11.20888,10.9489,11.05889,209400,123,2327321
2010-02-01,11.19888,11.35886,11.14888,11.25887,99200,113,1114217
2010-02-02,11.48885,11.49885,11.12889,11.48885,75900,164,866618
2010-02-03,11.49885,11.79882,11.44885,11.61884,135700,229,1572049
2010-02-04,11.39886,11.42886,10.89891,11.04889,220000,383,2443437
2010-02-05,10.88891,10.88891,10.34897,10.39896,208400,379,2206466
2010-02-08,10.59894,10.88891,10.41896,10.69893,15800,50,168643
2010-02-09,10.89891,11.14888,10.79892,10.89891,77800,118,850950
2010-02-10,10.9689,11.11889,10.79892,11.0189,177300,213,1940332
2010-02-11,10.84892,10.9889,10.74893,10.91891,44300,107,482981
2010-02-12,10.91891,10.9889,10.70893,10.9489,45100,66,491139
2010-02-17,11.05889,11.13889,10.9789,10.9789,29600,51,327291
2010-02-18,11.22888,11.44885,11.19888,11.34887,121500,206,1376225
2010-02-19,11.26887,11.37886,11.18888,11.19888,71100,92,800600
2010-02-22,11.18888,11.20888,11.04889,11.09889,66400,66,739049
2010-02-23,11.06889,11.06889,10.87891,10.89891,84500,75,927910
2010-02-24,10.93891,10.9989,10.93891,10.9489,29100,35,318702
2010-02-25,10.9989,11.44885,10.71893,11.43886,136900,171,1524418
2010-02-26,11.48885,11.69883,11.44885,11.44885,132600,137,1536333
2010-03-01,11.47885,11.49885,11.30887,11.31887,21100,42,240187
2010-03-02,11.37886,11.37886,11.10889,11.19888,68400,83,770657
2010-03-03,11.19888,11.49885,11.14888,11.15888,78800,87,892220
2010-03-04,11.20888,11.20888,10.9989,10.9989,38700,42,429738
2010-03-05,11.0289,11.29887,10.9989,11.23888,50800,71,564488
2010-03-08,11.23888,11.23888,11.09889,11.23888,33800,59,377717
2010-03-09,11.23888,11.38886,11.09889,11.13889,70400,78,790766
2010-03-10,11.13889,11.25887,11.0189,11.05889,62400,88,693505
2010-03-11,11.0189,11.18888,10.84892,10.9989,62500,90,685487
2010-03-12,11.0089,11.09889,10.75892,10.78892,154000,253,1673642
2010-03-15,10.77892,10.89891,10.76892,10.88891,43000,72,466067
2010-03-16,10.88891,11.17888,10.88891,11.04889,119200,206,1316476
2010-03-17,11.07889,11.16888,10.72893,10.76892,92800,98,1009368
2010-03-18,10.79892,10.9489,10.77892,10.82892,69700,73,753392
2010-03-19,10.81892,10.83892,10.66893,10.83892,35200,52,378630
2010-03-22,10.76892,10.9989,10.69893,10.91891,71700,61,782600
2010-03-23,10.89891,10.9989,10.74893,10.74893,28900,83,313291
2010-03-24,10.77892,10.77892,10.49895,10.49895,55700,107,591091
2010-03-25,10.71893,10.71893,10.35896,10.35896,99500,124,1041389
2010-03-26,10.35896,10.35896,10.08899,10.19898,80000,161,814174
2010-03-29,10.20898,10.20898,9.82902,9.83902,242600,384,2415141
2010-03-30,9.86901,9.999,9.74902,9.79902,111200,149,1097903
2010-03-31,9.88901,10.13899,9.51905,10.13899,181900,299,1794579
2010-04-01,10.19898,10.31897,9.959,9.979,107200,159,1080340
2010-04-05,10.09899,10.16898,9.70903,9.73903,184700,323,1816172
2010-04-06,9.76902,9.89901,9.63904,9.67903,181700,165,1776539
2010-04-07,9.83902,9.83902,9.43906,9.45905,186700,278,1783624
2010-04-08,9.48905,9.59904,9.47905,9.53905,75900,148,723924
2010-04-09,9.56904,9.65903,9.32907,9.32907,328700,389,3108019
2010-04-12,9.41906,9.51905,9.30907,9.39906,116900,150,1094026
2010-04-13,9.34906,9.34906,9.0291,9.0391,331600,517,3025999
2010-04-14,9.09909,9.43906,9.0191,9.43906,169500,216,1564036
2010-04-15,9.47905,9.59904,9.32907,9.39906,117600,195,1114788
2010-04-16,9.39906,9.39906,9.09909,9.18908,60500,120,558403
2010-04-19,9.09909,9.23908,9.09909,9.19908,39500,88,363210
2010-04-20,9.16908,9.24907,9.11909,9.13909,39400,67,360688
2010-04-22,9.18908,9.29907,9.09909,9.29907,30100,115,277519
2010-04-23,9.28907,9.46905,9.28907,9.44905,89300,90,838975
2010-04-26,9.45905,9.63904,9.30907,9.30907,222700,272,2118925
2010-04-27,9.30907,9.30907,8.9991,8.9991,112400,158,1018490
2010-04-28,8.89911,8.9891,8.65913,8.69913,154400,204,1362318
2010-04-29,8.73913,8.93911,8.69913,8.93911,96100,101,847053
2010-04-30,8.9991,8.9991,8.61914,8.69913,112100,161,976242
2010-05-03,8.69913,8.74912,8.46915,8.46915,99100,191,848096
2010-05-04,8.39916,8.39916,7.89921,7.89921,161300,569,1295931
2010-05-05,7.87921,7.87921,7.45925,7.56924,254200,981,1942623
2010-05-06,7.63924,7.63924,6.80932,7.0093,146900,242,1058072
2010-05-07,6.9993,7.14928,6.70933,6.79932,383900,450,2638630
2010-05-10,7.30927,7.39926,7.07929,7.11929,213200,290,1538678
2010-05-11,7.09929,7.41926,6.93931,7.29927,138900,125,1006053
