Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,31.54393,31.72146,31.39061,31.71339,995800,1612,39009208
2010-01-05,31.79409,33.48869,31.71339,32.92382,1990000,2888,80627760
2010-01-06,32.85927,33.42413,31.97162,32.8512,1796200,3009,73058057
2010-01-07,32.51228,32.64139,32.27826,32.5849,1229000,2153,49431065
2010-01-08,32.80278,32.80278,31.63269,31.87478,817800,1715,32546752
2010-01-11,32.16528,32.56877,31.60848,31.99582,710300,1523,28195916
2010-01-12,31.39061,31.56813,30.6482,30.84994,1152900,2433,44326391
2010-01-13,31.15659,31.45517,29.97843,30.26087,1585000,3583,59734039
2010-01-14,30.18017,30.4384,29.54268,29.70407,1118100,2980,41354812
2010-01-15,29.1392,29.1392,28.36452,28.64696,2054000,3405,73090507
2010-01-18,28.97781,29.7767,28.97781,29.45391,1499600,2940,54891305
2010-01-19,29.26831,30.78539,29.23603,30.78539,2292200,3743,86205653
2010-01-20,30.624,31.30184,29.88967,30.0672,2020300,3367,76164198
2010-01-21,30.18017,30.6482,28.9536,29.03429,1343900,2453,49358553
2010-01-22,28.96974,29.26024,27.68667,27.80771,1257000,2913,44177338
2010-01-26,27.43652,27.47686,26.47624,26.79096,1825300,3118,60760505
2010-01-27,26.79096,27.63826,26.30678,27.27513,2537400,5536,85013173
2010-01-28,27.71895,27.95297,27.29127,27.95297,1290700,2600,44285334
2010-01-29,28.24347,28.28382,27.47686,27.58984,1426000,2588,49225393
2010-02-01,27.46073,28.59853,27.11374,28.25155,1477800,2141,51068553
2010-02-02,28.64696,29.03429,28.00139,28.74379,1046000,1912,37137684
2010-02-03,28.64696,29.10692,28.25155,28.44522,725700,1402,25826322
2010-02-04,28.24347,28.24347,26.23415,26.66991,1725000,2895,57446639
2010-02-05,26.33906,27.51721,25.82261,26.29871,2381100,3592,78031334
2010-02-08,26.50852,28.14664,26.38748,27.92069,1625500,3325,55225049
2010-02-09,28.3161,28.96974,27.91262,28.60661,1094400,2087,38764487
2010-02-10,28.93746,29.03429,28.3161,28.3968,807700,1650,28716928
2010-02-11,28.60661,29.696,28.35645,29.57496,999500,2225,36200248
2010-02-12,29.0585,29.696,28.71958,28.75186,949600,2520,34091540
2010-02-17,29.76863,30.20438,29.68793,29.93808,961300,2120,35695052
2010-02-18,29.84932,30.15596,29.33286,29.94615,657300,1473,24312732
2010-02-19,29.696,30.53524,29.62337,29.89773,864200,2038,32295654
2010-02-22,30.22859,30.4384,29.6153,30.13982,1188900,2134,44255352
2010-02-23,29.97843,30.01071,29.21183,29.6153,1547200,4192,56788626
2010-02-24,29.6153,29.85739,28.84869,28.9536,1240100,2026,44881565
2010-02-25,28.28382,28.40486,27.84,28.08208,1134400,2026,39570728
2010-02-26,28.26768,28.40486,26.43589,26.58921,4519500,6206,150443036
2010-03-01,27.16216,27.35583,26.88779,26.912,2291600,3343,76945709
2010-03-02,27.18636,28.56626,27.10567,28.36452,4994800,5907,174077069
2010-03-03,28.69537,29.17147,28.42101,28.6873,2996100,3881,107149745
2010-03-04,28.92132,28.92132,27.88841,28.59047,1612200,2255,56944766
2010-03-05,28.96166,29.36515,28.80835,29.30866,1442400,2576,51905082
2010-03-08,29.20375,29.41357,28.52591,28.67923,1099400,1736,39148801
2010-03-09,28.44522,28.92132,28.34031,28.64696,1928000,3078,68577107
2010-03-10,28.64696,29.12306,28.41294,28.64696,1934600,3112,68907238
2010-03-11,28.64696,29.20375,28.43715,29.20375,2542000,3072,90894746
2010-03-12,29.30866,30.01878,29.30866,30.01878,3211600,4214,118582113
2010-03-15,29.85739,30.11562,29.46198,30.01878,1294000,2036,47887945
2010-03-16,30.01878,30.37384,29.85739,29.89773,2202900,2419,82065235
2010-03-17,30.18017,31.91513,30.09947,31.91513,4489700,5472,172471084
2010-03-18,31.87478,32.73016,31.35833,32.68174,2790400,4629,111258150
2010-03-19,32.42351,33.23046,31.47937,31.47937,1800400,3125,71438545
2010-03-22,31.22114,31.66497,31.02748,31.34219,1332000,2397,51785207
2010-03-23,31.34219,32.11687,30.87415,32.11687,1078000,1972,42224990
2010-03-24,31.87478,32.04424,31.04362,31.07589,1603300,2835,62449181
2010-03-25,31.48744,31.70532,30.24472,30.34156,916800,2173,35184857
2010-03-26,30.26087,31.06782,29.88967,31.06782,979200,2127,37073699
2010-03-29,31.12431,31.71339,31.10818,31.63269,1113300,1940,43428185
2010-03-30,31.74567,31.83443,30.82574,30.97906,673400,1205,25958258
2010-03-31,30.624,31.18887,30.26893,31.0194,1155800,2665,44141561
2010-04-01,31.44709,31.95547,31.22922,31.64884,1100500,2131,43213044
2010-04-05,31.4713,31.97162,31.22922,31.97162,954500,1529,37679350
2010-04-06,31.78601,32.03617,31.43096,31.63269,722200,2346,28399388
2010-04-07,31.41481,31.60041,30.63206,30.68855,1128800,2852,43427411
2010-04-08,30.63206,30.94678,30.45454,30.78539,770800,1826,29383632
2010-04-09,30.9145,31.39061,30.53524,30.9145,1666800,2997,63780232
2010-04-12,30.7047,30.73697,29.86546,29.89773,1384600,2475,51798853
2010-04-13,30.10755,30.34963,29.57496,30.05106,1887800,3587,70067955
2010-04-14,30.09947,31.21308,30.09947,30.97906,1446500,3597,55303022
2010-04-15,30.93871,32.23792,30.66434,32.0281,2527100,4814,99666538
2010-04-16,31.79409,31.8425,31.1001,31.40674,1111800,1837,43370915
2010-04-19,31.30991,31.63269,30.58365,31.54393,1212800,3111,46777923
2010-04-20,31.56006,32.22984,31.10818,31.15659,1904000,4771,74858562
2010-04-22,30.84188,31.04362,30.38998,30.81766,1855400,3884,70661555
2010-04-23,30.86609,31.45517,30.624,31.27763,1082900,2969,41745549
