Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-27,7.991859016407993,8.584580327884481,7.804163934440439,7.804163934440439,14433900,23770,119061793
2021-07-28,7.942465573784952,8.367249180343103,7.705377049194357,8.248704918047805,8248300,6764,67526090
2021-07-29,8.327734426244671,9.058757377065673,8.26846229509702,8.880940983622727,8321600,3004,74041504
2021-07-30,8.890819672147336,9.335360655754702,8.6043377049337,8.742639344278212,3191000,2955,28709267
2021-08-02,8.861183606573512,9.088393442639498,8.495672131163008,8.653731147556739,911800,4726,8068074
2021-08-03,8.861183606573512,8.959970491819593,8.327734426244671,8.643852459032132,1224600,2477,10627533
2021-08-04,8.821668852475078,8.821668852475078,8.051131147555642,8.298098360670846,1970600,3851,16589913
2021-08-05,8.298098360670846,8.357370491818497,8.1202819672279,8.149918032801724,969900,2061,8069723
2021-08-06,8.110403278703291,8.792032786901254,8.110403278703291,8.396885245916927,528000,2485,4489651
2021-08-09,8.347491803293886,8.59445901640909,8.347491803293886,8.456157377064576,940300,748,8055300
2021-08-10,8.288219672146239,8.466036065589185,8.199311475424766,8.416642622966144,1070600,542,9085357
2021-08-11,8.396885245916927,8.466036065589185,8.1202819672279,8.377127868867712,451800,557,3808863
2021-08-12,8.377127868867712,8.485793442638402,8.149918032801724,8.327734426244671,1118100,657,9345638
2021-08-13,8.347491803293886,8.347491803293886,8.01161639345721,8.051131147555642,614000,708,5058374
2021-08-16,8.22894754099859,8.248704918047805,7.409016393456112,7.705377049194357,2196600,1849,17066551
2021-08-17,7.616468852472884,7.8338000000142625,7.359622950833072,7.606590163948276,1909500,2857,14505588
2021-08-18,7.606590163948276,8.041252459031035,7.606590163948276,7.804163934440439,1239900,1118,9707607
2021-08-19,7.557196721325235,8.238826229523196,7.428773770505328,7.972101639358778,859600,1230,6898832
2021-08-20,8.01161639345721,8.396885245916927,8.01161639345721,8.347491803293886,676900,1791,5603639
2021-08-23,8.219068852473981,8.495672131163008,8.219068852473981,8.495672131163008,1377600,422,11717647
2021-08-24,8.44627868853997,8.535186885261442,8.26846229509702,8.298098360670846,677300,2069,5736645
2021-08-25,8.258583606572413,8.327734426244671,8.07088852460486,8.238826229523196,350200,685,2910194
2021-08-26,8.1202819672279,8.22894754099859,7.804163934440439,7.804163934440439,440300,852,3519721
2021-08-27,7.991859016407993,7.991859016407993,7.685619672145141,7.843678688538872,432900,582,3425788
2021-08-30,7.863436065588088,7.912829508211128,7.685619672145141,7.685619672145141,585700,1082,4647144
2021-08-31,7.715255737718965,7.853557377063479,7.557196721325235,7.576954098374451,1430800,1040,11239599
2021-09-01,7.655983606571317,7.79428524591583,7.359622950833072,7.438652459029937,665900,1489,5070738
2021-09-02,7.438652459029937,7.537439344276018,7.092898360668651,7.497924590177586,522500,888,3929439
2021-09-03,7.547318032800627,7.547318032800627,7.191685245914734,7.270714754111599,1157300,1913,8470234
2021-09-06,7.270714754111599,7.379380327882288,7.023747540996395,7.3003508196854225,429300,759,3137455
2021-09-08,7.270714754111599,7.379380327882288,6.618721311487461,6.766901639356583,704900,1293,4933355
2021-09-09,6.8953245901764895,7.497924590177586,6.717508196733542,7.497924590177586,1415700,1722,9994645
2021-09-10,7.586832786899059,7.5967114754236675,6.964475409848745,7.201563934439341,693500,2423,5038189
2021-09-13,7.468288524603762,7.468288524603762,6.954596721324138,7.171927868865517,662500,873,4788900
2021-09-14,7.201563934439341,7.310229508210031,7.013868852471786,7.231200000013166,837200,941,6070012
2021-09-15,7.3003508196854225,7.655983606571317,6.984232786897962,6.984232786897962,1057100,1676,7665463
2021-09-16,6.924960655750313,7.112655737717868,6.717508196733542,6.915081967225705,928600,2178,6499996
2021-09-17,6.915081967225705,6.984232786897962,6.549570491815204,6.865688524602665,1902000,1800,12967898
2021-09-20,6.806416393455015,6.806416393455015,6.450783606569122,6.450783606569122,616800,1852,4082611
2021-09-21,6.648357377061285,6.855809836078056,6.549570491815204,6.717508196733542,398200,1049,2683576
2021-09-22,6.717508196733542,6.865688524602665,6.579206557389028,6.608842622962853,594900,1028,4031925
2021-09-23,6.687872131159717,6.757022950831975,6.529813114765988,6.648357377061285,346500,452,2315624
2021-09-24,6.549570491815204,6.589085245913636,6.3223606557492165,6.3223606557492165,483200,891,3134118
2021-09-27,6.3223606557492165,6.46066229509373,5.976606557387931,6.114908196732445,542500,1356,3398033
2021-09-28,6.075393442634013,6.1741803278800935,5.828426229518809,5.986485245912538,1584600,1967,9575021
