Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,0.25,0.26,0.25,0.26,17000,4,4370
2010-01-05,0.26,0.26,0.26,0.26,16000,3,4160
2010-01-06,0.27,0.27,0.25,0.25,6000,3,1580
2010-01-07,0.26,0.27,0.26,0.27,7000,3,1850
2010-01-08,0.25,0.25,0.24,0.24,21000,6,5060
2010-01-11,0.26,0.3,0.26,0.29,189000,36,53160
2010-01-12,0.29,0.29,0.28,0.28,97000,21,27850
2010-01-13,0.29,0.29,0.28,0.28,72000,12,20770
2010-01-14,0.28,0.28,0.28,0.28,19000,6,5320
2010-01-15,0.29,0.34,0.29,0.32,237000,40,75200
2010-01-18,0.34,0.35,0.32,0.32,65000,25,21480
2010-01-19,0.35,0.44,0.35,0.4,504000,107,201010
2010-01-20,0.41,0.45,0.37,0.4,546000,98,223620
2010-01-21,0.41,0.41,0.33,0.37,149000,38,54430
2010-01-22,0.35,0.37,0.35,0.37,17000,7,6070
2010-01-26,0.34,0.37,0.34,0.37,16000,8,5560
2010-01-27,0.38,0.38,0.35,0.35,6000,4,2160
2010-01-28,0.37,0.37,0.35,0.35,14000,5,5000
2010-01-29,0.36,0.36,0.36,0.36,3000,1,1080
2010-02-01,0.34,0.34,0.34,0.34,5000,3,1700
2010-02-02,0.35,0.35,0.35,0.35,1000,1,350
2010-02-03,0.35,0.35,0.35,0.35,5000,3,1750
2010-02-04,0.32,0.32,0.29,0.3,103000,21,32060
2010-02-05,0.32,0.32,0.29,0.31,75000,13,23360
2010-02-08,0.33,0.34,0.32,0.32,101000,13,33370
2010-02-09,0.32,0.4,0.32,0.38,283000,54,103770
2010-02-10,0.49,0.55,0.45,0.46,1020000,107,504850
2010-02-11,0.47,0.48,0.44,0.46,80000,35,36740
2010-02-12,0.44,0.47,0.4,0.44,82000,17,36290
2010-02-17,0.44,0.44,0.44,0.44,10000,5,4400
2010-02-18,0.45,0.47,0.45,0.47,84000,24,38020
2010-02-19,0.45,0.46,0.44,0.44,48000,19,21490
2010-02-22,0.45,0.45,0.43,0.43,19000,9,8390
2010-02-23,0.43,0.43,0.43,0.43,3000,3,1290
2010-02-24,0.44,0.46,0.41,0.44,34000,17,14920
2010-02-25,0.48,0.49,0.46,0.46,59000,22,28360
2010-02-26,0.45,0.45,0.44,0.44,25000,11,11090
2010-03-01,0.45,0.45,0.43,0.43,32000,14,14240
2010-03-02,0.46,0.49,0.45,0.47,135000,37,64400
2010-03-03,0.48,0.49,0.46,0.46,26000,15,12260
2010-03-04,0.46,0.47,0.45,0.45,49000,19,22430
2010-03-05,0.45,0.45,0.44,0.44,26000,12,11510
2010-03-08,0.44,0.44,0.44,0.44,1000,1,440
2010-03-09,0.46,0.46,0.46,0.46,3000,2,1380
2010-03-10,0.45,0.48,0.44,0.45,84000,23,39160
2010-03-11,0.45,0.45,0.45,0.45,2000,1,900
2010-03-12,0.44,0.44,0.44,0.44,2000,2,880
2010-03-15,0.43,0.44,0.4,0.43,56000,13,22990
2010-03-16,0.42,0.46,0.42,0.45,170000,25,74180
2010-03-17,0.47,0.47,0.44,0.44,63000,21,28220
2010-03-18,0.41,0.44,0.41,0.44,2000,2,850
2010-03-19,0.41,0.42,0.41,0.41,7000,4,2880
2010-03-22,0.4,0.43,0.39,0.43,42000,11,16640
2010-03-23,0.46,0.46,0.41,0.44,5000,3,2130
2010-03-24,0.44,0.44,0.42,0.44,37000,7,15980
