Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.18,2.21,2.18,2.2,16700,12,36717
2010-01-05,2.21,2.26,2.2,2.21,17700,16,39893
2010-01-06,2.25,2.26,2.2,2.2,3600,5,8088
2010-01-07,2.26,2.26,2.25,2.26,1600,5,3603
2010-01-08,2.25,2.25,2.21,2.23,5100,5,11372
2010-01-11,2.26,2.62,2.2,2.4,84200,96,201846
2010-01-12,2.4,2.4,2.29,2.36,11100,19,25779
2010-01-13,2.32,2.37,2.23,2.37,12700,19,28668
2010-01-14,2.38,2.43,2.37,2.37,13000,16,31097
2010-01-15,2.4,2.99,2.38,2.6,174500,149,474625
2010-01-18,2.76,2.9,2.61,2.63,29800,32,81424
2010-01-19,2.77,2.91,2.67,2.7,94200,72,260057
2010-01-20,2.75,2.75,2.5,2.54,28100,35,73250
2010-01-21,2.55,2.55,2.48,2.5,9900,17,24736
2010-01-22,2.48,2.5,2.48,2.5,2000,3,4980
2010-01-26,2.42,2.45,2.42,2.42,3200,6,7750
2010-01-27,2.37,2.45,2.36,2.45,500,3,1191
2010-01-28,2.5,2.55,2.4,2.4,5100,7,12875
2010-01-29,2.58,2.58,2.41,2.54,1900,4,4881
2010-02-01,2.54,2.83,2.54,2.77,75000,72,203590
2010-02-02,2.69,2.79,2.68,2.68,47100,51,127956
2010-02-03,2.75,2.8,2.69,2.69,31500,24,85618
2010-02-04,2.69,2.69,2.5,2.5,25700,31,66954
2010-02-05,2.51,2.54,2.22,2.4,41900,54,97428
2010-02-08,2.36,2.48,2.35,2.43,10100,10,24492
2010-02-09,2.48,2.57,2.48,2.5,8000,12,20009
2010-02-10,2.58,2.78,2.44,2.62,72200,251,184842
2010-02-11,2.45,2.7,2.45,2.5,21600,41,55399
2010-02-12,2.47,2.65,2.47,2.65,4800,13,12370
2010-02-17,2.55,2.55,2.48,2.49,25200,15,62815
2010-02-18,2.51,2.61,2.5,2.6,6500,9,16347
2010-02-19,2.51,2.58,2.51,2.57,12000,16,30467
2010-02-22,2.54,2.54,2.5,2.5,4300,11,10892
2010-02-23,2.54,2.54,2.4,2.45,5700,8,14230
2010-02-24,2.41,2.52,2.35,2.42,5000,10,12023
2010-02-25,2.37,2.52,2.35,2.5,18300,16,45230
2010-02-26,2.5,2.5,2.42,2.45,4400,6,10694
2010-03-01,2.43,2.49,2.39,2.49,7700,16,18608
2010-03-02,2.49,2.49,2.49,2.49,300,2,747
2010-03-03,2.41,2.41,2.41,2.41,1900,2,4579
2010-03-05,2.4,2.44,2.39,2.39,3400,8,8169
2010-03-08,2.43,2.43,2.34,2.35,7900,13,18596
2010-03-09,2.37,2.49,2.33,2.49,16500,14,40930
2010-03-10,2.46,2.5,2.42,2.42,8300,6,20477
2010-03-11,2.5,2.5,2.37,2.4,12400,15,29893
2010-03-12,2.41,2.41,2.41,2.41,200,1,482
2010-03-15,2.38,2.38,2.38,2.38,2200,5,5236
2010-03-16,2.46,2.46,2.33,2.33,20200,14,47582
2010-03-17,2.33,2.34,2.33,2.33,2000,3,4670
2010-03-22,2.31,2.35,2.31,2.35,8600,6,20074
2010-03-23,2.3,2.3,2.2,2.25,14700,22,32911
2010-03-24,2.28,2.28,2.26,2.26,4000,5,9099
2010-03-25,2.3,2.43,2.2,2.23,92600,77,208885
2010-03-26,2.36,2.4,2.22,2.24,18500,30,42114
2010-03-29,2.25,2.25,2.2,2.2,18600,14,41321
2010-03-30,2.24,2.25,2.21,2.25,11100,6,24661
2010-03-31,2.25,2.28,2.21,2.28,6300,6,14129
2010-04-01,2.27,2.28,2.24,2.28,1600,6,3639
2010-04-05,2.28,2.28,2.21,2.21,5900,7,13120
2010-04-06,2.23,2.23,2.23,2.23,1500,1,3345
2010-04-07,2.23,2.23,2.22,2.23,4200,5,9349
2010-04-08,2.22,2.39,2.22,2.39,10100,15,23110
2010-04-09,2.26,2.4,2.24,2.4,2900,6,6859
2010-04-12,2.25,2.25,2.25,2.25,200,1,450
2010-04-13,2.26,2.3,2.26,2.3,1700,3,3846
2010-04-14,2.27,2.36,2.27,2.31,1500,4,3450
2010-04-15,2.31,2.32,2.31,2.32,2800,2,6495
