Date,Open,High,Low,Close,Volume,Neg,Fin
2017-07-25,27.9,27.95,27.05,27.27,9298300,11475,256766346
2017-07-26,27.5,27.8,27.26,27.7,1368400,6251,37786689
2017-07-27,27.75,27.85,27.34,27.75,797900,1377,22058034
2017-07-28,27.69,27.69,27.16,27.21,521800,1108,14258179
2017-07-31,27.35,27.39,27.12,27.25,1438800,2340,39246563
2017-08-01,27.42,27.64,27.25,27.6,355200,2401,9755400
2017-08-02,27.56,27.79,27.37,27.79,651900,2225,17935848
2017-08-03,27.59,27.96,27.41,27.65,198900,1338,5509750
2017-08-04,27.65,27.68,27.25,27.25,294000,829,8047462
2017-08-07,27.26,27.5,26.5,26.5,444400,1668,11863724
2017-08-08,26.49,26.49,24.0,25.3,1452800,2291,37353084
2017-08-09,25.09,25.14,24.6,24.85,457100,1335,11352897
2017-08-10,25.0,25.19,24.68,24.8,197000,652,4905321
2017-08-11,24.99,25.47,24.72,25.1,438400,1392,10964312
2017-08-14,25.12,26.4,24.98,26.05,533400,2732,13880295
2017-08-15,26.06,26.34,25.92,26.05,127800,818,3342595
2017-08-16,26.2,26.65,26.11,26.65,691300,1266,18293049
2017-08-17,26.65,26.65,26.24,26.55,453400,824,12024527
2017-08-18,26.55,26.8,26.4,26.78,687100,642,18227788
2017-08-21,26.8,27.0,26.41,27.0,106200,400,2835214
2017-08-22,27.0,27.14,26.79,27.0,153800,545,4154038
2017-08-23,26.94,26.95,26.6,26.8,206400,1039,5527256
2017-08-24,26.94,27.05,26.65,26.98,181300,460,4893590
2017-08-25,26.52,26.8,26.4,26.7,46100,285,1229721
2017-08-28,26.69,27.25,26.68,27.2,191800,579,5188104
2017-08-29,27.2,27.5,27.15,27.31,350200,213,9613622
2017-08-30,27.48,27.54,27.3,27.3,1137800,655,31176645
2017-08-31,27.57,27.62,26.5,27.0,267400,513,7231335
2017-09-01,27.19,27.5,26.64,27.01,310100,1466,8431056
2017-09-04,27.02,27.02,26.41,26.44,157100,1026,4176348
2017-09-05,26.58,26.77,25.35,26.01,810300,1847,21028461
2017-09-06,26.0,26.89,25.71,26.15,510000,1766,13260972
2017-09-08,26.49,26.49,26.05,26.22,230000,157,6016022
2017-09-11,26.22,26.49,26.01,26.01,114700,602,3005041
2017-09-12,26.11,26.39,25.51,25.79,104300,460,2698722
2017-09-13,25.5,25.78,25.25,25.25,333300,856,8466230
2017-09-14,25.3,25.8,24.9,24.94,186000,757,4661796
2017-09-15,25.1,25.7,24.86,24.9,456600,1017,11414235
2017-09-18,24.9,24.9,24.53,24.6,159900,690,3946139
2017-09-19,24.57,24.66,23.97,24.0,791900,1298,19087326
2017-09-20,24.1,24.18,23.17,23.5,932800,1393,22020157
2017-09-21,23.5,23.61,23.0,23.01,1114800,1907,25838084
2017-09-22,23.0,24.04,22.99,24.0,631200,850,14699232
2017-09-25,24.69,25.39,23.84,24.3,792900,1254,19398100
2017-09-26,24.37,25.05,23.91,24.5,467700,1471,11519657
2017-09-27,24.6,24.79,23.8,24.79,60000,269,1456487
2017-09-28,24.79,24.79,24.0,24.0,193300,489,4676193
2017-09-29,23.89,24.2,23.62,24.2,104100,593,2493114
2017-10-02,24.2,24.92,23.95,24.68,71000,502,1735170
2017-10-03,24.69,25.49,24.62,25.49,261700,712,6621203
2017-10-04,25.15,26.48,25.15,26.2,292400,955,7644084
2017-10-05,26.3,26.5,25.78,26.5,110600,707,2897464
2017-10-06,26.6,26.74,26.02,26.4,77900,458,2051763
2017-10-09,26.54,26.6,25.75,26.45,83700,702,2204095
2017-10-10,26.5,26.6,25.91,26.0,221900,596,5809975
2017-10-11,26.39,26.39,25.9,26.25,118200,455,3076589
2017-10-13,26.4,26.4,25.91,26.25,235900,771,6181863
2017-10-16,26.16,26.39,25.96,26.07,161000,487,4215107
2017-10-17,26.22,26.24,25.4,25.6,70100,590,1808537
2017-10-18,25.8,25.81,24.86,25.2,145200,731,3662347
2017-10-19,25.24,25.59,24.86,25.45,51000,450,1285394
2017-10-20,25.71,25.88,24.78,24.8,173500,858,4330079
2017-10-23,24.5,24.53,23.91,23.98,172900,751,4180949
2017-10-24,24.22,24.24,23.1,23.2,696900,1912,16312218
2017-10-25,23.43,23.58,22.75,23.0,870200,1771,19997358
2017-10-26,23.0,23.8,22.8,23.5,419200,1350,9816996
2017-10-27,23.77,23.93,23.44,23.5,287800,1399,6801158
2017-10-30,23.54,23.77,23.39,23.6,393000,1823,9261134
2017-10-31,23.78,23.92,23.46,23.5,274700,1159,6501763
2017-11-01,23.84,23.84,23.48,23.7,307300,1425,7280914
2017-11-03,23.89,24.05,23.36,24.05,298200,1952,7066337
2017-11-06,24.05,24.76,23.86,24.56,316500,880,7673549
2017-11-07,24.62,24.66,24.17,24.4,171100,736,4179957
2017-11-08,24.35,25.04,24.0,24.82,249100,1390,6178815
2017-11-09,24.81,24.93,24.51,24.88,140600,741,3485917
2017-11-10,24.86,25.01,23.82,24.2,399300,1510,9836966
2017-11-13,24.4,25.2,23.92,25.2,289900,653,7142685
2017-11-14,24.75,24.75,23.3,23.3,894700,2105,21242782
2017-11-16,23.33,23.78,22.85,23.15,142700,804,3300387
2017-11-17,22.99,23.26,22.1,22.67,150600,1053,3436958
2017-11-21,23.1,23.1,22.32,22.6,275200,1148,6247400
2017-11-22,22.62,22.83,21.58,22.25,746800,3805,16563248
2017-11-23,22.39,22.39,21.71,22.34,117300,780,2587198
2017-11-24,22.47,22.81,22.14,22.81,226200,944,5072590
2017-11-27,22.5,22.92,21.96,22.28,162000,1292,3601172
2017-11-28,22.25,23.2,22.11,22.97,166100,785,3763032
2017-11-29,23.09,23.14,22.35,22.92,339700,722,7700139
2017-11-30,22.73,22.89,22.2,22.7,192800,1303,4365407
2017-12-01,22.7,23.28,22.31,22.8,134200,871,3050937
2017-12-04,22.93,22.93,22.15,22.3,256400,964,5747141
2017-12-05,22.24,22.62,22.16,22.3,488400,1777,10871983
2017-12-06,22.34,22.46,21.2,21.59,245200,859,5318933
