Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,82.02597,82.02597,79.7981,80.43464,1591200,3375,44334382
2010-01-05,81.01331,81.30264,78.35144,79.13263,1754100,3009,48104299
2010-01-06,78.98797,80.28998,78.55397,79.24837,2075500,2828,57088637
2010-01-07,78.84332,79.56666,77.83063,77.83063,1879400,3877,50885946
2010-01-08,78.14891,78.40931,76.09463,76.09463,1866200,2929,49640292
2010-01-11,78.09104,78.23571,74.70583,75.66064,1918100,5070,50366497
2010-01-12,75.22664,77.33877,74.64798,77.19411,2281500,4038,60199449
2010-01-13,77.77277,77.94637,75.80531,76.09463,1366300,3443,36149214
2010-01-14,76.38398,78.29356,75.2845,75.57384,1975800,3311,52544587
2010-01-15,75.40024,76.5865,74.85051,76.5865,1150600,2498,30097769
2010-01-18,76.76012,77.74384,75.57384,75.83424,950900,1616,25274668
2010-01-19,75.80531,76.8469,75.2845,76.38398,950900,2631,24997277
2010-01-20,75.22664,75.34238,72.36224,73.43275,1777800,3588,45418888
2010-01-21,73.34598,74.35864,70.30798,70.30798,1703800,3775,41987075
2010-01-22,69.55571,72.99877,68.91918,71.75465,1503200,2889,36990318
2010-01-26,70.19225,72.42011,69.12172,71.75465,1626700,3438,39571213
2010-01-27,71.46529,73.11449,70.22118,70.30798,1660700,3214,40934339
2010-01-28,72.04398,72.39117,69.78718,71.32063,1189800,2438,29230910
2010-01-29,72.01504,72.33331,70.0765,70.51051,1095100,3261,27054794
2010-02-01,70.62624,73.37491,70.33691,73.05664,1116100,2709,27821525
2010-02-02,73.77997,75.22664,73.20131,75.22664,1150700,3754,29522805
2010-02-03,75.08199,75.1977,73.49064,75.16878,780200,2123,20082470
2010-02-04,74.3297,74.56118,70.13437,70.13437,1889200,4110,46836946
2010-02-05,67.96438,69.67145,66.05478,67.15424,3062000,5816,71432106
2010-02-08,67.96438,70.91557,67.15424,69.98971,2070800,4705,49848232
2010-02-09,70.30798,72.99877,68.86131,72.99877,3909200,6554,95318747
2010-02-10,73.20131,76.44184,72.10185,76.38398,3426700,4935,88736593
2010-02-11,76.21037,78.69864,75.54491,78.26464,2944900,4690,78482140
2010-02-12,77.77277,78.11996,75.80531,76.96265,939300,2322,25046674
2010-02-17,79.50877,80.69503,78.29356,79.33519,1472200,3205,40514021
2010-02-18,78.90118,80.34784,77.85957,79.27731,1215900,2701,33458996
2010-02-19,78.32252,80.72398,77.59917,79.76917,1686400,2446,46439599
2010-02-22,80.14531,80.89758,79.27731,79.59557,894700,2046,24791507
2010-02-23,79.59848,80.46683,76.41454,78.44069,1346600,2476,18248320
2010-02-24,78.96169,79.59848,77.05133,77.57233,1522100,2358,20592987
2010-02-25,76.00931,78.73013,74.79362,78.55645,2073400,3099,27643152
2010-02-26,78.03545,79.5406,76.81978,79.30903,2155100,2978,29332689
2010-03-01,79.88792,81.91405,79.71426,80.52472,2571400,3563,36029526
2010-03-02,81.27729,82.43508,81.10361,81.74039,1778200,2774,25153492
2010-03-03,81.85617,82.84031,80.17738,80.87207,2794400,3457,39679616
2010-03-04,81.56674,82.14562,78.67224,79.25113,1855700,2786,25678483
2010-03-05,80.87207,81.33517,79.59848,80.29314,2494700,3306,34747156
2010-03-08,80.92994,81.56674,79.5406,80.17738,1951900,2761,27122605
2010-03-09,80.00372,81.50884,79.88792,80.75626,2675600,3976,37294752
