Date,Open,High,Low,Close,Volume,Neg,Fin
2021-04-26,11.637459394980276,12.655860684430548,11.410049398306914,12.655860684430548,10159200,29133,124648430
2021-04-27,12.754734596027662,13.24910415401323,12.339464167319784,12.74484720486795,4000800,7203,51769643
2021-04-28,12.912932854583044,13.723698929679376,12.655860684430548,12.942595028062176,2754700,5921,36243322
2021-04-29,13.001919375020446,13.150230242416116,12.38890112311834,12.804171551826215,2015100,1951,26070896
2021-04-30,12.794284160666503,12.804171551826215,12.38890112311834,12.655860684430548,2276000,5707,29042481
2021-05-03,12.655860684430548,12.705297640229103,12.210928082243536,12.359238949639206,1013500,1848,12666844
2021-05-04,12.260365038042092,12.715185031388817,12.072504606007575,12.428450687757186,1462400,1390,18569456
2021-05-05,12.290027211521226,12.487775034715456,12.16149112644498,12.210928082243536,570800,2082,7087117
2021-05-06,12.24059025572267,12.556986772833431,12.062617214847863,12.062617214847863,386100,1111,4764779
2021-05-07,12.151603735285269,12.319689385000364,11.845094609334216,12.062617214847863,1030600,1485,12469440
2021-05-10,12.082391997167289,12.339464167319784,11.87475678281335,11.963743303250752,354600,616,4298244
2021-05-11,11.88464417397306,12.191153299924114,11.775882871216236,12.062617214847863,747500,738,9104221
2021-05-12,12.013180259049308,12.16149112644498,11.864869391653638,11.914306347452197,838800,954,10120459
2021-05-13,11.943968520931328,12.636085902111123,11.934081129771618,12.45811286123632,530900,1210,6634349
2021-05-14,12.556986772833431,14.78164978376849,12.556986772833431,14.227955878824655,1396000,1723,19300269
2021-05-17,14.218068487664944,14.514690222456284,14.040095446790138,14.307055008102346,121300,384,1753323
2021-05-18,14.307055008102346,14.307055008102346,13.8324602324362,14.109307184908117,299800,1143,4247365
2021-05-19,13.9214467528736,14.33671718158148,13.476514150686592,13.75336110315851,351700,1710,4928380
2021-05-20,13.881897188234756,14.534465004775706,13.545725888804569,14.534465004775706,1155200,730,16288043
2021-05-21,14.534465004775706,14.712438045650511,14.04998283794985,14.326829790421767,363000,818,5256074
2021-05-24,14.326829790421767,14.623451525213108,14.109307184908117,14.623451525213108,528200,1067,7768248
2021-05-25,14.732212827969937,15.50342933842742,14.574014569414553,15.305681515233193,1785900,1299,27501858
2021-05-26,15.463879773788577,15.87915020249645,15.098046300879254,15.85937542017703,352900,958,5586740
2021-05-27,15.661627596982802,16.80856497150932,15.523204120746842,16.254871066565485,472800,1262,7777582
2021-05-28,16.52183062787769,16.561380192516538,15.770388899739627,16.21532150192664,467400,1517,7606226
2021-05-31,16.21532150192664,17.421583223411425,15.79016368205905,16.51194323671798,1012400,2519,16716087
2021-06-01,16.99642540354384,17.144736270939507,16.43284410744029,16.50205584555827,591700,1178,9992631
2021-06-02,17.293047138335176,17.53034452616825,16.966763230064704,17.105186706300664,2012000,5440,35080322
2021-06-04,17.302934529494888,17.90606539023728,17.09529931514095,17.09529931514095,3782200,5965,65849834
2021-06-07,17.09529931514095,17.757754522841612,17.09529931514095,17.32270931181431,1939200,3705,34377052
2021-06-08,17.550119308487673,18.786043203451595,17.18428583557835,17.69843017588334,1157800,5021,20837916
2021-06-09,17.896177999077572,17.995051910674682,16.85800192730788,17.550119308487673,1293300,4313,22823272
2021-06-10,17.32270931181431,17.728092349362477,17.134848879779796,17.550119308487673,474400,1617,8347861
2021-06-11,17.421583223411425,17.797304087480455,16.986538012384123,17.797304087480455,451100,1251,7948929
2021-06-14,17.73797974052219,18.16313756038977,17.421583223411425,17.728092349362477,628700,2356,11246232
2021-06-15,17.728092349362477,17.787416696320744,17.500682352689115,17.560006699647385,567100,2888,10097288
2021-06-16,17.59955626428623,17.757754522841612,17.035974968182682,17.035974968182682,400300,1894,7020088
2021-06-17,17.2238354002172,17.273272356015752,16.482281063238847,16.85800192730788,516900,2149,8788834
2021-06-18,16.85800192730788,17.312821920654603,16.719578451071918,17.312821920654603,256700,1183,4438625
2021-06-21,17.421583223411425,17.757754522841612,16.680028886433075,16.680028886433075,379100,1456,6495377
2021-06-22,16.680028886433075,16.848114536148167,16.324082804683464,16.640479321794224,299800,1251,5028926
2021-06-23,16.541605410197114,17.075524532821525,16.541605410197114,16.848114536148167,214000,603,3654821
2021-06-24,16.85800192730788,17.37214626761287,16.838227144988455,16.917326274266145,646100,1209,11096397
2021-06-25,16.917326274266145,17.273272356015752,16.561380192516538,16.610817148315093,683300,1607,11716379
2021-06-28,16.620704539474804,17.01620018586326,16.51194323671798,16.709691059912206,406400,727,6879066
2021-06-29,16.709691059912206,17.23372279137691,16.709691059912206,17.204060617897774,283600,468,4912205
2021-06-30,17.15462366209922,18.04448886647324,17.01620018586326,17.01620018586326,1400000,2922,24497741
2021-07-01,17.09529931514095,17.302934529494888,16.43284410744029,17.09529931514095,1668700,2479,28387042
2021-07-02,17.15462366209922,17.411695832251713,16.976650621224415,16.976650621224415,192300,853,3342581
2021-07-05,16.976650621224415,17.075524532821525,15.9186997671353,16.46250628091942,2428400,4090,40071093
2021-07-06,16.343857587002887,16.689916277592783,16.324082804683464,16.610817148315093,2114300,1918,35281725
2021-07-07,16.610817148315093,17.09529931514095,16.610817148315093,16.907438883106437,397700,1003,6795480
2021-07-08,16.591042365995673,16.848114536148167,16.353744978162595,16.472393672079136,1134000,3698,19057133
2021-07-12,16.699803668752494,17.273272356015752,16.551492801356822,17.273272356015752,4883400,2105,83813357
2021-07-13,17.302934529494888,18.548745815618524,17.302934529494888,18.38066016590343,1880000,2843,34054945
2021-07-14,18.40043494822285,18.75638102997246,18.014826692994102,18.291673645466027,1260900,3003,23478173
2021-07-15,18.32133581894516,19.201313632159472,18.30156103662574,18.53885842445881,930800,4065,17644826
2021-07-16,18.64761972721564,19.35951189071485,18.62784494489621,19.35951189071485,4546200,1693,87345198
2021-07-19,19.369399281874564,19.666021016665905,18.360885383584005,18.63773233605593,3182700,2574,59850994
2021-07-20,18.667394509535058,18.924466679687555,18.291673645466027,18.64761972721564,459100,1212,8696790
2021-07-21,19.10243972056236,19.76489492826302,19.10243972056236,19.438611019992543,3054300,11199,59959237
2021-07-22,19.438611019992543,19.97253014261696,19.28041276143716,19.755007537103307,2014100,4185,40038962
2021-07-23,19.755007537103307,20.05162927189465,19.24086319679832,19.47816058463139,1298700,1385,25731672
2021-07-26,19.97253014261696,20.259264486248583,19.53748493158966,19.55725971390908,704900,2332,14141000
2021-07-27,19.606696669707635,19.715457972464463,18.786043203451595,19.033227982444377,467200,2249,9021549
2021-07-28,19.19142624099976,19.577034496228503,18.884917115048708,19.181538849840045,400000,1755,7770826
2021-07-29,19.19142624099976,19.76489492826302,19.04311537360409,19.76489492826302,296900,1081,5871255
2021-07-30,19.6561336255062,19.85388144870042,19.112327111722067,19.28041276143716,760000,1920,14874501
2021-08-02,19.47816058463139,19.577034496228503,18.77615581229188,18.77615581229188,418200,1321,8009105
2021-08-03,18.49930885981997,19.181538849840045,17.985164519514974,18.81570537693073,1126700,2589,21385681
2021-08-04,18.795930594611303,18.795930594611303,18.17302495154949,18.657507118375342,2097700,1954,39131857
2021-08-05,18.884917115048708,19.00356580896524,18.291673645466027,18.716831465333613,409900,1145,7710627
2021-08-06,18.716831465333613,18.716831465333613,18.242236689667468,18.64761972721564,442600,2290,8261579
2021-08-09,18.568520597937944,18.68716929185448,18.0939258222718,18.39054755706314,427700,1093,7951005
2021-08-10,18.39054755706314,19.0530027647638,18.28178625430631,18.53885842445881,444300,2205,8350671
2021-08-11,18.706944074173904,18.716831465333613,17.856628434438726,18.53885842445881,643300,2226,11921366
2021-08-12,18.578407989097656,18.786043203451595,18.014826692994102,18.19279973386891,606700,1495,11229301
2021-08-13,18.291673645466027,19.45838580231197,17.500682352689115,18.934354070847263,1873500,5316,35353586
2021-08-16,19.08266493824293,19.32984971723572,18.410322339382564,18.77615581229188,800300,5232,15195907
2021-08-17,18.50919625097968,18.50919625097968,16.966763230064704,18.271898863146603,6330600,6092,113305294
2021-08-18,18.271898863146603,18.37077277474372,17.71820495820277,18.0939258222718,872600,2771,15886589
2021-08-19,17.728092349362477,18.97390363548611,17.550119308487673,18.81570537693073,1588800,2370,29275434
2021-08-20,18.420209730542272,19.42872362883283,18.420209730542272,19.369399281874564,592100,2701,11463887
2021-08-23,19.37928667303428,19.82421927522129,18.786043203451595,18.786043203451595,301600,1100,5847587
2021-08-24,19.0530027647638,19.0530027647638,18.6179575537365,18.68716929185448,580000,2195,11021854
2021-08-25,18.60807016257679,18.795930594611303,18.23234929850776,18.77615581229188,278800,881,5260799
2021-08-26,18.706944074173904,18.884917115048708,17.797304087480455,17.797304087480455,550900,2677,10132621
2021-08-27,17.995051910674682,18.103813213431508,17.53034452616825,17.53034452616825,1039600,2629,18695512
2021-08-30,17.61933104660565,18.34111060126458,17.421583223411425,17.96538973719555,1104300,5087,20121746
2021-08-31,17.96538973719555,18.430097121701984,17.71820495820277,17.728092349362477,913700,2986,16515526
2021-09-01,17.757754522841612,17.90606539023728,17.105186706300664,17.550119308487673,501100,1115,8922796
2021-09-02,17.53034452616825,17.53034452616825,16.798677580349608,16.828339753828743,342800,1543,5932355
2021-09-03,17.055749750502105,17.09529931514095,16.30430802236404,16.65036671295394,1603800,2663,27051745
2021-09-06,16.492168454398556,16.85800192730788,16.393294542801442,16.80856497150932,190100,614,3214667
2021-09-08,16.80856497150932,16.917326274266145,15.819825855538184,15.819825855538184,672100,2298,10960842
2021-09-09,15.908812375975586,16.383407151641734,15.829713246697898,16.15599715496837,421100,1384,6871593
2021-09-10,16.30430802236404,16.581154974835957,16.06701063453097,16.254871066565485,4201100,1642,69060863
2021-09-13,16.46250628091942,16.80856497150932,16.01757367873241,16.126334981489236,1679400,2121,27499965
2021-09-14,16.116447590329525,16.729465842231633,16.01757367873241,16.729465842231633,1685200,2159,27922888
2021-09-15,16.818452362669035,17.352371485293446,16.27464584888491,17.02608757702297,719500,2735,12320328
2021-09-16,16.907438883106437,16.95687583890499,16.324082804683464,16.620704539474804,449000,1848,7527384
