Date,Open,High,Low,Close,Volume,Neg,Fin
2018-04-23,17.94102,20.33315,17.84217,20.01684,41313700,40115,790499616
2018-04-24,20.46166,21.35129,20.38258,20.38258,5087900,10723,106576482
2018-04-25,20.36281,20.65935,19.62144,19.76972,5177200,17738,104987918
2018-04-26,20.01684,20.65935,19.52259,19.96741,5738200,5373,115230639
2018-04-27,20.20465,20.39246,19.50283,20.39246,6204200,2831,124191328
2018-04-30,20.38258,20.38258,19.95753,20.16511,174200,109,3551221
2018-05-02,19.87845,20.41223,19.87845,20.41223,2227700,1919,45335071
2018-05-03,20.31338,20.35292,20.01684,20.16511,1007700,1163,20594985
2018-05-04,19.88834,20.22442,19.86857,20.16511,154300,499,3127329
2018-05-07,20.05638,20.92624,19.73018,20.16511,239300,669,4890926
2018-05-08,20.01684,20.5605,20.01684,20.26396,91200,149,1871007
2018-05-09,20.26396,20.55062,20.16511,20.26396,269800,188,5523090
2018-05-10,20.61981,20.61981,20.25407,20.26396,5225200,426,107195399
2018-05-11,20.26396,20.41223,19.88834,20.41223,1580200,569,32271859
2018-05-14,20.42212,20.9559,20.07615,20.51108,559500,2959,11578832
2018-05-15,19.97729,20.21453,19.76972,19.91799,2249300,3329,45335443
2018-05-16,19.63133,19.96741,19.63133,19.96741,350400,1078,7044545
2018-05-17,19.97729,20.51108,19.96741,20.48142,986600,973,20215466
2018-05-18,20.13546,20.93613,20.13546,20.51108,1187100,2497,24641007
2018-05-21,20.5605,21.72692,20.26396,20.7582,4582000,847,95796635
2018-05-22,20.77797,21.46991,20.76809,21.23268,282100,325,6016403
2018-05-23,21.21291,22.72529,21.21291,21.79611,2204400,822,48391352
2018-05-24,21.46002,22.01358,20.80762,21.74669,1086200,3296,23613616
2018-05-25,21.91473,21.91473,21.42049,21.49957,140600,516,3061581
2018-05-28,22.03335,22.03335,20.51108,21.05475,303800,456,6475811
2018-05-29,21.04486,21.72692,20.77797,21.26233,2374100,1152,50477529
2018-05-30,21.36118,22.19151,20.85705,21.25244,276300,1542,5944896
2018-06-01,21.4106,22.09266,21.0844,21.7368,791400,4472,17302264
2018-06-04,22.12231,22.60667,21.75657,21.94439,2224100,2155,49684545
2018-06-05,21.94439,22.04323,21.46002,21.64784,1203300,1832,26497518
2018-06-06,21.25244,21.91473,21.25244,21.54899,2970300,1170,65056492
2018-06-07,21.2821,21.2821,20.31338,20.66924,1112800,1985,23336936
2018-06-08,21.05475,21.63795,20.76809,21.00533,680200,4848,14455832
2018-06-11,21.22279,21.4798,20.83728,21.45014,242200,485,5221971
2018-06-12,21.61819,21.71703,20.93613,21.46002,2151900,930,46205812
2018-06-13,21.14371,22.12231,21.14371,21.9345,2890300,892,63457424
2018-06-14,21.99381,23.25907,21.96416,22.74506,1581500,1356,35591521
2018-06-15,22.75494,23.27884,21.45014,22.93287,1014500,1966,23378361
2018-06-18,22.54736,23.37769,22.43863,23.13057,1030500,1178,23637727
2018-06-19,23.13057,23.71377,22.86368,23.32827,1440500,1959,33998741
2018-06-20,23.72366,24.69238,23.72366,23.97078,2511400,2807,61322043
2018-06-21,24.25744,25.28547,23.28873,23.67424,2214900,3398,53945864
2018-06-22,23.87193,24.2179,22.49794,22.7846,1888800,2429,43848152
2018-06-25,22.66598,23.22942,22.37932,22.81425,332500,1680,7703072
2018-06-26,22.6561,22.89333,22.09266,22.1322,908700,2486,20704930
2018-06-27,22.15197,23.18988,21.59842,21.90485,828400,1364,18808121
2018-06-28,21.74669,21.77634,20.9559,21.45014,1601900,1433,34656637
2018-06-29,21.72692,21.95427,20.9559,21.35129,1262100,4558,27426145
2018-07-02,21.10417,21.40072,20.81751,21.25244,474000,1313,10176576
2018-07-03,21.05475,21.6775,20.97567,21.25244,776100,435,16689853
2018-07-04,21.25244,22.22116,21.20302,22.22116,33100,136,731318
2018-07-05,22.063,22.063,21.31175,21.81588,278400,1007,6093258
2018-07-06,21.59842,22.02346,21.39083,21.57865,162900,480,3579827
2018-07-10,21.36118,21.88508,21.31175,21.74669,283500,2299,6197628
2018-07-11,21.88508,22.29035,21.65772,22.12231,465700,503,10365172
2018-07-12,21.99381,22.83402,21.66761,22.79448,431900,712,9814303
2018-07-13,22.92299,24.19813,22.73517,23.57539,252600,687,5976500
2018-07-16,23.32827,23.80274,23.17011,23.72366,2442200,1656,58528148
2018-07-17,23.72366,23.95101,23.67424,23.82251,807000,1397,19438703
2018-07-18,23.64458,24.03997,23.6347,24.03009,503400,1256,12196971
2018-07-19,24.25744,25.09766,23.97078,24.36618,1549600,2012,38218899
2018-07-20,24.95927,25.4634,24.75168,24.98892,553200,1409,14067945
2018-07-23,25.1372,25.1372,24.48479,24.48479,578900,812,14518000
2018-07-24,24.85053,24.86042,23.57539,24.2179,831200,1156,20326042
2018-07-25,24.24756,24.46502,24.2179,24.2179,688800,1085,16886034
2018-07-26,24.23767,24.35629,23.9609,24.2179,3069100,1135,75195388
2018-07-27,24.31675,25.09766,24.22779,24.4156,270500,821,6668934
2018-07-30,24.84065,24.86042,24.11905,24.11905,495700,1123,12179976
2018-07-31,24.11905,24.30687,22.88345,24.2179,794400,2969,19143051
2018-08-01,24.27721,24.55399,23.33815,24.2179,1190600,5394,28734507
2018-08-02,24.2179,24.66272,24.03009,24.2179,907300,1915,22301757
2018-08-03,24.44525,24.77146,24.22779,24.53422,87100,483,2170046
2018-08-06,24.71214,24.71214,24.2179,24.2179,93400,298,2294453
2018-08-07,24.2179,24.38594,22.63633,23.72366,4768400,5244,116040235
2018-08-08,23.44688,23.79285,23.32827,23.72366,589700,1392,14120483
2018-08-09,24.01032,24.38594,23.25907,23.72366,567800,2389,13518843
2018-08-10,23.8917,23.92136,23.17999,23.72366,1033700,2916,24763308
2018-08-13,23.72366,24.2179,23.72366,23.97078,75800,319,1828052
2018-08-14,23.8917,24.57376,23.38758,23.97078,335500,1510,8127775
2018-08-15,23.72366,24.76157,23.64458,24.31675,1050100,1437,25291784
2018-08-16,24.31675,25.30524,24.13882,25.30524,1382800,1340,34485069
2018-08-17,25.30524,25.45351,24.99881,25.33489,743400,3074,19002776
2018-08-20,25.29535,25.62155,25.10754,25.45351,436700,823,11224092
2018-08-21,25.38432,25.38432,24.03997,24.73192,842500,1795,21213391
2018-08-22,24.64295,24.811,24.4156,24.6133,259700,594,6468267
2018-08-23,24.62318,24.92961,23.55562,23.77308,611600,1050,15006519
2018-08-24,24.06963,24.44525,24.05975,24.17836,101800,264,2486143
2018-08-27,24.43537,24.70226,24.14871,24.51445,127500,428,3151990
2018-08-28,25.24593,25.3942,24.56387,25.30524,150200,957,3824278
2018-08-29,25.21627,25.33489,24.80111,25.04823,762900,1175,19326809
2018-08-30,24.82088,24.94938,24.71214,24.76157,809700,404,20400189
2018-08-31,24.73192,25.20639,24.43537,25.20639,2457700,4276,61575415
2018-09-03,24.82088,25.45351,24.811,24.86042,129800,771,3293442
2018-09-04,24.94938,24.94938,23.73354,24.2179,652700,4672,15940679
2018-09-05,23.94113,24.60341,23.94113,24.23767,112900,332,2788823
2018-09-06,25.58201,26.14545,24.90984,24.90984,1884200,7146,48453706
2018-09-10,25.00869,25.44362,24.6726,24.92961,2087500,1530,52653269
2018-09-11,25.11742,25.18662,24.84065,25.12731,699200,1327,17703419
2018-09-12,25.15697,25.4634,24.96915,24.96915,1858500,1068,47582240
2018-09-13,25.10754,25.10754,23.94113,24.40571,400300,2032,9915717
2018-09-14,24.58364,25.14708,24.03997,24.99881,142500,896,3543866
2018-09-17,24.99881,25.45351,24.88019,25.30524,617500,798,15757028
2018-09-18,24.86042,25.32501,24.86042,25.10754,449700,1127,11449514
2018-09-19,24.86042,25.10754,24.72203,24.95927,626700,845,15846161
2018-09-20,24.97904,25.43374,24.8703,25.20639,355100,819,8996845
2018-09-21,25.12731,25.70063,25.11742,25.30524,943300,445,24156800
2018-09-24,25.36455,26.32338,24.72203,25.50293,1117500,3216,28393705
2018-09-25,25.24593,26.39257,25.24593,26.19487,175000,980,4589325
2018-09-26,26.39257,27.6776,26.39257,27.18336,444600,1965,12226805
2018-09-27,27.18336,27.55898,26.29372,26.61992,683900,2083,18378025
2018-09-28,26.5705,27.16359,24.76157,26.06637,2154700,2585,56660053
2018-10-01,26.23442,26.3728,25.85879,26.18499,380500,1696,10078898
2018-10-02,26.05649,26.74843,25.35466,25.35466,595100,3922,15507809
2018-10-03,25.94775,26.01694,24.78134,24.90984,499400,2208,12718065
2018-10-04,24.90984,25.38432,24.20802,24.20802,367300,1735,9144108
2018-10-05,24.36618,24.68249,22.4584,23.24919,341500,1983,8105584
2018-10-08,23.87193,24.4156,23.38758,24.17836,1264700,4258,30893952
2018-10-09,24.42548,25.24593,23.97078,24.34641,806800,2073,19964434
2018-10-10,24.22779,25.16685,23.90159,23.99055,473000,1725,11759905
2018-10-11,24.06963,24.39583,22.85379,23.74343,403500,3221,9608850
2018-10-15,24.0894,24.49468,23.55562,23.99055,6671600,4212,160525922
2018-10-16,24.11905,24.12894,23.45677,23.99055,831700,3513,20040058
2018-10-17,23.97078,24.38594,23.72366,23.98067,855900,2006,20799814
2018-10-18,24.0202,24.49468,23.79285,24.16848,1114800,3697,27266158
2018-10-19,24.45514,24.45514,23.82251,24.16848,413800,2036,10077154
2018-10-22,24.71214,24.71214,23.57539,24.18825,567600,3240,13815168
2018-10-23,24.10917,24.18825,23.46665,23.72366,454600,1857,10979528
2018-10-24,23.85216,23.90159,22.88345,23.32827,511500,2514,12077196
2018-10-25,23.49631,23.9609,23.32827,23.46665,363700,1913,8695947
2018-10-26,23.62481,23.84228,23.24919,23.72366,806900,1519,19091427
2018-10-29,23.71377,24.23767,23.61493,23.71377,617300,2105,14865858
2018-10-30,23.87193,24.10917,22.39909,23.52596,1771400,2284,42195604
2018-10-31,23.85216,24.57376,22.85379,23.85216,461300,2534,10990363
2018-11-01,24.13882,25.08777,23.82251,24.23767,570900,3733,14145470
2018-11-05,24.2179,25.44362,24.07951,24.85053,224000,1226,5643353
2018-11-06,24.62318,24.7418,24.03997,24.11905,533000,1742,13083109
2018-11-07,23.91147,25.15697,23.91147,25.03835,795400,2618,19917771
2018-11-08,24.85053,25.64132,24.7418,25.4634,612900,2765,15495847
2018-11-09,25.65121,26.54084,25.36455,26.2443,1021800,3812,26930061
2018-11-12,26.16522,26.16522,25.67098,26.09603,280600,1661,7396928
2018-11-13,26.49142,27.95438,26.06637,27.6183,1480200,6993,40584893
2018-11-14,27.36129,27.36129,26.47165,27.04497,2037600,3655,55526983
2018-11-16,27.31186,27.84565,26.699,27.28221,1004300,4687,27858306
2018-11-19,27.28221,27.53922,26.95601,27.01532,1192600,2499,32764484
2018-11-21,26.77808,27.18336,25.43374,25.70063,1868100,4126,49866657
2018-11-22,25.70063,26.93624,24.07951,26.34315,1271500,4770,32075051
2018-11-23,26.34315,26.36292,25.67098,25.89833,764200,2305,20097889
2018-11-26,25.5919,26.10591,24.68249,24.9395,494900,3028,12596811
2018-11-27,25.25581,25.92798,25.05812,25.78959,1203400,7778,31086862
2018-11-28,25.92798,27.3514,25.55236,27.18336,1222500,5570,33222478
2018-11-29,27.13394,27.6776,26.60015,27.47991,604600,2739,16697655
2018-11-30,27.68749,27.8753,27.27233,27.57876,1027800,4108,28706753
2018-12-03,27.6183,29.08125,27.6183,27.97415,645200,3852,18475985
2018-12-04,28.25093,29.48653,28.02357,28.09277,1268000,3779,37139309
2018-12-05,27.98403,28.11254,26.81762,26.97578,746700,4299,20592037
2018-12-06,26.45188,27.60841,25.8489,27.60841,5535300,14411,150439490
2018-12-07,27.60841,27.60841,26.98566,27.13394,8637800,11024,237973249
2018-12-10,27.16359,27.24267,26.68912,27.14382,3263100,10285,89518275
2018-12-11,26.98566,27.38106,26.97578,27.28221,1305800,3171,35934518
2018-12-12,27.29209,28.073,27.29209,28.073,1234100,3855,34501686
2018-12-13,27.90495,27.90495,27.52933,27.90495,1852300,4378,52086270
2018-12-14,27.92473,29.16033,27.73691,28.66609,1082100,3429,31320094
2018-12-17,28.48816,28.75505,28.33989,28.56724,2219600,4127,64202997
2018-12-18,28.62655,28.80448,28.36954,28.66609,1420100,4923,41113216
2018-12-19,29.65458,29.704,29.2493,29.46676,4580900,4358,136573806
2018-12-20,29.65458,30.08951,28.09277,28.77482,7926300,11346,235233435
2018-12-21,29.06149,29.25918,27.50956,27.91484,6936600,7651,196738933
2018-12-26,28.01369,28.46839,27.68749,28.02357,1583700,4092,45218922
2018-12-27,28.073,28.38931,27.65783,27.65783,1183400,2815,33648854
2018-12-28,28.11254,28.90333,28.04334,28.74517,1351300,5479,39122226
2019-01-02,28.74517,29.3778,28.68586,29.21964,1826000,5198,53920250
2019-01-03,29.34814,29.5063,28.89344,29.16033,1298000,6977,38287229
