Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,9.87188,9.87188,9.43015,9.79506,658000,1308,6667471
2010-01-05,9.81427,9.86228,9.67022,9.80466,372800,283,3805928
2010-01-06,9.70863,9.86228,9.6126,9.74704,2073900,241,20937032
2010-01-07,9.71824,9.76625,9.55499,9.69903,292300,285,2945769
2010-01-08,9.71824,9.74704,9.38213,9.55499,966800,124,9614888
2010-01-11,9.55499,9.68943,9.51657,9.603,1054700,265,10544452
2010-01-12,9.58379,9.5934,9.13245,9.36293,179100,148,1743870
2010-01-13,9.42054,9.44935,9.08444,9.08444,195000,329,1874665
2010-01-14,9.08444,9.35332,9.03642,9.35332,295300,452,2812080
2010-01-15,9.21888,9.36293,9.21888,9.36293,103700,225,1007782
2010-01-18,9.40134,9.41094,9.17087,9.31491,256600,119,2481475
2010-01-19,9.33412,9.69903,9.2669,9.603,441200,537,4367508
2010-01-20,9.42054,9.51657,9.21888,9.36293,480100,234,4673177
2010-01-21,9.41094,9.74704,9.12285,9.31491,259400,450,2503731
2010-01-22,9.20928,9.38213,9.17087,9.31491,111200,159,1071515
2010-01-26,9.2861,9.32451,8.94039,9.21888,132600,188,1255818
2010-01-27,9.17087,9.17087,8.59468,8.81555,536800,555,4968304
2010-01-28,9.01722,9.02682,8.85397,9.02682,143900,93,1338176
2010-01-29,9.06523,9.19967,8.90198,9.02682,109900,128,1034961
2010-02-01,9.18047,9.31491,9.17087,9.21888,52400,254,503742
2010-02-02,9.31491,9.31491,8.97881,9.02682,402400,143,3807685
2010-02-03,9.03642,9.20928,8.85397,8.93079,311000,152,2904758
2010-02-04,8.87317,8.97881,8.55627,8.6331,246600,225,2256895
2010-02-05,8.62349,8.73873,8.12414,8.73873,470500,485,4103733
2010-02-08,8.53707,8.82516,8.53707,8.59468,94300,61,848924
2010-02-09,8.73873,9.17087,8.69072,9.17087,86500,225,806027
2010-02-10,9.02682,9.11325,8.78675,8.93079,113500,68,1059069
2010-02-11,9.11325,9.11325,8.6427,8.74833,38500,47,356406
2010-02-12,8.92119,8.92119,8.61389,8.6331,129800,73,1168729
2010-02-17,8.73873,8.83476,8.69072,8.69072,78000,63,709284
2010-02-18,8.73873,9.02682,8.54667,8.83476,318200,135,2906590
2010-02-19,8.93079,9.19967,8.93079,9.02682,57500,90,540935
2010-02-22,9.02682,9.10364,8.78675,9.02682,140100,60,1292738
2010-02-23,9.01722,9.30531,8.78675,9.30531,80200,124,757645
2010-02-24,9.21888,9.35332,9.02682,9.32451,82500,79,793733
2010-02-25,9.07483,9.31491,9.07483,9.31491,111500,151,1067374
2010-02-26,9.31491,9.31491,8.88278,8.97881,685800,614,6395941
2010-03-01,8.81555,9.12285,8.81555,9.12285,443300,121,4098534
2010-03-02,9.07483,9.12285,8.94039,9.12285,132100,169,1245259
2010-03-03,9.17087,9.19967,8.83476,9.00761,1028600,113,9648517
2010-03-04,9.02682,9.09404,8.95,9.02682,51200,41,481041
2010-03-05,9.11325,9.11325,8.84436,9.01722,203600,240,1899622
2010-03-08,8.88278,9.02682,8.83476,8.93079,161600,98,1505973
2010-03-09,8.93079,9.02682,8.84436,8.90198,130000,69,1207518
2010-03-10,8.86357,8.93079,8.71952,8.73873,125400,117,1146928
2010-03-11,8.71952,8.71952,8.29699,8.54667,191300,161,1698710
2010-03-12,8.55627,8.79635,8.52746,8.78675,165400,110,1486710
2010-03-15,8.78675,8.86357,8.74833,8.80595,436100,105,3996867
2010-03-16,8.83476,8.92119,8.80595,8.88278,270600,423,2502851
2010-03-17,8.93079,9.07483,8.77714,8.93079,288900,326,2694334
2010-03-18,8.94039,9.00761,8.78675,8.86357,211100,141,1945080
2010-03-19,8.91158,8.93079,8.80595,8.87317,594900,113,5492019
2010-03-22,8.87317,8.87317,8.75794,8.78675,122700,308,1124380
2010-03-23,8.89238,8.89238,8.74833,8.82516,368200,132,3384270
2010-03-24,8.83476,8.83476,8.56588,8.56588,107900,97,971176
2010-03-25,8.6427,8.73873,8.60429,8.6427,59000,71,531066
2010-03-26,8.6427,8.6427,8.49866,8.53707,422600,54,3763787
2010-03-29,8.72913,8.73873,8.37382,8.54667,172200,185,1526054
2010-03-30,8.6331,8.6427,8.51786,8.54667,93600,239,834049
2010-03-31,8.56588,8.56588,8.30659,8.35461,349600,168,3057355
2010-04-01,8.45064,8.46024,8.20096,8.20096,284100,175,2462062
2010-04-05,8.30659,8.35461,8.25858,8.3162,342500,298,2977421
2010-04-06,8.42183,8.43143,8.30659,8.30659,179700,511,1563339
2010-04-07,8.34501,8.34501,8.18176,8.18176,200700,265,1727482
2010-04-08,8.18176,8.42183,7.9993,8.42183,173200,159,1480069
2010-04-09,8.35461,8.42183,8.26818,8.3354,338400,81,2939469
2010-04-12,8.18176,8.25858,8.07612,8.07612,171100,130,1457068
2010-04-13,8.16255,8.16255,7.6824,7.6824,393400,262,3193044
2010-04-14,7.77843,7.93208,7.6824,7.82645,416000,795,3389880
2010-04-15,7.79764,7.87446,7.63439,7.63439,198400,209,1600077
2010-04-16,7.6824,7.86486,7.52875,7.73042,338200,200,2725803
2010-04-19,7.58637,7.77843,7.50955,7.77843,146200,127,1175223
2010-04-20,7.73042,7.75922,7.6824,7.73042,135100,58,1087186
2010-04-22,7.66319,7.73042,7.62478,7.73042,126400,88,1011447
2010-04-23,7.77843,7.95128,7.71121,7.95128,103700,56,843148
2010-04-26,7.84565,7.94168,7.77843,7.92248,192200,81,1569514
2010-04-27,7.85525,7.87446,7.61518,7.75922,315900,263,2552946
2010-04-28,7.692,7.82645,7.65359,7.73042,229000,83,1834585
2010-04-29,7.77843,7.77843,7.58637,7.70161,111200,80,889042
2010-04-30,7.70161,7.73042,7.59597,7.73042,130500,103,1042854
2010-05-03,7.89,8.05,7.89,7.99,61000,124,486942
2010-05-04,7.97,7.99,7.7,7.77,226100,73,1773380
2010-05-05,7.75,7.8,7.51,7.75,121900,63,942653
2010-05-06,7.59,7.99,7.15,7.5,431700,102,3285788
2010-05-07,7.41,7.55,7.18,7.5,1294100,201,9672361
2010-05-10,7.57,7.75,7.57,7.66,44800,66,345179
2010-05-11,7.7,7.7,7.38,7.45,254600,130,1911236
2010-05-12,7.4,7.5,7.17,7.25,753600,176,5484206
2010-05-13,7.21,7.34,7.21,7.31,144400,73,1052686
2010-05-14,7.35,7.35,7.12,7.18,521600,169,3756229
2010-05-17,7.15,7.2,7.04,7.15,100800,65,717712
2010-05-18,7.11,7.19,6.91,7.1,112800,60,798310
2010-05-19,6.93,7.0,6.71,6.9,271100,356,1869388
2010-05-20,6.8,7.1,6.41,6.8,344000,162,2279978
2010-05-21,6.8,6.8,6.35,6.37,537200,280,3472400
2010-05-24,6.44,6.46,6.3,6.4,252400,68,1615121
2010-05-25,6.36,6.36,6.1,6.34,82600,64,515113
2010-05-26,6.45,6.6,6.36,6.38,156500,78,1004433
2010-05-27,6.6,6.6,6.38,6.55,724900,212,4665326
2010-05-28,6.59,6.67,6.4,6.4,64300,53,418526
2010-05-31,6.4,6.59,6.4,6.59,69800,31,457775
2010-06-01,6.5,6.55,6.4,6.4,387500,56,2526686
2010-06-02,6.4,6.48,6.35,6.4,397700,99,2543756
2010-06-04,6.4,6.48,6.3,6.35,1231600,105,7855932
2010-06-07,6.35,6.48,6.3,6.3,231800,204,1481078
2010-06-08,6.18,6.4,6.18,6.38,25800,40,163317
2010-06-09,6.4,6.45,6.32,6.33,77800,21,492485
2010-06-10,6.39,6.5,6.33,6.5,171800,89,1103401
2010-06-11,6.5,6.7,6.45,6.65,128000,140,842132
2010-06-14,6.56,6.8,6.56,6.6,110800,149,737828
2010-06-15,6.69,6.84,6.6,6.78,76300,171,514568
2010-06-16,6.79,6.83,6.58,6.69,109500,206,728700
2010-06-17,6.65,6.7,6.6,6.6,6410900,674,42685375
2010-06-18,6.65,6.8,6.65,6.8,309400,531,2076672
2010-06-21,6.8,6.92,6.65,6.69,122700,182,829614
2010-06-22,6.68,7.0,6.65,6.88,175700,402,1201073
2010-06-23,6.76,6.94,6.71,6.75,45300,48,308409
2010-06-24,6.74,6.75,6.44,6.7,260400,656,1722201
2010-06-25,6.51,6.65,6.47,6.55,286500,131,1876695
2010-06-28,6.55,6.55,6.37,6.4,545700,181,3522043
2010-06-29,6.3,6.3,5.9,5.9,2489500,303,14958019
2010-06-30,6.07,6.1,5.95,6.02,82300,99,498282
2010-07-01,6.02,6.08,5.85,5.85,457200,363,2721605
2010-07-02,6.0,6.0,5.66,5.85,516100,226,2999302
2010-07-05,5.86,5.86,5.7,5.75,294700,44,1709120
2010-07-06,5.8,5.87,5.73,5.75,808500,179,4657280
2010-07-07,5.75,6.08,5.75,5.95,905600,345,5380053
2010-07-08,6.0,6.06,5.93,5.98,186300,71,1117578
2010-07-12,6.04,6.15,5.82,6.0,525800,132,3117222
2010-07-13,6.1,6.2,5.96,6.15,625500,1160,3823139
2010-07-14,6.17,6.55,5.97,6.5,836400,685,5357916
2010-07-15,6.32,6.7,6.32,6.59,487600,391,3204028
2010-07-16,6.7,6.75,6.43,6.45,179300,296,1166850
2010-07-19,6.59,6.69,6.4,6.45,194100,382,1253591
2010-07-20,6.49,6.73,6.46,6.55,388900,485,2552052
2010-07-21,6.6,6.6,6.41,6.42,71600,117,465450
2010-07-22,6.45,6.55,6.33,6.44,291500,161,1880244
2010-07-23,6.45,6.6,6.36,6.45,51500,225,331954
2010-07-26,6.5,6.69,6.4,6.6,1626200,308,10575517
2010-07-27,6.7,6.9,6.61,6.9,284000,208,1917095
2010-07-28,6.9,6.9,6.78,6.85,215500,114,1475676
2010-07-29,6.84,6.9,6.72,6.86,177100,91,1212003
2010-07-30,6.79,7.15,6.73,7.0,164600,159,1138338
2010-08-02,7.05,7.29,6.92,7.23,278500,182,1999706
2010-08-03,7.23,7.3,7.0,7.03,180000,112,1279791
2010-08-04,7.04,7.04,6.7,6.9,301900,176,2053474
2010-08-05,6.99,7.2,6.89,7.2,547900,117,3890454
2010-08-06,7.1,7.29,6.99,7.29,197100,228,1414305
2010-08-09,7.2,7.48,7.2,7.3,151500,191,1113045
2010-08-10,7.25,7.4,7.03,7.14,463800,135,3315365
2010-08-11,7.05,7.05,6.7,6.85,707300,2774,4828598
2010-08-12,6.9,7.08,6.8,7.0,413900,443,2893299
2010-08-13,7.1,7.15,6.93,7.0,212800,651,1486896
2010-08-16,6.91,7.08,6.91,7.0,2808400,396,19660204
2010-08-17,6.97,7.02,6.9,6.95,97800,307,679931
2010-08-18,6.94,7.18,6.85,7.18,641400,1190,4494306
2010-08-19,7.01,7.2,6.95,7.2,630600,180,4429820
2010-08-20,7.01,7.21,7.01,7.15,165600,147,1180780
2010-08-23,7.01,7.18,7.01,7.02,79000,49,555949
2010-08-24,7.0,7.08,6.95,7.08,363800,661,2549598
2010-08-25,7.0,7.0,6.92,7.0,226600,496,1584603
2010-08-26,7.1,7.2,6.9,6.98,261200,267,1822161
2010-08-27,7.0,7.06,6.9,7.0,322200,169,2246735
2010-08-30,6.88,6.92,6.85,6.9,74600,37,513983
2010-08-31,6.78,6.94,6.75,6.8,88400,56,602021
2010-09-01,6.8,6.8,6.5,6.5,720700,194,4770876
2010-09-02,6.52,6.55,6.4,6.47,708300,149,4598973
2010-09-03,6.5,6.72,6.49,6.72,71300,91,470782
2010-09-06,6.55,6.78,6.55,6.65,13200,28,87979
2010-09-08,6.56,6.6,6.37,6.6,229500,176,1484320
2010-09-09,6.41,6.8,6.41,6.8,347700,135,2321903
2010-09-10,6.61,6.7,6.6,6.67,286600,332,1899715
2010-09-13,6.56,6.67,6.55,6.67,204400,177,1359277
2010-09-14,6.52,6.67,6.52,6.65,98800,180,656245
2010-09-15,6.54,6.7,6.48,6.55,94900,165,623981
2010-09-16,6.69,6.69,6.44,6.57,232100,211,1508121
2010-09-17,6.43,6.59,6.43,6.55,210300,433,1370330
2010-09-20,6.46,6.55,6.4,6.55,788300,187,5087534
2010-09-21,6.42,6.53,6.4,6.45,366700,146,2364478
2010-09-22,6.42,6.48,6.32,6.33,138600,103,881149
2010-09-23,6.32,6.41,6.06,6.25,548500,410,3404523
2010-09-24,6.29,6.3,6.13,6.2,365800,110,2266173
2010-09-27,6.2,6.3,6.18,6.25,549200,73,3409647
2010-09-28,6.25,6.38,6.1,6.12,1330500,93,8286994
2010-09-29,6.13,6.2,6.01,6.2,402800,422,2454727
2010-09-30,6.2,6.22,6.05,6.22,206000,189,1264374
2010-10-01,6.23,6.25,6.13,6.22,1148700,422,7117017
2010-10-04,6.24,6.45,6.24,6.38,1313000,337,8281531
2010-10-05,6.45,6.59,6.45,6.49,420300,355,2739861
2010-10-06,6.49,7.0,6.47,6.94,1083000,602,7245521
2010-10-07,6.82,7.0,6.72,6.72,172800,92,1172927
2010-10-08,6.71,6.96,6.61,6.95,315600,379,2171004
2010-10-11,6.91,6.96,6.76,6.8,93600,88,638248
2010-10-13,6.82,6.95,6.8,6.95,447800,397,3081966
2010-10-14,6.95,7.29,6.85,7.2,1077800,911,7693760
2010-10-15,7.3,7.39,7.0,7.11,550100,1751,3911865
2010-10-18,7.05,7.1,6.96,7.0,986800,353,6904362
2010-10-19,6.95,7.0,6.9,6.9,145100,73,1007227
2010-10-20,6.97,7.15,6.83,7.15,561000,162,3878080
2010-10-21,7.01,7.15,7.0,7.0,656500,114,4655714
2010-10-22,7.02,7.17,6.91,7.0,256100,82,1788567
2010-10-25,7.1,7.19,7.02,7.02,137900,73,975232
2010-10-26,7.14,7.14,6.98,7.13,457200,77,3212753
2010-10-27,7.01,7.19,7.0,7.19,1716400,91,12032210
2010-10-28,7.13,7.2,7.04,7.12,487500,212,3447184
2010-10-29,7.05,7.25,7.01,7.2,778700,565,5584318
2010-11-01,7.2,7.28,6.85,7.24,634400,386,4503442
2010-11-03,7.2,7.2,6.99,7.13,469800,196,3320095
2010-11-04,7.12,7.39,7.05,7.37,882700,433,6390591
2010-11-05,7.38,7.9,7.3,7.77,492000,537,3736911
2010-11-08,7.61,7.97,7.61,7.92,313100,503,2457710
2010-11-09,7.7,8.0,7.68,7.78,307100,360,2423813
2010-11-10,7.56,8.08,7.46,8.0,301900,474,2388897
2010-11-11,8.05,8.05,7.77,7.9,134800,167,1064941
2010-11-12,7.76,7.99,7.74,7.93,390900,748,3091449
2010-11-16,7.84,8.0,7.73,8.0,227900,101,1799629
2010-11-17,7.77,7.9,7.6,7.79,226800,80,1772281
2010-11-18,8.05,8.05,7.77,7.85,161700,46,1271630
2010-11-19,7.95,7.95,7.7,7.7,145200,83,1123746
2010-11-22,7.79,7.8,7.51,7.6,197600,117,1503932
2010-11-23,7.5,7.6,7.31,7.45,365000,144,2703938
2010-11-24,7.33,7.77,7.33,7.65,216000,84,1643108
2010-11-25,7.65,7.75,7.58,7.75,27400,34,210469
2010-11-26,7.54,7.6,7.31,7.35,348300,269,2590684
2010-11-29,7.2,7.36,7.2,7.25,202700,147,1470618
2010-11-30,7.19,7.54,7.15,7.54,276700,212,2007948
2010-12-01,7.5,7.65,7.32,7.65,147800,70,1110781
2010-12-02,7.43,7.65,7.43,7.5,178700,108,1348397
2010-12-03,7.5,7.5,7.36,7.5,238300,221,1774682
2010-12-06,7.58,7.58,7.25,7.35,158900,274,1169648
2010-12-07,7.45,7.45,7.25,7.35,82000,87,601471
2010-12-08,7.21,7.45,7.2,7.2,253600,264,1858798
2010-12-09,7.17,7.19,6.8,6.8,512300,407,3560062
2010-12-10,6.98,6.99,6.44,6.65,454700,626,3030389
2010-12-13,6.9,6.99,6.64,6.99,376800,923,2572814
2010-12-14,6.79,7.04,6.79,6.95,399400,404,2757350
2010-12-15,7.01,7.01,6.75,6.9,277900,215,1901872
2010-12-16,6.81,7.0,6.6,6.97,354600,294,2405855
2010-12-17,7.06,7.06,6.77,6.92,376700,202,2607572
2010-12-20,6.88,6.99,6.69,6.87,217300,176,1495484
2010-12-21,6.91,7.09,6.72,7.05,196300,187,1377399
2010-12-22,6.99,7.0,6.4,7.0,813000,845,5442562
2010-12-23,6.9,7.1,6.76,6.96,281100,201,1948314
2010-12-27,6.83,6.92,6.71,6.8,183500,90,1246694
2010-12-28,6.8,6.99,6.75,6.99,207900,250,1426799
2010-12-29,6.99,7.19,6.99,7.13,199800,210,1421783
2010-12-30,7.04,7.35,6.9,7.35,439100,201,3177151
2011-01-03,7.34,7.43,7.22,7.22,67400,84,490069
2011-01-04,7.15,7.18,6.9,7.18,245200,141,1721410
2011-01-05,7.05,7.17,6.97,7.17,334900,255,2368140
2011-01-06,7.01,7.15,7.01,7.07,145100,155,1028878
2011-01-07,7.15,7.15,6.95,6.95,170900,169,1203917
2011-01-10,6.97,7.1,6.95,6.98,371600,70,2606300
2011-01-11,6.99,7.0,6.85,6.95,449100,593,3116909
2011-01-12,6.95,7.0,6.88,6.95,544800,754,3785964
2011-01-13,6.9,7.02,6.88,6.94,296200,514,2054314
2011-01-14,6.83,7.09,6.83,6.99,392900,451,2745780
2011-01-17,6.95,6.95,6.85,6.94,58500,43,403831
2011-01-18,6.9,6.95,6.85,6.89,682200,715,4711570
2011-01-19,6.89,6.89,6.62,6.71,559900,857,3764206
2011-01-20,6.83,7.22,6.69,7.15,908200,486,6202087
2011-01-21,6.95,7.29,6.95,7.27,247000,287,1777601
2011-01-24,7.16,7.29,7.02,7.18,142300,311,1024548
2011-01-26,7.19,7.29,7.08,7.14,803200,152,5743942
2011-01-27,7.05,7.15,6.82,7.15,4737400,141,32326805
2011-01-28,7.0,7.0,6.8,6.8,190100,212,1299969
2011-01-31,6.95,6.95,6.7,6.8,163600,268,1114475
2011-02-01,6.83,6.9,6.82,6.88,95400,155,654699
2011-02-02,6.8,6.9,6.77,6.9,28000,41,192119
2011-02-03,6.74,6.89,6.7,6.7,106000,213,713862
2011-02-04,6.8,6.8,6.6,6.74,157200,217,1055164
2011-02-07,6.84,6.84,6.53,6.55,192000,182,1262187
2011-02-08,6.51,6.7,6.51,6.6,499400,333,3296086
2011-02-09,6.6,6.69,6.43,6.45,1218500,241,8019305
2011-02-10,6.56,6.56,6.45,6.5,164000,262,1068497
2011-02-11,6.5,6.77,6.47,6.77,205600,90,1365080
2011-02-14,6.75,6.87,6.66,6.69,137800,111,926547
2011-02-15,6.68,6.68,6.47,6.52,265900,251,1733536
2011-02-16,6.5,6.66,6.48,6.66,428800,225,2801481
2011-02-17,6.55,6.75,6.55,6.7,73000,107,489071
2011-02-18,6.73,6.85,6.54,6.65,60000,77,402792
2011-02-21,6.63,6.7,6.56,6.64,68700,58,454263
2011-02-22,6.59,6.69,6.49,6.56,133100,195,869740
2011-02-23,6.53,6.64,6.36,6.61,161000,244,1048173
2011-02-24,6.61,6.63,6.4,6.59,292400,532,1898731
2011-02-25,6.47,6.64,6.47,6.47,88000,153,573884
2011-02-28,6.59,6.6,6.49,6.6,78100,90,512197
2011-03-01,6.6,6.69,6.56,6.63,235700,64,1556937
2011-03-02,6.69,6.69,6.56,6.6,1336800,103,8822455
2011-03-03,6.6,6.68,6.6,6.6,978600,59,6459310
2011-03-04,6.6,6.6,6.46,6.46,187000,136,1224502
2011-03-09,6.5,6.58,6.47,6.58,169800,56,1112752
2011-03-10,6.55,6.6,6.44,6.58,186100,352,1221890
2011-03-11,6.69,6.69,6.53,6.69,94300,71,625930
2011-03-14,6.5,6.7,6.5,6.65,169800,190,1120807
2011-03-15,6.56,6.56,6.45,6.45,401000,555,2596418
2011-03-16,6.46,6.46,6.26,6.28,358900,308,2266612
