Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,17.62505,18.05694,17.58392,18.05694,164400,51,1419735
2010-01-05,18.09807,18.46826,17.99524,18.28316,73900,51,654927
2010-01-06,18.46826,18.69448,18.46826,18.61222,46300,56,418224
2010-01-07,18.61222,18.69448,18.40656,18.52995,34100,39,307398
2010-01-08,18.81788,19.2292,18.52995,19.12637,305800,133,2814991
2010-01-11,19.02354,19.88731,18.92071,19.84618,191200,86,1809348
2010-01-12,19.64052,20.36033,19.51712,20.2575,244900,74,2356846
2010-01-13,20.2575,20.56599,20.15467,20.54542,61900,54,615030
2010-01-14,20.46316,20.46316,20.2575,20.36033,12300,14,121832
2010-01-15,20.29863,20.33976,20.15467,20.33976,51100,41,501884
2010-01-18,20.46316,20.75108,20.46316,20.54542,63500,34,634822
2010-01-19,20.56599,21.49146,20.56599,21.08014,108100,108,1105270
2010-01-20,20.91561,21.08014,20.56599,20.95674,46000,48,466086
2010-01-21,20.95674,21.36806,20.05184,20.05184,120300,60,1188718
2010-01-22,20.05184,20.66882,19.96957,20.40146,368800,91,3671057
2010-01-26,20.33976,20.33976,20.11353,20.33976,268300,39,2638361
2010-01-27,19.99014,20.52486,19.94901,20.36033,40300,49,397752
2010-01-28,20.66882,20.77165,19.99014,20.33976,182900,39,1800687
2010-01-29,20.87448,20.87448,20.15467,20.33976,114700,34,1133874
2010-02-01,20.56599,20.56599,20.0724,20.50429,48700,23,482208
2010-02-02,20.54542,20.77165,20.46316,20.77165,178900,59,1792213
2010-02-03,20.97731,20.97731,20.66882,20.77165,63100,59,638649
2010-02-04,21.12127,21.57372,20.17524,20.36033,450600,143,4509716
2010-02-05,20.15467,20.50429,19.14693,20.03127,433300,118,4184207
2010-02-08,20.05184,20.31919,19.88731,20.15467,140800,48,1367510
2010-02-09,20.2575,20.44259,19.84618,20.33976,115400,155,1133734
2010-02-10,20.44259,20.44259,19.94901,20.31919,31400,89,307128
2010-02-11,20.52486,20.97731,19.76391,20.46316,108300,219,1064862
2010-02-12,20.15467,20.52486,19.57882,20.15467,78200,132,761840
2010-02-17,20.46316,20.48372,19.99014,20.46316,45000,148,442745
2010-02-18,20.36033,20.44259,20.05184,20.31919,55200,193,542693
2010-02-19,20.29863,20.44259,19.99014,20.1341,53800,90,528608
2010-02-22,20.15467,20.36033,19.90788,20.17524,79600,62,782504
2010-02-23,19.94901,20.23693,19.90788,20.15467,44300,46,431647
2010-02-24,20.15467,20.1958,20.05184,20.15467,13800,27,135210
2010-02-25,19.88731,20.31919,19.84618,20.23693,42900,47,418665
2010-02-26,20.21637,20.21637,19.74335,20.1958,89900,91,874861
2010-03-01,20.15467,20.15467,20.05184,20.1341,22600,19,220799
2010-03-02,20.21637,20.2575,19.84618,19.84618,63600,84,617321
2010-03-03,20.11353,20.11353,19.74335,19.84618,113500,30,1090109
2010-03-04,19.74335,19.84618,19.33203,19.64052,86200,32,823214
2010-03-05,19.84618,20.1341,19.33203,19.33203,1026000,50,9653576
2010-03-08,19.64052,19.64052,19.33203,19.64052,19700,26,187252
2010-03-09,19.74335,19.90788,19.74335,19.74335,13900,33,133818
2010-03-10,19.82561,19.94901,19.70222,19.84618,29100,23,280874
2010-03-11,19.94901,19.94901,19.57882,19.94901,4900,15,47217
2010-03-12,20.05184,20.15467,19.99014,20.03127,12300,18,120289
2010-03-15,19.99014,20.0724,19.57882,20.0724,8000,11,77725
2010-03-16,20.05184,20.33976,19.76391,20.33976,16900,25,164910
2010-03-17,20.23693,20.23693,19.86674,19.92844,34300,29,332657
2010-03-18,20.1341,20.1341,19.84618,19.84618,18900,21,182668
2010-03-19,19.92844,19.92844,19.55825,19.82561,35500,30,341156
2010-03-22,19.88731,20.05184,19.35259,19.74335,104600,102,1003616
2010-03-23,19.88731,19.88731,19.55825,19.74335,90700,26,870651
2010-03-24,19.53769,19.70222,19.53769,19.70222,3800,21,36318
2010-03-25,19.74335,19.80505,19.37316,19.55825,28600,36,271891
2010-03-26,19.74335,19.74335,18.81788,19.12637,82200,97,769133
2010-03-29,19.37316,19.43486,18.71505,18.71505,99100,113,911963
2010-03-30,18.71505,18.73561,17.78958,18.09807,172300,126,1516011
2010-03-31,18.09807,18.09807,17.46052,17.87184,297300,135,2554886
2010-04-01,17.87184,18.36543,17.87184,18.2009,137500,71,1208383
2010-04-05,18.50939,18.55052,18.11864,18.50939,88500,33,787578
2010-04-06,18.71505,18.71505,18.09807,18.30373,188100,39,1672933
2010-04-07,18.46826,18.46826,17.91298,18.18033,274300,34,2414587
2010-04-08,18.50939,18.50939,18.09807,18.48882,47000,18,417508
2010-04-09,18.48882,18.71505,18.11864,18.50939,61800,26,551443
2010-04-12,18.67392,18.67392,17.89241,17.89241,30100,18,262532
2010-04-13,18.28316,18.50939,17.68675,17.78958,78500,60,678163
2010-04-14,17.97467,17.97467,17.33713,17.58392,45100,174,384629
2010-04-15,17.58392,17.68675,17.43996,17.48109,17600,18,149644
2010-04-16,17.1726,17.48109,17.06977,17.15203,28100,18,234789
2010-04-19,17.37826,17.89241,17.1726,17.64562,28900,22,242784
2010-04-20,17.81014,17.81014,17.50166,17.64562,4600,12,39520
2010-04-22,17.48109,17.68675,17.27543,17.48109,65700,30,557451
2010-04-23,17.68675,17.76901,17.2343,17.58392,5800,19,49589
2010-04-26,17.76901,17.76901,17.48109,17.56335,9400,7,80132
2010-04-27,17.43996,17.89241,17.1109,17.58392,36700,28,312650
2010-04-28,17.58392,17.78958,17.27543,17.66618,26400,22,223746
2010-04-29,17.78958,18.2009,17.50166,17.85128,64400,50,559128
2010-04-30,18.09807,18.09807,17.1726,17.1726,85800,49,720416
2010-05-03,17.1726,17.48109,17.1726,17.37826,23900,25,201027
2010-05-04,17.43996,17.43996,16.59675,16.82298,130200,124,1064648
2010-05-05,17.06977,17.2343,16.65845,17.0492,107000,47,875319
2010-05-06,16.96694,16.96694,16.06203,16.96694,57600,59,458746
2010-05-07,16.94637,16.94637,16.26769,16.88468,40500,35,327862
2010-05-10,17.1726,17.2343,15.63015,16.00034,363000,168,2830611
2010-05-11,15.67128,16.24713,15.65072,15.73298,402700,83,3090072
2010-05-12,16.1443,16.16487,15.44506,16.0209,376000,85,2872191
2010-05-13,15.63015,16.0209,15.52732,15.52732,302700,60,2301528
2010-05-14,15.71241,15.71241,14.80751,14.97204,320000,160,2332221
2010-05-17,14.84864,15.09544,14.82808,14.91034,122000,126,885605
2010-05-18,15.01317,15.01317,14.43732,14.62242,75700,44,542655
2010-05-19,14.49902,14.95147,14.19053,14.19053,137900,105,961577
2010-05-20,13.77921,13.98487,13.57355,13.75865,38700,38,257896
2010-05-21,13.96431,14.39619,13.96431,14.39619,11900,16,82087
2010-05-24,14.60185,14.60185,14.39619,14.39619,41000,7,287013
2010-05-25,14.39619,14.64298,14.0877,14.39619,69900,47,486108
2010-05-26,14.70468,14.70468,13.57355,14.39619,73900,169,514072
2010-05-27,14.64298,14.80751,14.58129,14.58129,13300,10,94481
2010-05-28,14.58129,14.68411,14.19053,14.19053,53500,40,372620
2010-05-31,13.98487,14.70468,13.98487,14.70468,43400,25,305294
2010-06-01,14.37563,15.116,14.37563,15.116,23400,30,169294
2010-06-02,14.82808,15.116,14.64298,15.09544,172400,57,1243262
2010-06-04,15.09544,15.34223,14.97204,15.03374,92200,120,674867
2010-06-07,14.91034,15.32166,14.82808,15.32166,65000,49,473477
2010-06-08,15.63015,15.63015,15.116,15.21883,72600,31,545671
2010-06-09,15.21883,15.42449,15.01317,15.01317,28200,41,208861
2010-06-10,15.32166,15.32166,15.19827,15.19827,21100,13,155945
2010-06-11,15.28053,15.63015,15.09544,15.42449,79000,35,583316
2010-06-14,15.52732,15.63015,15.116,15.21883,26900,28,201567
2010-06-15,15.32166,15.83581,15.21883,15.83581,49200,29,366717
2010-06-16,15.83581,16.24713,15.77411,15.83581,30700,34,237044
2010-06-17,16.1443,16.22656,15.83581,15.83581,10300,23,79710
2010-06-18,16.0209,16.24713,15.73298,16.24713,70400,55,546879
2010-06-21,16.24713,16.24713,16.24713,16.24713,100,1,790
2010-06-22,16.1443,16.45279,16.1443,16.22656,74900,109,591439
2010-06-23,16.45279,16.69958,16.1443,16.45279,119800,36,954388
2010-06-24,16.06203,16.34996,16.06203,16.28826,35400,106,279406
2010-06-25,16.45279,16.96694,16.30883,16.43222,42300,55,337681
2010-06-28,16.86411,16.86411,16.26769,16.65845,10700,9,85904
2010-06-29,17.06977,17.06977,16.28826,16.65845,98300,65,791922
2010-06-30,17.06977,17.06977,16.30883,16.84354,198000,99,1595954
2010-07-01,16.45279,16.65845,16.26769,16.53506,29800,32,238818
2010-07-02,16.53506,16.76128,16.45279,16.45279,18800,15,150940
2010-07-05,16.53506,16.53506,16.24713,16.53506,600,6,4796
2010-07-06,16.65845,16.80241,16.37053,16.55562,63200,28,508944
2010-07-07,16.76128,16.78185,16.45279,16.76128,162300,265,1318790
2010-07-08,16.65845,17.21373,16.65845,17.19316,158500,35,1311287
2010-07-12,17.21373,17.58392,17.06977,17.2343,33500,29,281012
2010-07-13,17.50166,17.58392,17.21373,17.43996,238800,64,2009947
2010-07-14,17.46052,17.74845,17.06977,17.39882,20800,26,175729
2010-07-15,17.64562,17.89241,17.35769,17.48109,118700,95,1009013
2010-07-16,17.64562,17.66618,17.46052,17.60449,18000,50,153815
2010-07-19,17.74845,17.76901,17.48109,17.60449,155100,105,1319593
2010-07-20,17.66618,17.83071,17.48109,17.83071,200900,62,1718660
2010-07-21,17.89241,18.18033,17.68675,17.95411,20600,27,179269
2010-07-22,18.09807,18.28316,18.09807,18.28316,106200,63,939840
2010-07-23,17.89241,19.12637,17.89241,18.55052,173100,85,1554286
2010-07-26,19.02354,19.02354,18.50939,18.50939,57800,31,521308
2010-07-27,19.00297,19.33203,18.46826,18.46826,397600,67,3586700
2010-07-28,18.50939,18.67392,18.48882,18.59165,43200,24,388924
2010-07-29,18.50939,18.92071,17.99524,18.48882,238200,81,2125616
2010-07-30,18.81788,18.81788,18.36543,18.65335,25800,20,232961
2010-08-02,19.12637,19.33203,18.81788,18.87958,29400,28,270999
2010-08-03,18.52995,18.81788,18.52995,18.79731,2600,8,23752
2010-08-04,18.87958,19.08524,18.50939,18.81788,155800,69,1409833
2010-08-05,18.83845,18.90014,18.61222,18.79731,1500,10,13693
2010-08-06,18.71505,18.81788,18.50939,18.81788,27800,17,252579
2010-08-09,19.12637,19.20863,18.92071,19.1058,13400,22,124443
2010-08-10,19.00297,19.82561,19.00297,19.39373,85000,58,802477
2010-08-11,19.12637,19.20863,19.02354,19.18807,3300,8,30614
2010-08-12,19.2292,19.33203,19.12637,19.33203,10300,11,96507
2010-08-13,19.33203,20.01071,19.33203,19.84618,32900,35,312946
2010-08-16,19.53769,20.15467,19.53769,19.82561,25800,25,249671
2010-08-17,19.99014,19.99014,19.64052,19.74335,19000,41,182399
2010-08-18,19.37316,19.74335,19.24976,19.37316,109700,65,1030404
2010-08-19,19.53769,19.53769,19.04411,19.2292,63400,25,592882
2010-08-20,19.1058,19.20863,19.04411,19.12637,37400,28,347759
2010-08-23,19.18807,19.53769,19.1675,19.33203,77400,39,725275
2010-08-24,19.12637,19.2292,18.81788,19.2292,32900,23,306105
