Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,55.52,55.95,55.52,55.95,54300,83,3026873
2010-01-05,55.54,55.7,55.5,55.65,5163600,68,286585779
2010-01-06,55.5,55.7,55.5,55.7,856900,275,47572208
2010-01-07,55.68,55.68,55.5,55.5,742700,99,41221621
2010-01-08,55.48,55.68,55.48,55.68,74700,103,4148120
2010-01-11,55.7,56.0,55.5,56.0,540900,410,30225196
2010-01-12,55.6,56.0,55.6,56.0,140900,93,7882847
2010-01-13,56.0,56.0,55.85,56.0,495500,171,27709580
2010-01-14,55.91,56.35,55.75,55.75,608700,204,34000880
2010-01-15,55.99,55.99,55.8,55.97,167200,321,9350554
2010-01-18,56.0,56.06,55.95,56.0,47200,23,2643200
2010-01-19,55.95,56.14,55.95,56.14,266800,193,14943508
2010-01-20,55.72,56.29,55.72,56.0,132700,365,7433111
2010-01-21,56.49,56.49,56.0,56.28,40600,242,2276096
2010-01-22,56.27,56.28,56.0,56.1,27800,104,1559997
2010-01-26,56.05,56.2,56.0,56.2,209400,124,11737493
2010-01-27,56.01,56.37,56.0,56.1,271600,425,15234701
2010-01-28,56.2,56.2,56.05,56.1,34300,45,1924489
2010-01-29,56.29,56.29,56.0,56.1,50800,168,2847439
2010-02-01,56.3,56.3,55.8,56.0,154300,110,8641892
2010-02-02,56.0,56.0,55.95,56.0,51500,156,2882763
2010-02-03,56.0,56.1,55.95,56.0,43600,140,2439991
2010-02-04,55.99,56.14,55.96,56.07,400200,148,22411115
2010-02-05,56.0,56.1,56.0,56.1,92200,496,5164300
2010-02-08,56.0,56.4,56.0,56.39,33600,71,1892799
2010-02-09,56.39,56.45,56.06,56.44,31700,153,1783842
2010-02-10,56.5,56.5,56.01,56.34,42800,187,2404488
2010-02-11,56.14,56.45,56.1,56.45,41800,253,2352634
2010-02-12,56.18,56.45,56.11,56.45,18100,85,1017983
2010-02-17,56.4,56.5,56.11,56.15,30200,165,1700188
2010-02-18,56.35,56.42,56.1,56.42,52500,160,2951829
2010-02-19,56.21,56.47,56.21,56.47,16200,100,912834
2010-02-22,56.23,56.45,56.18,56.45,95600,437,5385110
2010-02-23,56.35,56.5,56.26,56.3,298500,472,16813820
2010-02-24,56.43,56.43,56.21,56.26,209000,187,11760245
2010-02-25,56.26,56.37,56.22,56.22,84400,161,4747982
2010-02-26,56.18,56.33,55.99,55.99,3479200,535,194913425
2010-03-01,56.06,56.3,56.05,56.2,25300,82,1421671
2010-03-02,55.83,56.38,55.83,56.25,164700,196,9251949
2010-03-03,56.38,56.58,56.3,56.4,133100,235,7514325
2010-03-04,56.54,56.54,56.34,56.54,18000,75,1016867
2010-03-05,56.5,56.78,56.41,56.78,53600,130,3034943
2010-03-08,56.7,56.83,56.48,56.79,7000,38,397294
2010-03-09,56.79,56.84,56.7,56.84,345800,134,19614081
2010-03-10,56.71,56.98,56.71,56.97,100800,30,5736173
2010-03-11,56.94,57.03,56.86,57.02,5600,14,319076
2010-03-12,57.04,57.1,56.9,57.03,41000,51,2336994
2010-03-15,57.1,57.14,57.01,57.14,31600,140,1803837
2010-03-16,57.21,57.21,57.0,57.19,11400,66,651257
2010-03-17,57.25,57.26,57.1,57.25,79500,65,4548468
2010-03-18,57.3,57.3,57.2,57.29,8200,63,469351
2010-03-19,57.06,57.35,57.06,57.32,24000,81,1375481
2010-03-22,57.43,57.43,57.35,57.41,59600,119,3419441
2010-03-23,57.4,57.5,57.4,57.46,38100,49,2188051
2010-03-24,57.44,57.55,57.44,57.5,175700,35,10097127
2010-03-25,57.5,57.56,57.5,57.53,10100,51,580947
2010-03-26,57.6,57.65,57.58,57.6,72600,34,4184387
2010-03-29,57.6,57.64,57.6,57.6,9700,49,558800
2010-03-30,57.62,57.62,57.62,57.62,2600,13,149812
2010-03-31,57.48,57.69,57.48,57.65,55000,85,3170040
2010-04-01,57.66,57.85,57.66,57.72,9900,35,571105
2010-04-05,57.66,57.7,57.65,57.67,17300,80,997324
2010-04-06,57.7,57.74,57.7,57.71,21200,34,1223491
2010-04-07,57.5,57.75,57.5,57.75,235200,88,13577897
2010-04-08,57.7,57.78,57.7,57.78,12500,46,722007
2010-04-09,57.95,57.95,57.75,57.79,6400,26,369702
2010-04-12,57.79,57.8,57.75,57.79,6000,24,346732
2010-04-13,57.99,57.99,57.79,57.83,3500,19,202399
2010-04-14,57.78,57.82,57.78,57.81,4200,13,242776
2010-04-15,57.8,57.85,57.8,57.85,10900,21,630307
2010-04-16,57.84,58.04,57.84,57.85,13200,19,763691
2010-04-19,57.85,57.94,57.85,57.9,30200,68,1747826
2010-04-20,57.99,57.99,57.85,57.91,42800,51,2478962
2010-04-22,57.92,57.98,57.79,57.98,19100,51,1105785
2010-04-23,57.99,58.0,57.7,58.0,9600,13,556602
2010-04-26,58.0,58.09,57.28,57.9,102000,68,5914126
2010-04-27,56.45,58.08,56.45,57.3,18800,24,1078197
2010-04-28,57.3,57.42,57.3,57.4,32500,32,1864940
2010-04-29,57.4,57.5,57.2,57.5,9500,5,545319
2010-04-30,57.6,57.6,57.4,57.4,4600,5,264082
2010-05-03,57.0,57.4,57.0,57.4,11900,9,680160
2010-05-04,57.0,57.88,57.0,57.88,8000,6,459088
2010-05-05,57.35,57.9,57.35,57.9,29400,9,1687490
2010-05-06,57.35,57.35,57.35,57.35,13700,9,785695
2010-05-10,57.35,57.7,57.3,57.7,20000,11,1147095
