Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.72,2.78,2.66,2.73,22500,24,61576
2010-01-05,2.73,2.74,2.68,2.71,29600,15,79780
2010-01-06,2.7,2.72,2.67,2.7,41300,21,111443
2010-01-07,2.67,2.73,2.65,2.7,53200,48,142995
2010-01-08,2.71,2.93,2.67,2.93,267400,153,748490
2010-01-11,2.95,3.13,2.95,3.04,576700,349,1765601
2010-01-12,3.05,3.1,2.85,2.87,101700,106,300897
2010-01-13,2.97,3.05,2.9,2.97,168400,63,497881
2010-01-14,3.0,3.32,2.96,3.23,990600,546,3155868
2010-01-15,3.29,3.45,3.11,3.11,696200,519,2315554
2010-01-18,3.19,3.36,3.15,3.22,267500,210,876647
2010-01-19,3.4,3.63,3.34,3.5,604000,384,2085715
2010-01-20,3.6,3.7,3.24,3.31,605800,286,2113949
2010-01-21,3.29,3.29,3.04,3.15,238900,176,753722
2010-01-22,3.19,3.19,3.03,3.05,115500,103,358508
2010-01-26,3.1,3.1,2.9,3.0,84700,61,250060
2010-01-27,2.97,3.0,2.9,2.9,73700,61,215079
2010-01-28,3.0,3.2,2.97,3.19,150200,144,468213
2010-01-29,3.22,3.25,3.06,3.06,77700,108,247447
2010-02-01,3.12,3.17,3.05,3.05,60800,67,188145
2010-02-02,3.08,3.09,3.02,3.02,50600,45,154557
2010-02-03,3.02,3.34,3.0,3.15,207300,152,659397
2010-02-04,3.25,3.34,3.0,3.0,507800,285,1610427
2010-02-05,3.03,3.09,2.93,3.0,66500,81,200171
2010-02-08,3.14,3.14,3.05,3.06,51600,38,159846
2010-02-09,3.1,3.23,3.04,3.15,243600,130,765116
2010-02-10,3.28,4.32,3.28,4.32,2518200,1269,9752535
2010-02-11,4.54,4.68,3.85,4.0,1394300,871,5877132
2010-02-12,3.85,3.94,3.51,3.65,849700,471,3140093
2010-02-17,3.8,3.97,3.51,3.74,465900,327,1755927
2010-02-18,3.76,3.94,3.63,3.76,472900,270,1784155
2010-02-19,3.79,3.91,3.7,3.76,300300,180,1139603
2010-02-22,3.83,3.91,3.76,3.87,228000,177,877656
2010-02-23,3.89,4.25,3.8,4.25,563400,378,2271395
2010-02-24,4.32,4.38,3.8,3.85,933400,572,3811147
2010-02-25,3.9,4.15,3.84,3.99,511400,350,2058042
2010-02-26,4.03,4.08,3.88,3.9,221000,99,868577
2010-03-01,3.99,4.04,3.9,3.9,132700,131,524992
2010-03-02,3.95,3.99,3.85,3.85,93500,112,365277
2010-03-03,3.9,3.95,3.81,3.82,123100,98,475388
2010-03-04,3.89,4.1,3.72,3.86,241800,234,960105
2010-03-05,3.95,4.0,3.78,3.84,149400,141,578041
2010-03-08,3.88,3.88,3.62,3.68,184200,138,681930
2010-03-09,3.69,3.7,3.52,3.57,125000,92,444749
2010-03-10,3.6,3.64,3.35,3.53,164500,116,578405
2010-03-11,3.53,3.79,3.52,3.7,69900,96,255216
2010-03-12,3.71,3.74,3.55,3.63,49100,89,178583
2010-03-15,3.63,3.68,3.48,3.48,44000,52,156485
2010-03-16,3.55,3.72,3.54,3.56,35000,53,125963
2010-03-17,3.59,3.64,3.46,3.48,94700,70,339358
2010-03-18,3.57,3.61,3.45,3.6,19800,34,69623
2010-03-19,3.59,3.6,3.41,3.45,94000,61,328606
2010-03-22,3.59,3.59,3.41,3.5,56900,46,199504
2010-03-23,3.54,3.61,3.42,3.55,148300,80,522863
2010-03-24,3.53,3.88,3.53,3.83,542600,361,2036377
2010-03-25,3.87,3.88,3.65,3.68,271600,260,1017196
2010-03-26,3.84,4.07,3.55,3.55,711700,505,2748731
2010-03-29,3.59,3.73,3.45,3.55,208600,138,740422
2010-03-30,3.53,3.63,3.44,3.53,60000,43,210571
2010-03-31,3.55,3.55,3.43,3.5,97400,99,340832
2010-04-01,3.55,3.64,3.52,3.52,165200,88,590774
2010-04-05,3.59,3.6,3.53,3.53,78300,39,278905
2010-04-06,3.51,3.55,3.48,3.55,16000,25,56000
2010-04-07,3.55,3.55,3.45,3.49,38100,28,132652
2010-04-08,3.45,3.57,3.45,3.56,33200,30,116937
2010-04-09,3.56,3.6,3.43,3.49,125400,109,441985
2010-04-12,3.51,3.56,3.43,3.53,25300,69,88270
2010-04-13,3.5,3.55,3.43,3.43,49500,44,170382
2010-04-14,3.48,3.48,3.36,3.36,119600,77,410755
2010-04-15,3.39,3.48,3.3,3.38,66900,70,225934
2010-04-16,3.36,3.42,3.21,3.25,52000,94,171867
2010-04-19,3.21,3.36,3.16,3.22,127800,107,414804
2010-04-20,3.2,3.34,3.2,3.3,70100,59,230106
2010-04-22,3.2,3.4,3.2,3.39,63800,46,214252
2010-04-23,3.4,3.49,3.38,3.49,73500,66,253490
2010-04-26,3.49,3.74,3.49,3.6,272700,172,989255
2010-04-27,3.65,3.7,3.36,3.41,98900,87,352725
2010-04-28,3.42,3.55,3.33,3.33,37700,35,128469
2010-04-29,3.4,3.48,3.3,3.31,39500,53,132938
2010-04-30,3.33,3.41,3.31,3.41,35600,16,118742
2010-05-03,3.4,3.4,3.26,3.26,21300,23,70421
2010-05-04,3.35,3.35,3.17,3.21,41600,31,133756
2010-05-05,3.16,3.29,3.04,3.14,100600,62,315561
2010-05-06,3.14,3.14,2.99,3.05,31800,37,96940
2010-05-07,3.05,3.05,2.9,2.95,44200,38,131744
2010-05-10,3.0,3.19,2.99,3.0,74900,37,226960
2010-05-11,3.02,3.08,3.0,3.0,84900,18,257440
2010-05-12,3.01,3.03,2.99,2.99,4700,8,14155
2010-05-13,3.08,3.15,3.01,3.01,39100,48,120722
2010-05-14,3.03,3.07,2.96,3.0,26600,26,79772
2010-05-17,2.94,3.0,2.94,3.0,37300,10,110928
2010-05-18,3.04,3.04,2.96,2.98,27800,23,83676
2010-05-19,2.96,2.96,2.7,2.8,91800,31,264676
2010-05-20,2.64,2.65,2.3,2.3,219700,166,529311
2010-05-21,2.35,2.49,2.35,2.4,52600,53,127053
2010-05-24,2.48,2.54,2.35,2.41,74000,70,177972
2010-05-25,2.36,2.49,2.3,2.39,71900,46,170627
2010-05-26,2.48,2.54,2.35,2.47,88300,57,218600
2010-05-27,2.54,2.73,2.45,2.56,176700,113,458935
2010-05-28,2.69,2.69,2.55,2.65,51300,47,133870
2010-05-31,2.62,2.76,2.56,2.61,99100,59,259554
2010-06-01,2.5,2.75,2.5,2.6,51000,47,134330
2010-06-02,2.74,2.97,2.74,2.82,274900,159,778537
2010-06-04,2.83,2.84,2.75,2.82,42000,37,117943
2010-06-07,2.84,3.12,2.8,3.06,260500,95,788300
2010-06-08,3.12,3.25,3.05,3.2,391000,183,1223448
2010-06-09,3.19,3.39,3.18,3.2,200800,149,657341
2010-06-10,3.4,3.4,3.19,3.34,115500,83,381743
2010-06-11,3.37,3.37,3.2,3.3,57400,35,188460
2010-06-14,3.36,3.36,3.3,3.36,84100,45,279472
2010-06-15,3.45,3.67,3.45,3.6,330000,243,1167409
2010-06-16,3.6,3.93,3.58,3.88,310700,324,1169073
2010-06-17,3.97,3.98,3.7,3.74,205100,193,791377
2010-06-18,3.74,3.94,3.2,3.2,452600,202,1626245
2010-06-21,3.5,3.54,3.32,3.38,149000,155,512731
2010-06-22,3.43,3.57,3.34,3.38,78700,75,270506
2010-06-23,3.47,3.57,3.35,3.57,143500,76,492870
2010-06-24,3.52,3.64,3.48,3.48,132400,93,470435
2010-06-25,3.58,3.6,3.54,3.57,104400,59,373371
2010-06-28,3.59,3.65,3.52,3.63,58400,40,209513
2010-06-29,3.63,3.63,3.4,3.48,134200,83,469317
2010-06-30,3.6,3.69,3.53,3.53,129100,116,466340
2010-07-01,3.94,3.94,3.6,3.6,539800,419,2048064
2010-07-02,3.68,3.68,3.56,3.58,46700,44,169150
2010-07-05,3.65,3.65,3.5,3.52,76100,66,270262
2010-07-06,3.58,3.62,3.42,3.42,125600,107,440329
2010-07-07,3.47,3.62,3.45,3.46,79400,73,279907
2010-07-08,3.47,3.56,3.45,3.55,40500,46,141349
2010-07-12,3.62,3.75,3.58,3.63,197300,121,719766
2010-07-13,3.69,3.69,3.55,3.65,74000,55,265617
2010-07-14,3.63,3.75,3.59,3.73,117600,109,432763
2010-07-15,3.71,3.73,3.6,3.63,65900,53,240909
2010-07-16,3.65,3.7,3.61,3.61,41000,26,149748
2010-07-19,3.72,3.79,3.7,3.77,92900,70,346669
2010-07-20,3.76,3.89,3.72,3.76,79000,83,301310
2010-07-21,3.8,3.88,3.75,3.85,61100,48,233334
2010-07-22,3.89,4.2,3.81,4.13,209500,237,841725
2010-07-23,4.17,4.4,4.0,4.12,524900,477,2224765
2010-07-26,4.27,4.27,3.89,3.93,352800,253,1443648
2010-07-27,3.99,4.14,3.93,4.1,172600,166,698742
2010-07-28,4.15,4.29,4.1,4.25,341900,299,1437442
2010-07-29,4.3,5.44,4.3,5.44,1685200,1187,8221689
2010-07-30,5.56,6.03,5.0,5.71,2619300,1982,14301355
2010-08-02,5.6,5.93,5.15,5.15,1433700,1369,8030691
2010-08-03,5.17,5.37,4.75,4.75,904600,806,4590639
2010-08-04,4.9,5.18,4.88,4.95,497800,457,2494298
2010-08-05,5.01,5.07,4.9,4.9,203700,266,1013681
2010-08-06,4.9,4.98,4.83,4.85,81900,101,400223
2010-08-09,4.92,4.97,4.76,4.8,103200,127,502240
2010-08-10,4.71,5.23,4.63,5.14,369900,446,1836935
2010-08-11,5.18,5.26,4.96,4.99,234200,302,1195085
2010-08-12,5.05,5.4,5.01,5.17,413700,354,2142653
2010-08-13,5.4,5.45,5.09,5.09,175800,201,931062
2010-08-16,5.0,5.05,4.72,4.77,276400,276,1345667
2010-08-17,4.95,4.99,4.76,4.8,134300,155,651024
2010-08-18,4.8,4.86,4.73,4.74,101800,106,488128
2010-08-19,4.76,4.89,4.74,4.76,83800,67,399910
2010-08-20,4.84,4.88,4.7,4.73,104700,136,498948
2010-08-23,4.7,4.74,4.35,4.38,290200,256,1300444
2010-08-24,4.85,4.85,4.33,4.33,445700,392,2078353
2010-08-25,4.3,4.31,4.08,4.08,675300,304,2830516
2010-08-26,4.15,4.16,3.9,3.96,266900,248,1070537
2010-08-27,4.01,4.25,3.97,4.15,273200,211,1127046
2010-08-30,4.19,4.19,4.0,4.05,50900,53,205716
2010-08-31,4.08,4.34,4.08,4.2,250400,156,1060082
2010-09-01,4.26,4.45,4.15,4.24,277100,135,1203207
2010-09-02,4.32,4.34,4.08,4.12,131200,100,549531
2010-09-03,4.13,4.17,4.02,4.02,82100,70,335377
2010-09-06,4.07,4.11,3.9,3.94,172200,64,684338
2010-09-08,3.98,4.15,3.98,4.05,42800,45,173511
2010-09-09,4.05,4.11,3.72,3.72,270300,187,1038530
2010-09-10,3.73,3.79,3.51,3.65,301600,287,1096188
2010-09-13,3.72,3.85,3.66,3.85,118200,114,443726
2010-09-14,3.79,4.12,3.79,3.94,312500,265,1241649
2010-09-15,3.97,4.0,3.75,3.81,97300,120,377962
2010-09-16,3.8,3.85,3.65,3.68,85700,103,317586
2010-09-17,3.69,3.83,3.68,3.75,39700,54,148579
2010-09-20,3.77,3.85,3.7,3.8,43200,46,162668
2010-09-21,3.82,3.94,3.74,3.91,51100,49,195282
2010-09-22,3.92,3.92,3.8,3.81,47100,48,181474
2010-09-23,3.81,3.94,3.78,3.86,56100,69,216465
2010-09-24,3.89,3.9,3.74,3.79,37000,42,140236
2010-09-27,3.84,3.84,3.72,3.72,57600,27,216126
2010-09-28,3.7,3.83,3.7,3.77,88400,47,336061
2010-09-29,3.8,3.89,3.7,3.71,39400,49,148576
2010-09-30,3.76,3.76,3.64,3.64,46000,44,169180
2010-10-01,3.7,3.75,3.6,3.66,59900,46,220383
2010-10-04,3.67,3.7,3.65,3.65,37300,27,136651
2010-10-05,3.7,3.7,3.63,3.64,25400,21,92836
2010-10-06,3.62,3.73,3.59,3.6,43200,50,157762
2010-10-07,3.6,3.68,3.6,3.66,119000,30,437206
2010-10-08,3.73,3.73,3.66,3.72,106200,37,393224
2010-10-11,3.67,3.99,3.67,3.95,225400,221,876395
2010-10-13,3.98,4.2,3.95,3.95,289900,284,1181714
2010-10-14,3.96,4.02,3.67,3.68,392500,214,1466971
2010-10-15,3.72,3.76,3.68,3.74,35000,45,130351
2010-10-18,3.71,3.88,3.7,3.74,108700,103,408518
2010-10-19,3.85,3.85,3.65,3.65,101900,117,379147
2010-10-20,3.7,3.75,3.66,3.69,33800,47,124734
2010-10-21,3.7,3.72,3.65,3.65,124300,84,455577
2010-10-22,3.71,3.71,3.62,3.62,116400,57,424164
2010-10-25,3.65,3.7,3.62,3.67,134400,55,491607
2010-10-26,3.69,3.91,3.65,3.85,194600,181,735691
2010-10-27,3.89,3.95,3.8,3.84,124100,65,481409
2010-10-28,3.84,3.9,3.65,3.69,122200,108,453519
2010-10-29,3.71,3.77,3.65,3.66,93300,81,343882
2010-11-01,3.67,3.68,3.6,3.68,85400,84,310813
2010-11-03,3.68,3.68,3.62,3.64,84500,56,307616
2010-11-04,3.64,3.75,3.64,3.68,123800,38,457456
2010-11-05,3.69,3.76,3.68,3.73,30300,41,112528
2010-11-08,3.7,3.79,3.65,3.78,93000,75,344552
2010-11-09,3.78,3.8,3.67,3.67,33200,39,123549
2010-11-10,3.7,3.75,3.65,3.66,57200,49,210133
2010-11-11,3.66,3.75,3.64,3.73,42100,22,154275
2010-11-12,3.67,3.74,3.65,3.73,54500,56,201603
2010-11-16,3.66,3.71,3.51,3.6,62900,54,228151
2010-11-17,3.6,3.6,3.37,3.39,197000,185,681243
2010-11-18,3.44,3.48,3.32,3.4,80300,103,274645
2010-11-19,3.4,3.4,3.35,3.39,47400,23,160560
2010-11-22,3.39,3.39,3.2,3.25,84600,100,275911
2010-11-23,3.19,3.19,3.01,3.04,170400,166,521871
2010-11-24,3.07,3.33,2.93,3.11,327500,397,1012236
2010-11-25,3.11,3.16,3.04,3.09,55800,45,173231
2010-11-26,3.05,3.12,3.03,3.03,16000,29,49212
2010-11-29,3.11,3.21,3.02,3.04,73100,65,224708
