Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,10.59448,10.59448,10.47723,10.54423,50800,51,641159
2010-01-05,10.59448,10.82899,10.55261,10.67824,81700,74,1034558
2010-01-06,10.72011,10.72011,10.59448,10.67824,62900,29,801915
2010-01-07,10.66148,10.66148,10.46886,10.61123,3400,12,42885
2010-01-08,10.82899,10.84574,10.48561,10.79549,145300,72,1864920
2010-01-11,10.87924,10.87924,10.56098,10.76199,67300,34,859551
2010-01-12,10.56098,10.82899,10.56098,10.79549,15700,32,201704
2010-01-13,10.79549,10.88761,10.76199,10.88761,66100,58,853873
2010-01-14,10.88761,10.88761,10.80386,10.84574,31700,26,410653
2010-01-15,10.88761,11.59112,10.88761,11.01324,106400,114,1412497
2010-01-18,11.48224,11.48224,11.14724,11.34824,80600,26,1093718
2010-01-19,11.22262,11.39849,11.03836,11.39012,148000,63,2010957
2010-01-20,11.72512,11.72512,11.30637,11.30637,58400,49,793702
2010-01-21,11.39012,11.64137,10.90437,11.13049,24700,54,330794
2010-01-22,11.33987,11.33987,11.13887,11.30637,55700,47,751864
2010-01-26,11.13887,11.30637,10.89599,11.28124,8500,43,113578
2010-01-27,11.28124,11.30637,11.13887,11.21424,63600,66,854255
2010-01-28,11.633,11.633,11.09699,11.34824,64200,30,867857
2010-01-29,11.55762,11.55762,10.89599,11.38174,91300,38,1241816
2010-02-01,11.38174,11.46549,11.09699,11.22262,139800,52,1890550
2010-02-02,11.30637,11.35662,11.18074,11.18074,44900,60,602479
2010-02-03,11.42362,11.42362,10.88761,11.05511,5000,18,65705
2010-02-04,11.01324,11.20587,10.15061,10.43536,11600,48,145849
2010-02-05,10.19248,10.38511,10.05011,10.30973,88100,48,1080059
2010-02-08,10.46886,10.46886,10.17573,10.45211,17800,12,222452
2010-02-09,10.42698,10.42698,10.33486,10.33486,72400,47,901290
2010-02-10,10.72011,10.72011,10.54423,10.55261,119700,14,1508239
2010-02-11,10.55261,10.55261,10.30136,10.49398,18100,24,227097
2010-02-12,10.30973,10.44373,10.30973,10.44373,6700,13,82799
2010-02-17,10.51073,10.56098,10.48561,10.56098,5300,13,66478
2010-02-18,10.46886,10.46886,10.42698,10.46886,2000,8,24940
2010-02-19,10.42698,10.46886,10.30136,10.46886,23300,25,288636
2010-02-22,10.30136,10.38511,10.30136,10.38511,3100,24,38288
2010-02-23,10.38511,10.42698,10.30136,10.38511,107900,26,1341597
2010-02-24,10.55261,10.55261,10.39348,10.50236,53600,22,670470
2010-02-25,10.38511,10.46886,10.38511,10.46886,2600,3,32250
2010-02-26,10.42698,10.72011,10.42698,10.46886,10100,34,127515
2010-03-01,10.46886,10.55261,10.46886,10.55261,16700,72,209435
2010-03-02,10.63636,10.63636,10.55261,10.55261,2600,9,32840
2010-03-03,10.71174,10.88761,10.67824,10.72011,4800,15,61426
2010-03-04,10.51911,10.87924,10.51911,10.70336,5000,19,63484
2010-03-05,10.69557,10.69557,10.39894,10.67862,12700,23,159892
2010-03-08,10.67862,10.80574,10.67862,10.79727,9100,18,115778
2010-03-09,10.72947,10.96677,10.72099,10.93287,20000,10,254948
2010-03-10,10.93287,10.93287,10.61929,10.61929,37900,57,477837
2010-03-11,10.69557,10.76337,10.55149,10.72947,17900,25,225951
2010-03-12,10.67862,10.94982,10.61929,10.79727,36700,61,466712
2010-03-15,10.72099,10.79727,10.62777,10.62777,17100,26,214818
2010-03-16,10.63624,10.75489,10.56844,10.56844,28500,72,356494
2010-03-17,10.74642,10.74642,10.58539,10.62777,30600,78,384505
2010-03-18,10.50912,10.55149,10.50912,10.55149,1600,5,19895
2010-03-19,10.50912,10.67862,10.33961,10.51759,18200,32,226214
2010-03-22,10.42436,10.46674,10.33961,10.38199,19700,20,241256
2010-03-23,10.63624,10.63624,10.21249,10.30571,24900,40,303432
2010-03-24,10.30571,10.30571,10.24639,10.29724,8500,17,102985
2010-03-25,10.33961,10.33961,10.25486,10.33961,26200,107,318603
2010-03-26,10.67862,10.67862,10.17859,10.17859,82700,18,1003924
2010-03-29,10.45827,10.45827,10.22944,10.33114,19000,44,231494
2010-03-30,10.27181,10.38199,10.25486,10.33961,34600,45,422970
2010-03-31,10.32266,10.38199,10.29724,10.33114,30400,39,370739
2010-04-01,10.38199,10.40741,10.29724,10.38199,39300,97,480735
