Date,Open,High,Low,Close,Volume,Neg,Fin
2021-01-26,19.69,19.99,18.11,18.9,312200,1019,5967136
2021-01-27,19.0,19.0,17.6,17.95,954900,1814,17505537
2021-01-28,17.96,18.2,16.93,17.1,1267800,1805,21731501
2021-01-29,17.31,17.39,16.52,16.9,310600,688,5236858
2021-02-01,17.0,17.15,16.7,16.7,254900,575,4274131
2021-02-02,17.0,17.6,16.98,17.2,274400,678,4706787
2021-02-03,17.32,17.8,17.2,17.6,62700,142,1099060
2021-02-04,17.47,18.0,17.47,17.9,47900,118,857837
2021-02-05,18.11,19.43,18.0,18.5,90500,347,1682823
2021-02-08,19.0,19.0,18.35,18.36,36000,60,662694
2021-02-09,18.98,18.98,17.84,18.6,80700,226,1474260
2021-02-10,18.3,18.5,17.8,18.15,161300,246,2925191
2021-02-11,18.0,18.99,18.0,18.75,80200,224,1503395
2021-02-12,18.3,18.8,17.75,18.29,294300,334,5386609
2021-02-17,18.79,18.79,18.0,18.3,233200,221,4260999
2021-02-18,18.68,18.75,17.82,18.4,306600,441,5653165
2021-02-19,19.1,19.1,17.6,18.2,245800,350,4491959
2021-02-22,18.0,18.0,16.8,17.3,341300,878,5947425
2021-02-23,17.8,17.99,17.15,17.4,301200,795,5305695
2021-02-24,17.51,18.79,17.5,17.8,1264900,583,23220623
2021-02-25,17.5,17.74,17.0,17.4,139700,363,2416197
2021-02-26,17.4,17.59,17.01,17.59,81900,156,1432744
2021-03-01,17.22,17.22,16.52,17.2,41300,178,703525
2021-03-02,16.8,17.0,16.63,16.95,32400,114,545612
2021-03-03,16.75,16.75,16.28,16.5,94400,214,1554240
2021-03-04,16.5,16.7,15.65,16.14,160800,545,2626703
2021-03-05,16.0,17.0,15.8,17.0,125900,217,2056288
2021-03-08,16.7,16.99,16.44,16.6,35600,85,590602
2021-03-09,16.5,16.5,15.3,16.45,80500,407,1294569
2021-03-10,16.1,16.12,15.62,15.95,108000,545,1710447
2021-03-11,16.0,16.35,15.81,16.1,173600,603,2788531
2021-03-12,15.93,16.19,15.9,16.0,78500,211,1256475
2021-03-15,16.0,16.0,15.31,15.6,138500,507,2149585
2021-03-16,15.9,15.9,15.36,15.5,123900,369,1926924
2021-03-17,15.51,16.3,15.4,16.3,76300,299,1207499
2021-03-18,16.3,16.62,15.85,16.1,123600,407,1994156
2021-03-19,16.12,16.45,16.1,16.16,84300,261,1362136
2021-03-22,15.92,16.13,15.92,15.93,58700,242,937140
2021-03-23,15.8,16.49,15.71,16.49,51000,83,826594
2021-03-24,16.89,16.89,16.12,16.89,74600,218,1234288
2021-03-25,16.6,16.74,16.4,16.65,124500,193,2066842
2021-03-26,16.79,16.86,16.47,16.77,68400,138,1145345
2021-03-29,16.88,16.88,16.51,16.88,21000,50,353049
2021-03-30,16.6,17.1,16.6,16.6,108100,171,1800542
2021-03-31,16.6,16.77,16.35,16.5,122900,207,2030042
2021-04-01,16.55,17.0,16.4,16.5,28300,56,468415
2021-04-05,16.36,16.48,15.8,16.48,57800,255,935825
2021-04-06,17.1,18.09,16.67,16.75,109900,385,1865452
2021-04-07,16.5,16.95,16.35,16.6,112300,825,1855719
2021-04-08,16.45,16.45,15.35,16.14,495700,945,7778325
2021-04-09,16.1,16.5,15.9,16.2,81400,173,1316561
2021-04-12,16.5,17.45,16.22,16.37,76800,368,1259208
2021-04-13,16.59,16.99,15.94,16.49,98100,432,1605161
2021-04-14,16.9,16.9,16.17,16.2,46200,176,749986
2021-04-15,16.28,16.75,16.16,16.4,115000,687,1890901
2021-04-16,16.21,16.21,15.9,16.1,127900,436,2056306
2021-04-19,16.35,16.63,16.02,16.17,69400,321,1122272
2021-04-20,16.77,16.77,16.02,16.3,132300,226,2148271
2021-04-22,16.59,16.59,16.06,16.3,51500,247,835787
2021-04-23,16.59,16.59,15.9,16.2,414600,367,6670612
2021-04-26,16.5,16.79,16.16,16.3,81500,418,1333099
2021-04-27,16.11,16.63,16.07,16.4,69700,196,1140751
2021-04-28,16.24,16.52,16.1,16.5,65300,187,1066814
2021-04-29,16.27,16.56,16.27,16.3,67700,187,1104965
2021-04-30,16.3,16.68,16.2,16.49,66300,82,1091038
2021-05-03,16.25,16.6,16.25,16.4,94200,236,1545281
2021-05-04,16.69,16.69,16.31,16.5,23900,37,394426
2021-05-05,16.67,16.96,15.57,15.85,1622200,543,25464067
2021-05-06,15.75,16.3,15.75,16.3,25500,66,412376
2021-05-07,16.02,16.29,15.83,16.1,118700,249,1914954
2021-05-10,16.5,16.5,15.71,16.15,202000,412,3251353
2021-05-11,16.0,16.2,15.92,16.08,29900,91,479624
2021-05-12,15.97,16.15,15.58,16.15,135800,467,2157106
2021-05-13,16.29,16.29,15.72,15.94,94900,223,1509599
2021-05-14,15.99,16.04,15.75,16.0,243200,730,3886773
2021-05-17,15.85,16.3,15.82,16.2,230000,346,3703051
2021-05-18,16.5,16.5,15.93,16.0,100000,222,1602074
2021-05-19,16.0,16.29,15.57,16.24,76400,186,1224587
2021-05-20,16.3,16.3,15.96,16.24,154000,152,2493502
2021-05-21,16.1,16.1,15.95,15.95,81100,125,1295521
2021-05-24,16.2,16.2,15.75,16.06,92300,186,1473028
2021-05-25,16.19,16.19,15.93,15.93,58600,182,935100
2021-05-26,15.93,16.24,15.72,15.89,51200,233,812963
2021-05-27,15.82,16.21,15.82,16.0,173400,216,2774585
2021-05-28,16.1,16.3,15.7,16.3,186700,283,3001202
2021-05-31,16.3,16.39,15.83,16.15,191000,437,3071906
2021-06-01,16.34,16.34,16.06,16.3,130500,337,2118009
2021-06-02,16.23,16.3,15.95,16.2,105000,261,1694649
2021-06-04,16.17,16.49,15.85,16.07,219100,616,3515528
2021-06-07,16.02,16.28,16.0,16.2,130400,233,2110755
2021-06-08,16.3,16.31,16.03,16.23,110800,153,1789928
2021-06-09,16.18,16.18,16.05,16.05,132800,258,2133937
2021-06-10,16.07,16.3,15.96,16.2,95900,213,1545204
2021-06-11,16.26,16.35,16.2,16.25,53400,80,868541
2021-06-14,16.34,16.45,16.07,16.29,103900,175,1692223
2021-06-15,16.39,16.64,16.13,16.6,203400,49,3322654
2021-06-16,16.6,16.75,16.48,16.55,95300,518,1576703
2021-06-17,16.47,16.85,16.45,16.85,96000,118,1598832
2021-06-18,16.89,17.05,16.42,16.98,99500,435,1678298
2021-06-21,16.82,16.98,16.57,16.8,185200,308,3131188
2021-06-22,16.82,16.98,16.63,16.95,78100,248,1317795
2021-06-23,17.01,17.05,16.7,16.7,51200,116,858159
2021-06-24,16.94,16.94,16.72,16.85,71200,152,1197551
2021-06-25,16.96,17.0,16.7,17.0,18200,45,308557
2021-06-28,17.06,17.34,16.91,16.94,28600,106,487044
2021-06-29,16.75,17.05,16.75,17.05,18400,22,313029
2021-06-30,17.04,17.95,16.9,17.95,46100,127,808335
2021-07-01,17.33,17.94,17.33,17.94,73400,110,1309076
2021-07-02,17.89,17.95,17.62,17.95,37800,126,676694
2021-07-05,17.94,18.0,17.8,17.8,113600,153,2026563
2021-07-06,17.56,18.09,17.5,17.79,52900,107,945281
2021-07-07,17.51,18.0,17.4,17.58,117900,178,2077156
2021-07-08,17.41,17.73,17.39,17.5,59500,70,1041279
2021-07-12,17.65,17.88,17.5,17.79,17700,39,314188
2021-07-13,17.87,18.0,17.7,17.8,99100,108,1770947
2021-07-14,17.98,17.98,17.65,17.95,46500,19,834607
2021-07-15,17.56,18.03,17.47,17.98,81900,209,1459756
2021-07-16,18.03,18.07,17.8,17.99,37000,52,664811
2021-07-19,17.6,17.97,17.5,17.97,78300,136,1397895
2021-07-20,17.83,17.9,17.75,17.9,43400,68,774984
2021-07-21,17.69,17.82,17.4,17.79,77800,179,1376314
2021-07-22,17.51,17.83,17.33,17.65,66200,284,1163086
2021-07-23,17.5,17.69,17.31,17.69,36000,85,632915
2021-07-26,17.42,17.64,17.23,17.24,135400,119,2340794
2021-07-27,17.15,17.2,16.99,17.09,73700,109,1256816
2021-07-28,17.24,17.49,17.24,17.36,31500,76,546784
2021-07-29,17.36,17.49,17.23,17.4,25400,40,441717
