Date,Open,High,Low,Close,Volume,Neg,Fin
2020-09-25,7.56,7.56,7.03,7.42,67517400,25511,494759478
2020-09-28,7.38,7.49,7.12,7.22,6789100,6446,49542855
2020-09-29,7.21,7.22,6.89,7.05,5687500,6822,40022328
2020-09-30,7.02,7.25,7.02,7.25,4544900,4059,32678649
2020-10-01,7.24,7.33,7.05,7.32,3141300,2870,22746867
2020-10-02,7.22,7.27,7.14,7.14,2467600,1807,17673782
2020-10-05,7.18,7.2,7.01,7.05,2250800,1377,15890474
2020-10-06,7.1,7.13,6.91,6.95,1313300,2534,9146385
2020-10-07,7.0,7.0,6.63,6.65,5389600,5431,36336853
2020-10-08,6.65,6.75,6.53,6.69,1725900,1832,11507069
2020-10-09,6.7,6.83,6.6,6.75,1231200,2097,8266074
2020-10-13,6.76,6.79,6.6,6.61,5017300,4091,33383381
2020-10-14,6.66,6.82,6.62,6.8,2034400,1736,13707764
2020-10-15,6.83,6.97,6.76,6.91,1392200,2376,9561837
2020-10-16,6.9,6.99,6.82,6.89,540800,1331,3728353
2020-10-19,6.93,6.93,6.75,6.8,1069200,1359,7272749
2020-10-20,6.8,6.9,6.61,6.75,1327000,2064,8959188
2020-10-21,6.78,6.78,6.57,6.61,1557200,2482,10321689
2020-10-22,6.62,6.72,6.55,6.61,1265200,2810,8350615
2020-10-23,6.62,6.96,6.48,6.85,13695400,5624,92216424
2020-10-26,6.85,6.88,6.61,6.74,13602100,4799,91852043
2020-10-27,6.75,6.79,6.56,6.56,733900,1486,4859908
2020-10-28,6.5,6.55,6.07,6.15,1810200,1818,11319301
2020-10-29,6.18,6.26,6.0,6.16,2364800,3346,14543331
2020-10-30,6.18,6.24,5.88,5.9,3013400,2859,18094081
2020-11-03,6.3,6.49,6.19,6.45,5906600,6692,37780902
2020-11-04,6.5,6.75,6.42,6.53,3199800,7500,21051341
2020-11-05,6.61,6.92,6.44,6.6,5084500,4866,33517155
2020-11-06,6.5,6.79,6.48,6.63,3796000,4683,25277782
2020-11-09,6.85,6.85,6.54,6.56,1313800,1903,8696644
2020-11-10,6.61,6.72,6.37,6.43,1479500,2574,9545146
2020-11-11,6.46,6.51,6.25,6.4,2748500,2889,17342020
2020-11-12,6.38,6.43,6.1,6.38,2079000,3322,13113349
2020-11-13,6.38,6.51,6.11,6.3,3114000,3706,19525578
2020-11-16,6.48,6.48,6.15,6.2,4541400,8356,28313364
2020-11-17,6.21,6.35,6.16,6.28,2529100,5677,15859249
2020-11-18,6.27,6.41,6.15,6.35,1681100,4854,10541656
2020-11-19,6.32,6.45,6.17,6.45,2085800,3807,13132574
2020-11-20,6.43,6.58,6.35,6.55,1790300,3101,11649932
2020-11-23,6.6,6.61,6.4,6.45,1311900,4362,8464159
2020-11-24,6.42,6.59,6.38,6.53,3576800,3882,23349958
2020-11-25,6.53,6.73,6.48,6.73,5466500,5039,36172542
2020-11-26,6.71,6.79,6.63,6.75,1975700,1497,13332787
2020-11-27,6.74,6.97,6.66,6.95,1425000,2212,9824603
2020-11-30,6.95,6.95,6.82,6.89,1027500,2855,7096108
2020-12-01,7.25,7.5,7.13,7.38,4832100,11437,35580935
2020-12-02,7.54,7.56,7.25,7.56,11436800,5509,85408917
2020-12-03,7.6,7.73,7.33,7.44,2769600,4420,20773532
2020-12-04,7.49,7.49,7.06,7.15,1711900,4664,12277328
2020-12-07,7.15,7.38,6.95,7.0,1105600,2780,7868619
2020-12-08,7.0,7.09,6.82,6.83,1611200,4113,11140077
2020-12-09,6.89,6.9,6.51,6.56,4564700,6229,30154904
2020-12-10,6.59,6.65,6.45,6.57,2509600,4780,16407987
2020-12-11,6.5,6.7,6.5,6.58,4428300,3881,29116737
2020-12-14,6.61,6.76,6.5,6.52,2091200,5970,13717236
