Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,6.58713,6.58713,6.295,6.4795,43800,155,1291275
2010-01-05,6.51904,6.51904,6.47511,6.51245,223300,163,6617240
2010-01-06,6.5432,6.58932,6.4817,6.58932,419000,492,12505133
2010-01-07,6.77602,6.77602,6.54539,6.58932,257200,273,7698272
2010-01-08,6.58932,6.69914,6.52343,6.69914,324900,160,9783647
2010-01-11,6.69914,6.787,6.69914,6.77602,132600,78,4074603
2010-01-12,6.77382,6.787,6.69914,6.787,192400,60,5938180
2010-01-13,6.80897,7.24825,6.80897,6.94075,460700,473,14492940
2010-01-14,6.96272,7.08352,6.94075,7.07254,181100,424,5826939
2010-01-15,7.22409,7.68754,7.22409,7.33611,165500,327,5578866
2010-01-18,7.4679,7.61945,7.40201,7.5887,107500,121,3671233
2010-01-19,7.55576,7.63044,7.44594,7.57113,77400,266,2659633
2010-01-20,7.54477,7.67656,7.46351,7.57772,119300,458,4110393
2010-01-21,7.64361,7.64361,7.12745,7.42397,170300,497,5647576
2010-01-22,7.38663,7.38663,7.23727,7.37785,53400,43,1792316
2010-01-26,7.24825,7.26802,7.033,7.10549,62700,198,2043036
2010-01-27,7.05936,7.24606,6.70134,6.87486,102000,368,3204845
2010-01-28,6.98248,6.98468,6.54539,6.67718,107000,316,3257437
2010-01-29,6.87486,6.91879,6.54539,6.76504,217400,625,6648323
2010-02-01,6.91659,7.18236,6.73429,6.9715,120100,243,3799988
2010-02-02,7.1582,7.6546,7.11647,7.27022,357600,611,11823729
2010-02-03,7.30536,7.53379,7.30316,7.4679,217600,278,7410038
2010-02-04,7.48987,7.48987,7.05277,7.11867,178600,486,5876750
2010-02-05,7.11427,7.24825,6.72111,7.18456,213700,440,6797504
2010-02-08,7.2834,7.42397,7.02861,7.0945,169300,603,5475135
2010-02-09,7.30316,7.55576,7.08132,7.44594,227800,348,7639121
2010-02-10,7.48987,7.48987,7.12745,7.32952,189900,488,6270068
2010-02-11,7.36027,7.43715,7.15161,7.42397,61500,202,2045955
2010-02-12,7.41957,7.41957,7.08352,7.35808,78400,224,2602807
2010-02-17,7.35368,7.42397,7.1604,7.18236,67200,163,2206547
2010-02-18,7.14942,7.18236,6.87486,7.07254,144700,384,4648724
2010-02-19,7.07254,7.34709,6.99566,7.24167,104800,200,3438415
2010-02-22,7.24167,7.31415,7.01543,7.22629,90700,251,2959582
2010-02-23,7.24825,7.24825,7.05057,7.20433,59300,370,1932949
2010-02-24,7.29877,7.29877,7.0967,7.18456,77700,418,2541169
2010-02-25,7.22409,7.22409,6.99566,7.08352,93400,398,3013884
2010-02-26,7.08352,7.13843,6.83093,7.13843,238000,306,7605894
2010-03-01,7.02861,7.12525,6.83093,7.12525,137400,156,4411276
2010-03-02,7.10768,7.10768,6.96931,7.00006,67900,199,2169106
2010-03-03,7.02861,7.31415,6.91879,7.31415,88000,257,2858483
2010-03-04,7.33392,7.42177,7.05057,7.39102,94000,497,3124040
2010-03-05,7.4701,7.64142,7.14942,7.31415,222500,607,7532519
2010-03-08,7.31415,7.42397,7.20433,7.40201,246200,274,8295998
2010-03-09,7.39761,7.57772,7.30316,7.48987,247400,246,8377489
2010-03-10,7.61945,7.63263,7.50963,7.63263,416500,227,14412092
2010-03-11,7.50085,7.63263,7.4679,7.61726,104600,170,3603662
2010-03-12,7.64361,7.80395,7.42397,7.61067,255800,286,8868111
2010-03-15,7.61067,7.63263,7.44813,7.57333,264200,330,9107483
2010-03-16,7.63263,7.63263,7.40201,7.5887,63000,206,2168282
2010-03-17,7.5887,7.78638,7.33611,7.61726,64800,353,2206756
2010-03-18,7.6502,7.6502,7.44154,7.61945,103500,176,3579676
2010-03-19,7.64142,7.68535,7.52061,7.59749,69400,130,2400242
2010-03-22,7.59529,7.59529,7.33611,7.51183,112600,259,3826880
2010-03-23,7.64142,7.64361,7.44813,7.5887,176200,189,6023581
2010-03-24,7.57772,7.66119,7.54477,7.64361,167400,104,5769892
2010-03-25,7.64142,7.67656,7.56674,7.67656,77000,86,2681816
2010-03-26,7.66558,7.66558,7.50304,7.55576,171500,210,5929617
2010-03-29,7.64142,7.68754,7.52281,7.52281,162700,221,5659229
2010-03-30,7.57552,7.68535,7.36906,7.54258,78800,283,2709875
2010-03-31,7.55356,7.73147,7.53379,7.68754,167000,391,5830264
2010-04-01,7.7732,7.7754,7.525,7.67656,72300,188,2507029
2010-04-05,7.58211,7.7754,7.44594,7.57772,44100,150,1523024
2010-04-06,7.67656,7.68754,7.52281,7.63263,122600,171,4265616
2010-04-07,7.72928,7.72928,7.57992,7.64361,242400,244,8466946
2010-04-08,7.71829,7.72049,7.57992,7.68754,183500,298,6414465
2010-04-09,7.79297,7.79297,7.58211,7.76442,213900,253,7521912
2010-04-12,7.68754,7.83031,7.68754,7.82372,172800,176,6127940
2010-04-13,7.85228,8.00603,7.8413,8.00603,226100,535,8148784
2010-04-14,8.12024,8.54196,8.0829,8.28058,250400,948,9518369
2010-04-15,8.34648,8.42335,8.28937,8.40138,224300,288,8524618
2010-04-16,8.37278,8.42823,8.05118,8.25079,142400,414,5250511
2010-04-19,8.2641,8.26632,8.12659,8.2397,74900,214,2772782
2010-04-20,8.22861,8.31511,8.03121,8.13768,110500,542,4074680
2010-04-22,8.19313,8.19313,7.98464,8.06227,310200,593,11289736
2010-04-23,8.11771,8.31733,8.029,8.25079,105100,309,3878835
2010-04-26,8.22861,8.53691,8.22861,8.53691,63100,151,2381368
2010-04-27,8.53913,8.63893,8.31955,8.47259,142400,462,5448344
2010-04-28,8.47481,8.53691,8.25301,8.42823,106400,210,4036588
2010-04-29,8.55022,8.55022,8.32177,8.40605,107600,141,4092601
2010-04-30,8.42823,8.65002,8.25966,8.62784,107600,319,4119652
2010-05-03,8.62563,8.84742,8.60123,8.72765,105600,238,4165496
2010-05-04,8.75871,9.20008,8.13989,8.65002,146100,702,5654343
2010-05-05,8.53691,8.56131,8.27297,8.47924,142900,440,5450644
2010-05-06,8.42823,8.42823,7.98464,7.98464,169400,399,6269259
2010-05-07,8.03121,8.18425,7.76284,7.82938,191900,529,6804043
2010-05-10,8.14655,8.6722,8.14655,8.53913,197700,374,7562993
2010-05-11,8.31733,8.83411,8.31733,8.83411,204900,395,7889510
2010-05-12,8.84964,8.93836,8.50586,8.93836,466100,971,18658214
2010-05-13,8.96276,8.96941,8.6966,8.8563,60100,313,2393051
2010-05-14,8.69438,8.83855,8.51695,8.65002,83000,376,3233577
2010-05-17,8.6722,8.7831,8.49699,8.60345,90600,395,3496197
2010-05-18,8.59236,8.59458,8.3506,8.48811,124200,301,4730271
2010-05-19,8.27297,8.4238,7.94028,7.96468,363200,481,13190882
2010-05-20,7.94028,7.96024,7.68521,7.71848,278200,508,9739110
2010-05-21,7.66525,8.60567,7.66525,8.60567,193900,464,7146109
2010-05-24,8.46371,8.86073,8.34616,8.65002,188700,213,7344488
2010-05-25,8.58349,8.58349,8.31955,8.42823,85400,241,3242725
2010-05-26,8.54578,8.71656,8.44153,8.65002,157200,196,6129467
2010-05-27,8.86073,9.20451,8.6722,9.20451,166000,310,6704989
2010-05-28,9.28214,9.28214,9.09805,9.22669,223500,584,9302439
2010-05-31,9.08918,9.13798,9.00933,9.13798,48400,90,1990134
2010-06-01,9.11579,9.29101,8.91618,9.28879,201600,188,8398018
2010-06-02,9.27105,9.35977,9.02708,9.34868,61500,106,2579895
2010-06-04,9.24887,9.34868,9.19342,9.29989,189400,283,7942869
2010-06-07,9.27105,9.47067,9.27105,9.38195,320300,600,13613272
2010-06-08,9.49063,9.55939,9.31541,9.53721,310600,628,13358084
