Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,15.529489968761965,16.067682653638037,15.529489968761965,15.974086080103616,586500,668,12003384
2010-01-05,16.05988376498038,16.32507570826833,15.935081727172808,16.18467589314544,1100200,1466,22761172
2010-01-06,16.32507570826833,17.167454779720654,16.036487099007402,16.81646515155594,1102900,1505,23052077
2010-01-07,17.042662651555595,17.502856540212566,16.543464409967818,17.019265985582617,635300,884,13898147
2010-01-08,17.261051353255077,17.85384616837728,17.167454779720654,17.471651075939416,821600,2659,18505652
2010-01-11,17.651055243993117,18.017642649473157,16.910071634732876,17.198660243993803,695000,1596,15408762
2010-01-12,17.198660243993803,17.198660243993803,16.418672281802756,16.49667107802186,2280600,1735,48994754
2010-01-13,16.598066540213942,16.761872930952325,16.18467589314544,16.278272466679862,1154700,2527,24304224
2010-01-14,16.34067348558365,16.917860613748022,15.919483949857488,16.917860613748022,1278900,2928,26832184
2010-01-15,17.08165709484389,17.14405811374768,16.49667107802186,16.76966190996747,595800,995,12830378
2010-01-18,16.699471912048537,16.95686496667883,16.262674689364545,16.379677838514457,512900,725,10881316
2010-01-19,16.301679042295355,17.206459132651464,16.301679042295355,16.878866170459723,685100,1471,14812115
2010-01-20,16.85546950448675,17.54185098350086,16.62147311582943,16.92566941204819,2330100,2227,51330264
2010-01-21,17.378054502404993,17.666653021308434,16.53567543095267,16.76966190996747,836400,1107,18239761
2010-01-22,16.76966190996747,17.003668208267296,16.418672281802756,16.691663113748366,509500,761,10879464
2010-01-26,16.613674227171774,16.613674227171774,15.490495525473667,16.410873393145096,1230600,2342,25447715
2010-01-27,16.19248469144561,16.761872930952325,15.755687468761618,16.574669874240964,1100400,1778,22976925
2010-01-28,16.83987172717143,17.042662651555595,16.53567543095267,16.964673764979004,952500,676,20555163
2010-01-29,16.964673764979004,17.27665904021291,16.777470708267643,16.93346830070585,703600,645,15302533
2010-02-01,16.93346830070585,17.861654966677452,16.66047746876024,17.46385218728176,802400,2080,17951965
2010-02-02,17.697848575939073,18.680627462514288,17.378054502404993,18.563634223006886,1690100,1812,39288465
2010-02-03,18.407636630568675,18.875629407883302,18.041039315446127,18.680627462514288,1440000,1384,33873184
2010-02-04,18.680627462514288,18.71963181544509,18.033240426788467,18.48563542678778,1258500,1986,29535250
2010-02-05,17.947442741911704,18.251639038130467,16.808666262898278,17.073868115828745,2185500,6049,48408549
2010-02-08,17.510655428870226,17.510655428870226,16.379677838514457,16.92566941204819,851200,798,18400279
2010-02-09,17.11286255911704,18.18143913056902,17.11286255911704,17.783646260815836,1083300,1693,24615818
2010-02-10,18.103440334349912,18.17364024191136,16.949066078021172,17.159655891062997,1009600,1769,22380275
2010-02-11,17.206459132651464,17.378054502404993,16.793068485582964,17.198660243993803,824000,2554,18081065
2010-02-12,17.222056909966785,17.222056909966785,16.410873393145096,16.410873393145096,540000,1117,11575154
2010-02-17,16.76966190996747,17.167454779720654,16.637070893144752,17.003668208267296,699300,1957,15254669
2010-02-18,17.066059317528573,17.65884422300826,16.902262836432705,17.588654225089332,1347200,1029,29967900
2010-02-19,17.39365227972031,17.92405598558124,17.151857002405336,17.74465181752754,1076500,2407,24348455
2010-02-22,17.95525154021188,18.17364024191136,17.783646260815836,17.861654966677452,2584800,3107,59563055
2010-02-23,17.159655891062997,17.54964987215852,16.676075246075563,16.76966190996747,3043400,6758,66548584
2010-02-24,16.81646515155594,17.08165709484389,16.18467589314544,16.613674227171774,1792800,2018,37731599
2010-02-25,16.379677838514457,16.738466355336833,16.208082468760928,16.738466355336833,1161000,1103,24617682
2010-02-26,16.808666262898278,17.08165709484389,16.286081264980037,16.8242640402136,959400,1607,20350064
2010-03-01,16.761872930952325,16.949066078021172,16.559072096925643,16.629272004487092,452000,1135,9675476
2010-03-02,16.65266867046007,17.159655891062997,16.442078857418245,16.465475523391223,839100,1955,17910927
2010-03-03,16.43427005911807,17.042662651555595,16.43427005911807,16.668276357417902,1447000,2121,31314964
2010-03-04,16.691663113748366,16.93346830070585,16.348482283883822,16.43427005911807,409300,932,8724032
2010-03-05,16.722868578021515,17.042662651555595,16.613674227171774,16.808666262898278,585300,963,12650607
2010-03-08,17.058270338513424,17.4560532986241,16.988060521309468,17.39365227972031,811700,892,17976298
2010-03-09,17.471651075939416,17.861654966677452,17.027064874240278,17.073868115828745,874100,1254,19702652
2010-03-10,16.93346830070585,17.4560532986241,16.93346830070585,17.08165709484389,739300,977,16225160
2010-03-11,17.167454779720654,17.41704894569329,17.08165709484389,17.31566339314372,556100,1637,12284128
2010-03-12,17.385853391062653,17.385853391062653,16.988060521309468,17.042662651555595,323200,959,7088407
2010-03-15,17.019265985582617,17.46385218728176,17.011467096924957,17.385853391062653,613700,571,13623428
2010-03-16,17.40925005703563,17.939643853254047,17.39365227972031,17.74465181752754,646100,994,14614208
