Date,Open,High,Low,Close,Volume,Neg,Fin
2021-05-04,17.2,17.38,15.23,15.77,1873100,3165,29549280
2021-05-05,16.5,16.53,15.9,15.9,584400,983,9338114
2021-05-06,16.1,16.32,15.9,15.9,368700,832,5901643
2021-05-07,15.96,16.12,15.2,15.2,1222300,1260,18879099
2021-05-10,15.46,15.46,15.0,15.22,323400,705,4899415
2021-05-11,15.21,15.95,14.79,15.13,299200,1477,4529733
2021-05-12,15.32,15.63,14.55,15.15,285000,520,4268270
2021-05-13,15.01,15.12,14.42,14.73,639200,891,9399368
2021-05-14,15.0,15.0,14.19,14.8,894600,1537,13037450
2021-05-17,14.8,15.1,14.8,14.8,192700,639,2856817
2021-05-18,15.0,15.0,14.8,14.97,277200,443,4151005
2021-05-19,14.97,14.97,14.27,14.67,676900,456,9932313
2021-05-20,14.45,15.4,14.32,14.9,560100,565,8278046
2021-05-21,14.9,15.29,14.56,14.8,584500,953,8636527
2021-05-24,14.91,15.2,14.8,15.0,135700,353,2036505
2021-05-25,15.01,15.49,14.8,15.2,948700,1192,14397685
2021-05-26,15.21,15.84,15.21,15.79,79300,373,1236921
2021-05-27,15.8,15.95,15.65,15.85,750400,884,11913746
2021-05-28,16.04,16.04,15.5,15.9,403500,963,6415578
2021-05-31,15.9,16.0,15.73,16.0,238400,464,3793885
2021-06-01,15.9,16.14,15.7,16.14,392100,743,6278662
2021-06-02,16.14,16.3,15.76,16.24,197000,409,3158579
2021-06-04,16.18,16.35,15.86,16.35,1123200,594,17992698
2021-06-07,16.26,16.35,16.02,16.05,308800,1772,4970877
2021-06-08,16.0,16.1,15.83,15.9,348500,927,5554258
2021-06-09,15.93,16.2,15.79,15.9,72900,400,1163901
2021-06-10,16.8,17.28,15.65,16.25,1070200,1585,17363733
2021-06-11,16.22,16.5,15.96,16.1,769400,2279,12486935
2021-06-14,16.2,16.68,15.55,15.98,1440900,5693,23193758
2021-06-15,15.98,17.6,15.98,16.6,652400,1559,10939248
2021-06-16,16.97,16.97,16.52,16.8,1020800,3279,17069523
