Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,30.1,31.7,30.0,30.1,97300,93,299521
2010-01-05,30.9,31.1,30.3,30.4,48000,49,147398
2010-01-06,30.3,33.0,30.0,31.7,176300,140,548489
2010-01-07,31.8,34.6,31.7,34.0,201900,172,662290
2010-01-08,35.0,48.1,35.0,43.9,934200,795,3825491
2010-01-11,52.8,85.0,52.5,85.0,1484100,1757,9869876
2010-01-12,95.1,125.7,89.0,94.0,3555400,4604,36904065
2010-01-13,79.0,88.80000000000001,74.1,80.1,916500,1183,7339186
2010-01-14,81.4,84.7,78.0,81.6,192900,286,1570602
2010-01-15,82.89999999999999,83.0,79.0,80.39999999999999,107300,187,869288
2010-01-18,95.0,109.9,95.0,109.9,808000,1056,8227226
2010-01-19,116.0,122.5,114.0,114.0,841600,1077,9878193
2010-01-20,103.9,107.0,98.0,106.5,215600,380,2238295
2010-01-21,109.7,109.9,100.0,104.2,120900,221,1250233
2010-01-22,101.3,102.1,85.9,89.0,199400,366,1913585
2010-01-26,99.8,99.8,86.19999999999999,88.4,181300,352,1682649
2010-01-27,88.0,95.0,79.1,89.7,295700,366,2535749
2010-01-28,87.10000000000001,90.0,83.5,84.0,76100,135,656597
2010-01-29,87.6,87.69999999999999,78.0,79.4,266500,300,2161816
2010-02-01,78.89999999999999,83.0,75.0,83.0,166200,264,1307284
2010-02-02,82.0,82.89999999999999,77.0,77.0,125000,186,996640
2010-02-03,79.4,84.80000000000001,77.2,79.5,168200,239,1357124
2010-02-04,80.0,80.0,72.5,73.4,134300,178,1026495
2010-02-05,70.0,72.9,65.4,67.9,145800,225,1005011
2010-02-08,69.6,74.0,68.2,68.60000000000001,122400,169,863956
2010-02-09,72.8,73.5,69.5,70.6,102200,141,733502
2010-02-10,75.6,87.5,71.7,85.0,180500,324,1439934
2010-02-11,91.6,98.9,87.4,87.4,293600,510,2717026
2010-02-12,89.2,93.8,87.6,89.2,85000,188,759857
2010-02-17,92.0,92.1,88.6,91.5,48400,87,438193
2010-02-18,90.9,90.9,83.9,85.9,62200,114,545642
2010-02-19,83.9,88.0,81.0,81.30000000000001,89400,156,756820
2010-02-22,79.5,82.8,78.1,80.1,99700,171,794615
2010-02-23,79.5,80.5,77.0,80.5,24800,63,195878
2010-02-24,80.0,80.0,78.5,80.0,29000,46,229825
2010-02-25,78.1,79.5,77.1,78.5,24600,50,191978
2010-02-26,79.1,82.4,78.0,78.7,81400,122,652658
2010-03-01,84.1,90.5,83.5,85.9,100300,205,864641
2010-03-02,86.0,112.5,86.0,109.9,490000,863,4847892
2010-03-03,111.0,117.7,101.8,103.5,864400,1335,9519682
2010-03-04,103.0,116.0,96.6,111.5,741000,1112,8100494
2010-03-05,111.9,120.0,109.0,113.0,594300,801,6829366
2010-03-08,116.5,117.0,109.9,114.6,177600,262,2024989
2010-03-09,114.8,116.0,109.1,111.8,133000,251,1476176
2010-03-10,112.5,112.5,107.4,107.5,113100,177,1233572
2010-03-11,105.0,106.7,97.5,102.0,135300,234,1379342
2010-03-12,110.1,112.0,105.3,111.0,129400,224,1417799
2010-03-15,110.0,111.5,105.2,106.0,73500,133,794397
2010-03-16,106.6,110.0,101.0,102.5,72300,137,764643
2010-03-17,102.0,106.4,95.1,95.6,166600,281,1649558
2010-03-18,97.5,99.8,91.8,99.7,77300,131,742056
2010-03-19,102.9,104.9,97.2,99.4,74900,179,761808
2010-03-22,102.9,103.7,100.0,100.0,86800,122,886874
2010-03-23,100.0,102.8,99.5,100.0,28400,47,286505
2010-03-24,99.0,100.0,97.6,98.1,18100,43,178930
2010-03-25,97.9,102.0,97.3,97.3,49700,81,493923
2010-03-26,98.4,100.5,95.1,95.7,30900,63,298314
2010-03-29,98.6,99.1,96.0,96.1,29600,47,288439
2010-03-30,99.0,99.0,96.0,97.6,10700,31,104401
2010-03-31,98.0,98.0,95.0,95.3,17500,35,167720
2010-04-01,97.5,97.5,96.0,97.3,25000,32,242881
2010-04-05,97.4,98.5,93.1,96.2,91000,87,881080
2010-04-06,96.2,98.0,94.1,96.2,23800,55,228327
2010-04-07,97.9,107.9,95.5,101.5,89400,209,912407
2010-04-08,101.5,101.5,97.5,97.5,32800,72,324920
2010-04-09,97.1,100.6,97.1,99.8,18700,40,186047
2010-04-12,97.0,103.7,97.0,98.0,51700,81,512001
2010-04-13,100.0,100.0,97.0,99.4,27000,46,266408
2010-04-14,100.0,100.7,98.1,100.0,16700,35,166217
2010-04-15,100.0,100.8,98.3,99.9,18200,43,180069
2010-04-16,98.4,100.5,97.7,97.9,11800,36,116561
2010-04-19,97.9,99.3,85.0,98.0,41600,91,398067
2010-04-20,97.5,98.9,96.0,96.1,14500,30,141613
2010-04-22,96.4,96.4,95.0,95.0,12100,27,115918
2010-04-23,97.9,97.9,92.1,94.5,17400,32,162464
2010-04-26,92.1,93.8,88.6,89.1,51800,117,470807
2010-04-27,88.6,91.2,87.0,89.3,32000,91,284706
2010-04-28,90.0,90.0,81.0,89.0,50200,87,437772
2010-04-29,89.0,91.0,88.9,90.0,13700,25,123413
2010-04-30,89.0,90.8,85.0,85.0,40400,72,353006
2010-05-03,89.9,89.9,84.2,84.80000000000001,15100,35,129305
2010-05-04,86.0,86.0,80.0,81.5,36100,88,295237
2010-05-05,80.39999999999999,84.0,75.1,80.0,80500,153,633905
2010-05-06,80.0,80.1,75.1,75.3,34200,43,262038
2010-05-07,76.9,79.80000000000001,71.5,78.89999999999999,65400,130,494184
2010-05-10,85.1,89.2,81.0,84.5,37800,93,316430
2010-05-11,85.0,116.9,80.8,114.0,339100,579,3596536
2010-05-12,110.0,112.0,97.3,101.7,206600,445,2178116
2010-05-13,99.9,108.8,93.1,101.3,112200,223,1144732
2010-05-14,100.0,106.0,100.0,103.4,51000,119,523708
2010-05-17,103.5,103.5,98.0,99.9,53100,96,534176
2010-05-18,100.9,101.5,91.5,98.6,96000,163,944946
2010-05-19,94.0,97.7,88.0,88.69999999999999,87500,174,801037
2010-05-20,81.5,84.80000000000001,78.4,83.5,58500,104,479437
2010-05-21,88.9,100.5,88.9,94.0,70600,156,670521
2010-05-24,94.0,97.0,91.1,93.5,32800,65,307181
2010-05-25,119.9,126.0,100.0,100.0,647800,977,7159790
2010-05-26,103.5,103.7,90.0,91.0,167000,308,1619129
2010-05-27,94.1,96.3,90.1,91.2,93100,151,860321
2010-05-28,92.8,92.8,87.10000000000001,89.5,70400,116,629468
2010-05-31,89.9,90.5,86.19999999999999,86.19999999999999,57800,119,507092
2010-06-01,85.0,90.0,82.0,85.0,102100,192,874294
2010-06-02,86.1,89.9,84.3,84.7,45900,94,391780
2010-06-04,84.3,87.5,81.7,82.8,33200,79,278012
2010-06-07,82.89999999999999,86.5,79.5,80.0,71400,159,581562
2010-06-08,82.89999999999999,82.89999999999999,78.7,82.5,86000,134,691916
2010-06-09,83.0,83.80000000000001,81.6,81.6,30100,63,247591
2010-06-10,82.0,83.10000000000001,80.8,81.5,11900,43,97727
2010-06-11,83.80000000000001,89.60000000000001,83.10000000000001,83.6,109600,191,943439
2010-06-14,85.0,87.4,83.69999999999999,83.69999999999999,41300,84,352434
2010-06-15,85.5,86.89999999999999,83.10000000000001,84.80000000000001,39100,57,329969
2010-06-16,84.3,84.3,81.19999999999999,82.6,43500,72,358498
2010-06-17,82.89999999999999,83.0,80.7,82.10000000000001,37100,82,303199
2010-06-18,81.6,83.5,81.6,83.4,20500,44,169188
2010-06-21,81.0,83.0,80.1,80.1,28400,59,230127
2010-06-22,80.60000000000001,82.2,78.5,79.80000000000001,62000,96,494702
2010-06-23,80.0,80.0,76.10000000000001,78.5,64300,102,507005
2010-06-24,77.8,80.60000000000001,77.0,80.5,23800,53,186598
2010-06-25,80.5,81.5,79.4,79.4,20900,22,166642
2010-06-28,79.5,81.5,79.4,80.9,16800,34,134468
2010-06-29,80.0,80.0,76.0,76.0,44200,86,343875
2010-06-30,77.0,78.5,72.1,74.0,59500,109,446702
2010-07-01,73.5,74.0,72.0,73.8,38300,57,277714
2010-07-02,75.9,75.9,71.5,71.5,12100,34,87919
2010-07-05,72.0,72.0,66.5,67.4,97600,153,670940
2010-07-06,69.6,71.8,66.10000000000001,68.5,64400,121,443380
2010-07-07,68.0,69.0,67.8,68.5,15600,36,106642
2010-07-08,68.5,74.0,68.5,73.8,60200,135,434337
2010-07-12,71.0,72.8,71.0,72.0,8000,21,57389
2010-07-13,72.8,78.0,72.0,73.5,16600,47,124176
2010-07-14,72.6,75.7,70.0,70.7,29800,70,212417
2010-07-15,71.0,73.3,70.5,71.9,14500,45,103536
2010-07-16,72.0,72.69999999999999,68.5,68.5,28900,72,202096
2010-07-19,72.69999999999999,72.8,70.0,70.5,27500,64,196968
2010-07-20,72.4,72.4,70.6,70.6,8200,16,58295
2010-07-21,70.5,72.5,70.5,71.10000000000001,10800,23,77283
2010-07-22,70.8,72.30000000000001,70.7,71.0,15600,35,110887
2010-07-23,70.9,72.1,70.3,72.1,21600,32,153514
2010-07-26,72.2,72.2,69.7,69.7,27800,51,196016
2010-07-27,71.39999999999999,71.39999999999999,68.5,70.0,44200,59,305998
2010-07-28,69.4,70.0,68.5,70.0,22800,46,157881
2010-07-29,70.0,70.0,69.3,69.4,23500,26,163171
2010-07-30,69.80000000000001,70.0,68.7,70.0,18700,32,130018
2010-08-02,69.5,71.39999999999999,69.2,71.39999999999999,43400,68,304981
2010-08-03,69.7,71.6,69.5,69.6,10900,25,76286
2010-08-04,69.3,72.0,69.2,70.0,16300,34,115180
2010-08-05,69.6,71.0,69.5,69.5,7800,18,54368
2010-08-06,69.5,70.0,69.5,70.0,20300,26,141719
2010-08-09,69.80000000000001,70.0,69.1,69.2,10100,25,70110
2010-08-10,70.4,70.7,69.2,69.3,7800,29,54313
2010-08-11,70.0,70.5,68.1,69.2,26400,43,182653
2010-08-12,69.5,69.5,57.0,66.6,62500,100,411545
2010-08-13,66.6,70.19999999999999,66.3,68.60000000000001,29000,51,200198
2010-08-16,70.0,90.0,70.0,85.0,318100,614,2615633
2010-08-17,84.9,86.1,79.4,79.4,115300,214,939016
2010-08-18,80.0,80.0,74.9,75.5,72800,146,556346
2010-08-19,76.8,76.9,70.6,72.6,38700,62,284776
2010-08-20,73.0,75.0,71.2,75.0,19600,46,142102
2010-08-23,76.9,76.9,72.6,73.5,14200,42,104691
2010-08-24,74.5,74.6,70.6,70.8,25900,61,187251
2010-08-25,71.2,72.0,69.0,69.5,52300,82,367953
2010-08-26,72.5,72.5,68.5,69.0,38200,73,266207
2010-08-27,70.0,71.0,68.5,68.8,42300,50,293989
2010-08-30,68.8,69.5,68.3,68.4,38400,54,263743
2010-08-31,68.89999999999999,71.2,65.6,68.0,59800,97,406723
2010-09-01,65.5,68.7,65.5,67.0,46200,97,308686
2010-09-02,67.5,69.3,66.5,67.5,25700,62,172886
2010-09-03,67.30000000000001,68.8,67.30000000000001,67.4,12200,27,82590
2010-09-06,67.0,69.5,66.3,68.4,26800,33,179241
2010-09-08,67.0,67.2,66.6,66.7,16600,38,110891
2010-09-09,66.6,67.0,65.7,65.8,17300,38,114435
2010-09-10,65.5,67.0,62.6,65.0,21000,65,136147
2010-09-13,64.1,64.1,62.0,62.5,29100,57,183539
2010-09-14,62.0,63.5,60.2,60.5,22000,68,135548
2010-09-15,60.5,64.7,59.0,61.4,35000,73,216898
2010-09-16,63.6,63.6,61.0,62.5,5300,15,32655
2010-09-17,60.9,62.0,60.5,60.7,11900,22,72539
2010-09-20,60.8,61.5,60.0,60.3,26300,44,158662
2010-09-21,61.900000000000006,61.900000000000006,55.5,56.900000000000006,83400,118,482374
2010-09-22,56.0,56.900000000000006,51.0,54.8,94700,167,509718
2010-09-23,54.8,54.8,50.0,51.0,132200,210,678447
2010-09-24,51.5,53.1,50.7,52.0,16600,51,85962
2010-09-27,52.0,55.6,50.4,55.0,39200,79,205470
2010-09-28,53.5,67.9,53.5,67.9,486200,871,3067378
2010-09-29,69.5,70.6,63.1,67.0,299100,489,2019381
2010-09-30,67.4,76.0,66.0,74.7,268100,413,1918368
2010-10-01,74.6,79.4,73.5,78.8,227000,383,1745345
2010-10-04,74.9,77.8,69.9,69.9,141500,254,1048494
2010-10-05,68.0,69.0,62.3,66.0,228100,298,1491877
2010-10-06,66.10000000000001,70.0,62.6,70.0,68000,149,455000
2010-10-07,79.5,83.69999999999999,74.3,81.89999999999999,472600,808,3797053
2010-10-08,83.0,83.5,76.6,81.7,305000,446,2419284
2010-10-11,81.0,81.0,75.19999999999999,76.5,41400,94,319729
2010-10-13,77.9,79.80000000000001,73.89999999999999,73.89999999999999,95500,144,727351
2010-10-14,73.3,73.3,68.0,69.0,53100,118,372187
2010-10-15,69.9,76.0,67.0,71.0,102000,198,739498
2010-10-18,72.0,73.8,69.5,70.1,64800,138,460947
2010-10-19,70.0,71.39999999999999,69.0,69.6,39700,59,277326
2010-10-20,69.9,70.4,68.1,69.9,26000,52,180309
2010-10-21,69.4,69.5,67.30000000000001,68.0,27400,53,187175
2010-10-22,68.3,71.5,67.0,68.0,27900,47,190812
2010-10-25,69.0,69.0,67.0,67.8,28600,49,194503
2010-10-26,67.8,69.4,67.8,68.60000000000001,9800,24,67248
2010-10-27,68.60000000000001,69.9,67.8,69.9,50600,53,346199
2010-10-28,71.2,72.4,68.0,68.1,49100,99,342813
2010-10-29,69.1,70.8,68.2,68.2,23000,50,159705
2010-11-01,72.2,72.2,69.5,69.80000000000001,14400,36,101375
2010-11-03,70.0,71.5,69.0,70.1,103000,57,725066
2010-11-04,70.6,71.5,69.2,69.4,55200,35,388983
2010-11-05,71.3,74.80000000000001,70.19999999999999,70.5,51500,122,370626
2010-11-08,71.9,73.5,70.7,71.10000000000001,96900,69,694901
2010-11-09,71.2,73.4,70.0,70.1,21500,50,152970
2010-11-10,70.0,72.0,69.9,70.4,6500,14,45633
2010-11-11,70.3,70.5,69.0,70.3,47800,41,333045
2010-11-12,70.3,70.3,68.89999999999999,68.89999999999999,52200,27,362472
2010-11-16,68.3,69.7,67.5,68.8,57400,40,394424
2010-11-17,68.5,68.7,67.5,68.7,7300,19,49749
2010-11-18,68.7,69.3,67.69999999999999,69.3,20200,28,138965
2010-11-19,69.5,78.0,69.5,78.0,95300,190,714037
2010-11-22,77.0,78.89999999999999,70.8,71.3,65400,152,491078
2010-11-23,71.39999999999999,74.5,70.6,70.7,55900,68,402712
2010-11-24,71.0,72.5,71.0,71.5,10500,25,75283
2010-11-25,71.0,72.5,71.0,72.5,9800,25,70772
2010-11-26,73.0,73.0,71.3,73.0,14200,33,102202
2010-11-29,72.9,73.0,71.0,71.9,24300,41,174767
2010-11-30,71.39999999999999,73.5,69.4,71.9,42000,82,301618
2010-12-01,72.6,73.60000000000001,72.2,72.30000000000001,37600,43,273627
2010-12-02,71.8,73.89999999999999,71.6,73.89999999999999,29400,54,212504
2010-12-03,73.0,77.4,72.2,73.5,89900,169,677846
2010-12-06,75.0,75.0,71.6,71.7,43600,39,317648
2010-12-07,71.8,73.0,70.0,72.0,37800,65,268887
2010-12-08,72.6,73.0,71.7,72.0,15600,25,112634
2010-12-09,71.5,73.4,70.9,72.0,10400,35,74675
2010-12-10,71.0,72.6,70.5,72.2,14200,38,101318
2010-12-13,70.4,71.39999999999999,69.4,70.5,27200,42,190872
2010-12-14,70.1,70.4,68.1,68.1,21500,55,148324
2010-12-15,69.5,70.0,67.5,67.6,17000,44,116610
2010-12-16,69.4,74.0,68.5,72.5,40700,111,291886
2010-12-17,72.0,73.5,69.4,69.9,48400,68,339865
2010-12-20,70.0,70.6,69.0,69.0,19700,45,136734
2010-12-21,70.0,72.2,69.5,70.0,38400,53,274090
2010-12-22,70.19999999999999,74.4,70.1,71.5,65400,102,471429
2010-12-23,70.0,72.4,69.3,71.0,27700,69,195278
2010-12-27,71.0,71.0,68.0,68.0,36700,41,254536
2010-12-28,70.5,70.5,69.0,69.0,34100,25,238090
2010-12-29,70.0,70.0,68.7,68.7,8400,26,58298
2010-12-30,69.80000000000001,70.4,68.5,68.7,48100,57,335419
2011-01-03,69.7,69.9,67.9,68.3,28100,51,192135
2011-01-04,69.4,69.9,68.1,68.1,12600,37,87353
2011-01-05,68.2,69.4,68.2,68.5,16700,26,114559
2011-01-06,68.2,69.7,68.1,69.2,13100,36,89756
