Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,14.13032,14.25501,13.51109,13.71473,192800,363,6371171
2010-01-05,13.69395,13.92253,13.34485,13.57343,312100,533,10281725
2010-01-06,13.30745,13.71473,13.30745,13.50693,206400,272,6708288
2010-01-07,13.43212,13.46953,13.36978,13.40303,33800,88,1092014
2010-01-08,13.29913,13.34069,13.14536,13.29913,41300,48,1314447
2010-01-11,13.30329,13.36147,13.04977,13.08718,209900,89,6670640
2010-01-12,13.04977,13.04977,12.77963,12.94587,188300,118,5859247
2010-01-13,12.98743,13.00821,12.80042,12.80042,81200,286,2513938
2010-01-14,12.82119,12.84198,12.42638,12.42638,135900,225,4107177
2010-01-15,12.63418,12.63418,12.3391,12.56768,113400,393,3405374
2010-01-18,12.83366,12.83366,12.63418,12.71729,30100,52,917227
2010-01-19,12.77963,12.80042,12.64249,12.64249,22500,129,690261
2010-01-20,12.64249,12.75885,12.0939,12.60924,110100,177,3327504
2010-01-21,12.83366,12.83366,12.26014,12.46794,141300,136,4276141
2010-01-22,12.3017,12.38066,12.11468,12.32248,39400,107,1161154
2010-01-26,12.28092,12.4056,11.94844,12.4056,139400,326,4082303
2010-01-27,12.55106,12.55106,11.99,12.03156,147200,97,4266906
2010-01-28,12.21858,12.21858,11.94844,11.94844,31400,57,905472
2010-01-29,12.17286,12.17286,11.58687,11.84038,97200,142,2767165
2010-02-01,12.08558,12.08558,11.92766,11.96922,227000,122,6539780
2010-02-02,12.21442,12.21442,12.04818,12.05234,370400,307,10748359
2010-02-03,12.24767,12.47625,12.21858,12.46794,69700,185,2077322
2010-02-04,12.59262,12.59262,12.0939,12.17702,172500,114,5079631
2010-02-05,12.17702,12.38482,11.8861,12.05234,183000,285,5295691
2010-02-08,12.21858,12.21858,11.85701,12.01078,64700,79,1866168
2010-02-09,12.20611,12.20611,11.95675,12.05234,211900,212,6127453
2010-02-10,12.21858,12.3017,11.96506,12.05234,150700,143,4371459
2010-02-11,12.29754,12.29754,12.01078,12.05234,42600,132,1235364
2010-02-12,12.25182,12.25182,12.04818,12.08558,69800,82,2027348
2010-02-17,12.46794,12.46794,12.12715,12.25598,135000,110,3990582
2010-02-18,12.37651,12.38482,12.11468,12.3017,148300,157,4375268
2010-02-19,12.05234,12.34326,12.05234,12.3017,76600,236,2261556
2010-02-22,12.15624,12.3017,12.05234,12.15208,140300,120,4099570
2010-02-23,12.27676,12.27676,11.60765,11.71986,104600,283,2964178
2010-02-24,11.74064,11.79882,11.4705,11.4705,219600,278,6095620
2010-02-25,11.53284,11.6409,11.3292,11.6409,95800,337,2654058
2010-02-26,11.72817,11.89857,11.71986,11.8861,128700,84,3674877
2010-03-01,11.84454,11.8861,11.76142,11.8861,971500,118,27692294
2010-03-02,11.8861,11.97338,11.83623,11.97338,196400,119,5615198
2010-03-03,11.96922,12.05234,11.65752,11.82376,84700,186,2420788
