Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4.88134,4.88134,4.78468,4.88134,24000,13,24050
2010-01-05,4.88134,4.88134,4.83301,4.88134,100000,19,100110
2010-01-06,4.83301,4.83301,4.78468,4.83301,203000,15,201070
2010-01-07,4.83301,4.83301,4.73635,4.83301,30000,12,29490
2010-01-08,4.83301,4.83301,4.68802,4.78468,147000,32,144760
2010-01-11,4.73635,5.84795,4.63969,5.6063,1965000,400,2213610
2010-01-12,5.89628,7.0562,5.89628,5.99294,3525000,706,4658880
2010-01-13,6.04127,6.33125,5.75129,5.75129,652000,137,825820
2010-01-14,5.65462,5.94461,5.50964,5.75129,770000,78,903540
2010-01-15,5.4613,5.70295,5.41297,5.55796,100000,35,114020
2010-01-18,5.65462,6.28292,5.65462,5.94461,488000,91,608510
2010-01-19,6.13793,6.37958,6.04127,6.28292,489000,100,628630
2010-01-20,6.47624,6.62123,5.84795,6.18626,539000,107,709410
2010-01-21,6.13793,6.13793,5.75129,5.79962,222000,32,279010
2010-01-22,5.89628,6.04127,5.79962,5.99294,100000,27,121450
2010-01-26,5.89628,5.94461,5.79962,5.94461,210000,30,255690
2010-01-27,6.0896,6.18626,5.79962,5.94461,206000,37,254130
2010-01-28,5.99294,6.04127,5.65462,5.99294,95000,26,114790
2010-01-29,5.94461,6.5729,5.94461,6.18626,622000,86,813190
2010-02-01,6.23459,6.81455,6.23459,6.42791,1647000,324,2208240
2010-02-02,6.47624,6.71789,6.28292,6.28292,864000,114,1146490
2010-02-03,6.37958,6.37958,6.04127,6.28292,740000,55,957180
2010-02-04,6.28292,6.28292,5.79962,6.0896,74000,28,92250
2010-02-05,5.79962,5.99294,5.70295,5.79962,88000,26,105660
2010-02-08,6.13793,6.13793,5.84795,5.84795,32000,13,39600
2010-02-09,5.99294,6.33125,5.89628,6.33125,241000,38,299620
2010-02-10,6.37958,6.37958,6.04127,6.04127,1012000,24,1324730
2010-02-11,6.33125,6.33125,6.04127,6.13793,58000,11,73540
2010-02-12,6.18626,6.18626,5.99294,6.04127,927000,11,1158750
2010-02-17,6.04127,6.13793,6.04127,6.13793,35000,13,43790
2010-02-18,6.13793,8.36111,6.13793,8.11946,3813000,885,6083280
2010-02-19,7.63616,8.0228,7.24952,7.29785,1600000,283,2529030
2010-02-22,7.34618,7.44284,7.00787,7.0562,253000,31,377270
2010-02-23,7.49117,8.26445,7.29785,7.29785,2693000,386,4363780
2010-02-24,7.58783,7.87781,7.0562,7.24952,955000,227,1501800
2010-02-25,7.24952,7.92614,7.24952,7.5395,704000,178,1105990
2010-02-26,7.63616,7.73282,7.39451,7.49117,157000,63,246200
2010-03-01,7.63616,7.63616,7.29785,7.39451,103000,28,159290
2010-03-02,7.5395,7.92614,7.49117,7.87781,911000,109,1455550
2010-03-03,7.92614,7.92614,7.58783,7.63616,200000,57,320370
2010-03-04,7.78115,7.78115,7.63616,7.73282,78000,26,124380
2010-03-05,7.97447,7.97447,7.5395,7.68449,262000,47,420160
2010-03-08,7.5395,7.5395,7.15286,7.24952,126000,40,189860
2010-03-09,7.20119,7.44284,7.0562,7.34618,133000,27,199540
2010-03-10,7.34618,7.68449,7.20119,7.5395,148000,38,228580
2010-03-11,7.39451,7.73282,7.20119,7.49117,43000,26,66050
2010-03-12,7.63616,7.63616,7.15286,7.15286,159000,53,240070
2010-03-15,7.34618,7.34618,7.15286,7.34618,44000,15,65720
2010-03-16,7.39451,7.39451,7.39451,7.39451,1000,1,1530
2010-03-17,7.24952,7.24952,7.00787,7.15286,120000,20,176360
2010-03-18,7.20119,7.20119,7.15286,7.15286,8000,6,11850
2010-03-19,7.20119,7.20119,6.86288,6.91121,123000,21,181690
