Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,5.97729,5.98673,5.94896,5.98673,124100,122,783659
2010-01-05,6.03395,6.30779,5.95841,6.30779,762900,448,4976431
2010-01-06,6.31723,6.98767,6.23225,6.8838,1631600,1259,11568277
2010-01-07,6.79882,7.27096,6.79882,7.0821,1495800,1170,11296946
2010-01-08,7.17653,7.62034,7.17653,7.55424,1082700,824,8533512
2010-01-11,7.62034,7.677,7.3465,7.36538,888300,633,7097846
2010-01-12,7.36538,7.60145,7.3465,7.51647,313300,351,2488812
2010-01-13,7.60145,7.96972,7.55424,7.92251,608800,527,5064011
2010-01-14,8.12081,8.30022,7.8092,8.02638,593700,550,5081589
2010-01-15,8.05471,8.19635,7.79031,7.79031,471300,366,3934320
2010-01-18,7.83752,8.00749,7.7431,7.84697,272300,239,2269541
2010-01-19,7.85641,7.91307,7.69588,7.79031,277800,251,2290131
2010-01-20,7.7431,7.79031,7.31817,7.6109,573800,417,4606837
2010-01-21,7.71477,7.71477,7.27096,7.27096,465800,365,3667158
2010-01-22,7.27096,7.53535,7.12931,7.53535,482600,337,3732074
2010-01-26,7.39371,7.73365,7.27096,7.49758,290400,326,2308015
2010-01-27,7.59201,7.69588,7.42204,7.46925,184000,159,1469094
2010-01-28,7.62978,7.69588,7.36538,7.42204,160600,137,1277409
2010-01-29,7.59201,7.62978,7.42204,7.42204,170400,163,1358543
2010-02-01,7.60145,7.60145,7.27096,7.51647,165100,147,1299333
2010-02-02,7.51647,7.58257,7.4126,7.4126,211100,177,1680213
2010-02-03,7.4126,7.57313,7.27096,7.27096,311700,213,2454879
2010-02-04,7.27096,7.3465,6.89324,6.89324,516300,436,3870763
2010-02-05,6.80826,6.92157,6.60996,6.62885,506100,405,3573236
2010-02-08,6.89324,6.89324,6.56275,6.60996,268300,228,1898840
2010-02-09,6.70439,6.70439,6.54386,6.5533,899700,473,6307912
2010-02-10,6.62885,6.6855,6.56275,6.60052,502900,278,3519203
2010-02-11,6.60996,7.27096,6.60996,7.27096,1668400,751,12429682
2010-02-12,7.29928,7.60145,7.22374,7.29928,604100,452,4756031
2010-02-17,7.2804,7.55424,7.17653,7.40316,156100,152,1221987
2010-02-18,7.40316,7.5448,7.12931,7.25207,227400,203,1750239
2010-02-19,7.35594,7.35594,7.17653,7.17653,183100,162,1402241
2010-02-22,7.29928,7.29928,7.0821,7.0821,241500,212,1823929
2010-02-23,7.05377,7.0821,6.94046,6.97823,330700,359,2445986
2010-02-24,7.18597,7.18597,6.87436,6.94046,168000,134,1235699
2010-02-25,6.94046,6.94046,6.7516,6.79882,181200,171,1304869
2010-02-26,6.84603,6.98767,6.79882,6.79882,210200,162,1529585
2010-03-01,6.8838,7.12931,6.79882,7.02544,309900,277,2304097
2010-03-02,7.02544,7.36538,7.02544,7.26151,678300,507,5220851
2010-03-03,7.25207,7.31817,7.11043,7.15764,351400,279,2691198
2010-03-04,7.1482,7.22374,6.96879,7.17653,540800,389,4060866
2010-03-05,7.26151,7.3465,7.16709,7.27096,379300,316,2914681
2010-03-08,7.22374,7.26151,7.09154,7.09154,132700,158,1004191
2010-03-09,7.12931,7.12931,6.98767,7.05377,193700,207,1447952
2010-03-10,7.22374,7.36538,6.98767,7.0821,148900,134,1129026
2010-03-11,7.0821,7.27096,7.03489,7.27096,155100,196,1180637
