Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-04,18.40126,20.23144,18.01335,19.63465,25822600,59999,492087713
2021-02-05,19.88331,21.03712,19.79379,19.89326,9757300,30600,198928731
2021-02-08,20.09219,20.09219,18.63004,19.18705,4609700,15021,89236357
2021-02-09,19.18705,19.89326,18.1526,19.89326,3077700,10087,58300933
2021-02-10,19.6048,19.87336,18.52062,19.39593,2997900,9498,57403307
2021-02-11,19.1771,19.36609,18.71955,19.3263,3171100,8207,60784195
2021-02-12,19.07763,20.00267,18.77923,19.86342,1712100,6269,33892388
2021-02-17,19.89326,19.94299,19.49539,19.81368,475200,2393,9402657
2021-02-18,19.79379,19.89326,19.26662,19.84352,1094200,3924,21665209
2021-02-19,19.79379,19.98278,19.50534,19.88331,801900,3510,16006069
2021-02-22,19.41582,19.63465,18.92843,19.27657,1230800,5801,23780809
2021-02-23,19.14726,19.3263,19.00801,19.28651,666400,1573,12879682
2021-02-24,19.1771,19.28651,18.40126,18.8787,1653300,4434,31317311
2021-02-25,19.09753,19.28651,18.40126,18.76929,1027400,3493,19328594
2021-02-26,18.7494,18.89859,17.71494,18.89859,1246700,3527,23103479
2021-03-01,18.88865,18.88865,17.95366,18.34158,925900,3497,17074264
2021-03-02,18.32169,18.32169,17.28724,17.97356,810400,3209,14450274
2021-03-03,17.80446,17.96361,16.76007,17.50607,1753000,5276,30446111
2021-03-04,17.45633,18.47089,17.09826,18.47089,1469800,5992,26551166
2021-03-05,18.40126,18.75934,17.61548,18.75934,923200,3129,16851848
2021-03-08,18.29185,18.47089,17.91388,17.91388,610900,1537,11084172
2021-03-09,17.92383,18.3018,17.03857,17.23751,878100,3270,15348546
2021-03-10,17.47623,17.47623,16.17322,16.90927,2441200,9128,40940090
2021-03-11,16.77002,17.65527,16.59098,17.65527,1284900,3029,22098921
2021-03-12,17.4066,19.06769,17.22756,18.82897,814600,2459,15083359
2021-03-15,18.89859,19.55507,18.7494,19.19699,1845700,4759,35260325
2021-03-16,19.19699,19.19699,18.79913,19.14726,980800,3476,18705083
2021-03-17,19.24673,19.46555,18.82897,19.38598,865100,4325,16636781
2021-03-18,19.38598,19.38598,18.56041,18.89859,712200,3585,13523859
2021-03-19,18.89859,19.22683,18.61014,18.94833,903700,2046,17179677
2021-03-22,18.94833,19.49539,18.79913,18.98812,1105200,2866,21193815
2021-03-23,19.63465,21.46482,19.43571,20.97744,5820500,12926,118586867
2021-03-24,20.97744,21.6737,20.29112,20.95755,2566500,6810,54382167
2021-03-25,20.96749,21.21616,19.96288,20.29112,3640800,5791,74276815
2021-03-26,20.34086,20.40054,19.21689,19.59486,1078600,3876,21337300
2021-03-29,19.6247,20.32096,19.24673,19.98278,741900,2388,14829746
2021-03-30,20.14192,20.32096,19.58491,20.19166,1236600,2621,24780581
2021-03-31,20.10214,20.34086,19.70427,20.28118,1295900,5350,26272020
2021-04-01,20.88792,21.44493,20.51989,21.01723,3703000,11312,78299632
2021-04-05,21.01723,21.01723,20.39059,20.89787,1393700,3613,29125777
2021-04-06,20.87797,20.88792,20.49006,20.55968,621500,2840,12931601
2021-04-07,20.56963,20.72878,19.95294,20.09219,1251200,4412,25333695
2021-04-08,20.30107,20.49006,20.0723,20.38064,579700,2698,11832367
2021-04-09,20.3707,21.45488,19.95294,21.37531,1826900,4317,38539490
2021-04-12,21.58418,22.17104,20.81829,22.17104,1702300,4897,37087703
2021-04-13,22.06162,22.43959,21.73339,21.8229,870800,3551,19205669
2021-04-14,21.92237,22.08152,21.20621,21.60408,1446300,4183,31434424
2021-04-15,21.63392,23.21543,21.63392,23.13586,2430200,7276,55079362
2021-04-16,23.13586,23.24527,22.43959,22.62858,1012500,4413,23093864
2021-04-19,22.63853,22.73799,21.96216,22.37992,1129100,4350,25257026
2021-04-20,22.28045,23.02645,21.63392,21.98205,963300,4616,21394577
2021-04-22,22.1412,22.26056,21.53445,21.88258,644000,2230,14142070
2021-04-23,21.98205,22.26056,21.70354,22.08152,1143200,4051,25306766
2021-04-26,22.66837,22.72805,21.5444,21.70354,794900,3473,17533591
2021-04-27,21.78312,22.28045,21.00728,21.70354,1149600,4127,25172550
2021-04-28,21.73339,22.15114,21.48472,22.01189,644600,2797,14169968
2021-04-29,22.26056,22.53906,21.98205,22.23072,1691000,3848,37779596
2021-04-30,22.16109,22.59874,21.90248,22.42965,543100,1615,12206841
2021-05-03,22.43959,23.5934,22.36002,22.99661,1456100,5546,33782540
2021-05-04,23.25522,23.93159,23.04634,23.36463,1046400,3992,24583181
2021-05-05,23.5934,24.23993,23.30495,24.10068,1406400,5132,33832343
2021-05-06,24.1902,24.787,23.68292,24.45876,1186200,4005,28830056
2021-05-07,24.50849,24.86657,23.97138,24.68753,705800,3257,17440230
2021-05-10,24.88647,24.99588,23.47404,24.71737,1553500,5848,38082688
2021-05-11,24.71737,25.12519,23.4641,24.86657,1684300,5339,41547821
2021-05-12,24.71737,25.10529,23.98132,24.46871,2194400,7567,53994414
2021-05-13,24.61791,24.81684,24.08079,24.56817,916000,3166,22562307
2021-05-14,24.82678,25.48326,24.72732,25.26444,1704600,5523,42976254
2021-05-17,25.26444,25.78166,24.87652,24.87652,756300,3227,19103699
2021-05-18,24.92625,25.82145,24.92625,25.37385,1334700,4516,34079593
2021-05-19,25.17492,25.8115,25.11524,25.76177,1999300,4204,51081463
2021-05-20,25.70209,27.19408,25.70209,26.8559,5039100,10115,135335117
2021-05-21,26.8559,27.65163,26.45803,27.24382,2413400,8307,65236603
2021-05-24,27.25376,27.55216,26.95536,27.15429,2509800,5763,68618806
2021-05-25,27.20403,27.93013,27.17419,27.7312,1213000,4751,33467421
2021-05-26,27.71131,27.74115,26.36851,26.87579,3946700,8395,106441026
2021-05-27,26.91558,27.22392,26.54755,26.54755,2450500,6337,65764303
2021-05-28,27.22392,27.85056,26.84595,27.22392,2411700,9260,66172632
2021-05-31,27.582,28.94469,27.56211,28.24842,3740500,12138,105507867
2021-06-01,28.4772,28.71592,27.03494,27.89035,5363600,16254,149187712
2021-06-02,28.16885,29.51165,28.16885,28.94469,2415800,9941,70333356
2021-06-04,29.16352,29.81999,28.84522,29.71058,1823300,8646,53779242
2021-06-07,29.71058,30.25764,29.64095,30.06866,1870100,8631,56269037
2021-06-08,30.15818,30.17807,29.16352,29.84983,2177400,9909,65348218
2021-06-09,29.96919,30.20791,29.25303,29.25303,1018100,4874,30264582
2021-06-10,29.5216,29.77026,29.24309,29.34255,790400,3507,23388129
2021-06-11,29.69069,30.2477,29.3724,29.54149,1338600,5271,40098664
2021-06-14,29.59122,29.93935,28.56672,29.04416,2236300,6347,65594885
2021-06-15,29.12373,29.49175,28.24842,28.39762,1896900,8311,54759441
2021-06-16,28.44736,28.84522,27.64168,28.10917,2156700,9054,61016922
2021-06-17,28.19869,28.34789,27.66157,27.85056,946300,5129,26581307
2021-06-18,27.89035,28.15891,27.15429,27.42286,2685600,5491,74379110
2021-06-21,27.55216,28.23848,27.35323,28.23848,1177900,4642,32968829
2021-06-22,28.34789,29.66085,28.12907,29.66085,2109600,7637,61561092
2021-06-23,29.76031,30.01893,29.03421,29.66085,1154100,4801,34355055
2021-06-24,29.74042,29.85978,28.91485,29.38234,743900,2636,21865851
2021-06-25,29.46192,29.54149,28.15891,28.7557,1296100,4391,37404567
2021-06-28,28.84522,29.03421,28.39762,28.98448,862700,3012,24910708
