Date,Open,High,Low,Close,Volume,Neg,Fin
2017-07-31,7.91664,8.29202,7.86341,8.20518,11103500,14092,318090881
2017-08-01,8.28642,8.32004,8.20518,8.23599,3803600,6253,112291163
2017-08-02,8.23599,8.2584,8.14915,8.25,1125900,3101,32971542
2017-08-03,8.19397,8.2528,8.16316,8.21919,675000,2089,19786752
2017-08-04,8.29202,8.39287,7.96146,7.98387,2321000,5031,67498036
2017-08-07,8.09593,8.15195,7.98387,7.99788,1628000,5411,46695495
2017-08-08,8.06231,8.06231,7.84661,7.88582,2009900,3343,57129219
2017-08-09,7.89983,7.92784,7.65051,7.77377,1550300,3786,42939981
2017-08-10,7.75696,7.95866,7.72615,7.91104,642300,3591,18037140
2017-08-11,7.95866,8.00068,7.8438,7.95586,371700,1369,10544618
2017-08-14,7.99788,7.99788,7.86061,7.95586,328100,1150,9303644
2017-08-15,7.99788,7.99788,7.93064,7.95586,556700,811,15807834
2017-08-16,7.95586,8.00908,7.81859,7.98387,1088100,1688,30961772
2017-08-17,7.98387,7.99228,7.89983,7.91384,1895900,567,53767128
2017-08-18,7.92784,7.99788,7.84661,7.98387,2507200,1296,71106192
2017-08-21,7.98667,8.0371,7.79898,8.01749,1972900,2077,56377539
2017-08-22,8.01749,8.0399,7.93905,7.98387,354500,1591,10114654
2017-08-23,7.98387,7.98667,7.8326,7.86341,531100,2674,14924525
2017-08-24,7.92224,8.12394,7.76817,8.12394,3808700,3925,107923145
2017-08-25,8.10153,8.34805,8.05671,8.34805,1523900,2183,44593145
2017-08-28,8.36486,8.49652,8.26401,8.47411,1750200,3718,52796844
2017-08-29,8.4517,8.61978,8.29202,8.4517,850300,2062,25854580
2017-08-30,8.50212,8.51053,8.32564,8.48812,494700,1557,14881768
2017-08-31,8.42649,8.49652,8.37046,8.40407,185500,537,5569657
2017-09-01,8.40688,8.43209,8.29762,8.33684,783700,2783,23373631
2017-09-04,8.34805,8.44609,8.32004,8.40407,206500,887,6191809
2017-09-05,8.40407,8.54134,8.38166,8.48812,1936300,1692,58413579
2017-09-06,8.54414,8.68421,8.54414,8.62258,841800,3702,25919879
2017-09-08,8.72623,8.90552,8.67861,8.82428,2235400,7548,69796849
2017-09-11,8.82428,8.90832,8.77105,8.84669,913900,2837,28833552
2017-09-12,8.84109,8.95594,8.82428,8.82428,892400,3001,28266662
2017-09-13,8.82708,8.8607,8.68421,8.73744,470400,1720,14689830
2017-09-14,8.69822,8.85229,8.69822,8.72623,396000,2564,12393528
2017-09-15,8.71503,8.89711,8.71503,8.89151,786800,1685,24824227
2017-09-18,8.90832,8.99236,8.77105,8.82428,1462600,3333,46269989
