Date,Open,High,Low,Close,Volume,Neg,Fin
2018-02-15,24.37586,24.37586,24.37586,24.37586,3500,4,87500
2018-02-19,24.36611,24.36611,24.36611,24.36611,2300,1,57477
2018-02-28,24.27835,24.37586,24.27835,24.37586,2200,3,54900
2018-03-01,26.32593,26.32593,25.6824,25.6824,800,4,21143
2018-03-02,24.38561,25.6434,24.38561,25.6434,200,2,5131
2018-03-05,24.37586,25.4484,24.37586,25.34114,3600,23,92357
2018-03-06,25.33139,25.33139,24.85363,24.85363,76200,6,1979528
2018-03-07,24.37586,24.66837,23.39107,24.36611,9700,23,241840
2018-03-08,23.49833,24.21985,23.44958,24.08335,4900,19,120327
2018-03-09,24.1321,24.1321,23.39107,23.88834,11900,45,289986
2018-03-12,23.40082,23.82984,23.40082,23.82984,11900,12,290484
2018-03-13,23.82984,23.82984,23.79084,23.79084,30000,9,732012
2018-03-14,23.40082,24.2686,22.8158,24.18085,43900,64,1052300
2018-03-15,23.49833,24.18085,23.40082,24.18085,36100,48,878484
2018-03-16,23.79084,24.20035,23.40082,24.20035,36600,98,890441
2018-03-19,23.83959,23.83959,22.91331,22.91331,144600,186,3464154
2018-03-20,22.42579,23.08881,22.39654,22.86456,15000,42,348448
2018-03-21,22.51354,22.8158,22.41604,22.6403,73200,99,1691775
2018-03-22,22.70855,23.39107,22.52329,22.6208,70100,112,1627963
2018-03-23,22.30878,22.7183,22.30878,22.7183,12000,38,278123
2018-03-26,22.7183,22.76705,22.6208,22.7183,22600,62,526544
2018-03-27,22.7183,22.7183,22.52329,22.6208,19800,24,459333
2018-03-28,22.7183,22.7183,22.7183,22.7183,3000,5,69900
2018-03-29,22.7183,23.69333,22.65005,22.6598,102900,59,2392401
2018-04-02,22.66955,22.66955,22.47454,22.57204,35400,71,821618
2018-04-03,22.43554,22.43554,22.41604,22.41604,12100,22,278232
2018-04-04,22.42579,22.42579,22.35754,22.35754,9600,4,220751
2018-04-05,22.42579,22.42579,21.207,21.207,28800,29,645757
