Date,Open,High,Low,Close,Volume,Neg,Fin
2021-08-13,7.79,8.56,7.56,8.04,929700,3830,7490685
2021-08-16,8.1,9.46,7.67,8.0,1141500,840,9167083
2021-08-17,8.1,8.17,6.79,8.0,680600,858,5048522
2021-08-18,7.98,8.55,7.63,8.08,243400,819,1977156
2021-08-19,7.99,8.31,7.55,8.15,123200,511,982941
2021-08-20,8.05,8.39,7.78,8.1,515800,2627,4141058
2021-08-23,8.16,8.16,7.54,7.65,289500,1016,2246175
2021-08-24,7.84,7.84,7.53,7.54,187900,513,1425104
2021-08-25,7.5,7.57,7.4,7.5,212300,249,1591476
2021-08-26,7.4,7.57,7.07,7.3,536500,646,3862512
2021-08-27,7.3,7.5,7.21,7.5,494700,1488,3678643
2021-08-30,7.6,7.83,7.41,7.56,334500,280,2564784
2021-08-31,7.52,7.53,7.28,7.53,224600,662,1665101
2021-09-01,7.53,7.78,7.5,7.6,854700,1311,6543015
2021-09-02,7.67,7.97,7.26,7.45,825200,1229,6186228
2021-09-03,7.45,7.79,7.2,7.79,924000,3755,6940435
2021-09-06,7.65,7.98,7.62,7.98,164500,275,1309740
2021-09-08,7.83,7.98,7.48,7.98,162400,467,1276893
2021-09-09,7.9,8.34,7.79,8.1,86900,205,701725
2021-09-10,8.0,8.38,7.75,8.12,106100,473,849281
2021-09-13,8.08,8.2,7.85,7.88,236000,520,1874952
2021-09-14,7.88,8.05,7.88,7.88,115200,312,915526
2021-09-15,7.86,7.98,7.84,7.93,92100,308,730209
2021-09-16,7.86,7.94,7.73,7.74,53400,196,415427
2021-09-17,7.75,7.83,7.65,7.7,55400,177,427614
2021-09-20,7.6,7.69,7.12,7.69,291200,720,2112286
2021-09-21,7.69,7.97,7.54,7.9,37600,109,296095
2021-09-22,7.9,7.97,7.74,7.8,163200,507,1280187
2021-09-23,7.97,7.97,7.55,7.65,135800,341,1051422
2021-09-24,7.7,8.29,7.61,7.65,232000,467,1800473
2021-09-27,7.67,7.67,7.3,7.3,237300,508,1746512
2021-09-28,7.25,7.25,6.91,6.92,197900,512,1394877
2021-09-29,6.95,7.1,6.89,6.9,82400,316,574424
2021-09-30,7.32,7.32,7.01,7.1,436600,1261,3135354
2021-10-01,7.12,7.2,6.92,7.1,229700,387,1633329
2021-10-04,7.08,7.14,6.81,6.85,168300,109,1157494
2021-10-05,6.88,6.99,6.65,6.75,108900,363,742892
2021-10-06,6.67,6.8,6.24,6.75,45200,116,301467
2021-10-07,6.85,6.95,6.66,6.79,21100,43,143273
2021-10-08,6.66,6.97,6.53,6.62,108500,252,722317
2021-10-11,6.75,7.45,6.67,7.45,178800,491,1291441
2021-10-13,7.52,7.61,7.12,7.25,521300,1124,3762980
2021-10-14,7.27,7.39,6.91,7.39,280000,337,2027378
2021-10-15,7.45,7.5,7.15,7.5,307600,236,2283977
2021-10-18,7.2,7.35,7.14,7.2,340500,386,2454879
2021-10-19,7.3,7.33,6.98,7.0,252500,643,1781289
2021-10-20,7.17,7.17,6.95,7.11,609100,393,4302299
2021-10-21,7.1,7.1,6.65,6.87,281300,427,1933122
2021-10-22,6.8,6.89,6.44,6.5,205100,462,1348578
2021-10-25,6.6,6.88,6.59,6.84,161600,261,1097188
2021-10-26,6.77,6.77,6.45,6.5,431100,1024,2815448
2021-10-27,6.58,6.73,6.5,6.5,140200,518,919851
2021-10-28,6.41,6.5,6.17,6.3,376800,647,2394315
2021-10-29,6.31,6.54,6.21,6.3,153400,350,970658
2021-11-01,6.34,6.38,6.2,6.3,162200,455,1022713
2021-11-03,6.27,6.33,6.15,6.15,114100,540,711988
2021-11-04,6.15,6.19,5.8,5.8,130400,284,766651
2021-11-05,5.87,6.09,5.79,5.85,91300,288,540817
2021-11-08,5.91,5.97,5.71,5.74,232700,857,1358253
2021-11-09,5.74,5.9,5.51,5.9,73100,185,422661
2021-11-10,5.89,6.13,5.63,5.73,116800,503,684599
2021-11-11,5.76,5.88,5.55,5.55,111200,374,630185
2021-11-12,5.6,5.66,5.5,5.61,48700,158,269975
2021-11-16,5.61,5.61,5.15,5.15,96000,434,509708
2021-11-17,5.21,5.4,5.05,5.4,467800,602,2478983
2021-11-18,5.44,5.47,5.25,5.25,330800,667,1760649
2021-11-19,5.25,5.54,5.12,5.35,292900,908,1552525
2021-11-22,5.37,5.4,4.64,5.1,165100,433,830303
2021-11-23,5.1,5.36,4.84,5.25,209600,1250,1081219
2021-11-24,5.13,5.2,4.92,5.2,312100,379,1605352
2021-11-25,5.34,5.34,5.14,5.15,198900,687,1033186
2021-11-26,5.08,5.23,4.97,5.2,56300,137,289947
2021-11-29,5.2,5.2,5.1,5.2,282200,163,1466503
2021-11-30,5.29,5.29,4.92,5.03,418400,435,2105487
2021-12-01,5.03,5.03,4.65,4.7,86200,252,408955
2021-12-02,4.78,4.87,4.52,4.6,71100,241,329392
2021-12-03,4.65,4.85,4.58,4.58,168400,334,779985
2021-12-06,4.55,4.63,4.42,4.45,100900,358,456497
2021-12-07,4.6,4.79,4.43,4.52,632800,2849,2853196
