Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.94352,2.98105,2.91914,2.95478,1468900,1978,23193196
2010-01-05,2.95853,2.96229,2.8516,2.8516,2964200,4638,45565184
2010-01-06,2.86848,2.87036,2.77843,2.79719,4062600,5040,60682998
2010-01-07,2.79719,2.85535,2.76718,2.79532,2756600,4066,41404302
2010-01-08,2.81408,2.82909,2.76905,2.8047,1669700,3096,24922461
2010-01-11,2.82346,2.84597,2.78218,2.81408,1339100,3051,20069838
2010-01-12,2.78406,2.85723,2.74091,2.85723,1924900,3141,28884337
2010-01-13,2.86098,2.89287,2.79907,2.88724,1807300,3561,27446079
2010-01-14,2.8516,2.88912,2.82346,2.83847,1424700,3105,21653308
2010-01-15,2.80282,2.82346,2.76718,2.80657,1442800,3135,21467868
2010-01-18,2.81408,2.83659,2.73904,2.73904,2548800,3826,37650176
2010-01-19,2.72027,2.7728,2.66024,2.76718,2288300,6447,33413202
2010-01-20,2.7259,2.72778,2.63022,2.65274,2991200,6277,42485635
2010-01-21,2.66399,2.66399,2.51391,2.58895,3639000,5953,50095751
2010-01-22,2.5383,2.5852,2.50453,2.51766,2552500,3501,34496537
2010-01-26,2.49702,2.50265,2.40322,2.48577,2377700,3677,31070779
2010-01-27,2.50453,2.5383,2.42198,2.51766,2502000,4825,33328736
2010-01-28,2.55331,2.55893,2.42573,2.44825,2387600,2966,31347983
2010-01-29,2.45763,2.57394,2.45388,2.48202,3055400,3712,40530889
2010-02-01,2.49702,2.52892,2.44825,2.52329,1631600,2921,21779441
2010-02-02,2.53267,2.58895,2.53079,2.58895,2395000,3869,32740208
2010-02-03,2.58707,2.66399,2.57769,2.65086,4363000,6549,60895135
2010-02-04,2.62647,2.62647,2.45763,2.48014,2269500,2843,30553733
2010-02-05,2.43887,2.47076,2.32255,2.36383,4461100,5194,56397688
2010-02-08,2.39384,2.41823,2.29816,2.30192,4031600,4480,50037964
2010-02-09,2.34506,2.46701,2.33568,2.40135,4405100,4328,56260909
2010-02-10,2.43887,2.43887,2.34506,2.4051,1973500,2936,25241953
2010-02-11,2.38446,2.46513,2.37883,2.46513,3751700,3805,48670152
2010-02-12,2.43887,2.46138,2.29816,2.42198,2549000,3767,32733784
2010-02-17,2.47264,2.51579,2.46888,2.50641,2205500,3715,29366844
2010-02-18,2.50078,2.51016,2.452,2.48014,2067800,2402,27247310
2010-02-19,2.46701,2.48577,2.43136,2.48577,2171200,3107,28438425
2010-02-22,2.50453,2.55518,2.4914,2.51766,3877100,5004,52041642
2010-02-23,2.51016,2.51016,2.43699,2.50453,3092100,4730,40713597
2010-02-24,2.51579,2.52141,2.41448,2.42198,2238700,3231,29276245
2010-02-25,2.38071,2.44637,2.36383,2.42011,2444500,3885,31233182
2010-02-26,2.42573,2.43887,2.37508,2.43887,1370100,2078,17626683
2010-03-01,2.45575,2.51954,2.45012,2.51203,1594700,2126,21204014
2010-03-02,2.51766,2.54955,2.49515,2.53267,2156500,3629,29064170
2010-03-03,2.54205,2.58332,2.48014,2.48014,3731600,4585,50488089
2010-03-04,2.49327,2.53079,2.44074,2.50078,2984300,3966,39811529
2010-03-05,2.53267,2.56456,2.48952,2.48952,3157500,4041,42462709
2010-03-08,2.50453,2.52892,2.45012,2.48389,3108200,5151,40920827
2010-03-09,2.46701,2.51954,2.45763,2.48577,2341300,5370,31029873
2010-03-10,2.51016,2.5458,2.48577,2.52141,1979600,3372,26610405
2010-03-11,2.51391,2.55518,2.4989,2.55518,1590500,2577,21546403
2010-03-12,2.6246,2.62647,2.57957,2.59833,4861400,7765,67609054
2010-03-15,2.58707,2.60021,2.47264,2.47826,4947900,5107,66089245
2010-03-16,2.49702,2.54205,2.48764,2.53642,2318000,4108,31084780
2010-03-17,2.55518,2.56644,2.48577,2.52329,3529300,4010,47463083
2010-03-18,2.52329,2.56081,2.50265,2.56081,2433700,2791,32886711
2010-03-19,2.54205,2.55331,2.48764,2.49515,2069700,4021,27764554
2010-03-22,2.48595,2.53872,2.40302,2.45202,2078300,2627,27341496
2010-03-23,2.47087,2.48972,2.45202,2.46522,2295300,3179,30065281
2010-03-24,2.45014,2.47841,2.39737,2.39737,2174000,3635,28032066
2010-03-25,2.43129,2.45579,2.41433,2.42752,2062500,2588,26664862
2010-03-26,2.43129,2.45768,2.40302,2.41244,1929700,2038,24778452
2010-03-29,2.43129,2.5161,2.43129,2.5161,1733200,2331,22694015
2010-03-30,2.50668,2.5161,2.46145,2.47841,1910800,2215,25153165
2010-03-31,2.46522,2.50102,2.44448,2.49726,1745600,2668,22972424
2010-04-01,2.51045,2.53118,2.45014,2.46522,1498200,3319,19813507
2010-04-05,2.48783,2.50291,2.46522,2.49349,1217900,2098,16045703
2010-04-06,2.48218,2.51422,2.45391,2.51233,2206800,2767,29207114
2010-04-07,2.50102,2.54437,2.48406,2.54437,2251200,3547,30227030
2010-04-08,2.53307,2.56134,2.50856,2.52364,1798700,2558,24211513
2010-04-09,2.53872,2.53872,2.45768,2.48406,2322000,2393,30660074
2010-04-12,2.48218,2.5161,2.46898,2.4916,2021100,2801,26728005
2010-04-13,2.48595,2.51422,2.45202,2.47464,2660700,3300,34955445
