Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,35.24263,36.04798,35.24263,35.70938,630200,1516,24650288
2010-01-05,36.04938,36.38938,35.37858,36.38938,1023500,2217,40136751
2010-01-06,36.38938,37.49205,36.04018,37.12446,1145500,2520,46319500
2010-01-07,36.94072,37.49205,36.37099,37.12446,738800,2035,29911336
2010-01-08,37.15205,38.69589,37.15205,38.50285,937900,2191,38861243
2010-01-11,39.24842,39.95641,38.6601,39.52424,934300,2892,40015908
2010-01-12,38.46696,39.15655,38.16355,38.34749,628800,2124,26369063
2010-01-13,39.04618,39.07377,37.85104,38.52214,625800,1437,26179227
2010-01-14,38.34749,38.95421,36.72938,37.41887,1149400,2542,46839878
2010-01-15,37.36369,37.36369,35.12966,35.58012,1041000,2646,40744195
2010-01-18,36.09497,36.63741,35.85594,36.19614,684600,1324,27060150
2010-01-19,36.20534,37.59362,36.13176,37.40967,872300,1796,35151375
2010-01-20,37.03279,37.03279,35.59852,36.13176,734300,1923,28987050
2010-01-21,36.13176,36.13176,33.72298,34.339,1462800,3300,54477878
2010-01-22,33.83325,33.90683,32.34389,33.09777,1584100,4548,56914117
2010-01-26,32.91393,34.43087,32.19684,34.18264,1011400,2097,36898302
2010-01-27,34.44926,34.72508,32.92312,33.78736,867900,2288,31828405
2010-01-28,34.29301,34.56883,32.44506,32.86794,838200,1848,30243765
2010-01-29,33.11616,33.25412,31.69109,31.69109,1074300,2403,37802214
2010-02-01,31.71868,31.89343,30.30291,31.07517,1724900,4553,58017142
2010-02-02,31.41527,32.96911,31.34179,32.90473,1545600,4121,54737390
2010-02-03,33.0059,34.21943,31.25902,32.50014,2519800,3792,90108624
2010-02-04,31.9761,32.08647,29.94431,29.94431,1583400,4190,52987043
2010-02-05,29.50305,30.78096,28.73068,30.15575,1526800,2564,49387360
2010-02-08,30.61541,31.06598,29.9903,30.61541,916100,2722,30624132
2010-02-09,31.08437,32.40828,31.07517,32.04049,1525300,3796,53158657
2010-02-10,32.48185,33.04259,32.27031,32.80356,952100,2332,33816434
2010-02-11,33.06098,33.52994,32.61971,32.91393,752100,1707,27017887
2010-02-12,32.73008,33.44716,32.18764,33.18974,832700,2139,29680255
2010-02-17,33.29081,33.41037,32.91393,32.94152,636800,1927,22950487
2010-02-18,32.82195,33.08857,31.86584,31.86584,1045800,2781,36549092
2010-02-19,31.86584,31.87503,30.974,31.0016,1038800,2652,35343431
2010-02-22,31.39698,31.39698,30.20174,30.23853,1479700,3136,49016983
2010-02-23,30.15575,30.52354,29.23643,29.30071,1272200,2650,41104838
2010-02-24,29.53974,30.07298,29.28231,29.42027,1024400,2205,33028761
2010-02-25,29.13526,29.13526,28.34459,28.63881,1570100,3980,48916731
2010-02-26,28.80426,30.79016,28.77666,30.79016,2114800,4258,68724292
2010-03-01,30.79936,31.12116,30.04548,30.84534,1073000,2507,35794654
2010-03-02,31.01999,31.21303,30.77177,31.21303,946300,1736,31932346
2010-03-03,31.20384,31.62681,30.83615,30.86364,1106100,2410,37605235
2010-03-04,30.79936,31.01999,29.87993,30.19254,893900,1804,29465311
2010-03-05,30.47755,30.6522,28.93302,29.09847,1749800,3233,55951917
2010-03-08,29.58572,29.62251,28.59282,28.59282,1533300,2814,48159893
2010-03-09,28.70319,29.02489,28.17904,28.77666,2315500,5538,72517684
2010-03-10,29.00649,29.57652,28.79506,28.85024,1417600,2651,44788928
2010-03-11,28.71228,29.11686,28.46406,28.63881,1118400,2560,34889808
2010-03-12,29.13526,29.22723,28.47326,28.49165,1083700,1859,33911724
2010-03-15,28.50085,28.50085,27.71018,27.85734,806300,1793,24539647
2010-03-16,27.9952,28.34459,27.85734,27.91242,643300,1328,19631685
2010-03-17,28.21583,28.44567,27.90323,28.04119,1154100,2489,35397151
2010-03-18,28.25262,28.86864,28.04119,28.38138,1378100,2686,42786338
2010-03-19,28.56523,28.85024,27.13096,27.28731,1643600,3226,49501275
2010-03-22,27.21374,27.62741,26.89193,27.12176,1287500,2368,38085517
2010-03-23,27.27811,27.38838,26.68969,27.02989,1023300,2247,29994075
2010-03-24,26.90113,27.07587,26.50585,26.59772,935400,2016,27191328
2010-03-25,26.80006,27.15855,26.3403,26.36789,949000,1900,27588710
2010-03-26,26.57932,26.83675,26.24842,26.83675,914700,2142,26375035
2010-03-29,26.93792,27.27811,26.68969,26.89193,603000,1534,17719076
2010-03-30,26.96551,27.21374,26.06448,26.11046,1244200,2309,35687775
2010-03-31,26.39548,27.94921,26.38628,27.94921,2442400,4187,72678393
2010-04-01,28.3354,28.39978,27.6734,27.86654,1388500,2745,42427402
2010-04-05,28.04119,28.73988,27.94921,28.40897,1713100,2590,52997141
2010-04-06,28.317,29.74207,28.27102,29.37429,3048300,5853,97280100
2010-04-07,29.38348,29.86154,28.91462,29.58572,1922600,3727,61310733
2010-04-08,29.42027,30.13736,28.6664,30.13736,2075900,4421,67376924
2010-04-09,30.07298,30.16495,29.3283,29.6685,1315400,2975,42633368
2010-04-12,29.69609,29.80636,29.40188,29.47546,476500,1317,15341032
2010-04-13,29.51214,29.61331,28.58362,29.05248,749400,1784,23665146
2010-04-14,29.10767,29.82475,28.86864,29.80636,1128600,3378,36032748
2010-04-15,29.96271,30.70739,29.96271,30.61541,1883000,4246,62286487
2010-04-16,30.52354,30.60622,29.19044,29.3283,1407700,2795,45314890
2010-04-19,28.49165,28.86864,27.95841,28.50085,2321100,4441,71572743
2010-04-20,28.86864,28.91462,28.21583,28.91462,782600,2047,24324696
2010-04-22,28.3262,28.86864,28.15155,28.54683,760700,2223,23588090
2010-04-23,28.74907,29.18124,28.40897,29.12606,951900,2532,29770980
2010-04-26,29.15365,29.38348,28.27102,28.29861,886000,2255,27727801
2010-04-27,28.24343,28.24343,27.03909,27.30571,1332400,3655,39760190
2010-04-28,27.58152,27.58152,26.96551,27.07587,1354500,3148,40256514
2010-04-29,27.59072,27.85734,27.36999,27.76537,760400,1802,22827810
