Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4.15421,4.28574,4.15421,4.28574,300,2,7373
2010-01-05,4.27037,4.28745,4.27037,4.28745,2100,7,52510
2010-01-06,4.31307,4.31307,4.31307,4.31307,200,1,5050
2010-01-07,4.31307,4.31307,4.31307,4.31307,500,2,12625
2010-01-08,4.18496,4.26012,4.18496,4.25841,2800,8,68945
2010-01-11,4.27037,4.27037,4.27037,4.27037,100,1,2500
2010-01-12,4.30453,4.30453,4.30453,4.30453,100,1,2520
2010-01-13,4.2362,4.29599,4.2362,4.29599,300,2,7475
2010-01-14,4.29599,4.29599,4.29599,4.29599,1100,3,27665
2010-01-18,4.2362,4.28745,4.2362,4.28745,600,2,14910
2010-01-19,4.2362,4.2362,4.2362,4.2362,500,1,12400
2010-01-20,4.25499,4.25499,4.1508,4.22596,15100,11,368773
2010-01-21,4.11663,4.27037,4.08247,4.27037,2700,8,66182
2010-01-22,4.27037,4.31307,4.27037,4.2977,2800,8,70396
2010-01-26,4.27037,4.27037,4.27037,4.27037,2800,3,70000
2010-01-27,4.26866,4.26866,4.26866,4.26866,10000,1,249900
2010-01-28,4.26695,4.26695,4.26524,4.26524,17700,2,441974
2010-01-29,4.2345,4.26866,4.18496,4.26866,21200,8,524652
2010-02-01,4.18496,4.26866,4.18496,4.26866,1300,5,32238
2010-02-02,4.26695,4.26695,4.26695,4.26695,7600,2,189848
2010-02-03,4.26524,4.26524,4.2345,4.25328,1900,6,47258
2010-02-05,3.92874,4.24816,3.92874,4.24816,700,2,16287
2010-02-08,4.24474,4.24474,3.93728,4.24133,2600,11,63834
2010-02-09,4.24474,4.25158,4.24474,4.25158,400,2,9944
2010-02-11,4.18496,4.21741,4.18496,4.21741,300,3,7388
2010-02-12,4.21912,4.27037,4.21912,4.27037,2000,5,49700
2010-02-17,4.27037,4.27037,4.18496,4.26183,2700,5,66380
2010-02-18,3.92874,4.26183,3.89116,4.26183,2300,5,52653
2010-02-19,4.09955,4.21741,4.09955,4.21741,300,3,7338
2010-02-22,4.25158,4.25158,4.25158,4.25158,100,1,2489
2010-02-24,4.18496,4.18496,4.18496,4.18496,300,3,7350
2010-02-25,4.01414,4.21912,4.01414,4.21912,1300,6,31760
2010-02-26,4.20204,4.2362,4.20204,4.2362,7200,4,177360
2010-03-02,4.22766,4.22766,4.22766,4.22766,3800,6,94050
2010-03-04,4.09955,4.18496,4.09955,4.18496,1100,2,26450
2010-03-08,3.98169,4.18496,3.98169,4.18496,4000,13,95446
2010-03-11,3.98852,4.21912,3.84333,4.21912,2800,7,63845
2010-03-16,4.20033,4.35577,4.20033,4.35577,12100,18,304555
2010-03-17,4.34723,4.50951,4.34723,4.50951,13200,13,340364
2010-03-18,4.42752,4.47535,4.42752,4.47364,13400,17,348111
2010-03-19,4.45826,4.45826,4.45826,4.45826,500,3,13050
2010-03-23,4.45826,4.6974,4.45826,4.55392,55000,21,1472567
2010-03-24,4.59321,4.59321,4.57783,4.57783,13800,5,370070
2010-03-25,4.27037,4.40702,3.94924,4.30453,3900,9,97657
2010-03-26,4.51634,4.51634,4.40702,4.40702,900,3,23284
2010-03-29,4.44118,4.44118,4.44118,4.44118,100,1,2600
2010-03-30,4.40702,4.56075,4.40702,4.56075,29000,8,771855
2010-03-31,4.52659,4.57783,4.52659,4.57783,37800,10,1012840
2010-04-01,4.56075,4.56075,4.56075,4.56075,10000,2,267000
2010-04-05,4.56075,4.56929,4.56075,4.56075,4400,6,117580
2010-04-06,4.56075,4.56246,4.56075,4.56075,5400,5,144184
2010-04-07,4.54367,4.54367,4.54367,4.54367,600,2,15960
2010-04-08,4.56758,4.56758,4.56075,4.56075,400,4,10684
2010-04-09,4.56929,4.57783,4.56929,4.57783,2200,3,58950
2010-04-15,4.64616,4.64616,4.27037,4.64616,500,4,13375
2010-04-16,4.56929,4.56929,4.56929,4.56929,2000,2,53500
2010-04-20,4.52659,4.57783,4.52659,4.57783,2200,3,58900
2010-04-22,4.52659,4.59491,4.52659,4.59491,500,3,13370
2010-04-23,4.59491,4.59491,4.59491,4.59491,200,1,5380
2010-04-29,4.60004,4.60004,4.44289,4.58637,2000,6,53557
2010-04-30,4.44118,4.56929,4.44118,4.54367,5200,9,135654
2010-05-03,4.40702,4.40702,4.40702,4.40702,3000,2,77400
2010-05-04,4.27037,4.40702,4.27037,4.37286,5400,6,135900
2010-05-05,4.40702,4.66153,4.40702,4.66153,19900,21,523222
2010-05-07,4.27037,4.60345,4.27037,4.60345,200,2,5195
2010-05-10,4.612,4.6137,4.612,4.6137,12000,18,324020
2010-05-11,4.612,4.612,4.612,4.612,5800,5,156600
2010-05-12,4.612,4.612,4.57783,4.612,5500,4,147560
2010-05-13,4.64958,4.6974,4.64958,4.6974,9200,14,252194
2010-05-14,4.64616,4.64787,4.612,4.612,51600,18,1396799
2010-05-17,4.612,4.612,4.57783,4.612,13400,7,361379
2010-05-18,4.612,4.612,4.5283,4.5283,15300,7,412561
2010-05-19,4.27037,4.52659,4.27037,4.52659,900,4,22800
2010-05-20,4.28745,4.30453,4.28745,4.30453,800,5,20150
2010-05-21,4.34723,4.34723,4.27037,4.27037,82300,24,2057716
2010-05-24,4.27037,4.27037,4.27037,4.27037,139100,61,3477500
2010-05-25,4.27037,4.27037,4.05685,4.27037,69500,12,1736340
2010-05-26,4.31307,4.31307,4.21912,4.31307,7400,10,184329
2010-05-27,4.28745,4.40702,4.28745,4.40702,2100,4,53475
2010-05-28,4.29599,4.30453,4.29599,4.30453,400,3,10070
2010-05-31,4.30282,4.35577,4.30282,4.35577,1800,10,45764
2010-06-02,4.31307,4.31478,4.27037,4.27037,11100,10,278853
2010-06-08,4.32161,4.32161,4.32161,4.32161,200,1,5060
2010-06-10,4.35577,4.68032,4.35577,4.40702,1900,7,50379
2010-06-11,4.52659,4.83405,4.52659,4.66324,7200,8,196527
2010-06-14,4.66324,4.66324,4.64616,4.64616,500,2,13610
