Date,Open,High,Low,Close,Volume,Neg,Fin
2013-02-08,9.08239,9.68466,9.08239,9.68466,8267900,13107,251882209
2013-02-13,9.73006,9.73611,9.47583,9.61202,649500,1233,20748046
2013-02-14,9.58176,9.65439,9.38201,9.39714,450300,1089,14097405
2013-02-15,9.38504,9.39714,9.33964,9.37899,762800,647,23646505
2013-02-18,9.36385,9.36688,9.07937,9.29122,78800,295,2421225
2013-02-19,9.23069,9.36688,9.23069,9.24885,205500,383,6317643
2013-02-20,9.24885,9.38201,9.24885,9.38201,24200,74,745111
2013-02-21,9.23977,9.32148,9.20042,9.32148,144500,121,4431802
2013-02-22,9.2428,9.37899,9.23069,9.37899,148800,117,4553844
2013-02-25,9.32148,9.43346,9.27609,9.29122,128900,94,3958333
2013-02-26,9.23372,9.37899,9.23372,9.35175,25300,127,781127
2013-02-27,9.37899,9.46675,9.34267,9.44254,85900,182,2665044
2013-02-28,9.39412,9.68163,9.39412,9.68163,56700,159,1795312
2013-03-01,9.53939,9.83296,9.53334,9.83296,24100,127,768724
2013-03-04,9.74519,9.98428,9.68163,9.74519,36400,176,1176618
2013-03-05,9.83598,9.97217,9.74519,9.74519,104400,568,3414555
2013-03-06,9.80572,10.03573,9.40622,9.53939,177800,234,5651858
2013-03-07,9.65439,9.69071,9.5182,9.56663,10200,64,322673
2013-03-08,9.50913,9.65137,9.40925,9.47281,68300,117,2140462
2013-03-11,9.47886,9.83296,9.44254,9.83296,13600,36,435963
2013-03-12,9.71492,9.82085,9.59084,9.609,30500,211,970890
2013-03-13,9.609,9.95401,9.52123,9.95401,17000,18,557459
2013-03-14,9.71795,9.80269,9.65439,9.68466,472100,371,15102998
2013-03-15,9.68466,9.79664,9.62413,9.79664,88600,20,2835591
2013-03-18,9.68466,9.68466,9.66347,9.68466,337600,27,10803193
2013-03-19,9.70282,9.85111,9.70282,9.77848,850800,43,27649818
2013-03-20,9.80874,9.98125,9.80874,9.83598,6200,27,203067
2013-03-21,9.85111,9.92677,9.83901,9.89954,83600,92,2733286
2013-03-22,9.90559,9.9873,9.88138,9.93888,457300,150,15059771
2013-03-25,9.95401,9.95401,9.77545,9.77545,560200,140,18248986
2013-03-26,9.77848,9.8148,9.5061,9.67861,213900,143,6848046
2013-03-27,9.65137,9.77243,9.55149,9.609,280700,102,8923389
2013-03-28,9.68163,9.68163,9.609,9.609,182800,44,5804241
2013-04-01,9.59387,9.76032,9.59387,9.69676,142300,203,4554990
2013-04-02,9.74519,9.74519,9.39109,9.49702,28500,96,905672
2013-04-03,9.49702,9.53636,9.44557,9.48794,66700,150,2091512
2013-04-04,9.44254,9.57873,9.43044,9.52728,39100,122,1225321
2013-04-05,9.58781,9.58781,9.44557,9.5182,549300,112,17298578
2013-04-08,9.609,9.82085,9.41228,9.82085,634400,150,19980485
2013-04-09,9.76335,9.77545,9.56663,9.65439,64900,286,2073922
2013-04-10,9.71795,9.72098,9.59689,9.68466,252200,137,8050825
2013-04-11,9.75427,9.75427,9.62413,9.66953,10700,44,341866
2013-04-12,9.67861,9.68163,9.59689,9.609,25000,39,794239
2013-04-15,9.47583,9.67861,9.40017,9.50307,24500,56,772601
2013-04-16,9.64532,9.64834,9.43346,9.54847,59100,141,1870312
2013-04-17,9.47583,9.62716,9.47583,9.609,39300,173,1240788
2013-04-18,9.56663,9.56663,9.30938,9.45768,195500,607,6093081
2013-04-19,9.47534,9.67894,9.42975,9.67894,62200,63,1952436
2013-04-22,9.60297,9.60297,9.44191,9.46622,55200,318,1723911
2013-04-23,9.44495,9.49661,9.37506,9.42064,238700,530,7404968
