Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,13.08924,13.08924,13.04958,13.04958,10500,9,69220
2010-01-05,13.00991,13.26773,12.75209,12.81159,28500,26,186114
2010-01-06,12.53394,12.75209,12.53394,12.73226,19500,9,125002
2010-01-07,12.67277,12.6926,12.51411,12.6926,34100,29,218208
2010-01-08,12.65294,12.67277,12.49428,12.67277,114900,34,730672
2010-01-11,12.65294,12.73226,12.61327,12.6926,76800,19,491583
2010-01-12,12.59344,12.75209,12.59344,12.75209,3200,2,20400
2010-01-13,12.75209,12.79176,12.61327,12.79176,8500,10,54561
2010-01-14,12.6926,12.75209,12.59344,12.75209,2900,11,18465
2010-01-15,12.45461,12.79176,12.45461,12.79176,16400,10,104264
2010-01-18,12.61327,12.6926,12.61327,12.6926,400,2,2548
2010-01-19,12.77193,12.79176,12.77193,12.79176,9500,12,61225
2010-01-20,12.6331,12.75209,12.45461,12.6926,2500,8,15843
2010-01-21,12.89092,12.89092,12.39512,12.6926,1700,6,10740
2010-01-22,12.59344,12.59344,12.59344,12.59344,1300,2,8255
2010-01-26,12.29595,12.49428,12.29595,12.49428,2500,3,15510
2010-01-27,12.59344,12.6926,12.39512,12.39512,10000,7,62845
2010-01-28,12.39512,12.39512,11.95881,12.27612,500,3,3097
2010-01-29,12.49428,12.49428,12.23646,12.29595,33600,14,209642
2010-02-01,12.19679,12.39512,11.93898,12.29595,4000,13,24465
2010-02-02,12.09763,12.39512,12.09763,12.39512,300,2,1845
2010-02-03,12.27612,12.29595,12.27612,12.29595,2800,6,17435
2010-02-04,12.47444,12.47444,11.89931,12.09763,9200,15,55844
2010-02-05,11.89931,11.89931,11.60183,11.89931,20600,27,121439
2010-02-08,11.83981,11.97864,11.81998,11.97864,2300,6,13774
2010-02-09,12.29595,12.47444,12.29595,12.29595,3100,5,19229
2010-02-10,12.29595,12.49428,12.29595,12.49428,8500,7,53038
2010-02-11,12.45461,12.49428,12.45461,12.47444,12200,8,76738
2010-02-12,12.39512,13.28756,12.39512,12.59344,38500,178,247151
2010-02-17,13.48589,13.48589,12.91075,13.28756,24500,22,164248
2010-02-18,13.34706,13.34706,12.79176,13.2479,4500,12,29878
