Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,37.2836,37.2836,35.9754,36.19344,59200,248,498866
2010-01-05,36.28065,36.97835,36.23705,36.6295,520400,107,4340385
2010-01-06,36.5859,37.06557,36.14983,36.89114,47100,109,396296
2010-01-07,36.93475,37.06557,36.54229,36.54229,40500,192,341860
2010-01-08,37.02196,37.45803,36.93475,37.2836,196400,303,1675363
2010-01-11,37.10918,37.50163,36.97835,37.06557,56500,60,480426
2010-01-12,37.02196,37.71967,36.71671,37.19638,51700,83,440062
2010-01-13,37.63245,37.80688,37.06557,37.80688,195000,197,1675186
2010-01-14,37.67606,37.71967,37.2836,37.63245,126100,105,1085045
2010-01-15,38.06852,38.6354,37.50163,37.9813,174000,229,1515039
2010-01-18,37.50163,38.15573,37.50163,38.11212,75600,58,656125
2010-01-19,37.9377,38.5918,37.89409,38.24295,51600,139,452141
2010-01-20,38.15573,38.33016,36.76032,37.19638,34400,58,295465
2010-01-21,36.6295,37.54524,36.6295,37.06557,116200,75,986784
2010-01-22,37.50163,37.50163,36.97835,37.23999,28700,56,244300
2010-01-26,36.93475,37.2836,36.93475,37.19638,90000,98,765678
2010-01-27,37.2836,37.41442,36.84753,37.41442,439000,52,3732210
2010-01-28,37.23999,37.80688,37.23999,37.2836,44700,94,383662
2010-01-29,37.45803,37.50163,37.2836,37.50163,48700,72,417896
2010-02-01,37.50163,38.24295,37.2836,38.24295,15600,68,135337
2010-02-02,38.5918,38.5918,37.54524,38.11212,163600,93,1423623
2010-02-03,38.15573,38.15573,36.49868,36.49868,258500,117,2234523
2010-02-04,37.02196,37.02196,35.3213,35.71376,91900,108,754356
2010-02-05,35.36491,36.10622,34.71081,34.88524,43700,54,350725
2010-02-08,34.88524,35.2777,34.49278,34.75442,14200,45,113398
2010-02-09,34.88524,36.54229,34.84163,36.19344,49800,197,410026
2010-02-10,36.19344,36.32426,35.58294,35.9754,16400,44,134946
2010-02-11,36.19344,36.97835,36.19344,36.97835,49100,108,410259
2010-02-12,36.28065,36.54229,35.80098,36.54229,12600,52,104728
2010-02-17,36.5859,36.97835,36.41147,36.76032,22200,86,186698
2010-02-18,36.6295,37.02196,36.54229,36.6295,12000,68,101119
2010-02-19,36.84753,36.97835,36.76032,36.97835,8900,76,75205
2010-02-22,37.02196,37.02196,36.41147,36.49868,9900,61,83115
2010-02-23,36.41147,36.76032,35.40852,35.93179,27500,59,225912
2010-02-24,35.9754,36.06262,35.53934,35.93179,7000,28,57569
2010-02-25,36.19344,36.19344,35.40852,35.88819,17400,56,142926
2010-02-26,35.9754,36.19344,35.40852,35.53934,32000,72,263312
2010-03-01,35.75737,36.19344,35.75737,36.06262,13700,44,112970
2010-03-02,36.10622,37.06557,36.10622,37.02196,23600,86,196639
2010-03-03,37.06557,37.06557,36.6295,36.6295,9800,18,82717
2010-03-04,36.6295,36.6295,35.75737,35.75737,10000,24,82561
2010-03-05,35.9754,36.36786,34.71081,34.88524,112000,118,905442
2010-03-08,35.36491,35.36491,35.01606,35.01606,14500,43,117007
2010-03-09,35.36491,35.80098,35.10327,35.53934,47300,109,384163
2010-03-10,35.53934,36.36786,35.2777,35.84459,112800,359,923421
2010-03-11,35.80098,35.9754,35.3213,35.3213,36900,247,299404
2010-03-12,35.40852,35.45213,34.88524,35.10327,32400,134,261326
2010-03-15,35.01606,35.75737,35.01606,35.75737,238500,88,1951768
2010-03-16,35.75737,35.75737,35.45213,35.75737,67100,81,549897
2010-03-17,35.75737,36.19344,35.75737,35.9754,89500,173,736968
2010-03-18,36.14983,36.14983,35.75737,35.93179,10700,83,88057
2010-03-19,35.93179,36.14983,35.67016,35.67016,27500,62,225602
2010-03-22,35.75737,35.75737,35.10327,35.45213,38300,161,310401
2010-03-23,35.75737,35.80098,35.10327,35.75737,16600,57,135468
2010-03-24,35.75737,35.75737,35.10327,35.40852,9500,40,76785
2010-03-25,35.53934,35.53934,34.79803,35.45213,48500,76,389909
2010-03-26,35.49573,35.49573,34.88524,35.10327,10300,20,82829
2010-03-29,35.3213,35.40852,34.79803,35.14688,34900,63,279489
2010-03-30,35.14688,35.53934,35.10327,35.10327,45600,113,369995
2010-03-31,34.88524,35.93179,34.49278,35.93179,213800,142,1732812
2010-04-01,35.9754,35.9754,35.3213,35.49573,29700,31,241753
2010-04-05,35.53934,35.71376,35.05967,35.3213,28900,28,234544
2010-04-06,35.53934,35.53934,34.75442,35.3213,22400,34,180008
2010-04-07,35.10327,35.10327,34.71081,35.05967,24800,28,198229
2010-04-08,34.71081,35.01606,34.66721,34.84163,15900,52,126981
2010-04-09,35.10327,35.10327,34.53638,34.79803,15300,35,121939
2010-04-12,34.79803,35.71376,34.79803,35.10327,304200,100,2452712
2010-04-13,34.88524,35.40852,34.71081,35.10327,204500,141,1639264
2010-04-14,35.10327,35.10327,34.66721,34.88524,47500,164,379587
2010-04-15,35.14688,35.14688,34.53638,34.79803,33800,73,269714
2010-04-16,34.6236,35.2777,34.44917,34.44917,31300,52,248539
2010-04-19,35.2777,35.2777,34.44917,34.71081,10800,46,85930
2010-04-20,35.10327,35.3213,34.88524,35.10327,17300,130,139385
2010-04-22,35.14688,35.40852,35.10327,35.40852,44900,30,362234
2010-04-23,35.10327,35.3213,34.88524,34.88524,41900,30,338056
2010-04-26,35.40852,35.40852,34.57999,34.88524,11700,27,93412
2010-04-27,35.01606,35.10327,34.31835,34.49278,37500,85,297427
2010-04-28,34.57999,34.92885,33.9695,34.01311,41500,32,325438
2010-04-29,34.10032,34.88524,34.01311,34.84163,9900,19,78135
2010-04-30,34.66721,34.75442,33.88229,33.88229,23100,68,180097
2010-05-03,34.40557,34.40557,33.22819,33.35901,13600,57,104425
2010-05-04,33.14098,33.14098,31.83278,31.92,28200,59,209367
2010-05-05,31.74557,31.83278,30.08852,30.6118,58900,95,417607
2010-05-06,30.69901,30.74262,28.99836,29.21639,146400,91,998433
2010-05-07,29.43442,29.65245,28.69311,29.21639,8300,19,55589
2010-05-10,30.13213,30.6118,29.87049,30.39376,64900,71,447063
2010-05-11,30.35016,30.69901,29.82688,30.69901,41000,25,286108
2010-05-12,30.69901,31.3095,30.69901,31.3095,149700,67,1068536
2010-05-13,31.39672,31.39672,30.91704,31.3095,18200,11,129359
2010-05-14,30.6118,30.6118,29.69606,29.82688,34900,67,240519
2010-05-17,29.78327,29.78327,28.78032,28.78032,91100,70,609566
2010-05-18,29.21639,29.21639,27.90819,27.90819,46500,21,306919
2010-05-19,27.90819,28.30065,27.03606,27.47213,78300,71,492232
2010-05-20,27.21049,27.38491,26.59999,26.59999,23400,40,144359
2010-05-21,26.59999,26.81803,26.29475,26.81803,120300,154,733306
2010-05-24,26.99245,27.86458,26.90524,27.25409,41400,35,257326
2010-05-25,26.90524,26.90524,26.51278,26.59999,33600,73,205169
2010-05-26,27.25409,27.42852,26.16393,26.16393,62600,44,382415
2010-05-27,26.81803,27.03606,26.25114,26.99245,63800,61,388987
2010-05-28,26.42557,27.55934,26.42557,27.21049,29500,26,181933
2010-05-31,27.21049,27.73377,27.03606,27.73377,10900,28,68773
2010-06-01,27.47213,27.47213,27.03606,27.03606,10300,18,64418
2010-06-02,27.9518,27.9518,27.2977,27.51573,7500,23,47570
2010-06-04,27.25409,27.47213,26.94885,27.47213,10700,14,66866
2010-06-07,27.47213,27.69016,27.03606,27.07967,6800,23,42472
2010-06-08,27.25409,27.38491,26.25114,26.68721,60900,82,373445
2010-06-09,26.6436,27.77737,26.6436,27.21049,25200,30,157264
2010-06-10,27.47213,27.86458,26.99245,27.25409,75900,60,474267
2010-06-11,27.42852,27.42852,26.86163,27.2977,46100,154,286076
2010-06-14,27.38491,27.64655,27.03606,27.03606,44300,55,276848
2010-06-15,27.25409,27.42852,26.86163,27.34131,11200,33,70053
2010-06-16,27.38491,29.87049,27.38491,29.87049,214400,272,1398094
2010-06-17,29.65245,29.82688,29.12917,29.56524,27500,74,186417
2010-06-18,29.43442,30.00131,29.12917,29.17278,31400,46,211224
2010-06-21,29.17278,29.39081,28.64951,28.64951,41000,37,271405
2010-06-22,28.56229,28.99836,28.34426,28.38787,21000,38,137794
2010-06-23,28.78032,29.04196,27.73377,28.78032,37300,83,243194
2010-06-24,28.03901,28.86753,28.03901,28.16983,13200,24,85377
2010-06-25,28.03901,28.73672,27.9518,28.73672,37100,47,242752
2010-06-28,28.69311,29.73967,28.34426,29.73967,34900,20,233392
2010-06-29,29.34721,29.60885,28.69311,29.52163,68800,40,465350
2010-06-30,29.21639,29.52163,29.12917,29.21639,45600,45,305457
2010-07-01,29.12917,29.78327,28.51868,29.78327,35800,61,238738
2010-07-02,29.82688,30.96065,29.39081,30.30655,52900,40,367611
2010-07-05,30.52458,31.52754,30.52458,31.00426,58900,88,418002
2010-07-06,31.83278,32.48688,31.83278,32.44327,117800,174,870426
2010-07-07,32.26885,32.70491,32.00721,32.6177,26500,50,196886
2010-07-08,32.6177,32.92294,32.26885,32.92294,48900,35,364317
2010-07-12,32.35606,34.01311,32.35606,33.9259,56400,127,434193
2010-07-13,33.79507,34.14393,33.18458,34.01311,42400,115,329499
2010-07-14,33.88229,34.01311,33.79507,34.01311,26800,68,208084
2010-07-15,34.05671,34.05671,33.35901,33.35901,43400,72,334303
2010-07-16,33.57704,33.57704,32.70491,32.70491,10400,44,78073
2010-07-19,32.70491,33.35901,32.70491,33.35901,13800,54,104671
2010-07-20,32.74852,32.74852,31.83278,32.09442,67800,59,502188
2010-07-21,32.6613,32.6613,31.39672,32.09442,53800,45,395924
2010-07-22,32.26885,34.01311,32.26885,33.14098,53000,86,406309
2010-07-23,33.57704,34.66721,32.92294,34.57999,38700,29,302709
2010-07-26,34.44917,34.88524,33.70786,34.01311,50800,45,400829
2010-07-27,34.36196,34.36196,33.01016,33.05376,19300,49,147018
2010-07-28,33.3154,33.3154,32.6177,32.6177,20600,44,155738
2010-07-29,33.14098,33.44622,31.9636,32.26885,29400,111,219152
2010-07-30,32.48688,32.92294,31.61475,32.05082,36400,42,268499
2010-08-02,32.26885,33.14098,31.70196,32.96655,60300,87,449175
2010-08-03,33.09737,33.48983,32.6177,33.48983,26400,67,200420
2010-08-04,33.14098,34.23114,33.14098,34.01311,105800,100,825121
2010-08-05,34.10032,35.9754,34.10032,35.93179,163900,127,1320776
2010-08-06,35.88819,36.19344,35.45213,36.14983,38600,63,317156
2010-08-09,35.53934,36.41147,35.53934,36.41147,2429000,70,20043484
2010-08-10,36.19344,36.32426,35.75737,36.10622,12500,31,103488
2010-08-11,36.10622,36.10622,35.36491,35.53934,344600,114,2812364
2010-08-12,35.71376,35.71376,35.10327,35.10327,17100,12,137722
2010-08-13,35.53934,36.19344,34.97245,35.9754,56800,65,463531
2010-08-16,35.9754,35.9754,35.19048,35.9754,4900,25,39644
2010-08-17,35.53934,35.9754,35.2777,35.75737,148900,38,1210532
2010-08-18,35.75737,36.19344,35.19048,36.19344,14400,87,118033
2010-08-19,36.19344,36.28065,35.53934,35.53934,59500,23,493480
2010-08-20,35.53934,35.93179,35.53934,35.84459,2900,20,23793
2010-08-23,35.9754,35.9754,35.53934,35.58294,23200,94,189109
2010-08-24,35.53934,35.53934,35.3213,35.3213,30400,55,246341
2010-08-25,34.97245,35.9754,34.6236,35.80098,34900,84,282241
2010-08-26,35.75737,36.41147,35.75737,36.06262,70100,66,578484
2010-08-27,35.9754,37.2836,35.9754,37.23999,110300,134,915502
2010-08-30,36.76032,36.80392,36.41147,36.80392,5000,45,41998
2010-08-31,36.80392,37.71967,36.80392,37.58884,119600,71,1018676
2010-09-01,37.19638,38.80983,37.15278,38.80983,50300,114,438355
2010-09-02,38.50459,38.50459,37.37081,38.11212,22000,20,191900
2010-09-03,37.9377,37.9377,37.06557,37.71967,20900,30,180279
2010-09-06,37.71967,37.71967,37.06557,37.50163,2600,9,22128
2010-09-08,37.45803,37.45803,37.06557,37.2836,35700,113,304871
2010-09-09,37.2836,38.80983,36.93475,38.37376,50300,133,439628
2010-09-10,38.24295,38.37376,37.71967,38.06852,35000,214,306611
2010-09-13,38.15573,39.15868,37.9377,39.02786,241000,196,2131068
2010-09-14,39.15868,39.15868,38.37376,38.37376,59200,120,529038
