Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,10.74077,10.74077,10.3446,10.3446,92100,77,2184328
2010-01-05,10.3446,10.3534,10.01445,10.01445,45000,96,1039331
2010-01-06,10.1245,10.29177,10.1245,10.21254,61900,122,1434840
2010-01-07,10.21254,10.21254,9.87359,9.87359,53100,88,1210205
2010-01-08,9.9044,10.14211,9.87359,10.1245,77300,58,1757521
2010-01-11,10.1245,10.67474,10.1245,10.67474,133300,103,3143937
2010-01-12,10.67474,10.67474,10.48106,10.67474,142300,128,3442416
2010-01-13,10.66154,10.8112,10.65273,10.69675,101600,120,2483523
2010-01-14,10.90364,10.90364,10.60871,10.69235,93400,29,2272456
2010-01-15,10.60871,10.60871,10.46785,10.47665,137200,70,3278514
2010-01-18,10.56469,10.56469,10.45465,10.52067,63200,82,1510286
2010-01-19,10.53828,10.53828,10.41062,10.52067,123800,73,2954795
2010-01-20,10.47665,10.51627,10.25656,10.51627,34700,18,827249
2010-01-21,10.54268,10.54268,10.01445,10.51627,50300,96,1185995
2010-01-22,10.3446,10.51627,10.3446,10.38861,62900,62,1484848
2010-01-26,10.43263,10.43263,10.23455,10.31378,55200,35,1295265
2010-01-27,10.31378,10.3446,10.02766,10.30058,24400,23,567363
2010-01-28,10.30058,10.349,9.86478,9.86478,65700,70,1500605
2010-01-29,9.99244,10.01445,9.85598,9.86038,35800,26,805045
2010-02-01,9.88239,9.88239,9.55224,9.70191,86800,75,1916762
2010-02-02,9.61827,10.3446,9.61827,10.3446,100800,70,2302130
2010-02-03,10.29177,10.47665,10.14211,10.3446,156800,83,3682686
2010-02-04,10.3446,10.48546,9.74593,10.3446,283700,249,6509548
2010-02-05,10.3446,10.3446,9.60067,10.19053,116000,176,2642489
2010-02-08,10.21254,10.52067,9.96162,10.47665,42300,86,990661
2010-02-09,10.69675,10.82881,10.5867,10.74077,125500,123,3075308
2010-02-10,10.87723,10.87723,10.72316,10.78479,21500,26,526630
2010-02-11,10.89044,11.18097,10.89044,11.00049,267900,112,6723572
2010-02-12,10.96087,10.96087,10.93446,10.93886,31900,38,794968
2010-02-17,10.96087,10.96087,10.89044,10.96087,47100,104,1171995
2010-02-18,10.96087,10.96087,10.67474,10.84642,14100,54,347012
2010-02-19,10.78479,10.96087,10.59111,10.95207,17000,51,421345
2010-02-22,10.96087,10.96087,10.82881,10.91245,9200,34,227779
2010-02-23,10.95647,10.95647,10.78479,10.93006,12900,13,319584
2010-02-24,10.78919,10.99608,10.78919,10.99608,16400,34,408216
2010-02-25,10.91685,10.96087,10.7936,10.96087,21400,71,530160
2010-02-26,11.00489,11.84126,10.91685,11.44509,130000,121,3300240
