Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,4357.67139,4608.73779,4304.8999,4605.53955,407300,937,11485034
2010-01-05,4597.54395,4747.86377,4587.94873,4637.52197,407800,654,11866303
2010-01-06,4677.50098,4901.38135,4677.50098,4901.38135,785500,947,23700699
2010-01-07,4845.41113,4970.14453,4690.29443,4920.5708,319700,834,9738032
2010-01-08,4823.02344,4989.33447,4821.42383,4981.33887,314600,431,9745852
2010-01-11,4923.76953,4981.33887,4800.63525,4901.38135,362500,435,11095652
2010-01-12,4807.03174,4957.35156,4781.44531,4957.35156,415100,509,12679251
2010-01-13,4998.9292,5112.46826,4861.40283,5019.71826,356800,540,11219867
2010-01-14,4973.34326,5029.31348,4902.98096,5019.71826,456700,320,14177028
2010-01-15,5019.71826,5034.11035,4901.38135,4925.36865,302800,473,9426005
2010-01-18,4933.36426,4934.96338,4890.1875,4909.37744,76200,181,2341310
2010-01-19,4885.38965,4973.34326,4783.04443,4933.36426,139500,263,4243712
2010-01-20,4917.37305,4925.36865,4813.42871,4861.40283,125600,289,3817822
2010-01-21,4909.37744,4909.37744,4560.76318,4619.93164,287200,776,8382214
2010-01-22,4584.75098,4637.52197,4557.56543,4629.52637,133600,238,3853285
2010-01-26,4605.53955,4605.53955,4442.42676,4557.56543,200100,181,5669552
2010-01-27,4514.3877,4565.56055,4404.04736,4565.56055,248200,775,7031092
2010-01-28,4618.33252,4618.33252,4456.81934,4586.34961,94200,161,2679282
2010-01-29,4581.55273,4711.08301,4557.56543,4653.51367,88400,175,2564320
2010-02-01,4655.11328,4733.47119,4565.56055,4733.47119,178400,136,5164181
2010-02-02,4725.47559,4795.8374,4669.50537,4709.48486,128100,113,3774951
2010-02-03,4672.70361,4699.88965,4565.56055,4651.91455,234300,395,6780199
2010-02-04,4600.74219,4600.74219,4333.68457,4341.68066,337800,540,9423358
2010-02-05,4304.8999,4304.8999,3977.0752,4093.81299,926500,2803,23715511
2010-02-08,4205.75342,4237.73584,4122.59766,4125.79541,186100,493,4862424
2010-02-09,4260.12402,4260.12402,4128.99414,4173.77051,215600,741,5635774
2010-02-10,4154.58008,4332.08545,4149.7832,4255.32666,205400,540,5441020
2010-02-11,4255.32666,4365.66748,4239.33545,4309.69775,82400,178,2207353
2010-02-12,4285.71045,4389.65527,4261.72363,4386.45654,190400,844,5165289
2010-02-17,4493.59961,4507.9917,4404.04736,4453.62109,83500,195,2329797
2010-02-18,4453.62109,4468.01318,4351.27539,4456.81934,221500,364,6107598
2010-02-19,4405.64648,4476.0083,4372.06396,4437.62939,259400,271,7202670
2010-02-22,4428.03516,4493.59961,4421.63721,4477.60791,106100,472,2964434
2010-02-23,4463.21533,4474.40967,4399.24951,4469.6123,119600,120,3310009
2010-02-24,4384.85742,4498.39648,4298.50342,4397.65039,508100,188,13762577
2010-02-25,4322.49072,4397.65039,4269.71924,4396.05127,45000,62,1231705
2010-02-26,4394.45215,4476.0083,4271.31787,4301.70166,167500,166,4513434
2010-03-01,4244.13281,4295.30566,4130.59277,4184.96436,344100,481,8979708
2010-03-02,4220.14502,4253.72705,4144.98535,4144.98535,294300,475,7712785
2010-03-03,4157.77881,4189.76123,4109.80469,4159.37793,394900,578,10257445
2010-03-04,4165.77393,4236.13721,4120.99854,4140.1875,116100,226,3017633
2010-03-05,4194.55859,4229.74023,4175.36963,4220.14502,240900,630,6340487
2010-03-08,4220.14502,4220.14502,4133.79199,4133.79199,118500,200,3086136
2010-03-09,4141.7876,4162.57666,4037.84302,4089.01538,278600,429,7158382
2010-03-10,4097.01172,4180.1665,4097.01172,4140.1875,98900,215,2565885
2010-03-11,4151.38232,4191.36035,4135.39063,4149.7832,65900,129,1716284
2010-03-12,4159.37793,4189.76123,4109.80469,4152.98096,65900,148,1707820
2010-03-15,4125.79541,4183.36523,4063.42944,4077.82178,129200,236,3308600
2010-03-16,4176.96826,4332.08545,4141.7876,4285.71045,477400,838,12682131
2010-03-17,4365.66748,4381.65918,4261.72363,4261.72363,444600,595,12072507
2010-03-18,4280.91309,4346.47803,4181.76563,4269.71924,148000,241,3961481
2010-03-19,4327.28809,4333.68457,4253.72705,4333.68457,171400,170,4597275
2010-03-22,4269.71924,4316.09424,4212.1499,4213.74902,65700,137,1742740
2010-03-23,4213.74902,4237.73584,4152.98096,4207.35205,59300,119,1559451
2010-03-24,4234.5376,4237.73584,4111.40332,4117.7998,115500,194,3012692
2010-03-25,4157.77881,4181.76563,4021.85132,4031.44629,207300,301,5301551
2010-03-26,4058.63159,4133.79199,3997.86401,4013.85596,331600,359,8340333
2010-03-29,4077.82178,4077.82178,3908.31177,3914.7085,508200,797,12532970
2010-03-30,3917.90674,3917.90674,3749.99683,3749.99683,1358400,1149,32286140
2010-03-31,3749.99683,3917.90674,3749.99683,3853.94092,509900,933,12304887
2010-04-01,3887.52295,3957.8855,3789.9751,3836.35059,387400,727,9386136
2010-04-05,3857.1394,3900.31592,3780.38013,3781.97974,274700,354,6558196
2010-04-06,3794.77222,3837.94971,3732.40625,3757.99219,260900,444,6156298
2010-04-07,3820.35913,3893.91968,3797.9707,3829.95386,263200,366,6319258
2010-04-08,3841.14771,4023.45093,3839.54883,4010.65747,644700,1065,16008933
2010-04-09,4017.0542,4108.20557,4013.85596,4076.22192,508400,839,12860294
2010-04-12,4079.42041,4114.60156,3997.86401,4073.02417,346700,652,8848167
2010-04-13,4042.64063,4108.20557,4028.24805,4069.82617,186700,257,4735872
2010-04-14,4073.02417,4106.60596,4013.85596,4065.02832,189000,194,4834372
2010-04-15,4047.43774,4061.82983,3965.88135,3981.87256,141900,186,3545316
2010-04-16,3989.86865,4012.25659,3837.94971,3837.94971,154300,209,3747150
2010-04-19,3858.73804,3858.73804,3777.18237,3789.9751,99000,208,2356501
2010-04-20,3837.94971,3900.31592,3821.95801,3853.94092,100100,153,2411461
2010-04-22,3869.93286,3900.31592,3826.75586,3868.33325,120200,250,2896837
2010-04-23,3877.92822,3914.7085,3842.74731,3914.7085,242700,132,5862403
2010-04-26,3925.90234,3956.28613,3861.93652,3940.29492,75600,233,1848427
2010-04-27,3901.91553,3901.91553,3778.78101,3778.78101,141800,182,3405220
2010-04-28,3868.33325,3868.33325,3718.01392,3781.97974,186500,188,4396443
2010-04-29,3799.56982,3834.75122,3775.58301,3797.9707,109000,90,2592219
2010-04-30,3836.35059,3836.35059,3745.19922,3813.96265,109400,208,2577515
2010-05-03,3823.55713,3893.91968,3757.99219,3757.99219,84100,218,2026415
2010-05-04,3761.19092,3799.56982,3575.6897,3710.01807,277000,799,6302256
2010-05-05,3702.02222,3702.02222,3537.31006,3598.07764,331600,873,7473484
2010-05-06,3601.27612,3601.27612,3431.76636,3510.12476,164200,234,3642360
2010-05-07,3542.10742,3542.10742,3279.8479,3297.43848,398700,1089,8359073
2010-05-10,3457.35303,3457.35303,3358.20581,3420.57251,655600,560,13941896
2010-05-11,3420.57251,3420.57251,3326.2229,3332.61963,272800,360,5717699
2010-05-12,3385.39136,3622.06519,3326.2229,3622.06519,557800,752,12117171
2010-05-13,3662.04346,3797.9707,3598.07764,3726.00928,498900,891,11594137
2010-05-14,3674.83667,3703.62183,3558.09937,3654.0481,195400,291,4444968
2010-05-17,3590.08228,3668.44043,3522.91821,3628.46143,177100,195,3993342
2010-05-18,3628.46143,3636.45703,3431.76636,3506.92676,252500,348,5620905
2010-05-19,3452.55542,3486.1377,3262.25708,3270.25293,423900,477,8800583
2010-05-20,3198.29126,3198.29126,3052.76904,3124.73047,220600,502,4326352
2010-05-21,3103.94165,3275.05029,3084.75244,3214.28271,307700,608,6127188
2010-05-24,3230.27417,3270.25293,3161.51123,3185.49829,106700,163,2131763
2010-05-25,3057.56665,3148.71826,2907.24658,3148.71826,223600,477,4247174
2010-05-26,3198.29126,3214.28271,3097.54541,3097.54541,226500,304,4459233
2010-05-27,3238.27026,3279.8479,3198.29126,3262.25708,255700,355,5193910
2010-05-28,3308.63257,3318.22729,3246.26563,3308.63257,42600,94,873758
2010-05-31,3316.62793,3358.20581,3310.23169,3337.41699,46900,110,978715
2010-06-01,3308.63257,3348.61108,3246.26563,3315.02905,112700,161,2312382
2010-06-02,3265.45532,3310.23169,3230.27417,3267.05469,114300,166,2338223
2010-06-04,3241.46851,3370.99927,3198.29126,3335.81812,129100,278,2676078
2010-06-07,3510.12476,3510.12476,3359.80518,3422.17188,889200,834,19248831
2010-06-08,3460.55127,3481.34058,3377.396,3383.79248,219200,401,4683529
2010-06-09,3406.18018,3452.55542,3390.18896,3406.18018,129600,195,2770625
2010-06-10,3434.96509,3708.41895,3430.16772,3686.03076,394500,684,8857661
2010-06-11,3702.02222,3855.54077,3678.0354,3855.54077,445000,706,10502814
2010-06-14,3965.88135,3993.06689,3863.53564,3865.1355,390700,731,9619981
2010-06-15,3853.94092,3853.94092,3762.79004,3853.94092,137600,401,3272490
2010-06-16,3805.96704,3853.94092,3738.80225,3837.94971,161600,260,3845310
2010-06-17,3837.94971,3917.90674,3773.98389,3773.98389,97200,360,2338283
2010-06-18,3836.35059,3866.73413,3777.18237,3866.73413,122000,125,2934340
2010-06-21,3866.73413,3908.31177,3778.78101,3820.35913,62200,158,1484804
2010-06-22,3761.19092,3837.94971,3757.99219,3789.9751,92000,117,2179605
2010-06-23,3789.9751,3820.35913,3694.02686,3710.01807,100100,244,2327259
2010-06-24,3710.01807,3710.01807,3518.12061,3550.10352,160800,299,3606052
