Date,Open,High,Low,Close,Volume,Neg,Fin
2021-07-26,23.63999,23.75999,21.30999,22.08999,1914700,2178,42353985
2021-07-27,22.98999,22.98999,20.99999,21.99999,1473400,3553,32241115
2021-07-28,22.7,24.58999,22.66999,22.89999,2243400,4381,51694716
2021-07-29,24.14999,24.79999,23.57999,23.97999,822900,2721,19686745
2021-07-30,24.00999,24.97999,23.2,24.39999,1129100,2461,27496568
2021-08-02,24.85999,25.45999,24.79999,24.98999,761700,1947,19149562
2021-08-03,25.22999,26.34999,24.51999,24.79,442900,1344,11046973
2021-08-04,25.2,25.2,23.89999,24.58999,591400,1699,14471700
2021-08-05,24.30999,25.02999,23.93999,24.45,259700,1320,6353930
2021-08-06,24.49999,24.79,23.37,23.54999,400300,1099,9489261
2021-08-09,23.7,23.7,22.42999,22.84999,625700,1097,14404781
2021-08-10,23.07999,23.64999,22.45,23.42999,285500,1036,6521083
2021-08-11,23.57999,23.57999,22.48999,23.2,376700,755,8614992
2021-08-12,23.2,23.58,22.85,23.2,563100,567,13079043
2021-08-13,23.3,23.79,23.0,23.39,390100,696,9077748
2021-08-16,23.62,23.62,21.27,21.5,937100,2266,20551821
2021-08-17,21.5,21.5,19.07,20.99,1170600,2683,23341217
2021-08-18,20.99,21.71,20.16,21.25,483500,1756,10140575
2021-08-19,20.99,21.98,20.31,21.5,528400,1591,11083770
2021-08-20,21.51,22.99,21.5,22.99,485800,1201,10858060
2021-08-23,23.0,23.95,23.0,23.7,241500,775,5685107
2021-08-24,23.91,24.27,23.2,23.99,484400,1692,11390029
2021-08-25,23.98,24.37,23.13,23.74,196800,784,4653018
2021-08-26,23.66,25.0,23.55,24.25,296500,814,7143899
2021-08-27,24.49,25.7,23.98,25.2,328900,807,8232006
2021-08-30,25.3,26.73,25.3,26.73,500600,1531,13169579
2021-08-31,27.0,27.3,24.9,26.0,586900,2359,15108116
2021-09-01,26.19,26.22,25.22,25.48,267600,1565,6879721
2021-09-02,25.56,25.8,24.07,24.11,425100,1786,10404979
2021-09-03,24.6,25.57,24.23,24.8,359200,1555,8927716
2021-09-06,24.5,24.99,24.39,24.94,120100,362,2978582
2021-09-08,24.39,24.39,22.79,23.28,537900,1518,12557040
2021-09-09,23.0,23.24,22.1,22.53,730000,2176,16533274
2021-09-10,23.2,23.4,22.55,23.0,295900,770,6813233
2021-09-13,23.44,23.44,22.78,23.2,147900,509,3428252
2021-09-14,23.35,23.53,22.9,23.15,250400,908,5834972
2021-09-15,23.54,23.54,22.04,22.25,1008100,879,22648148
2021-09-16,22.2,23.0,22.0,23.0,232100,886,5237386
2021-09-17,22.99,22.99,21.8,22.91,225100,810,5061187
2021-09-20,22.0,22.95,21.5,22.95,227200,1054,4997445
2021-09-21,23.3,23.41,21.7,21.7,816500,1967,18035065
2021-09-22,22.19,22.77,21.71,22.35,554600,1190,12328557
2021-09-23,22.38,22.71,22.12,22.45,191800,611,4289890
2021-09-24,22.43,22.97,22.1,22.38,307700,1342,6942703
2021-09-27,22.37,22.45,21.72,22.0,157300,803,3457867
2021-09-28,21.71,21.71,20.24,21.03,328400,1578,6820498
2021-09-29,21.03,21.03,19.8,20.02,857900,2770,17301368
2021-09-30,20.32,20.46,19.4,20.0,498000,2170,9884839
2021-10-01,20.06,20.23,19.05,19.4,923000,2120,17783854
2021-10-04,19.3,19.89,19.21,19.4,333300,1491,6487765
2021-10-05,19.45,19.69,18.51,18.95,304300,1166,5819423
2021-10-06,18.95,18.95,17.46,17.92,1124600,2457,19972976
2021-10-07,18.7,19.0,17.67,18.28,815400,1691,14943288
2021-10-08,18.4,18.75,18.14,18.75,430900,1959,7970491
2021-10-11,18.46,19.18,18.46,19.0,175400,1086,3303748
2021-10-13,19.4,19.87,19.3,19.63,233800,868,4576378
2021-10-14,19.68,20.2,19.58,20.2,164800,874,3307222
2021-10-15,20.25,20.25,19.83,20.05,137700,636,2760735
2021-10-18,19.85,20.63,19.73,20.48,182300,687,3693129
2021-10-19,20.68,20.68,18.78,19.44,179000,882,3495536
2021-10-20,19.64,19.73,18.58,19.24,286700,1430,5429906
2021-10-21,18.96,18.96,17.63,18.05,295000,1040,5336258
2021-10-22,18.3,18.3,16.45,17.92,371600,1454,6427363
2021-10-25,17.6,18.91,17.6,18.4,150600,888,2769929
2021-10-26,18.85,18.85,17.46,17.74,167900,798,2990945
2021-10-27,17.84,17.92,17.25,17.7,181300,872,3181421
2021-10-28,17.69,18.26,17.2,17.81,183150,920,3230679
2021-10-29,17.8,18.05,16.34,16.89,354500,1382,6017988
2021-11-01,17.21,17.25,16.54,16.97,252500,1022,4262691
2021-11-03,17.1,17.53,16.55,17.45,211100,1154,3616585
2021-11-04,17.75,17.75,16.91,17.1,183000,1021,3149884
2021-11-05,17.28,18.35,17.28,18.35,359100,1498,6454833
2021-11-08,18.5,18.6,17.2,17.95,274200,1071,4893666
2021-11-09,18.3,18.5,17.48,18.5,121100,751,2169553
2021-11-10,18.0,18.14,17.4,18.0,205600,1079,3660281
2021-11-11,18.49,18.99,17.96,18.3,245600,1217,4546119
2021-11-12,18.15,18.72,17.43,17.5,127700,735,2264389
2021-11-16,17.4,18.2,16.65,17.02,138500,764,2350502
2021-11-17,17.53,17.53,15.82,16.82,389400,1614,6471189
2021-11-18,17.2,17.67,16.62,17.29,320100,1889,5517402
2021-11-19,17.29,18.71,17.05,18.35,252400,1182,4597326
2021-11-22,18.49,18.7,17.35,17.7,302300,1450,5419736
2021-11-23,17.89,17.93,16.4,16.85,250900,944,4230357
2021-11-24,17.16,17.44,16.55,17.0,195700,1068,3320832
2021-11-25,17.24,17.64,16.88,17.3,200300,807,3486523
2021-11-26,16.83,16.9,16.39,16.9,224300,1138,3756843
2021-11-29,17.06,17.06,16.24,16.5,166200,927,2738844
2021-11-30,16.21,16.33,15.6,15.75,301600,1305,4804609
2021-12-01,15.75,15.96,15.19,15.5,323300,1445,4978516
2021-12-02,15.37,15.84,14.98,15.73,225200,1172,3471091
2021-12-03,15.72,16.29,15.33,15.5,233800,1062,3679232
2021-12-06,15.73,16.79,15.73,16.5,436500,2176,7137728
2021-12-07,16.99,18.0,16.57,16.65,331800,1956,5635313
2021-12-08,16.89,17.4,16.39,17.3,222700,1132,3799701
2021-12-09,17.3,17.33,16.8,16.93,178600,1048,3035295
2021-12-10,16.94,18.15,16.94,18.06,512100,1207,9126556
2021-12-13,18.41,18.79,17.8,18.1,148100,1001,2697155
2021-12-14,18.6,18.6,16.63,16.7,317800,989,5386181
2021-12-15,17.12,17.47,16.09,16.84,221600,1267,3677345
2021-12-16,17.0,17.59,16.16,16.45,154700,925,2555834
2021-12-17,15.96,16.75,15.85,16.75,190800,782,3124050
2021-12-20,16.31,16.6,15.63,15.82,181400,1006,2872493
2021-12-21,16.0,16.06,15.17,15.94,245000,1518,3827422
2021-12-22,16.0,16.3,15.51,15.64,151600,834,2407624
2021-12-23,16.0,16.05,15.35,15.5,140300,643,2179842
2021-12-27,15.92,16.08,15.54,16.08,137900,748,2184991
2021-12-28,16.47,16.47,15.72,16.11,112200,656,1808833
2021-12-29,16.39,16.39,15.76,16.0,85600,666,1365820
2021-12-30,16.39,17.12,15.86,17.12,253000,1308,4186736
