Date,Open,High,Low,Close,Volume,Neg,Fin
2020-02-06,4.94161,5.43327,4.91166,5.14127,21739200,42038,444477112
2020-02-07,5.11631,5.49067,5.04892,5.06639,3117900,7748,64421268
2020-02-10,5.14127,5.14127,4.84178,5.04144,3036700,6239,59974941
2020-02-11,5.07887,5.11381,4.86673,5.04144,3299000,6187,65947788
2020-02-12,5.08387,5.47071,5.06639,5.47071,2389000,3195,49696607
2020-02-13,5.32096,5.6529,5.22612,5.49067,1099200,3122,24225485
2020-02-14,5.49317,5.75772,5.49067,5.5905,1215600,2389,27427702
2020-02-17,5.64292,5.89499,5.64292,5.81512,724500,1821,16902516
2020-02-18,5.81512,6.03974,5.76521,5.89,821600,1983,19359893
2020-02-19,5.92993,5.99981,5.66538,5.98983,1559300,2209,36507628
2020-02-20,6.07718,6.40163,5.83758,6.36419,458100,1669,11207322
2020-02-21,6.21444,6.32176,6.03475,6.13957,1682700,3196,41366101
2020-02-26,5.74025,5.91246,5.25358,5.46572,1964300,6420,43764064
2020-02-27,5.37337,5.37337,5.0065,5.19617,1581500,5795,32986973
2020-02-28,5.13877,5.3584,4.94161,5.31597,1257900,5726,25777898
2020-03-02,5.2386,5.98983,5.20366,5.98983,699500,3041,16244688
2020-03-03,6.0073,6.2394,5.65539,6.11212,819800,3325,19607287
2020-03-04,6.27185,6.35171,5.6529,6.03725,1871000,5216,43971612
2020-03-05,5.93991,5.93991,5.45823,5.49067,910700,2764,20418261
2020-03-06,5.20366,5.20366,4.90167,4.96656,2149200,8248,43081432
2020-03-09,4.14296,4.712,4.14296,4.36758,1052800,4923,18619190
2020-03-10,4.74195,4.94161,4.52232,4.74195,587400,2829,11026255
2020-03-11,4.71699,4.80434,4.37257,4.80434,506900,2174,9350606
2020-03-12,4.14047,4.61716,3.66877,4.01568,290800,677,4872689
2020-03-13,4.90417,4.90417,3.90587,4.37756,1636400,2958,27201724
2020-03-16,3.78357,3.83099,3.43167,3.7686,5484000,2293,82932697
2020-03-17,3.97824,3.97824,3.64631,3.74364,481700,1753,7295534
2020-03-18,3.37427,3.49407,2.78277,2.99491,1238600,1617,14861612
2020-03-19,2.99491,3.19457,2.71289,3.02237,2193600,2584,25115074
2020-03-20,3.16962,3.3568,2.87013,2.89758,708800,2166,8483930
2020-03-23,2.90007,2.90007,2.42588,2.54568,1344500,1329,13559416
2020-03-24,2.8252,3.2944,2.64551,3.2944,869500,4995,10186653
2020-03-25,3.19957,3.74115,3.19957,3.69622,1113600,2853,15657078
2020-03-26,3.74115,4.13797,3.65629,4.08057,399400,1196,6337497
2020-03-27,3.84347,4.43996,3.71369,4.3551,514400,2526,8360827
2020-03-30,4.3551,4.58721,4.1804,4.57972,362500,1939,6392668
2020-03-31,4.57723,4.57972,4.41999,4.49237,328900,1479,5923277
2020-04-01,4.28023,4.44245,3.65629,3.74364,1129800,2713,18019976
2020-04-02,3.86843,3.86843,3.43666,3.60887,1659600,3359,23630968
2020-04-03,3.55646,4.30768,3.33434,4.17291,3887500,2860,55756065
2020-04-06,4.2977,4.44245,4.05561,4.38006,1836600,3245,31009035
2020-04-07,4.61716,4.74195,4.37756,4.63712,2516100,3364,45468985
2020-04-08,4.74195,4.92414,4.43746,4.74444,1618500,2490,30029722
2020-04-09,4.79186,5.12879,4.79186,4.98154,1476400,1673,29500393
2020-04-13,4.99152,5.11381,4.66458,4.66458,2557200,2547,49858566
2020-04-14,4.84178,4.90167,4.70451,4.90167,1018400,1578,19750068
2020-04-15,4.85176,4.99152,4.72697,4.84178,201500,977,3948567
2020-04-16,4.99152,5.01648,4.77938,4.86673,398500,1101,7764055
2020-04-17,5.03645,5.03645,4.68454,4.8293,897900,2775,17466807
