Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,65.83105,68.44806,65.65057,68.44806,1076400,1282,16045285
2010-01-05,69.39559,69.39559,66.46275,67.0042,700100,680,10466677
2010-01-06,66.73347,67.86149,65.65057,67.86149,338400,565,5038632
2010-01-07,67.86149,67.86149,66.41763,67.68101,262000,627,3893607
2010-01-08,67.63588,68.58342,66.86884,67.95173,221800,290,3320384
2010-01-11,67.68101,71.69675,67.13956,71.69675,969900,749,14997986
2010-01-12,70.61385,71.47114,68.58342,68.58342,576700,701,8858682
2010-01-13,68.67367,70.61385,68.67367,69.48583,220100,562,3393774
2010-01-14,68.58342,72.10283,68.58342,69.93703,870300,879,13678822
2010-01-15,71.29066,71.29066,69.26023,70.34312,478300,759,7478576
2010-01-18,70.74921,71.78699,69.71143,70.0724,160600,314,2508194
2010-01-19,70.11752,70.298,68.71879,69.93703,295000,375,4564831
2010-01-20,69.44071,69.44071,66.50787,67.81637,370800,452,5559065
2010-01-21,68.26758,68.62854,63.16894,65.24449,526300,468,7629324
2010-01-22,63.62015,65.78593,61.63483,65.42498,357700,384,5083992
2010-01-26,64.97377,67.68101,63.43967,67.18468,274300,238,3993084
2010-01-27,67.0042,67.90661,64.70304,65.19937,141500,231,2067174
2010-01-28,67.41028,67.41028,64.07136,64.92865,59200,111,857792
2010-01-29,66.19203,66.91396,64.52256,66.68835,204100,409,2981252
2010-02-01,65.37985,66.37251,65.37985,66.05666,184600,278,2689015
2010-02-02,66.01154,66.32739,64.07136,64.97377,534100,603,7683780
2010-02-03,64.97377,65.01889,63.48478,64.11647,288700,233,4094603
2010-02-04,63.43967,63.98112,61.04827,62.26653,1124100,654,15457500
2010-02-05,60.19098,61.95068,58.47639,61.95068,612400,632,8184113
2010-02-08,62.40189,62.85309,60.55194,60.77755,187200,271,2545543
2010-02-09,61.22875,62.49213,60.01049,61.7702,364200,558,4945798
2010-02-10,62.98846,62.98846,59.55929,60.59707,339500,840,4615452
2010-02-11,60.91291,60.91291,58.97271,59.46904,581600,633,7721027
2010-02-12,58.11543,62.13116,57.16789,61.00315,471800,575,6216237
2010-02-17,62.17629,62.26653,60.86779,62.04092,107200,97,1457080
2010-02-18,61.81532,62.62749,61.09339,62.62749,154600,194,2125093
2010-02-19,61.31899,64.43232,61.31899,64.07136,237200,480,3351274
2010-02-22,64.29695,64.34207,62.44701,62.62749,122600,176,1715349
2010-02-23,62.04092,62.04092,60.14586,61.7702,262200,309,3549010
2010-02-24,61.81532,62.04092,59.28856,59.51416,347500,342,4642205
2010-02-25,59.10808,60.19098,57.48373,59.83001,318700,517,4157207
2010-02-26,60.41658,61.36411,59.06296,60.4617,272100,541,3633868
2010-03-01,60.91291,62.71773,60.91291,61.31899,212200,466,2899263
2010-03-02,61.9958,62.71773,61.40923,62.49213,215500,322,2980231
2010-03-03,62.17629,62.98846,60.28121,60.28121,385200,479,5242287
2010-03-04,60.2361,60.86779,58.25078,59.1532,575100,612,7514838
2010-03-05,59.24344,60.41658,56.40084,59.33368,2504600,2903,32233828
2010-03-08,60.2361,60.91291,59.24344,60.77755,875600,612,11626857
2010-03-09,60.73243,61.36411,59.01783,60.50682,754200,466,10143990
2010-03-10,60.55194,60.68731,59.3788,59.55929,346700,408,4603349
2010-03-11,59.42393,62.26653,59.42393,61.36411,987900,1003,13312166
2010-03-12,61.18363,63.80064,60.68731,62.49213,16240600,1569,225804862
2010-03-15,62.71773,63.12381,61.58971,62.22141,414400,378,5704514
2010-03-16,62.13116,63.48478,61.72508,62.49213,635300,1335,8839523
2010-03-17,63.16894,63.57503,62.26653,63.16894,816700,454,11388909
2010-03-18,63.39454,63.57503,61.09339,62.53725,816600,835,11307491
2010-03-19,62.26653,62.67262,61.09339,62.26653,344100,409,4701610
2010-03-22,61.7702,62.98846,60.50682,62.71773,318000,540,4372225
2010-03-23,62.62749,63.39454,62.49213,63.34941,541400,406,7552779
2010-03-24,62.35676,63.34941,61.5446,61.7702,235700,276,3267357
2010-03-25,61.7702,63.16894,61.7702,62.35676,573700,519,7960043
2010-03-26,62.35676,64.25184,62.31165,63.21406,770000,684,10762519
2010-03-29,63.39454,64.07136,62.22141,63.21406,684700,692,9624298
2010-03-30,63.84575,65.65057,63.43967,65.47009,996100,1171,14279232
2010-03-31,64.97377,65.78593,63.89087,64.29695,412800,571,5908332
