Date,Open,High,Low,Close,Volume,Neg,Fin
2021-04-16,17.26,17.35,16.33,16.8,9010800,18150,152113520
2021-04-19,16.88,17.0,16.16,16.19,3070300,4809,50170287
2021-04-20,16.3,16.49,15.94,16.27,2405100,2334,38971509
2021-04-22,16.3,16.58,15.9,15.99,1416000,2859,22920688
2021-04-23,16.13,16.25,15.19,15.45,4021900,6058,62368093
2021-04-26,15.52,15.55,15.11,15.33,1398500,2453,21326131
2021-04-27,15.4,15.74,15.1,15.68,1323800,2432,20374707
2021-04-28,15.68,16.15,15.5,16.1,916000,1678,14629114
2021-04-29,16.11,16.3,16.01,16.28,721500,811,11671877
2021-04-30,16.3,16.39,15.9,16.2,1357100,2856,21762013
2021-05-03,16.3,16.3,15.4,15.7,1437000,1470,22664891
2021-05-04,15.87,15.97,15.3,15.35,1559500,2361,24028914
2021-05-05,15.57,15.78,15.36,15.7,287900,879,4506922
2021-05-06,15.7,15.89,15.45,15.89,363300,1288,5713002
2021-05-07,15.89,16.1,15.65,15.8,373300,400,5909351
2021-05-10,15.8,16.0,15.3,15.65,521500,1938,8087937
2021-05-11,15.65,15.8,15.5,15.76,362100,727,5672430
2021-05-12,15.76,15.92,15.65,15.76,736000,934,11645017
2021-05-13,15.77,16.1,15.75,15.75,1090400,561,17304717
2021-05-14,15.9,16.64,15.81,16.56,1551600,2376,25379548
2021-05-17,16.54,16.54,16.02,16.2,153200,559,2487460
2021-05-18,16.11,16.31,15.96,16.0,164800,675,2659762
2021-05-19,16.01,16.04,15.66,15.85,164700,253,2611390
2021-05-20,15.67,15.9,15.58,15.86,101400,363,1598397
2021-05-21,15.9,16.02,15.8,15.89,151000,555,2400504
2021-05-24,15.94,16.22,15.6,16.18,287300,1223,4590458
2021-05-25,16.01,16.15,15.65,15.74,487000,1111,7674684
2021-05-26,15.94,16.09,15.47,15.56,2650900,2430,41540705
2021-05-27,15.69,15.9,15.45,15.48,645300,1257,10060128
2021-05-28,15.64,16.05,15.58,16.05,519900,1137,8211427
2021-05-31,16.5,16.51,16.1,16.38,466400,2388,7596385
2021-06-01,16.61,16.86,15.93,16.06,901800,4456,14546183
2021-06-02,16.06,16.26,15.82,16.0,580700,2919,9276295
2021-06-04,16.24,16.24,15.9,16.05,214900,751,3442675
2021-06-07,16.13,16.15,15.65,15.79,933700,2259,14677858
2021-06-08,15.92,15.92,15.56,15.7,206700,748,3241544
2021-06-09,15.72,15.79,15.32,15.43,392700,1994,6054818
2021-06-10,15.44,15.52,15.33,15.46,154500,446,2382574
2021-06-11,15.56,15.69,15.35,15.46,170100,661,2636277
2021-06-14,15.5,15.5,15.25,15.25,213800,666,3276872
2021-06-15,15.34,15.39,15.15,15.22,183800,684,2803900
2021-06-16,15.3,15.36,15.16,15.36,200000,1068,3054463
2021-06-17,15.36,15.95,15.34,15.79,1197100,3275,18744346
2021-06-18,15.99,15.99,15.53,15.86,344500,1333,5437163
2021-06-21,15.96,16.28,15.51,16.28,453600,1384,7248495
2021-06-22,16.29,16.44,16.07,16.19,266900,933,4343482
2021-06-23,16.19,16.32,15.98,16.3,206300,829,3339982
2021-06-24,16.36,16.54,16.29,16.54,663000,3147,10875783
2021-06-25,16.51,16.59,16.35,16.5,627900,1231,10355371
2021-06-28,16.49,16.86,16.38,16.86,411000,1348,6837533
2021-06-29,16.86,16.86,16.34,16.5,380700,1037,6298759
2021-06-30,16.46,16.78,16.4,16.78,813800,3379,13485042
2021-07-01,16.88,16.93,16.23,16.25,434400,1673,7096908
2021-07-02,16.4,16.57,16.28,16.4,431900,530,7054421
2021-07-05,16.57,16.91,16.0,16.07,528400,1549,8639954
2021-07-06,16.2,16.6,16.03,16.6,888900,2545,14531370
2021-07-07,17.5,17.73,17.1,17.65,4765500,8071,83462715
2021-07-08,17.4,18.44,17.4,18.0,3705900,6214,66443519
2021-07-12,18.04,18.94,17.72,18.85,2435300,2786,44702027
2021-07-13,18.73,19.0,18.68,18.8,2832800,1443,53560901
2021-07-14,18.89,18.95,18.51,18.8,494900,2057,9290845
2021-07-15,18.79,19.1,18.35,18.83,1174300,2768,22125523
2021-07-16,18.67,19.04,18.52,18.89,630600,2529,11813613
2021-07-19,18.64,18.9,18.45,18.78,618000,1609,11547852
2021-07-20,18.81,18.87,18.03,18.55,376300,1380,6994601
2021-07-21,18.59,18.78,18.07,18.5,571400,1814,10587588
2021-07-22,18.41,19.11,18.41,19.08,653800,1775,12395464
2021-07-23,19.08,19.3,18.81,19.15,373200,1204,7118845
2021-07-26,19.24,19.43,18.91,19.12,664500,1225,12790220
2021-07-27,19.0,19.1,18.12,18.5,600100,1546,11025870
2021-07-28,18.56,18.6,17.83,18.43,587100,1562,10666782
2021-07-29,18.39,18.89,18.17,18.86,350400,1022,6543172
2021-07-30,18.66,18.99,18.21,18.59,603800,1826,11209788
2021-08-02,18.82,18.88,18.44,18.52,322600,875,5994364
2021-08-03,18.57,18.8,17.9,18.48,243200,1136,4483117
2021-08-04,18.36,18.47,17.86,18.11,462800,2640,8398101
2021-08-05,18.3,18.32,17.73,17.73,234500,1192,4201105
2021-08-06,17.73,17.9,17.21,17.21,268600,1261,4663384
2021-08-09,17.05,17.48,17.02,17.48,347800,1932,6006706
2021-08-10,17.48,17.53,17.2,17.35,399200,2267,6940403
2021-08-11,17.19,17.33,17.01,17.23,207400,890,3548059
2021-08-12,17.09,18.35,17.09,18.02,1245100,4423,22330894
2021-08-13,18.02,19.32,18.02,19.32,1214600,2900,23009272
2021-08-16,19.32,19.86,19.01,19.86,845400,4216,16422065
2021-08-17,19.84,19.84,19.07,19.59,557600,2638,10872026
2021-08-18,19.59,20.2,19.23,20.17,1310200,2352,25725148
2021-08-19,19.94,20.99,19.64,20.97,678900,2031,13829341
2021-08-20,20.6,21.29,20.43,21.19,529700,1953,11156321
2021-08-23,21.2,21.51,20.8,21.05,332500,2025,7018775
2021-08-24,21.27,21.6,21.0,21.2,234000,1158,4978210
2021-08-25,21.35,21.79,21.21,21.5,851300,2866,18269038
2021-08-26,21.28,21.46,21.13,21.3,654500,1469,13915633
