Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-05,26.0,28.33,24.71,26.4,13274300,33922,347089123
2021-02-08,26.55,27.0,25.0,25.12,2325700,7555,58936682
2021-02-09,25.0,26.4,22.71,26.4,2560200,9736,62178599
2021-02-10,25.87,26.12,23.7,23.81,1907900,9211,46474705
2021-02-11,23.85,24.34,22.56,22.56,1219100,4990,28257648
2021-02-12,22.55,22.55,21.31,21.55,1050700,4053,22617690
2021-02-17,21.55,21.55,20.66,21.0,764700,2719,16074507
2021-02-18,21.0,21.0,20.2,20.86,280200,853,5783562
2021-02-19,20.86,23.01,20.37,23.01,669600,1994,14948550
2021-02-22,22.0,23.23,21.74,23.17,333100,1416,7517750
2021-02-23,23.27,24.67,22.84,23.8,595200,1594,13968743
2021-02-24,23.6,25.39,23.2,24.4,686800,1322,16869884
2021-02-25,24.4,24.99,23.42,24.48,299000,1013,7271844
2021-02-26,24.49,24.71,23.18,24.0,394500,794,9573167
2021-03-01,24.5,25.0,23.33,23.33,412600,1049,9876998
2021-03-02,23.97,24.05,22.09,23.99,460100,1241,10648593
2021-03-03,23.66,24.72,22.4,22.4,689000,2437,15745351
2021-03-04,22.8,25.25,22.15,23.5,687100,3035,16056978
2021-03-05,23.8,24.39,22.42,22.8,920400,3719,21045174
2021-03-08,22.11,22.85,20.54,21.34,353500,1495,7619933
2021-03-09,21.5,21.86,20.72,21.4,100400,356,2146941
2021-03-10,22.0,22.26,21.09,21.85,111100,553,2427813
2021-03-11,21.88,21.97,20.98,21.8,410100,948,8832660
2021-03-12,21.77,22.35,21.28,21.65,139200,677,3047548
2021-03-15,22.3,22.48,21.7,21.8,65300,320,1428731
2021-03-16,22.4,23.0,21.92,23.0,308500,887,6899648
2021-03-17,23.0,24.42,22.5,24.42,154700,861,3633271
2021-03-18,24.5,24.57,23.52,23.74,258900,1238,6221694
2021-03-19,23.69,24.13,22.84,23.6,909600,1923,21388510
2021-03-22,23.1,23.69,23.1,23.3,59100,324,1385592
2021-03-23,22.99,23.75,22.73,23.75,59800,286,1398144
2021-03-24,23.46,24.0,23.0,23.0,97300,417,2277228
2021-03-25,22.85,23.3,22.4,23.15,148500,711,3386981
2021-03-26,22.7,24.22,22.44,23.59,82500,483,1902050
2021-03-29,23.2,23.44,22.75,23.15,93400,307,2151679
2021-03-30,23.0,23.42,22.8,23.13,104500,471,2415693
2021-03-31,22.99,23.2,21.7,22.0,404800,1519,8945708
2021-04-01,22.49,22.6,21.65,22.26,136500,671,3050100
2021-04-05,21.97,22.26,21.32,21.35,226300,1157,4855978
2021-04-06,21.32,21.35,20.86,20.86,66300,313,1397778
2021-04-07,20.98,21.59,20.45,21.45,171900,963,3592034
2021-04-08,21.65,21.85,20.99,21.6,160200,855,3458638
2021-04-09,21.45,21.47,20.87,20.99,180600,721,3796885
2021-04-12,21.05,21.34,20.55,21.0,124200,652,2587435
2021-04-13,21.1,21.1,20.6,20.78,110600,869,2297684
2021-04-14,20.99,20.99,20.6,20.84,129800,644,2699862
2021-04-15,20.99,20.99,20.26,20.39,240000,1273,4916265
2021-04-16,20.38,20.64,19.47,19.9,395400,2417,7956593
2021-04-19,20.32,20.93,19.69,20.78,164700,1141,3374036
2021-04-20,20.31,20.9,20.1,20.65,256400,720,5199112
2021-04-22,20.48,20.84,20.25,20.45,165500,991,3382340
2021-04-23,20.49,20.8,20.31,20.55,205500,1241,4229198
2021-04-26,20.51,21.3,20.43,21.24,82300,432,1729611
2021-04-27,20.95,21.79,20.89,21.79,146100,735,3129628
2021-04-28,21.79,22.88,21.19,22.83,142100,866,3162230
2021-04-29,22.83,22.98,22.14,22.7,139500,911,3156364
2021-04-30,22.64,23.0,21.72,21.8,421300,805,9250412
2021-05-03,21.8,21.91,21.1,21.1,56300,247,1200505
2021-05-04,21.01,21.49,20.63,20.63,54700,300,1143880
2021-05-05,20.63,21.25,20.6,20.97,85100,394,1784304
2021-05-06,20.97,21.08,20.45,20.45,90600,568,1874173
2021-05-07,20.45,20.76,19.69,20.4,93100,360,1882448
2021-05-10,20.61,20.61,19.77,19.99,250500,663,5024779
2021-05-11,19.77,20.5,19.77,20.0,96800,431,1937312
2021-05-12,20.0,20.21,19.01,19.18,93400,405,1814989
2021-05-13,19.03,19.38,18.1,18.26,223500,1201,4143553
2021-05-14,18.31,18.55,17.72,18.46,436400,1132,7868958
2021-05-17,18.45,18.45,17.53,17.58,111100,667,1973011
2021-05-18,17.82,17.82,16.93,16.96,251700,1748,4327599
2021-05-19,16.95,17.3,16.71,17.3,208900,1270,3579171
2021-05-20,17.56,17.6,17.09,17.09,96000,462,1655945
2021-05-21,17.04,17.28,16.8,17.0,65900,353,1125401
2021-05-24,16.75,17.49,16.5,17.11,105600,434,1800392
2021-05-25,16.91,17.4,16.91,17.25,143400,571,2465062
2021-05-26,17.25,17.25,16.73,16.84,1319600,1013,22300697
2021-05-27,17.0,17.21,16.8,16.8,131900,528,2245438
2021-05-28,17.05,17.27,16.65,17.27,119900,467,2038447
2021-05-31,17.36,17.66,17.08,17.55,209200,772,3636200
2021-06-01,17.68,18.19,17.06,17.4,180400,696,3181455
2021-06-02,17.36,17.77,17.11,17.58,220100,745,3823595
2021-06-04,17.36,17.99,17.17,17.75,167200,987,2926780
2021-06-07,17.64,17.8,17.41,17.63,162500,379,2865292
2021-06-08,17.59,17.75,17.1,17.5,208800,957,3628284
2021-06-09,17.27,18.09,17.24,17.8,248400,448,4392080
2021-06-10,17.55,18.26,17.55,17.6,163100,414,2909072
