Date,Open,High,Low,Close,Volume,Neg,Fin
2020-02-13,18.31,18.8,17.93,18.5,15222400,20336,277105327
2020-02-14,18.5,18.65,18.07,18.16,2943100,4512,53550735
2020-02-17,18.29,18.42,17.79,18.1,2041900,4691,36737826
2020-02-18,17.84,18.3,17.82,18.3,412500,1031,7467718
2020-02-19,18.4,18.5,18.26,18.5,366500,512,6747661
2020-02-20,18.47,18.5,18.26,18.41,386300,465,7097328
2020-02-21,18.44,18.5,17.77,17.96,1045500,3089,18742516
2020-02-26,17.0,17.45,16.3,16.56,1188700,2032,19763077
2020-02-27,16.3,16.42,15.84,16.13,907800,1229,14733880
2020-02-28,15.8,16.88,15.09,16.88,1883900,2881,29282264
2020-03-02,16.64,17.0,15.9,16.29,1029400,2091,16780906
2020-03-03,16.17,17.3,15.96,16.04,1339600,4193,21960676
2020-03-04,16.3,16.99,16.1,16.99,558300,1039,9168548
2020-03-05,17.0,17.3,15.78,16.05,461500,516,7521049
2020-03-06,15.11,15.81,14.65,15.8,1676500,2926,25721699
2020-03-09,14.96,14.96,12.16,12.8,2170600,3560,28612977
2020-03-10,13.44,13.89,12.17,13.4,1932500,3328,25227837
2020-03-11,13.18,13.18,11.06,13.0,1242400,2308,15353122
2020-03-12,11.47,11.7,9.02,9.75,800900,1184,8227291
2020-03-13,11.06,11.39,9.02,10.88,1937300,6517,19472735
2020-03-16,8.75,9.34,7.69,7.69,836200,2717,6784854
2020-03-17,7.96,8.01,7.0,7.06,691900,1262,5021993
2020-03-18,6.67,6.67,3.87,5.01,776400,1019,3713651
2020-03-19,4.9,5.59,3.68,5.0,1076600,1981,5012579
2020-03-20,5.61,5.66,5.0,5.4,927400,3044,4976544
2020-03-23,5.57,5.89,4.31,4.31,552500,2044,2516052
2020-03-24,4.64,4.9,4.21,4.35,1370200,1511,6128230
2020-03-25,4.5,5.65,4.35,5.65,3324900,2004,16587105
2020-03-26,6.0,6.9,5.7,6.33,776600,2046,4799619
2020-03-27,6.01,6.69,5.82,6.41,842700,2789,5220171
2020-03-30,6.51,6.9,6.12,6.29,620500,1777,4003923
2020-03-31,6.29,6.29,5.87,6.18,735200,1565,4440734
2020-04-01,6.0,6.28,5.45,5.96,1516400,6199,8683218
2020-04-02,6.2,6.2,5.34,5.39,2942200,4392,16020181
2020-04-03,5.5,5.5,4.75,5.0,2418300,2782,12099837
2020-04-06,5.3,5.75,5.24,5.32,337900,822,1837388
2020-04-07,5.94,5.94,5.35,5.45,215900,782,1198120
2020-04-08,5.45,6.19,5.4,6.0,197400,652,1168536
2020-04-09,6.14,6.99,6.04,6.43,571000,1639,3728947
2020-04-13,6.78,6.82,6.4,6.42,175700,838,1160106
2020-04-14,6.69,6.89,6.54,6.65,160900,489,1071618
2020-04-15,6.45,6.84,6.31,6.39,195200,984,1271636
2020-04-16,6.48,6.53,5.9,6.3,346200,967,2156037
2020-04-17,6.3,6.45,5.86,6.0,696300,2594,4241442
2020-04-20,5.88,6.22,5.71,6.22,168300,567,1019624
2020-04-22,6.23,6.79,6.06,6.77,1114400,3299,7241845
2020-04-23,7.05,7.05,6.51,6.99,298900,1297,2043558
2020-04-24,6.68,6.75,5.83,6.0,913400,1895,5751276
2020-04-27,6.16,6.23,5.72,6.12,366600,1244,2174466
2020-04-28,6.1,6.75,5.95,6.65,1252200,4383,7891233
2020-04-29,6.87,7.27,6.65,6.91,761900,1889,5243580
2020-04-30,6.83,7.19,6.53,6.68,570400,1648,3838112
2020-05-04,6.55,6.75,6.45,6.56,78300,361,512122
2020-05-05,6.56,6.67,6.16,6.37,335700,998,2125395
2020-05-06,6.3,6.71,6.05,6.52,174900,686,1130433
2020-05-07,6.65,6.68,6.03,6.03,131700,513,819277
2020-05-08,6.08,6.44,6.06,6.2,105100,400,650849
2020-05-11,6.2,6.49,5.89,6.03,261100,999,1592901
2020-05-12,6.2,6.35,5.78,6.0,102300,359,623106
2020-05-13,5.93,6.11,5.61,5.8,388400,1106,2289510
2020-05-14,5.8,5.84,5.55,5.75,598200,598,3390516
2020-05-15,5.86,6.44,5.61,6.3,344200,1861,2129270
2020-05-18,6.35,6.89,6.12,6.89,441300,1151,2931454
2020-05-19,6.89,7.04,6.66,6.89,214900,782,1472888
2020-05-20,6.93,7.01,6.57,7.0,554400,2268,3753841
2020-05-21,6.95,7.1,6.71,6.97,616500,1796,4258957
2020-05-22,6.81,6.99,6.71,6.89,136400,571,938555
2020-05-25,6.99,7.4,6.9,7.4,970200,2450,6885990
2020-05-26,7.35,7.68,6.83,7.34,1471100,3811,10501379
2020-05-27,7.27,7.71,7.22,7.7,495900,1600,3739470
2020-05-28,7.55,7.67,7.21,7.45,1189300,4704,8776817
2020-05-29,7.4,7.4,7.02,7.02,886500,2944,6374554
2020-06-01,7.0,7.24,6.8,7.0,301400,865,2120078
2020-06-02,7.06,7.43,7.0,7.43,685300,1950,4979381
2020-06-03,7.4,8.32,7.38,8.32,772400,1867,6021100
2020-06-04,8.3,8.86,8.06,8.11,484400,1715,4078816
2020-06-05,8.4,8.85,8.06,8.06,1058400,1436,8821304
2020-06-08,8.29,8.56,8.0,8.22,446700,1488,3672834
2020-06-09,8.14,8.4,7.95,8.12,318500,1190,2604331
2020-06-10,8.22,8.28,7.84,8.1,191100,752,1544575
2020-06-12,7.64,7.92,7.51,7.79,282800,981,2177373
2020-06-15,7.57,7.62,7.15,7.16,620100,2637,4568098
2020-06-16,7.44,7.5,7.07,7.25,872900,3051,6305589
2020-06-17,7.25,7.58,7.17,7.47,308900,1080,2292001
2020-06-18,7.5,7.78,7.38,7.48,322000,1501,2441055
2020-06-19,7.62,7.76,7.03,7.05,1245400,2125,9120770
2020-06-22,7.12,7.4,7.12,7.33,690400,1281,5045629
2020-06-23,7.41,7.62,7.35,7.56,318800,915,2392630
2020-06-24,7.51,7.6,7.12,7.35,1005300,3514,7375515
2020-06-25,7.31,7.43,7.01,7.16,1741400,4195,12521755
2020-06-26,7.15,7.25,7.04,7.14,375300,1250,2669234
2020-06-29,7.25,7.39,6.92,7.23,211000,920,1502049
2020-06-30,7.3,7.53,7.2,7.45,435500,805,3222429
2020-07-01,7.51,8.27,7.48,8.26,1079000,1457,8326591
2020-07-02,8.32,8.69,7.98,8.37,769300,2033,6441813
2020-07-03,8.37,9.19,8.24,9.18,505400,1356,4482391
2020-07-06,9.45,10.0,9.45,10.0,561200,1874,5488376
2020-07-07,9.89,10.82,9.84,10.34,1015900,2465,10596344
2020-07-08,10.35,10.96,10.32,10.9,370800,1089,3980057
2020-07-09,11.0,11.47,11.0,11.47,436400,1882,4898554
2020-07-10,11.5,12.25,11.0,11.99,1704900,3451,20235197
2020-07-13,12.0,12.4,11.2,11.2,1301600,4254,15327207
2020-07-14,11.45,11.67,10.72,11.34,586400,1875,6564944
2020-07-15,11.5,11.87,11.29,11.58,481000,1723,5560357
2020-07-16,11.54,11.73,11.1,11.15,611800,2898,6874869
2020-07-17,11.29,11.79,11.1,11.79,668400,2983,7756870
2020-07-20,11.79,12.09,11.71,11.98,379500,1368,4513582
2020-07-21,12.1,12.29,11.65,12.06,1520800,2647,18200109
2020-07-22,11.96,12.2,11.82,12.2,798600,3398,9619618
2020-07-23,12.2,12.85,11.84,11.91,906300,3373,11136306
2020-07-24,11.76,11.86,11.11,11.35,685900,2825,7846155
2020-07-27,11.27,11.6,11.21,11.34,432600,2085,4913405
2020-07-28,11.37,11.47,11.13,11.33,585100,1807,6625175
2020-07-29,11.45,11.74,11.39,11.67,373200,1021,4350963
2020-07-30,11.67,11.73,11.22,11.6,403000,1601,4604125
2020-07-31,11.61,11.75,11.16,11.53,376600,1711,4291079
2020-08-03,11.54,11.63,11.0,11.0,397800,1688,4467271
2020-08-04,10.91,11.0,10.37,10.42,889200,4357,9434008
2020-08-05,10.56,10.78,10.42,10.72,187000,1194,1986197
2020-08-06,10.93,11.07,10.74,11.05,996900,974,10923100
2020-08-07,10.99,11.05,10.45,10.86,454700,1628,4886283
2020-08-10,10.86,11.01,10.59,10.89,455300,1255,4932719
2020-08-11,10.85,11.32,10.82,10.93,535100,2088,5903503
2020-08-12,10.94,11.1,10.53,10.8,257300,1016,2750895
2020-08-13,10.79,10.96,10.59,10.59,206300,721,2205645
2020-08-14,10.49,10.49,9.75,9.98,2194700,2691,21717996
2020-08-17,9.98,10.37,9.43,9.43,319300,1533,3098245
2020-08-18,9.55,9.88,9.34,9.88,328800,1278,3213015
2020-08-19,9.95,9.96,9.71,9.77,820800,926,8043517
2020-08-20,9.6,9.87,9.39,9.7,636500,1152,6205656
2020-08-21,9.7,10.02,9.4,9.4,467600,1919,4464330
2020-08-24,9.5,9.64,9.21,9.32,367400,1461,3433145
2020-08-25,9.42,9.55,9.23,9.48,200300,860,1886478
2020-08-26,9.7,9.7,8.98,9.18,427000,1894,3915713
2020-08-27,9.49,9.49,8.82,8.87,437600,1833,3933876
2020-08-28,8.88,9.03,8.82,8.93,200700,1213,1791495
2020-08-31,8.92,8.93,8.65,8.85,325000,971,2865376
2020-09-01,8.9,9.29,8.89,9.29,519300,1804,4761172
2020-09-02,9.4,9.42,8.97,9.15,289400,1920,2633932
2020-09-03,9.05,9.28,8.97,9.25,487700,1528,4464108
2020-09-04,9.16,9.32,8.69,9.09,623900,1822,5567833
2020-09-08,8.92,9.0,8.72,8.89,455500,2017,4028190
2020-09-09,8.93,9.04,8.82,8.85,361100,1476,3208557
2020-09-10,8.9,8.95,8.63,8.87,257500,899,2270958
2020-09-11,8.81,8.93,8.46,8.83,357500,1849,3145006
2020-09-14,8.85,9.18,8.74,8.85,627300,2500,5654956
2020-09-15,8.94,9.03,8.72,8.85,156400,595,1384074
2020-09-16,8.85,8.99,8.67,8.8,221200,917,1942869
2020-09-17,8.72,8.82,8.66,8.7,189200,801,1654155
