Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,17.22,17.4,17.22,17.39,22300,18,386954
2010-01-05,17.3,17.4,17.3,17.4,59800,33,1037322
2010-01-06,17.33,17.35,17.33,17.34,32300,14,560065
2010-01-07,17.33,17.4,17.33,17.4,76500,22,1327252
2010-01-08,17.35,17.4,17.35,17.4,31900,16,553650
2010-01-11,17.37,17.4,17.35,17.35,50500,20,876322
2010-01-12,17.36,17.4,17.36,17.4,1133400,16,19676046
2010-01-13,17.4,17.4,17.3,17.39,68600,19,1189316
2010-01-14,17.36,17.4,17.36,17.37,29600,10,514646
2010-01-15,17.31,17.39,17.31,17.36,16900,11,293381
2010-01-18,17.36,17.39,17.36,17.36,79000,35,1371458
2010-01-19,17.37,17.4,17.37,17.4,39400,12,684459
2010-01-20,17.39,17.4,17.38,17.4,87400,17,1520439
2010-01-21,17.4,17.44,16.86,17.4,519400,31,9036609
2010-01-22,17.38,17.43,17.38,17.41,158900,39,2763793
2010-01-26,17.38,17.45,17.3,17.43,27400,21,477190
2010-01-27,17.31,17.43,17.31,17.43,22900,6,397941
2010-01-28,17.26,17.45,17.15,17.45,12400,23,215733
2010-01-29,16.89,16.91,16.0,16.0,7000,14,117315
2010-02-01,16.0,16.01,15.05,16.0,9300,24,146643
2010-02-02,16.0,16.45,16.0,16.45,3000,6,48872
2010-02-03,16.1,16.1,15.5,15.5,24700,11,388538
2010-02-04,15.05,15.05,14.05,15.0,12800,15,189781
2010-02-05,14.02,14.75,14.02,14.1,16200,9,234998
2010-02-08,14.3,15.29,13.9,15.29,75400,17,1062010
2010-02-09,15.0,15.0,15.0,15.0,100,1,1500
2010-02-10,14.91,15.01,14.91,15.0,23700,20,355339
2010-02-11,15.19,15.2,15.01,15.01,102100,7,1551491
2010-02-12,15.0,15.44,15.0,15.01,23200,195,348517
2010-02-17,15.01,15.5,15.01,15.5,800,2,12106
2010-02-18,15.03,15.03,15.03,15.03,100,1,1503
2010-02-19,15.01,15.1,15.01,15.1,500,4,7541
2010-02-22,15.1,15.1,15.1,15.1,12200,1,184220
2010-02-23,15.1,15.11,15.01,15.1,4400,10,66354
2010-02-25,15.03,15.03,15.03,15.03,200,2,3006
2010-02-26,15.01,15.01,15.01,15.01,700,3,10507
2010-03-01,15.5,15.5,15.5,15.5,100,1,1550
2010-03-02,15.04,15.04,15.04,15.04,500,1,7520
2010-03-03,15.1,15.45,15.02,15.2,2500,5,38016
2010-03-04,15.3,16.0,15.03,16.0,4200,8,65049
2010-03-05,16.0,16.0,16.0,16.0,400,2,6400
2010-03-09,15.52,15.95,15.52,15.95,400,3,6251
2010-03-10,15.69,15.69,15.59,15.59,400,3,6266
2010-03-11,15.4,15.4,15.4,15.4,300,2,4620
2010-03-12,15.0,15.32,15.0,15.05,6100,6,91810
2010-03-16,15.0,15.15,15.0,15.15,400,2,6045
2010-03-17,15.39,15.39,15.39,15.39,2200,1,33858
2010-03-18,14.93,14.93,14.9,14.9,500,2,7453
2010-03-19,14.9,15.11,14.9,15.11,57100,9,855587
2010-03-22,15.05,15.1,15.05,15.1,15100,2,227990
2010-03-23,15.2,15.2,15.2,15.2,1000,2,15200
2010-03-25,15.0,15.07,15.0,15.07,17900,4,269473
2010-03-26,15.2,15.2,15.2,15.2,3900,3,59280
2010-03-29,15.2,15.2,15.2,15.2,600,1,9120
2010-03-30,15.0,15.0,15.0,15.0,4000,1,60000
2010-03-31,15.0,15.5,15.0,15.0,1800,4,27400
2010-04-01,15.01,15.21,15.01,15.21,20900,7,317843
2010-04-05,15.2,15.2,15.2,15.2,200,2,3040
2010-04-06,15.21,15.5,15.21,15.5,700,3,10801
2010-04-07,15.21,15.21,15.2,15.2,4300,4,65363
2010-04-08,15.3,15.3,15.3,15.3,300,1,4590
2010-04-09,15.3,15.3,15.3,15.3,3100,5,47430
2010-04-13,15.3,18.0,15.3,16.2,42200,33,730388
2010-04-14,16.2,16.49,15.31,16.44,7300,7,116799
2010-04-15,16.43,16.43,15.08,15.42,2200,8,33929
2010-04-16,15.75,15.75,15.58,15.7,2400,6,37653
2010-04-19,15.76,17.99,15.76,17.99,6500,15,106893
2010-04-20,17.49,18.5,17.0,18.4,11300,23,196047
2010-04-22,18.45,18.47,17.15,17.2,7900,14,140507
2010-04-23,17.2,17.2,17.2,17.2,400,1,6880
2010-04-26,15.96,16.4,15.95,15.95,800,5,12851
2010-04-27,15.6,15.6,15.6,15.6,600,1,9360
2010-04-30,14.06,15.0,14.05,14.5,1900,11,28045
2010-05-03,14.8,15.51,14.8,15.51,1400,6,21196
2010-05-05,14.6,14.6,14.6,14.6,1000,3,14600
2010-05-06,14.6,14.6,14.6,14.6,400,2,5840
2010-05-10,14.85,14.85,14.85,14.85,200,1,2970
2010-05-12,14.4,14.4,14.4,14.4,100,1,1440
2010-05-13,14.4,14.4,14.15,14.15,200,2,2855
2010-05-19,13.2,13.2,13.2,13.2,200,2,2640
2010-05-21,13.2,13.2,13.2,13.2,100,1,1320
2010-05-24,13.8,13.8,13.8,13.8,200,2,2760
2010-05-25,13.69,14.5,13.5,14.49,1000,7,13827
2010-05-27,13.3,13.31,13.02,13.05,1100,5,14494
2010-06-02,12.41,12.41,12.41,12.41,200,2,2482
2010-06-04,13.59,13.59,13.59,13.59,100,1,1359
2010-06-08,13.5,13.5,13.5,13.5,100,1,1350
2010-06-10,12.4,12.69,11.5,11.55,16300,33,197270
