Date,Open,High,Low,Close,Volume,Neg,Fin
2020-09-28,7.803259221163883,8.008362808816937,7.69138453698949,7.784613440468151,7287000,8003,61314912
2020-09-29,7.831227892207482,7.831227892207482,7.504926730032169,7.644770085250161,1090600,1699,8903093
2020-09-30,7.542218291423635,7.672738756293758,7.542218291423635,7.644770085250161,1255900,1710,10263641
2020-10-01,7.6634158659458915,7.896488124642543,7.644770085250161,7.877842343946813,402700,716,3381347
2020-10-02,7.756644769424555,7.840550782555348,7.654092975598028,7.700707427337357,440100,1932,3632196
2020-10-05,7.710030317685223,7.784613440468151,7.616801414206563,7.737998988728822,109400,297,901930
2020-10-06,7.81258211151175,7.81258211151175,7.346437594118447,7.402374936205642,970900,1039,7775973
2020-10-07,7.411697826553509,7.514249620380036,7.225240019596189,7.402374936205642,1276800,2607,10123799
2020-10-08,7.45831227829284,7.45831227829284,7.327791813422715,7.402374936205642,131500,200,1044386
2020-10-09,7.36508337481418,7.486280949336437,7.36508337481418,7.411697826553509,241300,311,1925569
2020-10-13,7.45831227829284,7.728676098380956,7.281177361683385,7.327791813422715,310600,585,2480294
2020-10-14,7.327791813422715,7.448989387944973,7.281177361683385,7.448989387944973,111200,150,880346
2020-10-15,7.430343607249242,7.504926730032169,7.271854471335518,7.504926730032169,118800,387,939171
2020-10-16,7.542218291423635,7.542218291423635,7.309146032726983,7.355760484466313,477300,810,3769351
2020-10-19,7.430343607249242,7.523572510727902,7.234562909944055,7.234562909944055,132100,385,1033378
2020-10-20,7.271854471335518,7.36508337481418,7.029459322291002,7.029459322291002,447600,772,3407594
2020-10-21,7.010813541595269,7.010813541595269,6.749772611855019,6.9921677608995365,335500,442,2481276
2020-10-22,6.9921677608995365,6.9921677608995365,6.805709953942216,6.824355734637948,1047000,1102,7700815
2020-10-23,6.833678624985814,6.964199089855939,6.768418392550752,6.898938857420877,940600,982,6868647
2020-10-26,6.870970186377279,6.973521980203806,6.870970186377279,6.973521980203806,296600,979,2196217
2020-10-27,6.9921677608995365,7.448989387944973,6.9921677608995365,7.225240019596189,1213400,1868,9380637
2020-10-28,7.178625567856859,7.178625567856859,6.768418392550752,6.79638706359435,226800,851,1659808
2020-10-29,6.805709953942216,6.805709953942216,6.591283475941296,6.70315816011569,388400,1111,2790570
2020-10-30,6.628575037332761,6.898938857420877,6.181076300635191,6.2649823137659855,1015300,1404,6896285
2020-11-03,6.414148559331842,6.609929256637029,6.08784739715653,6.08784739715653,547700,859,3619605
